csdata_id	e_energy	sigma
202337	0.29	0.0
202338	0.3	1e-23
202339	0.33	1.7e-23
202340	0.4	2.5e-23
202341	0.75	3.7e-23
202342	0.9	5.5e-23
202343	1.0	6.5e-23
202344	1.1	9e-23
202345	1.16	1.1e-22
202346	1.2	1.25e-22
202347	1.22	1.35e-22
202348	1.4	7e-22
202349	1.5	1e-21
202350	1.6	1.5e-21
202351	1.65	0.0
202352	3.6	0.0
202353	4.0	5.5e-22
202354	5.0	3.5e-22
202355	15.0	3.5e-22
202356	18.0	4e-22
202357	20.0	6.5e-22
202358	22.0	8.5e-22
202359	23.0	8.5e-22
202360	25.0	6e-22
202361	29.0	3e-22
202362	32.0	1.5e-22
202363	50.0	1.2e-22
202364	80.0	0.0
