csdata_id	e_energy	sigma
13048	12.9793213	1318.2298
13049	12.99292646	1386.3935
13050	13.00653161	2143.0315
13051	13.02013677	1805.9367
13052	13.03374193	1637.7401
13053	13.04734709	1476.0786
13054	13.06095225	1292.0972
13055	13.07455741	1313.8628
13056	13.08816257	1152.6537
13057	13.10176772	1008.1832
13058	13.11537288	899.90522
13059	13.12897804	818.97378
13060	13.1425832	750.41165
13061	13.15618836	891.71351
13062	13.16979352	859.31373
13063	13.18339868	834.15265
13064	13.19700383	798.46496
13065	13.21060899	776.76951
13066	13.22421415	757.91134
13067	13.23781931	739.06551
13068	13.25142447	598.44049
13069	13.26502963	592.17665
13070	13.27863479	611.20724
13071	13.3058451	604.11097
13072	13.31945026	589.51685
13073	13.33305542	604.4174
13074	13.34666058	594.91774
13075	13.36026574	579.70152
13076	13.3738709	558.68685
13077	13.38747605	530.73629
13078	13.40108121	536.85175
13079	13.41468637	535.48353
13080	13.42829153	582.17065
13081	13.44189669	571.48541
13082	13.45550185	558.98105
13083	13.46910701	550.45963
13084	13.48271216	541.31711
13085	13.49631732	533.52318
13086	13.50992248	524.72301
13087	13.52352764	516.7421
13088	13.5371328	510.43732
13089	13.55073796	527.69843
13090	13.56434312	518.67328
13091	13.57794827	511.4232
13092	13.59155343	508.32113
13093	13.60515859	504.90095
13094	13.61876375	503.7379
13095	13.63236891	505.23544
13096	13.64597407	505.55095
13097	13.65957923	501.94126
13098	13.67318438	493.12491
13099	13.7003947	514.99901
13100	13.71399986	515.29152
13101	13.75481534	503.30088
13102	13.76842049	494.54361
13103	13.78202565	487.34495
13104	13.79563081	501.8371
13105	13.80923597	501.24042
13106	13.82284113	486.76609
13107	13.83644629	470.85547
13108	13.85005145	461.53984
13109	13.8636566	454.21186
13110	13.87726176	455.48137
13111	13.89086692	455.64449
13112	13.90447208	455.40437
13113	13.91807724	455.81676
13114	13.9316824	453.15735
13115	13.94528756	450.62573
13116	13.95889272	448.96083
13117	13.97249787	447.11456
13118	13.98610303	448.46572
13119	13.99970819	451.47662
13120	14.01331335	454.19428
13121	14.02691851	460.9238
13122	14.04052367	460.99687
13123	14.05412883	464.60163
13124	14.06773398	465.97721
13125	14.08133914	457.24158
13126	14.0949443	452.25824
13127	14.10854946	449.01019
13128	14.12215462	443.66628
13129	14.13575978	439.61662
13130	14.14936494	436.83562
13131	14.16297009	433.38273
13132	14.17657525	431.05039
13133	14.19018041	430.65193
13134	14.20378557	429.51747
13135	14.21739073	427.05141
13136	14.23099589	424.84718
13137	14.24460105	424.59757
13138	14.2582062	424.12613
13139	14.27181136	423.17315
13140	14.28541652	421.06023
13141	14.29902168	419.58983
13142	14.31262684	417.33674
13143	14.326232	413.9195
13144	14.33983716	410.70369
13145	14.35344231	413.33615
13146	14.36704747	413.33263
13147	14.38065263	408.12365
13148	14.39425779	402.59322
13149	14.40786295	396.03667
13150	14.42146811	388.27068
13151	14.43507327	380.99508
13152	14.44867842	376.12413
13153	14.46228358	374.39233
13154	14.47588874	371.46677
13155	14.4894939	369.98869
13156	14.50309906	370.28615
13157	14.51670422	368.77231
13158	14.53030938	369.55312
13159	14.54391453	369.90553
13160	14.55751969	367.92214
13161	14.57112485	365.7004
13162	14.58473001	366.76813
13163	14.59833517	367.59215
13164	14.61194033	367.05286
13165	14.62554549	366.89308
13166	14.63915064	366.62488
13167	14.6527558	366.78614
13168	14.66636096	369.2403
13169	14.67996612	371.46407
13170	14.69357128	371.62394
13171	14.70717644	371.22031
13172	14.7207816	371.44309
13173	14.73438675	371.0426
13174	14.74799191	370.76105
13175	14.76159707	372.67972
13176	14.77520223	374.02908
13177	14.78880739	374.56885
13178	14.80241255	371.35383
13179	14.81601771	370.55103
13180	14.82962286	369.54057
13181	14.84322802	368.09087
13182	14.85683318	366.34482
13183	14.87043834	365.14086
13184	14.8840435	364.9268
13185	14.89764866	363.27063
13186	14.91125382	361.59665
13187	14.92485898	358.26665
13188	14.93846413	357.23624
13189	14.95206929	356.2454
13190	14.96567445	354.99246
13191	14.97927961	353.99885
13192	14.99288477	352.33025
13193	15.00648993	350.87571
13194	15.02009509	349.03614
13195	15.03370024	347.50544
13196	15.0473054	347.67072
13197	15.06091056	344.44512
13198	15.07451572	341.35049
13199	15.08812088	339.90723
13200	15.10172604	339.83774
13201	15.1153312	338.64775
13202	15.12893635	336.94217
13203	15.14254151	335.1621
