csdata_id	e_energy	sigma
13552	12.99292646	1058.4047
13553	13.00653161	1368.6098
13554	13.02013677	2219.2015
13555	13.03374193	1841.247
13556	13.04734709	1539.2069
13557	13.06095225	1345.5668
13558	13.07455741	1377.5034
13559	13.08816257	1186.7981
13560	13.10176772	1015.2828
13561	13.11537288	904.2339
13562	13.12897804	816.51259
13563	13.1425832	739.3854
13564	13.15618836	658.9591
13565	13.16979352	804.5624
13566	13.18339868	780.69369
13567	13.19700383	750.63909
13568	13.21060899	727.79782
13569	13.22421415	707.71804
13570	13.23781931	685.20604
13571	13.25142447	639.18492
13572	13.26502963	621.64704
13573	13.27863479	581.36881
13574	13.3058451	604.11512
13575	13.31945026	593.43361
13576	13.33305542	540.10644
13577	13.34666058	529.00639
13578	13.36026574	521.9469
13579	13.3738709	513.3483
13580	13.38747605	504.44203
13581	13.40108121	494.94606
13582	13.41468637	491.72116
13583	13.42829153	483.12717
13584	13.44189669	488.87825
13585	13.45550185	488.85745
13586	13.46910701	479.47625
13587	13.48271216	471.76262
13588	13.49631732	465.69978
13589	13.50992248	471.60374
13590	13.52352764	464.8391
13591	13.5371328	456.69158
13592	13.55073796	449.80953
13593	13.56434312	444.78604
13594	13.57794827	443.38722
13595	13.59155343	439.98089
13596	13.60515859	439.54581
13597	13.61876375	438.74007
13598	13.63236891	449.41643
13599	13.64597407	447.04855
13600	13.65957923	444.67403
13601	13.67318438	438.12941
13602	13.7003947	447.66925
13603	13.71399986	444.86962
13604	13.75481534	463.642
13605	13.76842049	451.85945
13606	13.78202565	454.53155
13607	13.79563081	464.79589
13608	13.80923597	455.81642
13609	13.82284113	445.00231
13610	13.83644629	436.48044
13611	13.85005145	428.81943
13612	13.8636566	423.96447
13613	13.87726176	427.96013
13614	13.89086692	429.37684
13615	13.90447208	428.7727
13616	13.91807724	429.78175
13617	13.9316824	424.03127
13618	13.94528756	425.4968
13619	13.95889272	424.90252
13620	13.97249787	420.41165
13621	13.98610303	422.39082
13622	13.99970819	427.90375
13623	14.01331335	427.04623
13624	14.02691851	427.70605
13625	14.04052367	435.47243
13626	14.05412883	438.87033
13627	14.06773398	437.69014
13628	14.08133914	435.95368
13629	14.0949443	434.14385
13630	14.10854946	429.32771
13631	14.12215462	425.40627
13632	14.13575978	424.19578
13633	14.14936494	417.89123
13634	14.16297009	416.60771
13635	14.17657525	415.39796
13636	14.19018041	414.65441
13637	14.20378557	416.03002
13638	14.21739073	413.60799
13639	14.23099589	410.967
13640	14.24460105	411.43982
13641	14.2582062	410.88268
13642	14.27181136	409.08016
13643	14.28541652	405.59765
13644	14.29902168	403.74611
13645	14.31262684	403.09173
13646	14.326232	404.20375
13647	14.33983716	401.0931
13648	14.35344231	400.43158
13649	14.36704747	397.57954
13650	14.38065263	395.93804
13651	14.39425779	389.03441
13652	14.40786295	382.19947
13653	14.42146811	375.6681
13654	14.43507327	367.79883
13655	14.44867842	363.03603
13656	14.46228358	361.92833
13657	14.47588874	359.00039
13658	14.4894939	356.8603
13659	14.50309906	356.71649
13660	14.51670422	357.41221
13661	14.53030938	356.04719
13662	14.54391453	359.29179
13663	14.55751969	357.21834
13664	14.57112485	356.26085
13665	14.58473001	359.98514
13666	14.59833517	361.19683
13667	14.61194033	360.20047
13668	14.62554549	358.18362
13669	14.63915064	360.24283
13670	14.6527558	359.08262
13671	14.66636096	362.75837
13672	14.67996612	361.23805
13673	14.69357128	361.57727
13674	14.70717644	362.64502
13675	14.7207816	364.55414
13676	14.73438675	363.17983
13677	14.74799191	362.65702
13678	14.76159707	363.38903
13679	14.77520223	366.52868
13680	14.78880739	363.03709
13681	14.80241255	364.00483
13682	14.81601771	360.98563
13683	14.82962286	359.7511
13684	14.84322802	358.76053
13685	14.85683318	357.25373
13686	14.87043834	357.09742
13687	14.8840435	359.50524
13688	14.89764866	358.1237
13689	14.91125382	356.09934
13690	14.92485898	354.98808
13691	14.93846413	352.37871
13692	14.95206929	352.46573
13693	14.96567445	352.26074
13694	14.97927961	350.49968
13695	14.99288477	348.97114
13696	15.00648993	348.01813
13697	15.02009509	347.24838
13698	15.03370024	345.57241
13699	15.0473054	346.33668
13700	15.06091056	343.17369
13701	15.07451572	341.14305
13702	15.08812088	339.85202
13703	15.10172604	339.0843
13704	15.1153312	338.06449
13705	15.12893635	336.83038
13706	15.14254151	335.40821
13707	15.15614667	334.58551
13708	15.16975183	335.5881
13709	15.18335699	335.30186
13710	15.19696215	332.68122
13711	15.21056731	330.75431
13712	15.22417246	328.28958
13713	15.23777762	325.99853
13714	15.25138278	324.25005
13715	15.26498794	320.88406
13716	15.2785931	318.03508
13717	15.29219826	315.81562
13718	15.30580342	314.39826
13719	15.31940857	310.10177
13720	15.33301373	306.99698
13721	15.34661889	305.6499
13722	15.36022405	303.70814
13723	15.37382921	301.17331
13724	15.38743437	299.28965
13725	15.40103953	297.28894
13726	15.41464468	296.33373
13727	15.42824984	295.83773
13728	15.441855	296.47665
13729	15.45546016	297.19324
13730	15.46906532	297.92011
13731	15.48267048	298.10135
13732	15.50988079	299.07716
13733	15.52348595	301.3043
13734	15.53709111	301.05651
13735	15.55069627	301.61714
13736	15.56430143	302.48196
13737	15.57790659	302.30582
13738	15.59151175	301.81729
13739	15.6051169	300.56202
13740	15.61872206	299.81057
13741	15.63232722	299.67793
13742	15.64593238	299.41084
13743	15.65953754	298.35702
13744	15.6731427	297.71812
13745	15.68674786	297.9985
13746	15.70035301	297.56071
13747	15.71395817	297.76122
13748	15.72756333	297.2156
13749	15.74116849	298.40734
13750	15.75477365	298.4903
13751	15.76837881	297.86454
13752	15.78198397	297.7122
13753	15.79558912	297.59359
13754	15.80919428	296.61341
13755	15.82279944	296.12491
13756	15.8364046	295.7154
13757	15.85000976	294.53982
13758	15.86361492	294.60426
13759	15.87722008	293.51266
13760	15.89082524	293.04551
13761	15.90443039	292.8794
13762	15.91803555	292.47337
13763	15.93164071	290.20286
13764	15.94524587	290.32717
13765	15.95885103	289.12791
13766	15.97245619	287.97634
13767	15.98606135	287.41444
13768	15.9996665	286.23949
13769	16.01327166	286.83116
13770	16.02687682	285.6604
13771	16.04048198	284.4094
13772	16.05408714	283.61072
13773	16.0676923	283.95356
13774	16.08129746	282.66151
13775	16.09490261	281.90489
13776	16.10850777	280.83333
13777	16.12211293	279.86264
13778	16.13571809	279.1303
13779	16.14932325	277.98962
13780	16.16292841	277.45787
13781	16.17653357	276.2248
13782	16.19013872	276.55761
13783	16.20374388	274.67659
13784	16.21734904	274.34457
13785	16.2309542	273.3561
13786	16.24455936	272.19987
13787	16.25816452	271.35629
13788	16.27176968	270.69365
13789	16.28537483	269.65894
13790	16.29897999	269.04142
13791	16.31258515	269.29502
13792	16.32619031	267.97169
13793	16.33979547	264.732
13794	16.35340063	263.70487
13795	16.36700579	263.39903
13796	16.3942161	262.25309
13797	16.40782126	261.29699
13798	16.42142642	260.02036
13799	16.43503158	260.73114
13800	16.44863674	259.49009
13801	16.4622419	258.99343
13802	16.47584705	257.79261
13803	16.48945221	257.63037
13804	16.50305737	256.42259
13805	16.51666253	255.4217
13806	16.53026769	254.80646
13807	16.54387285	253.74854
13808	16.55747801	253.70523
13809	16.57108316	253.33619
13810	16.58468832	253.30973
13811	16.59829348	252.75758
13812	16.61189864	251.52954
13813	16.6255038	250.9098
13814	16.63910896	250.73304
13815	16.65271412	249.82143
13816	16.67992443	249.26823
13817	16.69352959	248.93214
13818	16.70713475	248.5271
13819	16.72073991	249.27645
13820	16.73434507	249.60413
13821	16.74795023	250.74323
13822	16.76155538	251.7065
13823	16.77516054	252.2072
13824	16.7887657	252.39506
13825	16.80237086	252.36893
13826	16.81597602	252.65536
13827	16.82958118	252.86445
13828	16.84318634	251.95643
13829	16.8567915	252.19736
13830	16.87039665	251.2493
13831	16.88400181	250.44926
13832	16.89760697	250.03221
13833	16.91121213	249.61424
13834	16.92481729	249.13764
13835	16.93842245	248.91978
13836	16.95202761	248.09579
13837	16.96563276	247.98836
13838	16.97923792	248.25723
13839	16.99284308	246.78959
13840	17.00644824	246.12466
13841	17.0200534	246.29973
13842	17.03365856	245.98451
13843	17.04726372	245.36659
13844	17.06086887	244.6262
13845	17.07447403	244.24042
13846	17.08807919	244.06057
13847	17.10168435	244.20928
13848	17.11528951	244.83559
13849	17.12889467	243.15461
13850	17.14249983	242.30257
13851	17.15610498	241.85557
13852	17.16971014	241.63506
13853	17.1833153	241.61478
13854	17.19692046	241.4337
13855	17.21052562	241.25703
13856	17.22413078	240.00546
13857	17.23773594	239.73671
13858	17.25134109	239.73952
13859	17.26494625	237.76274
13860	17.27855141	237.17346
13861	17.29215657	236.62598
13862	17.30576173	236.41041
13863	17.31936689	235.74608
13864	17.33297205	234.90422
13865	17.3465772	234.5861
13866	17.36018236	233.7023
13867	17.37378752	233.12464
13868	17.38739268	232.63169
13869	17.40099784	232.57381
13870	17.414603	231.55522
13871	17.42820816	231.2266
13872	17.44181331	230.57116
13873	17.45541847	229.80873
13874	17.46902363	229.33422
13875	17.48262879	229.24166
13876	17.49623395	228.7398
13877	17.50983911	227.4298
13878	17.52344427	227.17301
13879	17.53704942	226.61938
13880	17.55065458	226.05872
13881	17.56425974	224.64964
13882	17.5778649	224.53085
13883	17.59147006	224.02915
13884	17.60507522	223.88198
