csdata_id	e_energy	sigma
9835	12.0269602	11015.31
9836	12.04056535	1220.9965
9837	12.05417051	552.72812
9838	12.06777567	399.44555
9839	12.08138083	278.7068
9840	12.09498599	210.14876
9841	12.10859115	168.57496
9842	12.12219631	194.6444
9843	12.13580146	197.48716
9844	12.14940662	188.44978
9845	12.16301178	195.58184
9846	12.17661694	204.9229
9847	12.1902221	215.30793
9848	12.20382726	225.01763
9849	12.21743242	244.28199
9850	12.23103757	252.05073
9851	12.24464273	259.40167
9852	12.25824789	264.01005
9853	12.27185305	267.54428
9854	12.28545821	270.26305
9855	12.29906337	272.1176
9856	12.31266853	274.0513
9857	12.32627368	274.80178
9858	12.33987884	280.4611
9859	12.353484	277.32553
9860	12.36708916	270.08301
9861	12.38069432	281.54466
9862	12.39429948	284.71183
9863	12.40790464	286.07931
9864	12.42150979	287.72078
9865	12.43511495	289.33245
9866	12.44872011	290.88732
9867	12.46232527	292.31953
9868	12.47593043	293.91644
9869	12.48953559	296.19132
9870	12.50314075	297.45
9871	12.5167459	298.65192
9872	12.53035106	299.80151
9873	12.54395622	300.91078
9874	12.55756138	302.07955
9875	12.57116654	303.12127
9876	12.5847717	304.14198
9877	12.59837686	305.15632
9878	12.61198201	306.21364
9879	12.62558717	307.27535
9880	12.63919233	308.42928
9881	12.65279749	309.81075
9882	12.66640265	311.91483
9883	12.68000781	314.98295
9884	12.69361297	313.79162
9885	12.70721812	312.85819
9886	12.72082328	313.40107
9887	12.73442844	314.27194
9888	12.7480336	315.21307
9889	12.76163876	316.11908
9890	12.77524392	316.82551
9891	12.78884908	316.93649
9892	12.80245423	317.10819
9893	12.81605939	314.37463
9894	12.82966455	309.45288
9895	12.84326971	329.45382
9896	12.85687487	327.01661
9897	12.87048003	346.47392
9898	12.88408519	357.73627
9899	12.89769034	361.33974
9900	12.9112955	357.52855
9901	12.92490066	357.05118
9902	12.93850582	351.6833
9903	12.95211098	349.28123
9904	12.96571614	352.1889
9905	12.9793213	354.56582
9906	12.99292646	350.19691
9907	13.00653161	339.20844
9908	13.02013677	338.11763
9909	13.03374193	328.05439
9910	13.04734709	309.01262
9911	13.06095225	292.33376
9912	13.07455741	273.45106
9913	13.08816257	269.27226
9914	13.10176772	266.18654
9915	13.11537288	266.62189
9916	13.12897804	267.37992
9917	13.1425832	267.85789
9918	13.15618836	268.39922
9919	13.16979352	264.33998
9920	13.18339868	265.07475
9921	13.19700383	265.52258
9922	13.21060899	264.68323
9923	13.22421415	264.15945
9924	13.23781931	264.65315
9925	13.25142447	265.24421
9926	13.26502963	265.2204
9927	13.27863479	264.64742
9928	13.3058451	261.1347
9929	13.31945026	259.58127
9930	13.33305542	256.6884
9931	13.34666058	254.74139
9932	13.36026574	252.56523
9933	13.3738709	257.67932
9934	13.38747605	259.14512
9935	13.40108121	255.31294
9936	13.41468637	252.11011
9937	13.42829153	249.44432
9938	13.44189669	246.43412
9939	13.45550185	243.9226
9940	13.46910701	240.50583
9941	13.48271216	240.89829
9942	13.49631732	239.2805
9943	13.50992248	236.40942
9944	13.52352764	236.59445
9945	13.5371328	232.46683
9946	13.55073796	229.7241
9947	13.56434312	228.04886
9948	13.57794827	228.42301
9949	13.59155343	228.20542
9950	13.60515859	229.01422
9951	13.61876375	223.64926
9952	13.63236891	219.93486
9953	13.64597407	216.55481
9954	13.65957923	213.84808
9955	13.67318438	216.31152
9956	13.7003947	215.36286
9957	13.71399986	207.17619
9958	13.75481534	226.44383
9959	13.76842049	233.97426
9960	13.78202565	236.36236
9961	13.79563081	229.626
9962	13.80923597	223.3302
9963	13.82284113	220.90763
9964	13.83644629	218.9675
9965	13.85005145	219.46057
9966	13.8636566	218.44422
9967	13.87726176	218.02673
9968	13.89086692	217.23843
9969	13.90447208	217.03661
9970	13.91807724	215.79452
9971	13.9316824	213.49256
9972	13.94528756	212.12518
9973	13.95889272	210.12273
9974	13.97249787	210.14024
9975	13.98610303	209.71812
9976	13.99970819	209.2513
9977	14.01331335	208.44505
9978	14.02691851	207.17624
9979	14.04052367	205.38094
9980	14.05412883	203.6302
9981	14.06773398	202.82846
9982	14.08133914	201.58918
9983	14.0949443	200.50353
9984	14.10854946	198.45945
9985	14.12215462	196.48415
9986	14.13575978	195.86583
9987	14.14936494	194.61821
9988	14.16297009	195.42678
9989	14.17657525	193.95227
9990	14.19018041	192.78189
9991	14.20378557	191.39345
9992	14.21739073	190.61453
9993	14.23099589	189.48153
9994	14.24460105	188.51818
9995	14.2582062	188.00438
9996	14.27181136	186.48211
9997	14.28541652	184.93376
9998	14.29902168	183.7113
9999	14.31262684	183.13273
10000	14.326232	183.63991
10001	14.33983716	182.35577
10002	14.35344231	182.23996
10003	14.36704747	180.83314
10004	14.38065263	180.69357
10005	14.39425779	179.99075
10006	14.40786295	179.63969
10007	14.42146811	179.34259
10008	14.43507327	179.73634
10009	14.44867842	181.96642
10010	14.46228358	182.5733
10011	14.47588874	182.11837
10012	14.4894939	181.76878
10013	14.50309906	181.64969
10014	14.51670422	180.97646
10015	14.53030938	180.3556
10016	14.54391453	179.60666
10017	14.55751969	178.88394
10018	14.57112485	178.37779
10019	14.58473001	177.42198
10020	14.59833517	176.87789
10021	14.61194033	175.9434
10022	14.62554549	175.30131
10023	14.63915064	174.19139
10024	14.6527558	173.06025
10025	14.66636096	172.45287
10026	14.67996612	171.40234
10027	14.69357128	170.84781
10028	14.70717644	170.3461
10029	14.7207816	169.63153
10030	14.73438675	169.1778
10031	14.74799191	168.04174
10032	14.76159707	167.02547
10033	14.77520223	166.3776
10034	14.78880739	166.33244
10035	14.80241255	165.9599
10036	14.81601771	165.35576
10037	14.82962286	164.155
10038	14.84322802	163.72387
10039	14.85683318	163.07005
10040	14.87043834	162.34865
10041	14.8840435	161.39414
10042	14.89764866	160.86872
10043	14.91125382	160.37793
10044	14.92485898	159.71408
10045	14.93846413	158.97147
10046	14.95206929	157.87154
10047	14.96567445	157.12741
10048	14.97927961	156.51048
10049	14.99288477	156.03365
10050	15.00648993	155.58664
10051	15.02009509	155.24747
10052	15.03370024	154.6234
10053	15.0473054	154.29618
10054	15.06091056	153.95371
10055	15.07451572	153.13877
10056	15.08812088	152.66113
10057	15.10172604	152.19038
10058	15.1153312	151.7645
10059	15.12893635	151.21767
10060	15.14254151	151.31662
10061	15.15614667	150.89794
10062	15.16975183	150.19086
10063	15.18335699	149.84827
10064	15.19696215	149.55607
10065	15.21056731	149.357
10066	15.22417246	149.21181
10067	15.23777762	148.96354
10068	15.25138278	148.61228
10069	15.26498794	148.48084
10070	15.2785931	148.21586
10071	15.29219826	147.98555
10072	15.30580342	148.16904
10073	15.31940857	147.90575
10074	15.33301373	148.23235
10075	15.34661889	147.63676
10076	15.36022405	147.41994
10077	15.37382921	147.52205
10078	15.38743437	147.34267
10079	15.40103953	147.47342
10080	15.41464468	147.19578
10081	15.42824984	146.98815
10082	15.441855	146.769
10083	15.45546016	146.3717
10084	15.46906532	145.77472
10085	15.48267048	145.33226
10086	15.50988079	144.38114
10087	15.52348595	143.77841
10088	15.53709111	143.42243
10089	15.55069627	143.13077
10090	15.56430143	142.5276
10091	15.57790659	142.1097
10092	15.59151175	141.71214
10093	15.6051169	141.4438
10094	15.61872206	140.99626
10095	15.63232722	140.56596
10096	15.64593238	140.06565
10097	15.65953754	139.6142
10098	15.6731427	139.39673
10099	15.68674786	139.18502
10100	15.70035301	139.00189
10101	15.71395817	138.42354
10102	15.72756333	138.06248
10103	15.74116849	137.52787
10104	15.75477365	137.18919
10105	15.76837881	136.89246
10106	15.78198397	136.42176
10107	15.79558912	136.11489
10108	15.80919428	135.74233
10109	15.82279944	135.39576
10110	15.8364046	135.01323
10111	15.85000976	134.62246
10112	15.86361492	133.90787
10113	15.87722008	133.51531
10114	15.89082524	133.09572
10115	15.90443039	132.62292
10116	15.91803555	132.20846
10117	15.93164071	131.69361
10118	15.94524587	131.39014
10119	15.95885103	130.99036
10120	15.97245619	130.44699
10121	15.98606135	130.07128
10122	15.9996665	129.46597
10123	16.01327166	129.08849
10124	16.02687682	128.70963
10125	16.04048198	128.34567
10126	16.05408714	128.12839
10127	16.0676923	127.79252
10128	16.08129746	127.39566
10129	16.09490261	127.05655
10130	16.10850777	126.77434
10131	16.12211293	126.47022
10132	16.13571809	126.0419
10133	16.14932325	125.77267
10134	16.16292841	125.49061
10135	16.17653357	125.35499
