csdata_id	e_energy	sigma
10409	12.14940662	5157.7815
10410	12.16301178	1802.5345
10411	12.17661694	1086.3564
10412	12.1902221	725.80092
10413	12.20382726	523.93114
10414	12.21743242	400.70891
10415	12.23103757	317.0603
10416	12.24464273	347.35217
10417	12.25824789	329.39827
10418	12.27185305	321.23516
10419	12.28545821	317.36026
10420	12.29906337	314.80121
10421	12.31266853	311.96885
10422	12.32627368	308.63433
10423	12.33987884	328.58914
10424	12.353484	313.41531
10425	12.36708916	307.04612
10426	12.38069432	317.59008
10427	12.39429948	319.42613
10428	12.40790464	319.73529
10429	12.42150979	320.09221
10430	12.43511495	320.57158
10431	12.44872011	329.0662
10432	12.46232527	330.76548
10433	12.47593043	333.3383
10434	12.48953559	336.15804
10435	12.50314075	338.00663
10436	12.5167459	339.86565
10437	12.53035106	341.71245
10438	12.54395622	343.55
10439	12.55756138	345.53803
10440	12.57116654	347.30505
10441	12.5847717	349.04016
10442	12.59837686	350.74486
10443	12.61198201	354.57571
10444	12.62558717	356.39268
10445	12.63919233	358.19374
10446	12.65279749	359.70058
10447	12.66640265	361.15291
10448	12.68000781	362.69583
10449	12.69361297	369.57308
10450	12.70721812	373.29207
10451	12.72082328	375.89331
10452	12.73442844	378.58041
10453	12.7480336	381.47857
10454	12.76163876	384.59166
10455	12.77524392	387.90137
10456	12.78884908	392.50024
10457	12.80245423	396.0019
10458	12.81605939	399.0674
10459	12.82966455	399.47456
10460	12.84326971	398.47032
10461	12.85687487	406.79356
10462	12.87048003	428.41882
10463	12.88408519	435.50263
10464	12.89769034	441.15743
10465	12.9112955	422.06812
10466	12.92490066	413.19389
10467	12.93850582	407.73497
10468	12.95211098	408.0583
10469	12.96571614	412.15382
10470	12.9793213	415.95393
10471	12.99292646	414.09981
10472	13.00653161	399.9065
10473	13.02013677	381.27314
10474	13.03374193	359.42849
10475	13.04734709	343.47691
10476	13.06095225	339.65629
10477	13.07455741	327.87958
10478	13.08816257	325.99469
10479	13.10176772	315.58734
10480	13.11537288	318.59739
10481	13.12897804	320.64131
10482	13.1425832	322.93438
10483	13.15618836	324.38664
10484	13.16979352	326.20059
10485	13.18339868	328.08926
10486	13.19700383	329.89015
10487	13.21060899	319.10986
10488	13.22421415	318.17326
10489	13.23781931	319.51435
10490	13.25142447	320.52469
10491	13.26502963	320.45267
10492	13.27863479	317.96216
10493	13.3058451	313.85912
10494	13.31945026	313.28436
10495	13.33305542	310.61946
10496	13.34666058	303.45133
10497	13.36026574	306.82226
10498	13.3738709	304.49945
10499	13.38747605	304.67134
10500	13.40108121	301.61931
10501	13.41468637	297.30564
10502	13.42829153	294.6342
10503	13.44189669	290.41237
10504	13.45550185	287.73362
10505	13.46910701	285.27496
10506	13.48271216	283.79461
10507	13.49631732	281.97772
10508	13.50992248	280.90315
10509	13.52352764	280.97956
10510	13.5371328	278.56301
10511	13.55073796	276.20235
10512	13.56434312	274.43181
10513	13.57794827	271.92877
10514	13.59155343	269.42906
10515	13.60515859	266.55971
10516	13.61876375	261.32722
10517	13.63236891	258.52377
10518	13.64597407	257.94226
10519	13.65957923	257.62486
10520	13.67318438	262.93854
10521	13.7003947	262.85275
10522	13.71399986	251.52407
10523	13.75481534	274.76431
10524	13.76842049	278.08784
10525	13.78202565	275.70796
10526	13.79563081	266.30947
10527	13.80923597	258.95142
10528	13.82284113	257.11038
10529	13.83644629	256.90399
10530	13.85005145	258.12173
10531	13.8636566	256.43604
10532	13.87726176	254.65728
10533	13.89086692	252.84277
10534	13.90447208	252.44475
10535	13.91807724	253.47477
10536	13.9316824	252.26129
10537	13.94528756	250.50365
10538	13.95889272	249.59325
10539	13.97249787	249.88896
10540	13.98610303	247.50802
10541	13.99970819	247.29026
10542	14.01331335	246.63425
10543	14.02691851	245.81109
10544	14.04052367	244.04475
10545	14.05412883	241.67498
10546	14.06773398	238.43
10547	14.08133914	236.68892
10548	14.0949443	236.19127
10549	14.10854946	233.28552
10550	14.12215462	230.62687
10551	14.13575978	228.5243
10552	14.14936494	227.69083
10553	14.16297009	227.27568
10554	14.17657525	225.62562
10555	14.19018041	224.43625
10556	14.20378557	222.92317
10557	14.21739073	223.16788
10558	14.23099589	221.99725
10559	14.24460105	220.30022
10560	14.2582062	219.5294
10561	14.27181136	217.5015
10562	14.28541652	216.1057
10563	14.29902168	214.62787
10564	14.31262684	213.66802
10565	14.326232	214.6748
10566	14.33983716	213.67447
10567	14.35344231	211.51288
10568	14.36704747	210.5648
10569	14.38065263	210.09056
10570	14.39425779	209.16498
10571	14.40786295	209.08218
10572	14.42146811	209.78844
10573	14.43507327	210.2019
10574	14.44867842	211.86707
10575	14.46228358	213.19516
10576	14.47588874	212.34258
10577	14.4894939	211.93156
10578	14.50309906	211.258
10579	14.51670422	210.5298
10580	14.53030938	210.18896
10581	14.54391453	209.10701
10582	14.55751969	209.11941
10583	14.57112485	208.11271
10584	14.58473001	206.53129
10585	14.59833517	205.61501
10586	14.61194033	204.30133
10587	14.62554549	203.19921
10588	14.63915064	202.19361
10589	14.6527558	200.22842
10590	14.66636096	199.51626
10591	14.67996612	198.54585
10592	14.69357128	197.67336
10593	14.70717644	196.59609
10594	14.7207816	195.69475
10595	14.73438675	195.3426
10596	14.74799191	194.32647
10597	14.76159707	193.19351
10598	14.77520223	192.77344
10599	14.78880739	192.72662
10600	14.80241255	191.91951
10601	14.81601771	190.78715
10602	14.82962286	189.8366
10603	14.84322802	189.17804
10604	14.85683318	188.44308
10605	14.87043834	187.42856
10606	14.8840435	186.05006
10607	14.89764866	185.37352
10608	14.91125382	184.4344
10609	14.92485898	183.79926
10610	14.93846413	183.14858
10611	14.95206929	182.05492
10612	14.96567445	181.41376
10613	14.97927961	180.16108
10614	14.99288477	180.02112
10615	15.00648993	179.34709
10616	15.02009509	178.93561
10617	15.03370024	178.07951
10618	15.0473054	177.39724
10619	15.06091056	176.88082
10620	15.07451572	176.14603
10621	15.08812088	175.66364
10622	15.10172604	175.21671
10623	15.1153312	174.79033
10624	15.12893635	173.8808
10625	15.14254151	173.24798
10626	15.15614667	172.92096
10627	15.16975183	172.3275
10628	15.18335699	171.84614
10629	15.19696215	171.63483
10630	15.21056731	171.26395
10631	15.22417246	170.89596
10632	15.23777762	170.59406
10633	15.25138278	170.37652
10634	15.26498794	169.93633
10635	15.2785931	169.48825
10636	15.29219826	169.30775
10637	15.30580342	169.36397
10638	15.31940857	169.07525
10639	15.33301373	168.90296
10640	15.34661889	167.57714
10641	15.36022405	167.30493
10642	15.37382921	167.46671
10643	15.38743437	167.43447
10644	15.40103953	167.48395
10645	15.41464468	167.24372
10646	15.42824984	166.80123
10647	15.441855	166.22446
10648	15.45546016	165.61859
10649	15.46906532	164.91586
10650	15.48267048	164.37318
10651	15.50988079	163.00725
10652	15.52348595	162.40957
10653	15.53709111	161.80126
10654	15.55069627	161.6339
10655	15.56430143	161.00707
10656	15.57790659	160.13074
10657	15.59151175	159.79372
10658	15.6051169	159.43376
10659	15.61872206	158.68921
10660	15.63232722	158.29653
10661	15.64593238	157.9646
10662	15.65953754	157.3266
10663	15.6731427	157.12726
10664	15.68674786	156.52156
10665	15.70035301	156.1754
10666	15.71395817	155.51545
10667	15.72756333	155.2339
10668	15.74116849	154.53576
10669	15.75477365	153.82757
10670	15.76837881	153.55333
10671	15.78198397	153.2288
10672	15.79558912	152.79027
10673	15.80919428	152.58525
10674	15.82279944	151.88879
