csdata_id	e_energy	sigma
5470	10.43515664	1285.8243
5471	10.4487618	1651.963
5472	10.46236696	1183.576
5473	10.47597212	996.3887
5474	10.48957727	891.61637
5475	10.50318243	813.30098
5476	10.51678759	756.47641
5477	10.53039275	712.61885
5478	10.54399791	679.20871
5479	10.55760307	652.79289
5480	10.57120823	631.08081
5481	10.58481338	612.58116
5482	10.59841854	596.30555
5483	10.6120237	582.47317
5484	10.62562886	568.94811
5485	10.63923402	556.07175
5486	10.65283918	543.53313
5487	10.66644434	531.07285
5488	10.68004949	518.45652
5489	10.69365465	505.45681
5490	10.70725981	491.84557
5491	10.72086497	477.37223
5492	10.73447013	462.18028
5493	10.74807529	445.16974
5494	10.76168045	426.13138
5495	10.7752856	399.01127
5496	10.78889076	363.63341
5497	10.80249592	337.41639
5498	10.81610108	320.78308
5499	10.82970624	312.26964
5500	10.8433114	306.73673
5501	10.85691656	302.54991
5502	10.87052171	298.98826
5503	10.88412687	295.86372
5504	10.89773203	292.78614
5505	10.91133719	289.78961
5506	10.92494235	286.79947
5507	10.93854751	283.6499
5508	10.95215267	277.42706
5509	10.96575782	273.83772
5510	10.97936298	270.85957
5511	10.99296814	268.1557
5512	11.0065733	265.55588
5513	11.02017846	263.05096
5514	11.03378362	260.63819
5515	11.04738878	258.26535
5516	11.06099394	256.09134
5517	11.07459909	253.96689
5518	11.08820425	251.92491
5519	11.10180941	249.95963
5520	11.11541457	248.06433
5521	11.12901973	246.23221
5522	11.14262489	244.45468
5523	11.15623005	242.73234
5524	11.1698352	241.05768
5525	11.18344036	239.42579
5526	11.19704552	237.8328
5527	11.21065068	236.27555
5528	11.22425584	234.74874
5529	11.237861	233.2518
5530	11.25146616	231.78357
5531	11.26507131	230.33526
5532	11.27867647	228.90821
5533	11.29228163	227.50168
5534	11.30588679	226.11197
5535	11.31949195	224.73883
5536	11.33309711	223.38017
5537	11.34670227	222.03565
5538	11.36030742	220.70242
5539	11.37391258	219.38089
5540	11.38751774	218.06936
5541	11.4011229	216.76727
5542	11.41472806	215.4748
5543	11.42833322	214.18881
5544	11.44193838	212.91103
5545	11.45554353	211.6404
5546	11.46914869	210.37702
5547	11.48275385	209.12133
5548	11.49635901	207.87268
5549	11.50996417	206.63291
5550	11.52356933	205.40185
5551	11.53717449	204.18017
5552	11.55077964	202.96858
5553	11.5643848	201.76839
5554	11.57798996	200.57993
5555	11.59159512	199.41415
5556	11.60520028	198.25614
5557	11.61880544	197.29503
5558	11.6324106	195.91729
5559	11.64601575	194.51821
5560	11.65962091	192.93737
5561	11.67322607	191.69539
5562	11.68683123	190.57704
5563	11.70043639	189.60242
5564	11.71404155	188.98913
5565	11.72764671	188.49924
5566	11.74125186	188.31119
5567	11.75485702	185.40309
5568	11.76846218	187.45544
5569	11.78206734	188.6027
5570	11.7956725	183.06171
5571	11.80927766	180.79404
5572	11.82288282	178.91938
5573	11.83648797	177.86042
5574	11.85009313	177.10239
5575	11.86369829	176.58075
5576	11.87730345	173.39696
5577	11.89090861	171.35573
5578	11.90451377	170.16595
5579	11.91811893	169.21565
5580	11.93172408	168.48373
5581	11.94532924	167.82942
5582	11.9589344	167.17859
5583	11.97253956	166.94655
5584	11.98614472	166.11969
5585	11.99974988	165.03218
5586	12.01335504	163.32603
5587	12.0269602	159.52978
5588	12.04056535	158.68701
5589	12.05417051	157.51971
5590	12.06777567	156.54763
5591	12.08138083	155.28283
5592	12.09498599	153.99062
5593	12.10859115	152.58486
5594	12.12219631	151.02067
5595	12.13580146	148.55389
5596	12.14940662	145.49844
5597	12.16301178	143.76133
5598	12.17661694	141.89974
5599	12.1902221	140.02395
5600	12.20382726	138.1545
5601	12.21743242	136.32003
5602	12.23103757	134.52647
5603	12.24464273	132.6647
5604	12.25824789	131.03283
5605	12.27185305	129.51126
5606	12.28545821	128.11439
5607	12.29906337	126.85145
5608	12.31266853	125.70196
5609	12.32627368	124.35531
5610	12.33987884	121.92352
5611	12.353484	117.61452
5612	12.36708916	116.62751
5613	12.38069432	116.70009
5614	12.39429948	114.39664
5615	12.40790464	113.12801
5616	12.42150979	112.48003
5617	12.43511495	111.79493
5618	12.44872011	111.08374
5619	12.46232527	110.32767
5620	12.47593043	109.60053
5621	12.48953559	108.87758
5622	12.50314075	108.16084
5623	12.5167459	107.45091
5624	12.53035106	106.74991
5625	12.54395622	106.0565
5626	12.55756138	105.37008
5627	12.57116654	104.69042
5628	12.5847717	104.01665
5629	12.59837686	103.3489
5630	12.61198201	102.68741
5631	12.62558717	102.03517
5632	12.63919233	101.39946
5633	12.65279749	100.80163
5634	12.66640265	100.30736
5635	12.68000781	99.938445
5636	12.69361297	98.761641
5637	12.70721812	97.711682
5638	12.72082328	96.883018
5639	12.73442844	96.046913
5640	12.7480336	95.123318
5641	12.76163876	94.012887
5642	12.77524392	92.526546
5643	12.78884908	93.773033
5644	12.80245423	93.580495
5645	12.81605939	92.07646
5646	12.82966455	90.672034
5647	12.84326971	89.300003
5648	12.85687487	88.625011
5649	12.87048003	88.863067
5650	12.88408519	91.414655
5651	12.89769034	93.219301
5652	12.9112955	94.251127
5653	12.92490066	94.915228
5654	12.93850582	95.384871
5655	12.95211098	95.549453
5656	12.96571614	95.230613
5657	12.9793213	93.036674
5658	12.99292646	89.621001
5659	13.00653161	86.703251
5660	13.02013677	84.943735
5661	13.03374193	84.016407
5662	13.04734709	83.801142
5663	13.06095225	83.102866
5664	13.07455741	83.078084
5665	13.08816257	82.968084
5666	13.10176772	82.610971
5667	13.11537288	82.188633
5668	13.12897804	81.71048
5669	13.1425832	81.209793
5670	13.15618836	80.717625
5671	13.16979352	80.200261
5672	13.18339868	79.734597
5673	13.19700383	79.262149
5674	13.21060899	78.823173
5675	13.22421415	78.409827
5676	13.23781931	77.955201
5677	13.25142447	77.321453
5678	13.26502963	77.00848
5679	13.27863479	76.40184
5680	13.3058451	75.853668
5681	13.31945026	75.554851
5682	13.33305542	75.078393
5683	13.34666058	74.900734
5684	13.36026574	74.489952
5685	13.3738709	74.236272
5686	13.38747605	73.856944
5687	13.40108121	73.636972
5688	13.41468637	73.436062
5689	13.42829153	73.203449
5690	13.44189669	72.967728
5691	13.45550185	72.812488
5692	13.46910701	72.515284
5693	13.48271216	72.197317
5694	13.49631732	71.952417
5695	13.50992248	71.633844
5696	13.52352764	71.289724
5697	13.5371328	70.945162
5698	13.55073796	70.759482
5699	13.56434312	70.782105
5700	13.57794827	70.490876
5701	13.59155343	69.726085
5702	13.60515859	68.998534
5703	13.61876375	68.195466
5704	13.63236891	67.958391
5705	13.64597407	67.895919
5706	13.65957923	67.803559
5707	13.67318438	67.516908
5708	13.7003947	65.997485
5709	13.71399986	65.184154
5710	13.75481534	64.296222
5711	13.76842049	64.214889
5712	13.78202565	64.035603
5713	13.79563081	63.997658
5714	13.80923597	63.572732
5715	13.82284113	63.306743
5716	13.83644629	62.967625
5717	13.85005145	62.625948
5718	13.8636566	62.341634
5719	13.87726176	62.06415
5720	13.89086692	61.795387
5721	13.90447208	61.49329
5722	13.91807724	61.136127
5723	13.9316824	61.250649
5724	13.94528756	61.292226
5725	13.95889272	61.071242
5726	13.97249787	60.881976
5727	13.98610303	60.82741
5728	13.99970819	60.632811
5729	14.01331335	60.455509
5730	14.02691851	60.335444
5731	14.04052367	60.02379
5732	14.05412883	59.822771
5733	14.06773398	59.790167
5734	14.08133914	59.696979
5735	14.0949443	59.500332
5736	14.10854946	59.443044
5737	14.12215462	59.280627
5738	14.13575978	59.024721
5739	14.14936494	58.70114
5740	14.16297009	58.492011
5741	14.17657525	58.251834
5742	14.19018041	58.008596
5743	14.20378557	57.605307
5744	14.21739073	57.173136
5745	14.23099589	56.836079
5746	14.24460105	56.484045
5747	14.2582062	56.185959
5748	14.27181136	55.856572
5749	14.28541652	55.590358
5750	14.29902168	55.365393
5751	14.31262684	55.063519
5752	14.326232	54.678224
5753	14.33983716	54.413848
5754	14.35344231	54.317722
5755	14.36704747	53.887325
5756	14.38065263	53.707592
5757	14.39425779	53.693388
5758	14.40786295	53.770123
5759	14.42146811	53.768523
5760	14.43507327	53.804485
5761	14.44867842	53.880235
5762	14.46228358	53.730991
5763	14.47588874	53.567884
5764	14.4894939	53.368565
5765	14.50309906	53.140986
5766	14.51670422	52.944775
5767	14.53030938	52.61673
5768	14.54391453	52.356664
5769	14.55751969	52.316483
5770	14.57112485	51.930665
5771	14.58473001	51.690446
5772	14.59833517	51.450776
5773	14.61194033	51.381728
5774	14.62554549	51.347922
5775	14.63915064	51.123535
5776	14.6527558	50.848098
5777	14.66636096	50.598914
5778	14.67996612	50.386744
5779	14.69357128	50.248302
5780	14.70717644	50.075066
5781	14.7207816	49.855989
5782	14.73438675	49.649278
5783	14.74799191	49.493695
5784	14.76159707	49.380516
5785	14.77520223	49.241249
5786	14.78880739	48.924716
5787	14.80241255	48.936465
5788	14.81601771	48.800243
5789	14.82962286	48.802759
5790	14.84322802	48.672406
5791	14.85683318	48.481699
5792	14.87043834	48.404757
5793	14.8840435	48.279598
5794	14.89764866	48.12505
5795	14.91125382	48.068874
5796	14.92485898	47.92632
5797	14.93846413	47.801753
5798	14.95206929	47.722327
5799	14.96567445	47.681366
5800	14.97927961	47.309067
5801	14.99288477	47.064903
5802	15.00648993	46.984237
5803	15.02009509	46.827109
5804	15.03370024	46.705973
5805	15.0473054	46.553658
5806	15.06091056	46.443256
5807	15.07451572	46.313757
5808	15.08812088	46.190519
5809	15.10172604	46.030932
5810	15.1153312	45.849323
5811	15.12893635	45.702839
5812	15.14254151	45.536999
5813	15.15614667	45.370109
5814	15.16975183	45.182316
5815	15.18335699	45.059636
5816	15.19696215	44.891453
5817	15.21056731	44.743245
5818	15.22417246	44.610749
5819	15.23777762	44.47167
5820	15.25138278	44.321484
5821	15.26498794	44.185394
5822	15.2785931	44.102932
5823	15.29219826	44.024085
5824	15.30580342	43.957864
5825	15.31940857	43.882326
5826	15.33301373	43.804944
5827	15.34661889	43.654
5828	15.36022405	43.569682
5829	15.37382921	43.567517
5830	15.38743437	43.545074
5831	15.40103953	43.446321
5832	15.41464468	43.342875
5833	15.42824984	43.202117
5834	15.441855	43.070899
5835	15.45546016	42.936807
5836	15.46906532	42.804475
5837	15.48267048	42.673135
5838	15.50988079	42.440488
5839	15.52348595	42.282273
5840	15.53709111	42.145011
5841	15.55069627	42.061178
5842	15.56430143	41.920797
5843	15.57790659	41.775078
5844	15.59151175	41.640009
5845	15.6051169	41.520691
5846	15.61872206	41.348447
5847	15.63232722	41.256907
5848	15.64593238	41.137271
5849	15.65953754	41.023947
5850	15.6731427	40.938033
5851	15.68674786	40.899841
5852	15.70035301	40.76111
5853	15.71395817	40.653736
5854	15.72756333	40.523934
5855	15.74116849	40.466666
5856	15.75477365	40.28181
5857	15.76837881	40.156669
