	e_energy	sigma
	13.27863479	523.32051
	13.3058451	869.75223
	13.31945026	791.254
	13.33305542	701.80767
	13.34666058	705.76678
	13.36026574	781.84147
	13.3738709	764.13957
	13.38747605	783.64375
	13.40108121	818.49737
	13.41468637	879.13885
	13.42829153	899.41619
	13.44189669	940.65701
	13.45550185	849.90943
	13.46910701	848.39361
	13.48271216	831.19992
	13.49631732	827.79533
	13.50992248	818.81466
	13.52352764	814.13329
	13.5371328	808.09593
	13.55073796	806.12709
	13.56434312	804.1415
	13.57794827	911.88563
	13.59155343	886.32804
	13.60515859	880.2067
	13.61876375	864.60475
	13.63236891	907.505
	13.64597407	901.70347
	13.65957923	882.61834
	13.67318438	833.58233
	13.7003947	822.39023
	13.71399986	854.86582
	13.75481534	892.0671
	13.76842049	880.48287
	13.78202565	869.94413
	13.79563081	873.04225
	13.80923597	859.02856
	13.82284113	822.19801
	13.83644629	813.11718
	13.85005145	802.00405
	13.8636566	792.75753
	13.87726176	781.75365
	13.89086692	783.52303
	13.90447208	794.82163
	13.91807724	789.65356
	13.9316824	786.99062
	13.94528756	797.93216
	13.95889272	784.7436
	13.97249787	773.5392
	13.98610303	778.57146
	13.99970819	767.01158
	14.01331335	761.7619
	14.02691851	768.97067
	14.04052367	784.67299
	14.05412883	795.12821
	14.06773398	799.89394
	14.08133914	810.07579
	14.0949443	806.50565
	14.10854946	808.05755
	14.12215462	796.63379
	14.13575978	797.70706
	14.14936494	794.82323
	14.16297009	778.46241
	14.17657525	779.56314
	14.19018041	789.90576
	14.20378557	796.54902
	14.21739073	789.62457
	14.23099589	788.42108
	14.24460105	810.82754
	14.2582062	813.72475
	14.27181136	810.79096
	14.28541652	804.1378
	14.29902168	798.14423
	14.31262684	793.84095
	14.326232	786.71227
	14.33983716	772.57688
	14.35344231	774.38831
	14.36704747	762.52396
	14.38065263	762.83867
	14.39425779	758.69462
	14.40786295	762.11195
	14.42146811	766.85512
	14.43507327	771.13558
	14.44867842	782.83003
	14.46228358	790.73861
	14.47588874	789.3597
	14.4894939	789.61967
	14.50309906	791.46656
	14.51670422	789.0466
	14.53030938	777.98044
	14.54391453	780.57636
	14.55751969	785.96412
	14.57112485	792.12453
	14.58473001	788.38178
	14.59833517	788.25094
	14.61194033	788.03705
	14.62554549	790.18845
	14.63915064	788.27243
	14.6527558	787.26992
	14.66636096	786.67816
	14.67996612	790.30695
	14.69357128	791.84352
	14.70717644	793.33968
	14.7207816	791.12096
	14.73438675	789.22747
	14.74799191	790.25225
	14.76159707	789.62358
	14.77520223	787.89777
	14.78880739	790.55721
	14.80241255	787.26494
	14.81601771	789.39443
	14.82962286	789.44805
	14.84322802	790.06058
	14.85683318	788.97254
	14.87043834	787.6137
	14.8840435	787.05438
	14.89764866	783.3023
	14.91125382	781.97578
	14.92485898	787.64486
	14.93846413	789.36092
	14.95206929	790.84359
	14.96567445	791.3029
	14.97927961	784.86542
	14.99288477	783.3365
	15.00648993	783.32296
	15.02009509	783.24741
	15.03370024	783.52902
	15.0473054	783.69978
	15.06091056	779.99366
	15.07451572	780.76261
	15.08812088	779.82186
	15.10172604	778.62364
	15.1153312	774.86858
	15.12893635	771.56564
	15.14254151	771.37796
	15.15614667	769.43924
	15.16975183	765.94113
	15.18335699	763.26639
	15.19696215	759.71586
	15.21056731	756.1514
	15.22417246	752.86829
	15.23777762	749.6575
	15.25138278	747.43051
	15.26498794	743.49157
	15.2785931	740.44055
	15.29219826	739.11694
	15.30580342	732.70176
	15.31940857	734.679
	15.33301373	733.0763
	15.34661889	734.94388
	15.36022405	736.18866
	15.37382921	741.55588
	15.38743437	743.19289
	15.40103953	744.92381
	15.41464468	746.70271
	15.42824984	747.25314
	15.441855	748.45114
	15.45546016	750.17915
	15.46906532	750.64171
	15.48267048	749.37291
	15.50988079	748.21406
	15.52348595	746.70442
	15.53709111	745.0484
	15.55069627	743.97565
	15.56430143	741.31724
	15.57790659	741.05893
	15.59151175	739.37595
	15.6051169	737.63207
	15.61872206	736.19799
	15.63232722	733.31938
	15.64593238	733.2416
	15.65953754	731.77309
	15.6731427	731.47368
