	e_energy	sigma
	13.33305542	1770.2811
	13.34666058	879.06274
	13.36026574	527.34996
	13.3738709	435.08968
	13.38747605	409.91434
	13.40108121	457.01306
	13.41468637	715.39293
	13.42829153	805.82274
	13.44189669	848.14167
	13.45550185	903.6986
	13.46910701	920.56206
	13.48271216	971.04925
	13.49631732	997.29514
	13.50992248	888.09391
	13.52352764	868.07425
	13.5371328	858.21407
	13.55073796	869.59949
	13.56434312	855.91058
	13.57794827	840.55246
	13.59155343	834.43632
	13.60515859	828.13327
	13.61876375	833.82229
	13.63236891	1121.0839
	13.64597407	1052.1738
	13.65957923	996.61358
	13.67318438	856.68791
	13.7003947	769.86031
	13.71399986	830.98083
	13.75481534	825.1574
	13.76842049	827.4531
	13.78202565	783.70742
	13.79563081	810.26109
	13.80923597	819.87441
	13.82284113	791.66781
	13.83644629	764.48946
	13.85005145	704.29757
	13.8636566	701.0993
	13.87726176	689.18642
	13.89086692	702.09131
	13.90447208	717.29303
	13.91807724	713.73012
	13.9316824	714.3218
	13.94528756	760.53087
	13.95889272	719.7714
	13.97249787	705.34597
	13.98610303	681.29938
	13.99970819	678.26863
	14.01331335	677.70468
	14.02691851	674.82869
	14.04052367	682.98001
	14.05412883	746.25692
	14.06773398	752.2287
	14.08133914	773.57136
	14.0949443	782.86343
	14.10854946	779.28842
	14.12215462	765.05073
	14.13575978	764.59805
	14.14936494	752.16219
	14.16297009	746.00115
	14.17657525	752.46529
	14.19018041	756.55123
	14.20378557	756.0595
	14.21739073	760.39937
	14.23099589	758.58684
	14.24460105	754.83754
	14.2582062	754.4961
	14.27181136	751.89675
	14.28541652	748.82742
	14.29902168	762.65809
	14.31262684	760.33285
	14.326232	755.45063
	14.33983716	746.25955
	14.35344231	746.79943
	14.36704747	739.42049
	14.38065263	739.16813
	14.39425779	733.89878
	14.40786295	740.43904
	14.42146811	735.216
	14.43507327	741.30707
	14.44867842	758.27791
	14.46228358	761.98802
	14.47588874	761.6013
	14.4894939	767.16344
	14.50309906	769.51978
	14.51670422	768.04491
	14.53030938	760.83424
	14.54391453	761.30788
	14.55751969	770.68457
	14.57112485	779.36688
	14.58473001	782.80311
	14.59833517	787.93244
	14.61194033	782.69061
	14.62554549	779.34696
	14.63915064	778.1213
	14.6527558	777.90888
	14.66636096	776.20908
	14.67996612	777.03978
	14.69357128	778.07887
	14.70717644	777.10657
	14.7207816	779.34518
	14.73438675	779.15515
