csdata_id	e_energy	sigma
6827	10.95215267	102.58753
6828	10.96575782	61.352462
6829	10.97936298	43.85743
6830	10.99296814	32.762906
6831	11.0065733	26.230043
6832	11.02017846	22.162386
6833	11.03378362	19.519449
6834	11.04738878	18.194935
6835	11.06099394	17.022885
6836	11.07459909	16.211594
6837	11.08820425	15.642829
6838	11.10180941	15.243827
6839	11.11541457	14.965787
6840	11.12901973	14.776333
6841	11.14262489	14.834099
6842	11.15623005	14.777429
6843	11.1698352	14.75883
6844	11.18344036	14.768746
6845	11.19704552	14.799683
6846	11.21065068	14.846137
6847	11.22425584	14.90371
6848	11.237861	14.969057
6849	11.25146616	15.1237
6850	11.26507131	15.203264
6851	11.27867647	15.284779
6852	11.29228163	15.367118
6853	11.30588679	15.448465
6854	11.31949195	15.528509
6855	11.33309711	15.606545
6856	11.34670227	15.681982
6857	11.36030742	15.754418
6858	11.37391258	15.823553
6859	11.38751774	15.889334
6860	11.4011229	15.951588
6861	11.41472806	16.056558
6862	11.42833322	16.113501
6863	11.44193838	16.167113
6864	11.45554353	16.217464
6865	11.46914869	16.264801
6866	11.48275385	16.309376
6867	11.49635901	16.351359
6868	11.50996417	16.392062
6869	11.52356933	16.426039
6870	11.53717449	16.463363
6871	11.55077964	16.498652
6872	11.5643848	16.53332
6873	11.57798996	16.56785
6874	11.59159512	16.616497
6875	11.60520028	16.655688
6876	11.61880544	16.687474
6877	11.6324106	16.729771
6878	11.64601575	16.80145
6879	11.65962091	16.880952
6880	11.67322607	17.137014
6881	11.68683123	18.280051
6882	11.70043639	16.817835
6883	11.71404155	16.056545
6884	11.72764671	16.601577
6885	11.74125186	18.325524
6886	11.75485702	18.835614
6887	11.76846218	16.492356
6888	11.78206734	16.757201
6889	11.7956725	17.042234
6890	11.80927766	17.136185
6891	11.82288282	17.355849
6892	11.83648797	17.549443
6893	11.85009313	17.807603
6894	11.86369829	18.268441
6895	11.87730345	17.670275
6896	11.89090861	17.427653
6897	11.90451377	17.349322
6898	11.91811893	17.32256
6899	11.93172408	17.308022
6900	11.94532924	17.294788
6901	11.9589344	17.2789
6902	11.97253956	17.059529
6903	11.98614472	17.010939
6904	11.99974988	16.981704
6905	12.01335504	16.924208
6906	12.0269602	17.015498
6907	12.04056535	16.731661
6908	12.05417051	16.602701
6909	12.06777567	16.542225
6910	12.08138083	16.484989
6911	12.09498599	16.446081
6912	12.10859115	16.429814
6913	12.12219631	16.545657
6914	12.13580146	17.047675
6915	12.14940662	16.14984
6916	12.16301178	15.974691
6917	12.17661694	15.815334
6918	12.1902221	15.63609
6919	12.20382726	15.49395
6920	12.21743242	15.355514
6921	12.23103757	15.220536
6922	12.24464273	15.079678
6923	12.25824789	14.957586
6924	12.27185305	14.842786
6925	12.28545821	14.735202
6926	12.29906337	14.634384
6927	12.31266853	14.522677
6928	12.32627368	14.415042
6929	12.33987884	14.26696
6930	12.353484	14.117581
6931	12.36708916	14.086042
6932	12.38069432	13.958944
6933	12.39429948	13.55151
6934	12.40790464	13.583414
6935	12.42150979	13.590894
6936	12.43511495	13.577391
6937	12.44872011	13.548543
6938	12.46232527	13.507287
6939	12.47593043	13.467113
6940	12.48953559	13.425091
6941	12.50314075	13.382336
6942	12.5167459	13.337563
6943	12.53035106	13.293971
6944	12.54395622	13.250106
6945	12.55756138	13.20607
6946	12.57116654	13.161836
6947	12.5847717	13.117087
6948	12.59837686	13.07181
6949	12.61198201	13.026121
6950	12.62558717	12.98052
6951	12.63919233	12.931923
6952	12.65279749	12.904115
6953	12.66640265	12.957596
6954	12.68000781	13.406349
6955	12.69361297	13.579986
6956	12.70721812	13.212874
6957	12.72082328	13.019084
6958	12.73442844	12.908444
6959	12.7480336	12.835552
6960	12.76163876	12.789193
6961	12.77524392	12.817439
6962	12.78884908	12.921118
6963	12.80245423	12.573801
6964	12.81605939	12.506727
6965	12.82966455	12.496139
6966	12.84326971	12.553255
6967	12.85687487	12.411686
6968	12.87048003	12.385961
6969	12.88408519	12.335244
6970	12.89769034	12.392319
6971	12.9112955	12.419547
6972	12.92490066	12.426455
6973	12.93850582	12.469451
6974	12.95211098	12.534154
6975	12.96571614	12.574301
6976	12.9793213	12.602769
6977	12.99292646	12.495012
6978	13.00653161	12.318594
6979	13.02013677	12.125836
6980	13.03374193	12.068557
6981	13.04734709	12.028852
6982	13.06095225	11.969133
6983	13.07455741	11.967943
6984	13.08816257	11.946329
6985	13.10176772	11.931502
6986	13.11537288	11.907424
6987	13.12897804	11.877973
6988	13.1425832	11.846543
6989	13.15618836	11.809153
6990	13.16979352	11.780983
6991	13.18339868	11.748177
6992	13.19700383	11.728702
6993	13.21060899	11.699224
6994	13.22421415	11.638787
6995	13.23781931	11.602967
6996	13.25142447	11.583159
6997	13.26502963	11.544433
6998	13.27863479	11.493172
6999	13.3058451	11.492809
7000	13.31945026	11.462577
7001	13.33305542	11.432519
7002	13.34666058	11.411998
7003	13.36026574	11.414976
7004	13.3738709	11.419167
7005	13.38747605	11.413613
7006	13.40108121	11.365242
7007	13.41468637	11.359425
7008	13.42829153	11.328935
7009	13.44189669	11.317927
7010	13.45550185	11.276296
7011	13.46910701	11.277499
7012	13.48271216	11.26183
7013	13.49631732	11.251253
7014	13.50992248	11.243807
7015	13.52352764	11.231248
7016	13.5371328	11.218503
7017	13.55073796	11.220471
7018	13.56434312	11.209719
7019	13.57794827	11.189378
7020	13.59155343	11.152257
7021	13.60515859	11.102707
7022	13.61876375	11.063032
7023	13.63236891	11.050282
7024	13.64597407	11.053457
7025	13.65957923	11.040173
