csdata_id	e_energy	sigma
150686	12.96301252	0.0
150687	12.96571614	0.018161925
150688	12.9793213	0.19451233
150689	12.99292646	0.18662818
150690	13.00653161	0.17959942
150691	13.02013677	0.15514815
150692	13.03374193	0.18260311
150693	13.04734709	0.20206467
150694	13.06095225	0.24875385
150695	13.07455741	0.20909576
150696	13.08816257	0.17900532
150697	13.10176772	0.16368936
150698	13.11537288	0.15523471
150699	13.12897804	0.15129688
150700	13.1425832	0.15315106
150701	13.15618836	0.20489707
150702	13.16979352	0.19972605
150703	13.18339868	0.19441206
150704	13.19700383	0.18138878
150705	13.21060899	0.18550816
150706	13.22421415	0.18212734
150707	13.23781931	0.18235083
150708	13.25142447	0.18369839
150709	13.26502963	0.18492372
150710	13.27863479	0.1909051
150711	13.3058451	0.18542824
150712	13.31945026	0.19145842
150713	13.33305542	0.21486569
150714	13.34666058	0.22988743
150715	13.36026574	0.24641352
150716	13.3738709	0.26352802
150717	13.38747605	0.30353899
150718	13.40108121	0.32539784
150719	13.41468637	0.34591712
150720	13.42829153	0.33513547
150721	13.44189669	0.36982672
150722	13.45550185	0.37551241
150723	13.46910701	0.38057024
150724	13.48271216	0.34774543
150725	13.49631732	0.36094261
150726	13.50992248	0.36889757
150727	13.52352764	0.38683642
150728	13.5371328	0.37644009
150729	13.55073796	0.38743315
150730	13.56434312	0.39532103
150731	13.57794827	0.40412342
150732	13.59155343	0.40775318
150733	13.60515859	0.40642045
150734	13.61876375	0.40576148
150735	13.63236891	0.40064843
150736	13.64597407	0.39482707
150737	13.65957923	0.38237758
150738	13.67318438	0.38762873
150739	13.7003947	0.3673756
150740	13.71399986	0.33375689
150741	13.75481534	0.35565035
150742	13.76842049	0.34971162
150743	13.78202565	0.36442548
150744	13.79563081	0.36130333
150745	13.80923597	0.31344567
150746	13.82284113	0.34198649
150747	13.83644629	0.33328185
150748	13.85005145	0.34092216
150749	13.8636566	0.37261372
150750	13.87726176	0.40366727
150751	13.89086692	0.37335821
150752	13.90447208	0.35156652
150753	13.91807724	0.33910765
150754	13.9316824	0.35517995
150755	13.94528756	0.36570773
150756	13.95889272	0.3601199
150757	13.97249787	0.34380483
150758	13.98610303	0.31385413
150759	13.99970819	0.32796248
150760	14.01331335	0.36622893
150761	14.02691851	0.31602616
150762	14.04052367	0.3491099
150763	14.05412883	0.35730221
150764	14.06773398	0.3245713
150765	14.08133914	0.27695655
150766	14.0949443	0.26799311
150767	14.10854946	0.26852556
150768	14.12215462	0.26386422
150769	14.13575978	0.21749179
150770	14.14936494	0.21520745
150771	14.16297009	0.24531581
150772	14.17657525	0.23560273
150773	14.19018041	0.22174314
150774	14.20378557	0.21327314
150775	14.21739073	0.19856288
150776	14.23099589	0.19864583
150777	14.24460105	0.20359443
150778	14.2582062	0.21896685
150779	14.27181136	0.20479935
150780	14.28541652	0.19502377
150781	14.29902168	0.20946596
150782	14.31262684	0.21904504
150783	14.326232	0.24723139
150784	14.33983716	0.23152381
150785	14.35344231	0.19106265
150786	14.36704747	0.20180942
150787	14.38065263	0.22100411
150788	14.39425779	0.22468151
150789	14.40786295	0.23046788
150790	14.42146811	0.2312286
150791	14.43507327	0.23574353
150792	14.44867842	0.22883268
150793	14.46228358	0.2290056
150794	14.47588874	0.2300151
150795	14.4894939	0.22900987
150796	14.50309906	0.23800392
150797	14.51670422	0.24364786
150798	14.53030938	0.30289335
150799	14.54391453	0.27288631
150800	14.55751969	0.24380085
150801	14.57112485	0.22740999
150802	14.58473001	0.22484711
150803	14.59833517	0.22379791
150804	14.61194033	0.22980705
150805	14.62554549	0.235335
150806	14.63915064	0.23452772
150807	14.6527558	0.23855077
150808	14.66636096	0.24250307
150809	14.67996612	0.23077941
150810	14.69357128	0.22207577
150811	14.70717644	0.22811541
150812	14.7207816	0.22011197
150813	14.73438675	0.20784029
150814	14.74799191	0.20361243
150815	14.76159707	0.20613774
150816	14.77520223	0.21809321
150817	14.78880739	0.20913962
150818	14.80241255	0.20406298
150819	14.81601771	0.20616479
150820	14.82962286	0.19947751
150821	14.84322802	0.2008484
150822	14.85683318	0.19407445
150823	14.87043834	0.19694003
150824	14.8840435	0.19990638
150825	14.89764866	0.19757404
150826	14.91125382	0.2011119
150827	14.92485898	0.21226926
150828	14.93846413	0.20339306
150829	14.95206929	0.1986503
150830	14.96567445	0.1989422
150831	14.97927961	0.20079811
150832	14.99288477	0.1939034
150833	15.00648993	0.19057077
150834	15.02009509	0.19745349
150835	15.03370024	0.19356761
150836	15.0473054	0.19190391
150837	15.06091056	0.19598727
150838	15.07451572	0.18682316
150839	15.08812088	0.18252769
150840	15.10172604	0.18175511
150841	15.1153312	0.18057123
150842	15.12893635	0.179707
