csdata_id	e_energy	sigma
152705	13.00498226	0.0
152706	13.00653161	0.023954291
152707	13.02013677	0.1993771
152708	13.03374193	0.25280475
152709	13.04734709	0.26207461
152710	13.06095225	0.27409136
152711	13.07455741	0.29740279
152712	13.08816257	0.31177224
152713	13.10176772	0.37212518
152714	13.11537288	0.35063881
152715	13.12897804	0.34713011
152716	13.1425832	0.34522202
152717	13.15618836	0.34863285
152718	13.16979352	0.34740834
152719	13.18339868	0.35192447
152720	13.19700383	0.37523929
152721	13.21060899	0.37615725
152722	13.22421415	0.38000316
152723	13.23781931	0.39112531
152724	13.25142447	0.38283933
152725	13.26502963	0.39728781
152726	13.27863479	0.36383746
152727	13.3058451	0.41080906
152728	13.31945026	0.40096664
152729	13.33305542	0.38640989
152730	13.34666058	0.34761658
152731	13.36026574	0.36316702
152732	13.3738709	0.35347044
152733	13.38747605	0.35445949
152734	13.40108121	0.35499674
152735	13.41468637	0.33891928
152736	13.42829153	0.34812291
152737	13.44189669	0.35657799
152738	13.45550185	0.37596766
152739	13.46910701	0.37908855
152740	13.48271216	0.37640956
152741	13.49631732	0.38327999
152742	13.50992248	0.39606479
152743	13.52352764	0.42005966
152744	13.5371328	0.41124116
152745	13.55073796	0.42264444
152746	13.56434312	0.43723345
152747	13.57794827	0.4585447
152748	13.59155343	0.48597039
152749	13.60515859	0.51314169
152750	13.61876375	0.57275945
152751	13.63236891	0.60039325
152752	13.64597407	0.61684564
152753	13.65957923	0.64204427
152754	13.67318438	0.63484875
152755	13.7003947	0.59741348
152756	13.71399986	0.69445219
152757	13.75481534	0.60900501
152758	13.76842049	0.54344828
152759	13.78202565	0.53340018
152760	13.79563081	0.61043501
152761	13.80923597	0.59167905
152762	13.82284113	0.57644731
152763	13.83644629	0.58301494
152764	13.85005145	0.57721816
152765	13.8636566	0.57992873
152766	13.87726176	0.59083716
152767	13.89086692	0.57185882
152768	13.90447208	0.59846424
152769	13.91807724	0.5602515
152770	13.9316824	0.56059373
152771	13.94528756	0.5519368
152772	13.95889272	0.4739916
