csdata_id	e_energy	sigma
150177	12.91785156	0.0
150178	12.92490066	0.14038357
150179	12.93850582	0.16557805
150180	12.95211098	0.19288528
150181	12.96571614	0.20420456
150182	12.9793213	0.21098814
150183	12.99292646	0.35201611
150184	13.00653161	0.35879175
150185	13.02013677	0.41529776
150186	13.03374193	0.34994641
150187	13.04734709	0.32290622
150188	13.06095225	0.34332627
150189	13.07455741	0.32501447
150190	13.08816257	0.36601317
150191	13.10176772	0.5138319
150192	13.11537288	0.50447325
150193	13.12897804	0.49548723
150194	13.1425832	0.48513115
150195	13.15618836	0.44304519
150196	13.16979352	0.43624376
150197	13.18339868	0.43577193
150198	13.19700383	0.43983156
150199	13.21060899	0.43801118
150200	13.22421415	0.52475788
150201	13.23781931	0.52573946
150202	13.25142447	0.54121193
150203	13.26502963	0.55445307
150204	13.27863479	0.57413874
150205	13.3058451	0.60303431
150206	13.31945026	0.64906992
150207	13.33305542	0.70457015
150208	13.34666058	0.75960604
150209	13.36026574	0.79492845
150210	13.3738709	0.83800253
150211	13.38747605	0.88208924
150212	13.40108121	0.91294732
150213	13.41468637	0.92745452
150214	13.42829153	0.89263694
150215	13.44189669	0.99714276
150216	13.45550185	0.98372357
150217	13.46910701	0.97649982
150218	13.48271216	0.92426396
150219	13.49631732	0.94726921
150220	13.50992248	0.95555935
150221	13.52352764	0.99384419
150222	13.5371328	0.9995383
150223	13.55073796	1.0270145
150224	13.56434312	1.0565244
150225	13.57794827	1.0801441
150226	13.59155343	1.093276
150227	13.60515859	1.0796956
150228	13.61876375	1.0708766
150229	13.63236891	1.0418245
150230	13.64597407	1.05985
150231	13.65957923	1.040712
150232	13.67318438	1.0501066
150233	13.7003947	0.95763183
150234	13.71399986	0.98040092
150235	13.75481534	0.97551848
150236	13.76842049	0.9433112
150237	13.78202565	0.96152181
150238	13.79563081	0.7894088
150239	13.80923597	0.81505284
150240	13.82284113	0.99273604
150241	13.83644629	0.91322506
150242	13.85005145	0.88136002
150243	13.8636566	0.91460321
150244	13.87726176	0.95935365
150245	13.89086692	0.90237566
150246	13.90447208	0.93431062
150247	13.91807724	0.91252907
150248	13.9316824	0.91095422
150249	13.94528756	0.92183414
150250	13.95889272	0.89192853
150251	13.97249787	0.823824
150252	13.98610303	0.86939612
150253	13.99970819	0.83022344
150254	14.01331335	0.86666859
150255	14.02691851	0.8248089
150256	14.04052367	0.77735647
150257	14.05412883	0.72050949
150258	14.06773398	0.74190014
150259	14.08133914	0.71136519
150260	14.0949443	0.68241959
150261	14.10854946	0.69436325
150262	14.12215462	0.63564562
150263	14.13575978	0.63438615
150264	14.14936494	0.6297325
150265	14.16297009	0.63845349
150266	14.17657525	0.61208514
150267	14.19018041	0.58160616
150268	14.20378557	0.58446934
150269	14.21739073	0.58726754
150270	14.23099589	0.56819612
150271	14.24460105	0.54174047
150272	14.2582062	0.51676171
150273	14.27181136	0.50486457
