	e_energy	sigma
	13.34753729	0.0
	13.36026574	3.7192188
	13.3738709	7.595106
	13.38747605	10.554628
	13.40108121	15.001209
	13.41468637	20.02639
	13.42829153	25.080009
	13.44189669	28.592108
	13.45550185	33.609076
	13.46910701	39.387905
	13.48271216	41.918684
	13.49631732	43.884418
	13.50992248	43.687918
	13.52352764	43.377345
	13.5371328	47.018056
	13.55073796	46.273716
	13.56434312	45.215935
	13.57794827	43.989424
	13.59155343	43.278337
	13.60515859	42.635315
	13.61876375	43.242171
	13.63236891	44.914572
	13.64597407	45.901375
	13.65957923	63.937578
	13.67318438	63.482514
	13.7003947	66.208801
	13.71399986	69.585385
	13.75481534	69.78928
	13.76842049	65.776384
	13.78202565	65.07871
	13.79563081	69.714518
	13.80923597	78.609063
	13.82284113	80.729992
	13.83644629	82.607015
	13.85005145	84.234565
	13.8636566	85.360278
	13.87726176	88.595482
	13.89086692	90.975037
	13.90447208	90.836181
	13.91807724	91.677538
	13.9316824	93.131588
	13.94528756	95.219623
	13.95889272	96.2732
	13.97249787	97.101933
	13.98610303	106.35861
	13.99970819	106.81751
	14.01331335	108.62531
	14.02691851	106.93097
	14.04052367	107.20087
	14.05412883	107.60058
	14.06773398	108.42704
	14.08133914	108.3088
	14.0949443	106.68546
	14.10854946	107.30042
	14.12215462	107.99504
	14.13575978	108.87436
	14.14936494	109.30528
	14.16297009	109.46661
	14.17657525	108.09574
	14.19018041	108.23914
	14.20378557	107.28285
	14.21739073	108.10417
	14.23099589	108.56946
	14.24460105	108.73504
	14.2582062	108.41156
	14.27181136	108.51404
	14.28541652	108.33936
	14.29902168	108.25263
	14.31262684	108.79169
	14.326232	109.13827
	14.33983716	110.09762
	14.35344231	108.97328
	14.36704747	107.96028
	14.38065263	108.16935
	14.39425779	108.22113
	14.40786295	108.98231
	14.42146811	108.84552
	14.43507327	108.92041
	14.44867842	108.74634
	14.46228358	108.71799
	14.47588874	108.64736
	14.4894939	108.41247
	14.50309906	107.8299
	14.51670422	108.52097
	14.53030938	107.76391
	14.54391453	107.06356
	14.55751969	107.33943
	14.57112485	106.92858
	14.58473001	106.12987
	14.59833517	106.10747
	14.61194033	106.50953
	14.62554549	106.56028
	14.63915064	106.56565
	14.6527558	106.28155
	14.66636096	105.77458
