	e_energy	sigma
	13.02126328	0.0
	13.03374193	17.842898
	13.04734709	23.186883
	13.06095225	21.674654
	13.07455741	20.49579
	13.08816257	26.906817
	13.10176772	29.261662
	13.11537288	38.036875
	13.12897804	38.367285
	13.1425832	38.063048
	13.15618836	36.676312
	13.16979352	37.244245
	13.18339868	36.817234
	13.19700383	36.331492
	13.21060899	38.657568
	13.22421415	38.030355
	13.23781931	37.944744
	13.25142447	38.556234
	13.26502963	38.376998
	13.27863479	37.655059
	13.3058451	39.41341
	13.31945026	38.954795
	13.33305542	40.237154
	13.34666058	39.782994
	13.36026574	38.817112
	13.3738709	39.212004
	13.38747605	35.522882
	13.40108121	33.550661
	13.41468637	32.302474
	13.42829153	31.411977
	13.44189669	30.762521
	13.45550185	30.786734
	13.46910701	30.99272
	13.48271216	34.304639
	13.49631732	34.276377
	13.50992248	34.031272
	13.52352764	33.645775
	13.5371328	32.793206
	13.55073796	32.634584
	13.56434312	32.455014
	13.57794827	32.274956
	13.59155343	31.770007
	13.60515859	32.114474
	13.61876375	31.671276
	13.63236891	31.329832
	13.64597407	30.95114
	13.65957923	31.462838
	13.67318438	31.811412
	13.7003947	34.283872
	13.71399986	35.237991
	13.75481534	31.89063
	13.76842049	30.687935
	13.78202565	29.143184
	13.79563081	28.238255
	13.80923597	29.781213
	13.82284113	26.120541
	13.83644629	24.467611
	13.85005145	23.716379
	13.8636566	23.033682
	13.87726176	22.542826
	13.89086692	20.689468
	13.90447208	20.34143
	13.91807724	20.105548
	13.9316824	19.565501
	13.94528756	19.438769
	13.95889272	19.133401
	13.97249787	18.618726
	13.98610303	18.11991
	13.99970819	17.862654
	14.01331335	18.361519
	14.02691851	18.630735
	14.04052367	19.168301
	14.05412883	19.239357
	14.06773398	19.136918
	14.08133914	18.415001
	14.0949443	18.093326
	14.10854946	17.473356
	14.12215462	17.166312
	14.13575978	16.570013
	14.14936494	16.301114
	14.16297009	16.419648
	14.17657525	16.139041
	14.19018041	15.810226
	14.20378557	15.656371
	14.21739073	15.348647
	14.23099589	15.30753
	14.24460105	15.095827
