csdata_id	e_energy	sigma
183682	13.00498226	0.0
183683	13.00653161	0.5421136
183684	13.02013677	9.4387378
183685	13.03374193	10.967286
183686	13.04734709	17.146793
183687	13.06095225	23.894276
183688	13.07455741	26.850837
183689	13.08816257	38.379653
183690	13.10176772	54.852858
183691	13.11537288	52.605441
183692	13.12897804	50.637896
183693	13.1425832	48.881833
183694	13.15618836	47.111341
183695	13.16979352	49.053879
183696	13.18339868	48.291051
183697	13.19700383	55.720891
183698	13.21060899	54.99899
183699	13.22421415	53.589174
183700	13.23781931	53.135379
183701	13.25142447	49.00293
183702	13.26502963	48.997084
183703	13.27863479	48.514104
183704	13.3058451	47.28318
183705	13.31945026	46.119993
183706	13.33305542	45.171665
183707	13.34666058	43.922404
183708	13.36026574	43.368858
183709	13.3738709	42.352674
183710	13.38747605	41.250641
183711	13.40108121	39.889136
183712	13.41468637	38.568857
183713	13.42829153	37.606559
183714	13.44189669	36.676041
183715	13.45550185	35.961867
183716	13.46910701	34.527226
183717	13.48271216	33.878851
183718	13.49631732	33.463121
183719	13.50992248	32.310303
183720	13.52352764	30.759573
183721	13.5371328	30.8257
183722	13.55073796	29.802621
183723	13.56434312	28.402092
183724	13.57794827	27.978018
183725	13.59155343	26.953384
183726	13.60515859	26.267182
183727	13.61876375	24.867799
183728	13.63236891	23.534001
183729	13.64597407	22.906673
183730	13.65957923	23.042641
183731	13.67318438	24.221992
183732	13.7003947	24.874132
183733	13.71399986	27.083438
183734	13.75481534	29.546814
183735	13.76842049	28.303457
183736	13.78202565	27.784333
183737	13.79563081	26.657197
183738	13.80923597	27.632525
183739	13.82284113	24.300056
183740	13.83644629	22.483003
183741	13.85005145	21.142854
183742	13.8636566	20.27833
183743	13.87726176	19.481999
183744	13.89086692	18.191696
183745	13.90447208	17.771564
183746	13.91807724	17.388137
183747	13.9316824	16.513467
183748	13.94528756	15.725609
183749	13.95889272	15.488537
183750	13.97249787	14.95012
183751	13.98610303	13.894334
183752	13.99970819	12.862172
183753	14.01331335	12.551006
183754	14.02691851	12.531423
183755	14.04052367	12.030649
183756	14.05412883	12.264042
183757	14.06773398	12.179141
183758	14.08133914	11.831113
183759	14.0949443	11.353448
183760	14.10854946	11.152913
183761	14.12215462	10.531926
183762	14.13575978	10.145245
183763	14.14936494	9.8198466
183764	14.16297009	9.6381833
183765	14.17657525	9.3074306
183766	14.19018041	9.0262807
183767	14.20378557	8.7946228
183768	14.21739073	8.4532376
183769	14.23099589	8.1896758
183770	14.24460105	8.0178858
183771	14.2582062	7.9659477
183772	14.27181136	7.7963146
183773	14.28541652	7.7189494
183774	14.29902168	7.6418931
183775	14.31262684	7.5860826
183776	14.326232	7.7456478
183777	14.33983716	7.9044303
183778	14.35344231	7.6524167
183779	14.36704747	7.7029829
183780	14.38065263	7.8949271
183781	14.39425779	8.2207866
183782	14.40786295	8.4528506
183783	14.42146811	8.9242611
183784	14.43507327	9.1223707
183785	14.44867842	9.0510855
183786	14.46228358	8.7147997
183787	14.47588874	8.402793
183788	14.4894939	8.0133238
183789	14.50309906	7.6776919
183790	14.51670422	7.374295
183791	14.53030938	6.9801028
183792	14.54391453	6.5162785
183793	14.55751969	6.829132
183794	14.57112485	7.0371715
183795	14.58473001	6.7930483
183796	14.59833517	6.3897894
183797	14.61194033	6.2051389
183798	14.62554549	5.9802998
183799	14.63915064	5.8544391
183800	14.6527558	5.6225972
183801	14.66636096	5.4196064
183802	14.67996612	5.2484013
183803	14.69357128	5.1548076
183804	14.70717644	5.0442785
183805	14.7207816	4.9825232
183806	14.73438675	4.8060341
183807	14.74799191	4.8637002
183808	14.76159707	4.8864035
183809	14.77520223	4.6701044
183810	14.78880739	4.6821437
183811	14.80241255	4.6401577
183812	14.81601771	4.6544156
183813	14.82962286	4.5678125
183814	14.84322802	4.4568402
183815	14.85683318	4.4911191
183816	14.87043834	4.4204503
183817	14.8840435	4.2871671
183818	14.89764866	4.2315752
183819	14.91125382	4.1997551
183820	14.92485898	4.138643
183821	14.93846413	4.0763403
183822	14.95206929	4.0247667
183823	14.96567445	3.9494798
183824	14.97927961	3.8652998
183825	14.99288477	3.8176593
183826	15.00648993	3.729241
183827	15.02009509	3.6163551
183828	15.03370024	3.6158842
183829	15.0473054	3.6404123
183830	15.06091056	3.5114388
183831	15.07451572	3.4660378
183832	15.08812088	3.419414
183833	15.10172604	3.3561109
183834	15.1153312	3.3375175
183835	15.12893635	3.2689398
183836	15.14254151	3.2771355
183837	15.15614667	3.2489971
183838	15.16975183	3.3258258
183839	15.18335699	3.3806978
183840	15.19696215	3.3937545
183841	15.21056731	3.3035247
183842	15.22417246	3.3238666
183843	15.23777762	3.3693892
183844	15.25138278	3.341542
183845	15.26498794	3.4103743
183846	15.2785931	3.3843432
183847	15.29219826	3.3945785
183848	15.30580342	3.384057
183849	15.31940857	3.300704
183850	15.33301373	3.2894733
183851	15.34661889	3.2050173
183852	15.36022405	3.1893907
183853	15.37382921	3.1544995
183854	15.38743437	3.0384861
183855	15.40103953	2.9671782
183856	15.41464468	2.84874
183857	15.42824984	2.7468916
183858	15.441855	2.6619939
183859	15.45546016	2.5474573
183860	15.46906532	2.4414927
183861	15.48267048	2.3813501
183862	15.50988079	2.320967
183863	15.52348595	2.2326454
183864	15.53709111	2.2901948
183865	15.55069627	2.1678606
183866	15.56430143	2.1590001
183867	15.57790659	2.1246329
183868	15.59151175	2.0656151
183869	15.6051169	2.0231259
183870	15.61872206	1.9861475
183871	15.63232722	1.9392862
183872	15.64593238	1.9021177
183873	15.65953754	1.9105446
183874	15.6731427	1.8764299
183875	15.68674786	1.8521172
183876	15.70035301	1.8064892
183877	15.71395817	1.7528384
183878	15.72756333	1.7481785
183879	15.74116849	1.6877622
183880	15.75477365	1.6779036
183881	15.76837881	1.6508632
183882	15.78198397	1.650978
183883	15.79558912	1.6461215
183884	15.80919428	1.6483442
183885	15.82279944	1.5918919
183886	15.8364046	1.5831633
183887	15.85000976	1.5790133
183888	15.86361492	1.5517837
183889	15.87722008	1.5798502
183890	15.89082524	1.550197
183891	15.90443039	1.5312839
183892	15.91803555	1.5310372
183893	15.93164071	1.5035303
183894	15.94524587	1.5241089
183895	15.95885103	1.5180595
183896	15.97245619	1.5002412
183897	15.98606135	1.4729927
183898	15.9996665	1.5043955
183899	16.01327166	1.4993307
183900	16.02687682	1.4606574
183901	16.04048198	1.4940027
183902	16.05408714	1.4702147
183903	16.0676923	1.4530511
183904	16.08129746	1.4488337
183905	16.09490261	1.4393149
183906	16.10850777	1.4131079
183907	16.12211293	1.3954343
183908	16.13571809	1.3900759
183909	16.14932325	1.3796263
183910	16.16292841	1.3522542
183911	16.17653357	1.3597237
183912	16.19013872	1.3741786
183913	16.20374388	1.3381347
183914	16.21734904	1.3174807
183915	16.2309542	1.3288656
183916	16.24455936	1.3156461
183917	16.25816452	1.3151269
183918	16.27176968	1.3279106
183919	16.28537483	1.3010569
183920	16.29897999	1.2940189
183921	16.31258515	1.2684013
183922	16.32619031	1.2852142
183923	16.33979547	1.2757363
183924	16.35340063	1.2535468
183925	16.36700579	1.2289825
183926	16.3942161	1.1826587
183927	16.40782126	1.1748878
183928	16.42142642	1.1474132
183929	16.43503158	1.1413438
183930	16.44863674	1.1312918
183931	16.4622419	1.0964126
183932	16.47584705	1.0917279
183933	16.48945221	1.0856536
183934	16.50305737	1.0635962
183935	16.51666253	1.051745
183936	16.53026769	1.0553673
183937	16.54387285	0.98747448
183938	16.55747801	0.99451539
183939	16.57108316	1.0103971
183940	16.58468832	0.99501826
183941	16.59829348	0.97700089
183942	16.61189864	0.96525123
183943	16.6255038	0.93520669
183944	16.63910896	0.91503043
183945	16.65271412	0.92251619
183946	16.67992443	0.91744072
183947	16.69352959	0.89459451
183948	16.70713475	0.88790174
183949	16.72073991	0.87826416
183950	16.73434507	0.8798715
183951	16.74795023	0.84918584
183952	16.76155538	0.87624423
183953	16.77516054	0.87697739
183954	16.7887657	0.88943952
183955	16.80237086	0.89487316
183956	16.81597602	0.90188294
183957	16.82958118	0.90713215
183958	16.84318634	0.91668672
183959	16.8567915	0.90058675
183960	16.87039665	0.88491989
183961	16.88400181	0.89728627
183962	16.89760697	0.88573746
183963	16.91121213	0.84449905
183964	16.92481729	0.85616813
183965	16.93842245	0.86662827
183966	16.95202761	0.85403339
183967	16.96563276	0.84998439
183968	16.97923792	0.83623026
183969	16.99284308	0.81833373
183970	17.00644824	0.8402475
183971	17.0200534	0.80773941
183972	17.03365856	0.80720713
183973	17.04726372	0.79387594
183974	17.06086887	0.77924871
183975	17.07447403	0.77207413
183976	17.08807919	0.75152595
183977	17.10168435	0.76746335
183978	17.11528951	0.76780567
183979	17.12889467	0.77482423
183980	17.14249983	0.79178569
183981	17.15610498	0.77325033
183982	17.16971014	0.78933965
183983	17.1833153	0.77005065
183984	17.19692046	0.75576995
183985	17.21052562	0.75161709
183986	17.22413078	0.74133399
183987	17.23773594	0.73325118
183988	17.25134109	0.73804987
183989	17.26494625	0.75235298
183990	17.27855141	0.75162344
183991	17.29215657	0.7439923
183992	17.30576173	0.72840557
183993	17.31936689	0.73020057
183994	17.33297205	0.72727527
183995	17.3465772	0.7235538
183996	17.36018236	0.69976392
183997	17.37378752	0.70312522
183998	17.38739268	0.69768579
183999	17.40099784	0.67904059
184000	17.414603	0.66494279
184001	17.42820816	0.6487125
184002	17.44181331	0.64000799
184003	17.45541847	0.6257554
184004	17.46902363	0.61379682
184005	17.48262879	0.60942746
184006	17.49623395	0.6027957
184007	17.50983911	0.61081365
184008	17.52344427	0.58837482
184009	17.53704942	0.5853668
184010	17.55065458	0.58261358
184011	17.56425974	0.57403528
184012	17.5778649	0.57541049
184013	17.59147006	0.56536568
184014	17.60507522	0.56274667
184015	17.61868038	0.55649816
184016	17.63228553	0.5454019
184017	17.64589069	0.55231129
184018	17.65949585	0.54093192
184019	17.67310101	0.53361052
