	e_energy	sigma
	13.00498226	0.0
	13.00653161	6.0284777
	13.02013677	38.398156
	13.03374193	45.262679
	13.04734709	51.464999
	13.06095225	58.119805
	13.07455741	58.955187
	13.08816257	57.83518
	13.10176772	63.303809
	13.11537288	59.626249
	13.12897804	56.805141
	13.1425832	54.539634
	13.15618836	61.350502
	13.16979352	58.242615
	13.18339868	55.750112
	13.19700383	55.712493
	13.21060899	55.023297
	13.22421415	53.024976
	13.23781931	52.055685
	13.25142447	53.297652
	13.26502963	51.391972
	13.27863479	49.729927
	13.3058451	51.410276
	13.31945026	51.340231
	13.33305542	49.202856
	13.34666058	46.852057
	13.36026574	46.104172
	13.3738709	46.075327
	13.38747605	43.134757
	13.40108121	41.47016
	13.41468637	38.681074
	13.42829153	39.698162
	13.44189669	36.065086
	13.45550185	34.370617
	13.46910701	33.558509
	13.48271216	32.247779
	13.49631732	30.880837
	13.50992248	31.032056
	13.52352764	31.459114
	13.5371328	29.123077
	13.55073796	28.60215
	13.56434312	27.79889
	13.57794827	27.518424
	13.59155343	26.733086
	13.60515859	25.802677
	13.61876375	24.30648
	13.63236891	22.944106
	13.64597407	22.58635
	13.65957923	23.324334
	13.67318438	25.057861
	13.7003947	23.793034
	13.71399986	27.025353
	13.75481534	28.278013
	13.76842049	27.389696
	13.78202565	26.535832
	13.79563081	25.805749
	13.80923597	26.381457
	13.82284113	24.75259
	13.83644629	23.602169
	13.85005145	22.35684
	13.8636566	21.510277
	13.87726176	18.914438
	13.89086692	16.656974
	13.90447208	16.453813
	13.91807724	16.172961
	13.9316824	15.299893
	13.94528756	14.316566
	13.95889272	13.708131
	13.97249787	13.070729
	13.98610303	12.640916
	13.99970819	11.895986
	14.01331335	11.498021
	14.02691851	11.137547
	14.04052367	11.126717
	14.05412883	11.070357
	14.06773398	10.564857
	14.08133914	9.90947
	14.0949443	9.3197303
	14.10854946	8.9309947
	14.12215462	8.5701002
	14.13575978	8.2510748
	14.14936494	7.6388133
	14.16297009	7.6560689
	14.17657525	7.3999775
	14.19018041	6.9639433
	14.20378557	6.7930671
	14.21739073	6.4413379
	14.23099589	6.241101
	14.24460105	6.1210958
	14.2582062	6.0256366
	14.27181136	6.0307606
	14.28541652	5.9729113
	14.29902168	5.9558926
	14.31262684	5.9103027
	14.326232	6.1089576
	14.33983716	6.3235177
	14.35344231	6.1648804
	14.36704747	6.12584
	14.38065263	6.5851057
	14.39425779	6.6977522
	14.40786295	7.3600263
	14.42146811	7.8589278
	14.43507327	8.0792853
	14.44867842	8.2110218
	14.46228358	7.8417895
	14.47588874	7.3352398
	14.4894939	6.9573217
	14.50309906	6.6958636
	14.51670422	6.3735192
	14.53030938	6.1711456
	14.54391453	5.7660324
	14.55751969	5.55699
	14.57112485	5.5230049
	14.58473001	5.3226071
	14.59833517	5.0794019
	14.61194033	4.8940985
	14.62554549	4.801474
	14.63915064	4.5415957
	14.6527558	4.4257193
