csdata_id	e_energy	sigma
169460	12.98346461	0.0
169461	12.99292646	9.555009
169462	13.00653161	20.789244
169463	13.02013677	26.031609
169464	13.03374193	23.945269
169465	13.04734709	28.329623
169466	13.06095225	32.070268
169467	13.07455741	36.664275
169468	13.08816257	33.729667
169469	13.10176772	31.970841
169470	13.11537288	31.279208
169471	13.12897804	28.554535
169472	13.1425832	28.213416
169473	13.15618836	31.257361
169474	13.16979352	29.408017
169475	13.18339868	27.987414
169476	13.19700383	26.888304
169477	13.21060899	26.850196
169478	13.22421415	26.045073
169479	13.23781931	26.270917
169480	13.25142447	25.67832
169481	13.26502963	25.078875
169482	13.27863479	24.861675
169483	13.3058451	20.711836
169484	13.31945026	19.30847
169485	13.33305542	19.859307
169486	13.34666058	19.058146
169487	13.36026574	19.49254
169488	13.3738709	19.336978
169489	13.38747605	20.94307
169490	13.40108121	20.481214
169491	13.41468637	21.881666
169492	13.42829153	19.512545
169493	13.44189669	19.521838
169494	13.45550185	18.664753
169495	13.46910701	18.359183
169496	13.48271216	17.267265
169497	13.49631732	16.817728
169498	13.50992248	17.352106
169499	13.52352764	16.71233
169500	13.5371328	17.390383
169501	13.55073796	17.309216
169502	13.56434312	17.262888
169503	13.57794827	17.374563
169504	13.59155343	17.376184
169505	13.60515859	17.682812
169506	13.61876375	18.160238
169507	13.63236891	18.844043
169508	13.64597407	19.631541
169509	13.65957923	20.392605
169510	13.67318438	20.983317
169511	13.7003947	22.032973
169512	13.71399986	23.41702
169513	13.75481534	19.258344
169514	13.76842049	17.064947
169515	13.78202565	16.580796
169516	13.79563081	15.751865
169517	13.80923597	15.648787
169518	13.82284113	15.374286
169519	13.83644629	14.562248
169520	13.85005145	13.938819
169521	13.8636566	13.36941
169522	13.87726176	12.389262
169523	13.89086692	12.077185
169524	13.90447208	11.905214
169525	13.91807724	11.19782
169526	13.9316824	10.894004
169527	13.94528756	10.479001
169528	13.95889272	9.9055488
169529	13.97249787	9.8780094
169530	13.98610303	9.9269506
169531	13.99970819	9.7465632
169532	14.01331335	9.5886999
169533	14.02691851	10.217959
169534	14.04052367	10.567519
169535	14.05412883	10.988182
169536	14.06773398	10.851519
169537	14.08133914	9.9373997
169538	14.0949443	9.3059027
169539	14.10854946	8.9452706
169540	14.12215462	8.7110399
169541	14.13575978	8.8658454
169542	14.14936494	8.9195757
169543	14.16297009	8.4717593
169544	14.17657525	8.5094036
169545	14.19018041	8.5019984
169546	14.20378557	8.5125817
169547	14.21739073	8.2861016
169548	14.23099589	8.2746407
169549	14.24460105	8.1967947
169550	14.2582062	8.0376556
169551	14.27181136	7.924458
169552	14.28541652	7.8771637
169553	14.29902168	7.7294098
169554	14.31262684	7.4757004
169555	14.326232	7.3319935
169556	14.33983716	7.3108737
169557	14.35344231	7.2316737
169558	14.36704747	6.9671138
169559	14.38065263	6.781077
169560	14.39425779	6.9519667
169561	14.40786295	6.9303226
169562	14.42146811	6.8942945
169563	14.43507327	6.8841466
169564	14.44867842	6.7574887
169565	14.46228358	6.6193613
169566	14.47588874	6.4082424
169567	14.4894939	6.3767376
169568	14.50309906	6.1929964
169569	14.51670422	6.10562
169570	14.53030938	6.0316541
169571	14.54391453	5.8663747
169572	14.55751969	5.7894283
169573	14.57112485	5.5550357
169574	14.58473001	5.3859425
169575	14.59833517	5.449613
169576	14.61194033	5.3188317
169577	14.62554549	5.1018732
169578	14.63915064	5.2122771
169579	14.6527558	5.1898419
169580	14.66636096	5.0498642
169581	14.67996612	4.9272248
169582	14.69357128	4.8547082
169583	14.70717644	4.8888541
169584	14.7207816	4.7449265
169585	14.73438675	4.7363453
169586	14.74799191	4.6325627
169587	14.76159707	4.6856994
169588	14.77520223	4.728926
169589	14.78880739	4.593644
169590	14.80241255	4.7578918
169591	14.81601771	4.6869518
169592	14.82962286	4.8542221
169593	14.84322802	4.81819
169594	14.85683318	4.6387623
169595	14.87043834	4.648666
169596	14.8840435	4.6248147
