	e_energy	sigma
	13.24227609	0.0
	13.25142447	1.8648231
	13.26502963	3.7406731
	13.27863479	5.867989
	13.3058451	9.4134037
	13.31945026	9.9132132
	13.33305542	5.4363958
	13.34666058	5.5439531
	13.36026574	6.2468705
	13.3738709	6.6568659
	13.38747605	7.2944159
	13.40108121	6.8233503
	13.41468637	8.7460707
	13.42829153	6.8024602
	13.44189669	6.1184244
	13.45550185	6.2399136
	13.46910701	7.0989439
	13.48271216	6.7531334
	13.49631732	9.3113335
	13.50992248	7.7227315
	13.52352764	7.5442777
	13.5371328	7.570633
	13.55073796	5.9059839
	13.56434312	6.0733485
	13.57794827	6.234881
	13.59155343	6.35553
	13.60515859	7.208608
	13.61876375	7.2768596
	13.63236891	7.8969271
	13.64597407	7.5786353
	13.65957923	7.6467881
	13.67318438	7.5062079
	13.7003947	6.1534448
	13.71399986	7.1166118
	13.75481534	9.5183691
	13.76842049	8.0588554
	13.78202565	6.6198741
	13.79563081	7.6090593
	13.80923597	7.3240781
	13.82284113	7.3891248
	13.83644629	7.2428859
	13.85005145	7.3293514
	13.8636566	6.8691356
	13.87726176	6.3582917
	13.89086692	6.3463092
	13.90447208	6.2547095
	13.91807724	6.1800304
	13.9316824	5.502012
	13.94528756	5.64427
	13.95889272	5.5964323
	13.97249787	5.6642676
	13.98610303	5.1386173
	13.99970819	5.7915624
	14.01331335	5.465275
	14.02691851	5.166356
	14.04052367	5.6307842
	14.05412883	5.5186381
	14.06773398	5.1841243
	14.08133914	5.2372466
	14.0949443	5.5779775
	14.10854946	5.4058065
	14.12215462	5.1520123
	14.13575978	4.7828423
	14.14936494	4.54367
	14.16297009	4.3660711
	14.17657525	4.4892805
	14.19018041	4.3327229
	14.20378557	4.3978538
	14.21739073	4.0571391
	14.23099589	4.0343965
	14.24460105	4.0397205
	14.2582062	3.9815787
	14.27181136	3.7250038
	14.28541652	3.7552861
	14.29902168	3.7566185
	14.31262684	3.7445109
	14.326232	3.7004568
	14.33983716	3.9496569
	14.35344231	3.6421542
	14.36704747	3.5769142
	14.38065263	3.4005251
	14.39425779	3.7283702
	14.40786295	3.6180802
	14.42146811	3.4728388
	14.43507327	3.558064
	14.44867842	3.3845241
	14.46228358	3.5433568
	14.47588874	3.3743763
	14.4894939	3.240911
	14.50309906	3.222861
	14.51670422	3.322954
	14.53030938	3.2189443
	14.54391453	3.3209186
	14.55751969	3.3757456
	14.57112485	3.3461433
	14.58473001	3.3729815
	14.59833517	3.2330451
	14.61194033	3.3628813
	14.62554549	3.4172721
	14.63915064	3.3300517
	14.6527558	3.2313469
	14.66636096	3.1741201
	14.67996612	3.1309614
	14.69357128	3.1810755
	14.70717644	3.0996004
	14.7207816	3.0768787
	14.73438675	3.1255496
	14.74799191	2.9945633
	14.76159707	2.9582381
	14.77520223	3.0461606
	14.78880739	3.2037351
	14.80241255	3.0073521
	14.81601771	2.9859403
	14.82962286	2.8860457
	14.84322802	2.8839151
	14.85683318	2.8649944
	14.87043834	2.7837665
	14.8840435	2.6605967
	14.89764866	2.5736369
	14.91125382	2.4373124
	14.92485898	2.3916987
	14.93846413	2.3535577
	14.95206929	2.3403804
	14.96567445	2.252559
	14.97927961	2.283888
	14.99288477	2.1920332
	15.00648993	2.1046672
	15.02009509	2.0804532
	15.03370024	1.9716902
	15.0473054	1.943408
	15.06091056	1.9207171
	15.07451572	1.9070585
	15.08812088	1.8633411
	15.10172604	1.8613425
	15.1153312	1.8375426
	15.12893635	1.8104032
	15.14254151	1.7601471
	15.15614667	1.775763
	15.16975183	1.7747951
	15.18335699	1.8122658
	15.19696215	1.8059585
	15.21056731	1.7514876
	15.22417246	1.7138496
	15.23777762	1.6985565
	15.25138278	1.6945135
	15.26498794	1.7080866
	15.2785931	1.7665922
	15.29219826	1.7344685
	15.30580342	1.6914789
	15.31940857	1.7337135
	15.33301373	1.7097183
	15.34661889	1.6728509
	15.36022405	1.6635875
	15.37382921	1.591687
	15.38743437	1.5803041
	15.40103953	1.5089436
	15.41464468	1.4696978
	15.42824984	1.4534733
	15.441855	1.4637335
	15.45546016	1.399985
	15.46906532	1.3858789
	15.48267048	1.3493958
	15.50988079	1.3621889
	15.52348595	1.3803971
	15.53709111	1.3701085
	15.55069627	1.3459791
	15.56430143	1.3319707
	15.57790659	1.3734292
	15.59151175	1.380113
	15.6051169	1.3586286
	15.61872206	1.36463
	15.63232722	1.3855134
	15.64593238	1.3942648
	15.65953754	1.4067014
	15.6731427	1.4158842
	15.68674786	1.3659353
	15.70035301	1.3554913
	15.71395817	1.3153799
	15.72756333	1.2960515
	15.74116849	1.2716229
	15.75477365	1.2915859
	15.76837881	1.2761339
	15.78198397	1.2985285
	15.79558912	1.2472295
	15.80919428	1.2468669
	15.82279944	1.2110651
	15.8364046	1.2211335
	15.85000976	1.1789456
	15.86361492	1.1791421
	15.87722008	1.1613204
	15.89082524	1.1696869
	15.90443039	1.146067
	15.91803555	1.1302873
	15.93164071	1.1648471
	15.94524587	1.1443444
	15.95885103	1.1487569
	15.97245619	1.166284
	15.98606135	1.115582
	15.9996665	1.0866005
	16.01327166	1.0372481
	16.02687682	1.0227197
	16.04048198	1.0417491
	16.05408714	1.0445662
	16.0676923	1.0593808
	16.08129746	1.0343675
	16.09490261	0.99903563
	16.10850777	0.97629847
	16.12211293	0.96395328
	16.13571809	0.9458695
	16.14932325	0.9308504
	16.16292841	0.89406464
	16.17653357	0.85160348
	16.19013872	0.85762385
	16.20374388	0.87407582
	16.21734904	0.84704556
	16.2309542	0.82730904
	16.24455936	0.82355906
	16.25816452	0.83319143
	16.27176968	0.8159087
	16.28537483	0.79796732
	16.29897999	0.79502163
	16.31258515	0.83105656
	16.32619031	0.79987795
	16.33979547	0.78072778
	16.35340063	0.73993337
	16.36700579	0.7645681
	16.3942161	0.80279484
	16.40782126	0.81787146
	16.42142642	0.78945924
	16.43503158	0.80291323
	16.44863674	0.82144216
	16.4622419	0.80711553
	16.47584705	0.82388872
	16.48945221	0.81998068
	16.50305737	0.82081718
	16.51666253	0.8461334
	16.53026769	0.84724521
	16.54387285	0.85094927
	16.55747801	0.86188828
	16.57108316	0.88401179
	16.58468832	0.88149581
	16.59829348	0.88699373
	16.61189864	0.89563637
	16.6255038	0.87910259
	16.63910896	0.87217471
	16.65271412	0.86206181
	16.67992443	0.84574202
	16.69352959	0.82874025
	16.70713475	0.8119143
	16.72073991	0.7931719
	16.73434507	0.75058011
	16.74795023	0.75232452
	16.76155538	0.73051073
	16.77516054	0.73113379
	16.7887657	0.72382966
	16.80237086	0.7127751
	16.81597602	0.70293697
	16.82958118	0.6976595
	16.84318634	0.69194961
	16.8567915	0.67212753
	16.87039665	0.67978315
	16.88400181	0.69498481
	16.89760697	0.68485263
	16.91121213	0.65886424
	16.92481729	0.65142756
	16.93842245	0.66383974
	16.95202761	0.67278785
	16.96563276	0.67503423
	16.97923792	0.66217311
	16.99284308	0.65356717
	17.00644824	0.65955396
	17.0200534	0.66851189
	17.03365856	0.64178012
	17.04726372	0.64917136
	17.06086887	0.64571087
	17.07447403	0.63794311
	17.08807919	0.64002365
	17.10168435	0.62950423
	17.11528951	0.62689971
	17.12889467	0.62788261
	17.14249983	0.6132722
	17.15610498	0.62007987
	17.16971014	0.61929655
	17.1833153	0.61430735
	17.19692046	0.61762006
	17.21052562	0.6136066
	17.22413078	0.61855402
	17.23773594	0.6012449
	17.25134109	0.59353202
	17.26494625	0.61166285
	17.27855141	0.60491858
	17.29215657	0.60124079
	17.30576173	0.59718305
	17.31936689	0.60061768
	17.33297205	0.60271764
	17.3465772	0.61474688
	17.36018236	0.60702821
	17.37378752	0.60087342
	17.38739268	0.61029456
	17.40099784	0.59935525
	17.414603	0.59582802
	17.42820816	0.58065992
	17.44181331	0.58159631
	17.45541847	0.56601301
	17.46902363	0.55920384
	17.48262879	0.5585003
	17.49623395	0.56346471
	17.50983911	0.58406553
