	e_energy	sigma
	13.24227609	0.0
	13.25142447	15.032022
	13.26502963	19.543056
	13.27863479	21.125545
	13.3058451	25.901824
	13.31945026	28.702879
	13.33305542	29.983184
	13.34666058	32.502164
	13.36026574	38.006825
	13.3738709	41.599937
	13.38747605	42.14929
	13.40108121	44.266466
	13.41468637	48.410419
	13.42829153	56.294312
	13.44189669	57.117842
	13.45550185	62.749396
	13.46910701	63.039617
	13.48271216	65.231908
	13.49631732	65.826505
	13.50992248	66.634853
	13.52352764	67.645955
	13.5371328	68.790353
	13.55073796	77.197282
	13.56434312	78.04413
	13.57794827	80.538198
	13.59155343	82.892949
	13.60515859	83.613303
	13.61876375	83.555164
	13.63236891	85.57374
	13.64597407	86.091547
	13.65957923	86.5476
	13.67318438	85.828591
	13.7003947	89.404628
	13.71399986	88.319516
	13.75481534	87.170057
	13.76842049	86.397706
	13.78202565	85.30109
	13.79563081	89.11905
	13.80923597	87.907793
	13.82284113	87.932098
	13.83644629	88.604675
	13.85005145	89.445243
	13.8636566	89.581575
	13.87726176	90.745485
	13.89086692	91.219244
	13.90447208	90.955592
	13.91807724	91.219018
	13.9316824	91.387529
	13.94528756	91.631857
	13.95889272	91.741974
	13.97249787	91.577392
	13.98610303	91.272257
	13.99970819	92.085
	14.01331335	92.431626
	14.02691851	91.612847
	14.04052367	90.564849
	14.05412883	90.179773
	14.06773398	89.097234
	14.08133914	88.525583
	14.0949443	88.424096
	14.10854946	89.179111
	14.12215462	89.080011
	14.13575978	88.926017
	14.14936494	88.735182
	14.16297009	88.829817
	14.17657525	88.521336
	14.19018041	88.236399
	14.20378557	88.382095
	14.21739073	87.832137
	14.23099589	87.38482
	14.24460105	86.917062
	14.2582062	86.357551
	14.27181136	86.132542
	14.28541652	86.146859
	14.29902168	85.869795
	14.31262684	85.758826
	14.326232	85.658277
	14.33983716	86.226318
	14.35344231	85.949382
	14.36704747	85.994553
	14.38065263	85.841598
	14.39425779	85.992538
	14.40786295	85.592692
	14.42146811	85.091805
	14.43507327	84.733726
	14.44867842	84.062796
	14.46228358	83.69729
	14.47588874	83.403187
	14.4894939	82.832712
	14.50309906	82.673869
	14.51670422	82.758817
	14.53030938	81.806634
	14.54391453	80.757838
	14.55751969	80.711918
	14.57112485	80.495658
	14.58473001	80.26329
	14.59833517	79.793341
	14.61194033	79.33101
	14.62554549	79.220594
	14.63915064	78.942731
	14.6527558	78.61122
	14.66636096	78.480889
	14.67996612	78.674598
	14.69357128	78.271063
	14.70717644	77.790567
	14.7207816	77.476358
	14.73438675	77.061577
	14.74799191	76.812118
	14.76159707	76.577951
	14.77520223	76.678971
	14.78880739	76.279725
	14.80241255	75.964586
	14.81601771	75.809776
	14.82962286	75.474582
	14.84322802	75.04886
	14.85683318	74.701395
	14.87043834	74.307929
	14.8840435	73.991406
	14.89764866	73.752673
	14.91125382	73.469981
	14.92485898	73.256659
	14.93846413	72.755715
	14.95206929	72.41352
	14.96567445	72.022551
	14.97927961	71.78796
	14.99288477	71.513494
	15.00648993	71.09512
	15.02009509	70.773473
	15.03370024	70.541359
	15.0473054	70.169618
	15.06091056	69.874334
	15.07451572	69.554631
	15.08812088	69.205225
	15.10172604	68.863541
	15.1153312	68.387902
	15.12893635	68.113635
	15.14254151	67.786202
	15.15614667	67.47487
	15.16975183	67.184533
	15.18335699	66.930765
	15.19696215	66.546937
	15.21056731	66.310643
	15.22417246	66.084591
	15.23777762	65.767084
	15.25138278	65.54984
	15.26498794	65.225163
	15.2785931	64.893491
	15.29219826	64.600116
	15.30580342	64.313366
	15.31940857	63.874722
	15.33301373	63.876031
	15.34661889	63.517647
	15.36022405	63.232995
	15.37382921	62.953047
	15.38743437	62.551748
	15.40103953	62.314567
	15.41464468	61.985421
	15.42824984	61.749449
