csdata_id	e_energy	sigma
174872	12.98593721	0.0
174873	12.99292646	18.109239
174874	13.00653161	34.075774
174875	13.02013677	29.132633
174876	13.03374193	29.961166
174877	13.04734709	35.681194
174878	13.06095225	34.386006
174879	13.07455741	34.529329
174880	13.08816257	40.825305
174881	13.10176772	36.726881
174882	13.11537288	35.588695
174883	13.12897804	33.827722
174884	13.1425832	32.281032
174885	13.15618836	32.53237
174886	13.16979352	32.681011
174887	13.18339868	31.915395
174888	13.19700383	30.416048
174889	13.21060899	29.89309
174890	13.22421415	29.505571
174891	13.23781931	29.173576
174892	13.25142447	28.951225
174893	13.26502963	28.741406
174894	13.27863479	29.716524
174895	13.3058451	29.003364
174896	13.31945026	28.720423
174897	13.33305542	28.54655
174898	13.34666058	28.287624
174899	13.36026574	27.549548
174900	13.3738709	24.507272
174901	13.38747605	24.656085
174902	13.40108121	25.260032
174903	13.41468637	25.085068
174904	13.42829153	25.009208
174905	13.44189669	24.856636
174906	13.45550185	24.42889
174907	13.46910701	24.02267
174908	13.48271216	23.210839
174909	13.49631732	22.814048
174910	13.50992248	22.694629
174911	13.52352764	22.473885
174912	13.5371328	22.076502
174913	13.55073796	22.131031
174914	13.56434312	22.068806
174915	13.57794827	21.507308
174916	13.59155343	21.101902
174917	13.60515859	20.78745
174918	13.61876375	20.315233
174919	13.63236891	20.103201
174920	13.64597407	19.469533
174921	13.65957923	19.151031
174922	13.67318438	19.040788
174923	13.7003947	21.953745
174924	13.71399986	21.750042
174925	13.75481534	23.686725
174926	13.76842049	22.606699
174927	13.78202565	21.628037
174928	13.79563081	20.808157
174929	13.80923597	20.104021
174930	13.82284113	17.65072
174931	13.83644629	16.198677
174932	13.85005145	15.101175
174933	13.8636566	14.348392
174934	13.87726176	13.60263
174935	13.89086692	12.686562
174936	13.90447208	11.993631
174937	13.91807724	11.661091
174938	13.9316824	11.599265
174939	13.94528756	11.18494
174940	13.95889272	11.096083
174941	13.97249787	10.798908
174942	13.98610303	10.516174
174943	13.99970819	10.174154
174944	14.01331335	10.037356
174945	14.02691851	10.267736
174946	14.04052367	10.583347
174947	14.05412883	10.64225
174948	14.06773398	10.590745
174949	14.08133914	10.113518
174950	14.0949443	9.6925694
174951	14.10854946	9.2980378
174952	14.12215462	9.0844996
174953	14.13575978	8.8999591
174954	14.14936494	8.6370559
174955	14.16297009	8.3601293
174956	14.17657525	8.271576
174957	14.19018041	8.211907
174958	14.20378557	8.0665861
174959	14.21739073	7.9091948
174960	14.23099589	7.8074405
174961	14.24460105	7.714087
174962	14.2582062	7.6038867
174963	14.27181136	7.4982854
174964	14.28541652	7.4040734
174965	14.29902168	7.2570857
174966	14.31262684	7.0855953
174967	14.326232	6.9530414
174968	14.33983716	6.8932737
174969	14.35344231	6.8999031
174970	14.36704747	6.7655939
174971	14.38065263	6.6782207
174972	14.39425779	6.6269221
174973	14.40786295	6.7188042
174974	14.42146811	6.8091421
174975	14.43507327	6.8196563
174976	14.44867842	6.6983624
174977	14.46228358	6.4409275
174978	14.47588874	6.2173444
174979	14.4894939	5.925915
174980	14.50309906	5.6554827
174981	14.51670422	5.4036885
174982	14.53030938	5.2586688
174983	14.54391453	5.0612821
174984	14.55751969	5.1146519
174985	14.57112485	4.7707899
174986	14.58473001	4.7244947
174987	14.59833517	4.6522763
174988	14.61194033	4.5946342
174989	14.62554549	4.6216655
174990	14.63915064	4.5184643
174991	14.6527558	4.4830776
174992	14.66636096	4.5846904
174993	14.67996612	4.2966575
174994	14.69357128	4.2604941
174995	14.70717644	4.2001136
174996	14.7207816	4.1526237
174997	14.73438675	4.0683994
174998	14.74799191	4.0846435
174999	14.76159707	4.0833508
175000	14.77520223	4.0956318
175001	14.78880739	4.067966
175002	14.80241255	4.0537491
175003	14.81601771	4.0377217
175004	14.82962286	4.0330435
175005	14.84322802	4.0275567
175006	14.85683318	4.048979
175007	14.87043834	4.0255174
175008	14.8840435	3.9635986
175009	14.89764866	3.9272521
175010	14.91125382	3.8709023
175011	14.92485898	3.8156403
175012	14.93846413	3.7922316
175013	14.95206929	3.7819834
175014	14.96567445	3.7387764
175015	14.97927961	3.6643773
175016	14.99288477	3.6143648
175017	15.00648993	3.5712462
175018	15.02009509	3.5281286
175019	15.03370024	3.5688942
175020	15.0473054	3.5050081
175021	15.06091056	3.4430492
175022	15.07451572	3.4139068
175023	15.08812088	3.3734557
175024	15.10172604	3.2878426
175025	15.1153312	3.2286123
175026	15.12893635	3.2183744
175027	15.14254151	3.1764371
175028	15.15614667	3.1719005
175029	15.16975183	3.1540489
175030	15.18335699	3.1308754
175031	15.19696215	3.104514
175032	15.21056731	3.0729283
175033	15.22417246	3.0679871
175034	15.23777762	2.9865473
175035	15.25138278	2.9464828
175036	15.26498794	2.9050864
175037	15.2785931	2.8818572
175038	15.29219826	2.8126037
175039	15.30580342	2.7682818
175040	15.31940857	2.746472
175041	15.33301373	2.7494666
175042	15.34661889	2.7249346
175043	15.36022405	2.6807058
175044	15.37382921	2.665351
175045	15.38743437	2.6289353
175046	15.40103953	2.5904038
175047	15.41464468	2.5236191
175048	15.42824984	2.4024448
175049	15.441855	2.3412243
175050	15.45546016	2.2495641
175051	15.46906532	2.1543555
175052	15.48267048	2.111644
175053	15.50988079	2.1046859
175054	15.52348595	2.0441139
175055	15.53709111	2.0393583
175056	15.55069627	1.9624898
175057	15.56430143	1.8978638
175058	15.57790659	1.9882931
175059	15.59151175	1.9159047
175060	15.6051169	1.8833986
175061	15.61872206	1.8763987
175062	15.63232722	1.8666166
175063	15.64593238	1.8485633
175064	15.65953754	1.7839942
175065	15.6731427	1.7420973
175066	15.68674786	1.7239522
175067	15.70035301	1.7040739
175068	15.71395817	1.7081783
175069	15.72756333	1.7097032
175070	15.74116849	1.710406
175071	15.75477365	1.656937
175072	15.76837881	1.6243447
175073	15.78198397	1.6155696
175074	15.79558912	1.6002332
175075	15.80919428	1.5831435
175076	15.82279944	1.5614314
175077	15.8364046	1.5391093
175078	15.85000976	1.501992
175079	15.86361492	1.4959081
175080	15.87722008	1.5038911
175081	15.89082524	1.4843867
175082	15.90443039	1.4636008
175083	15.91803555	1.4505689
175084	15.93164071	1.4691286
175085	15.94524587	1.4691821
175086	15.95885103	1.477551
175087	15.97245619	1.4740093
175088	15.98606135	1.4525194
175089	15.9996665	1.4879308
175090	16.01327166	1.4709822
175091	16.02687682	1.4646171
175092	16.04048198	1.4582609
175093	16.05408714	1.4383866
175094	16.0676923	1.420357
175095	16.08129746	1.4129693
175096	16.09490261	1.4053141
175097	16.10850777	1.3862926
175098	16.12211293	1.3750062
175099	16.13571809	1.3627842
175100	16.14932325	1.3569543
175101	16.16292841	1.3586696
175102	16.17653357	1.3568825
175103	16.19013872	1.3547444
175104	16.20374388	1.3533047
175105	16.21734904	1.3524437
175106	16.2309542	1.3972319
175107	16.24455936	1.380993
175108	16.25816452	1.372702
175109	16.27176968	1.366967
175110	16.28537483	1.3594469
175111	16.29897999	1.3505083
175112	16.31258515	1.3342184
175113	16.32619031	1.3287624
175114	16.33979547	1.2998281
175115	16.35340063	1.2730621
175116	16.36700579	1.2655785
175117	16.3942161	1.2395162
175118	16.40782126	1.2140264
175119	16.42142642	1.196403
175120	16.43503158	1.190158
175121	16.44863674	1.1674807
175122	16.4622419	1.1383303
175123	16.47584705	1.1178825
175124	16.48945221	1.1033034
175125	16.50305737	1.1022657
175126	16.51666253	1.0814498
175127	16.53026769	1.070676
175128	16.54387285	1.0371335
175129	16.55747801	1.028283
175130	16.57108316	1.0349588
175131	16.58468832	1.0184186
175132	16.59829348	1.0041196
175133	16.61189864	0.9967437
175134	16.6255038	0.98711819
175135	16.63910896	0.99482585
175136	16.65271412	0.97938078
175137	16.67992443	0.97019159
175138	16.69352959	0.9505481
175139	16.70713475	0.95171121
175140	16.72073991	0.95929985
175141	16.73434507	0.95494636
175142	16.74795023	0.94343936
175143	16.76155538	0.95697751
175144	16.77516054	0.96250252
175145	16.7887657	0.97280176
175146	16.80237086	0.96919774
175147	16.81597602	0.97221726
175148	16.82958118	0.96287538
175149	16.84318634	0.95449163
175150	16.8567915	0.94770521
175151	16.87039665	0.94290879
175152	16.88400181	0.93808635
175153	16.89760697	0.92242237
175154	16.91121213	0.89618254
175155	16.92481729	0.89584827
175156	16.93842245	0.87900764
175157	16.95202761	0.86549215
175158	16.96563276	0.85972231
175159	16.97923792	0.85109803
175160	16.99284308	0.83874509
175161	17.00644824	0.85134115
175162	17.0200534	0.84517643
175163	17.03365856	0.84549152
175164	17.04726372	0.84487286
175165	17.06086887	0.83815389
175166	17.07447403	0.82890699
175167	17.08807919	0.80934904
175168	17.10168435	0.80287286
175169	17.11528951	0.80344188
175170	17.12889467	0.80426895
175171	17.14249983	0.80630475
175172	17.15610498	0.80662037
175173	17.16971014	0.7962979
175174	17.1833153	0.80377084
175175	17.19692046	0.7958159
175176	17.21052562	0.80157131
175177	17.22413078	0.79133092
175178	17.23773594	0.78951344
175179	17.25134109	0.78866629
175180	17.26494625	0.79785367
175181	17.27855141	0.80214569
175182	17.29215657	0.79307806
175183	17.30576173	0.79628768
175184	17.31936689	0.79954851
175185	17.33297205	0.79842305
175186	17.3465772	0.79891634
175187	17.36018236	0.79144244
175188	17.37378752	0.78064601
175189	17.38739268	0.7629979
175190	17.40099784	0.75098779
175191	17.414603	0.72934795
175192	17.42820816	0.71725464
175193	17.44181331	0.71050356
175194	17.45541847	0.68880758
175195	17.46902363	0.69037165
175196	17.48262879	0.68656832
175197	17.49623395	0.67850004
175198	17.50983911	0.67852154
175199	17.52344427	0.66684131
175200	17.53704942	0.65951935
175201	17.55065458	0.6548689
175202	17.56425974	0.64399932
175203	17.5778649	0.65674452
