csdata_id	e_energy	sigma
176380	13.19303956	0.0
176381	13.19700383	0.17382167
176382	13.21060899	0.50286094
176383	13.22421415	0.43133892
176384	13.23781931	0.56560108
176385	13.25142447	0.8734852
176386	13.26502963	1.0514092
176387	13.27863479	1.1149433
176388	13.3058451	0.99360222
176389	13.31945026	1.0367553
176390	13.33305542	0.93943237
176391	13.34666058	0.82757795
176392	13.36026574	0.88911218
176393	13.3738709	0.81120411
176394	13.38747605	0.68393456
176395	13.40108121	0.65583415
176396	13.41468637	0.64994771
176397	13.42829153	0.67196174
176398	13.44189669	0.61767841
176399	13.45550185	0.64113563
176400	13.46910701	0.69447043
176401	13.48271216	0.70917821
176402	13.49631732	1.0591397
176403	13.50992248	0.58286248
176404	13.52352764	0.52552425
176405	13.5371328	0.5168094
176406	13.55073796	0.56287046
176407	13.56434312	0.59161073
176408	13.57794827	0.61264737
176409	13.59155343	0.62625014
176410	13.60515859	0.7679281
176411	13.61876375	0.67901953
176412	13.63236891	0.77163282
176413	13.64597407	0.83211833
176414	13.65957923	0.98773318
176415	13.67318438	0.84487737
176416	13.7003947	0.79117371
176417	13.71399986	0.83752788
176418	13.75481534	0.81991221
176419	13.76842049	0.83792325
176420	13.78202565	0.80860478
176421	13.79563081	0.74072152
176422	13.80923597	0.74414222
176423	13.82284113	0.72878066
176424	13.83644629	0.67583437
176425	13.85005145	0.58936128
176426	13.8636566	0.58444161
176427	13.87726176	0.64068908
176428	13.89086692	0.52851195
176429	13.90447208	0.46552761
176430	13.91807724	0.43076514
176431	13.9316824	0.45974286
176432	13.94528756	0.46588939
176433	13.95889272	0.44931895
176434	13.97249787	0.49206838
176435	13.98610303	0.46612818
176436	13.99970819	0.4705253
176437	14.01331335	0.45179456
176438	14.02691851	0.4646777
176439	14.04052367	0.51382144
176440	14.05412883	0.50980921
176441	14.06773398	0.46812964
176442	14.08133914	0.45163096
176443	14.0949443	0.43057314
176444	14.10854946	0.42945794
176445	14.12215462	0.43461173
176446	14.13575978	0.41993373
176447	14.14936494	0.40053209
176448	14.16297009	0.40439904
176449	14.17657525	0.42875674
176450	14.19018041	0.41868232
176451	14.20378557	0.3988678
176452	14.21739073	0.3819456
176453	14.23099589	0.37223783
176454	14.24460105	0.37351496
176455	14.2582062	0.37371634
176456	14.27181136	0.36736851
176457	14.28541652	0.36831272
176458	14.29902168	0.37704791
176459	14.31262684	0.37431385
176460	14.326232	0.38488781
176461	14.33983716	0.41183846
176462	14.35344231	0.36714821
176463	14.36704747	0.35895021
176464	14.38065263	0.3430717
176465	14.39425779	0.36872462
176466	14.40786295	0.34384636
176467	14.42146811	0.34364549
176468	14.43507327	0.33838745
176469	14.44867842	0.3150743
176470	14.46228358	0.30491684
176471	14.47588874	0.30142547
176472	14.4894939	0.28194934
176473	14.50309906	0.2942797
176474	14.51670422	0.31952859
176475	14.53030938	0.32350755
176476	14.54391453	0.32242072
176477	14.55751969	0.32264104
176478	14.57112485	0.34133175
176479	14.58473001	0.34043937
176480	14.59833517	0.3317999
176481	14.61194033	0.31782986
176482	14.62554549	0.3272494
176483	14.63915064	0.31030701
176484	14.6527558	0.29738427
176485	14.66636096	0.29260642
176486	14.67996612	0.29112565
176487	14.69357128	0.29298882
176488	14.70717644	0.30154211
176489	14.7207816	0.31023019
176490	14.73438675	0.29359718
176491	14.74799191	0.29759455
176492	14.76159707	0.27938443
176493	14.77520223	0.27704727
176494	14.78880739	0.27487215
176495	14.80241255	0.27088484
176496	14.81601771	0.26063589
176497	14.82962286	0.25910048
176498	14.84322802	0.26752897
176499	14.85683318	0.26504857
176500	14.87043834	0.25018912
176501	14.8840435	0.24783375
176502	14.89764866	0.24167201
176503	14.91125382	0.23524923
176504	14.92485898	0.23587324
176505	14.93846413	0.22493036
176506	14.95206929	0.22868724
176507	14.96567445	0.21808787
176508	14.97927961	0.20720268
176509	14.99288477	0.19903843
176510	15.00648993	0.19347146
176511	15.02009509	0.18758071
176512	15.03370024	0.17406957
176513	15.0473054	0.16760295
176514	15.06091056	0.17671453
176515	15.07451572	0.176835
176516	15.08812088	0.17402184
176517	15.10172604	0.16935757
176518	15.1153312	0.17048422
176519	15.12893635	0.17866169
176520	15.14254151	0.16877407
176521	15.15614667	0.16852455
176522	15.16975183	0.16231902
176523	15.18335699	0.16454567
176524	15.19696215	0.15528947
176525	15.21056731	0.15078193
176526	15.22417246	0.15152082
176527	15.23777762	0.15412353
176528	15.25138278	0.15527252
176529	15.26498794	0.15749208
176530	15.2785931	0.1562571
176531	15.29219826	0.15231223
176532	15.30580342	0.16294748
176533	15.31940857	0.16485833
176534	15.33301373	0.16428302
176535	15.34661889	0.16433094
176536	15.36022405	0.16089548
176537	15.37382921	0.16487995
176538	15.38743437	0.15712264
176539	15.40103953	0.14934778
176540	15.41464468	0.14902294
176541	15.42824984	0.15033232
176542	15.441855	0.13905034
176543	15.45546016	0.1370174
176544	15.46906532	0.13825374
176545	15.48267048	0.1365733
176546	15.50988079	0.13317795
176547	15.52348595	0.13272055
176548	15.53709111	0.1223744
176549	15.55069627	0.13332843
176550	15.56430143	0.13207638
176551	15.57790659	0.13871907
176552	15.59151175	0.13755871
176553	15.6051169	0.13569701
176554	15.61872206	0.13081935
176555	15.63232722	0.13026616
176556	15.64593238	0.13014952
176557	15.65953754	0.12840857
176558	15.6731427	0.12902663
176559	15.68674786	0.13122161
176560	15.70035301	0.12889569
176561	15.71395817	0.12713843
176562	15.72756333	0.1280951
176563	15.74116849	0.12133648
176564	15.75477365	0.12344474
176565	15.76837881	0.12194967
176566	15.78198397	0.12234794
176567	15.79558912	0.12000092
176568	15.80919428	0.1176972
176569	15.82279944	0.11602027
176570	15.8364046	0.11575938
176571	15.85000976	0.11675532
176572	15.86361492	0.11630822
176573	15.87722008	0.11545723
176574	15.89082524	0.1150748
176575	15.90443039	0.11111215
176576	15.91803555	0.10988425
176577	15.93164071	0.10960934
176578	15.94524587	0.10944191
176579	15.95885103	0.10948739
176580	15.97245619	0.10947536
176581	15.98606135	0.10843882
176582	15.9996665	0.10818894
176583	16.01327166	0.10605191
176584	16.02687682	0.10518871
176585	16.04048198	0.10820653
176586	16.05408714	0.10170973
176587	16.0676923	0.096710717
176588	16.08129746	0.098189911
176589	16.09490261	0.095260528
176590	16.10850777	0.09499245
176591	16.12211293	0.091703849
176592	16.13571809	0.088908186
176593	16.14932325	0.0881121
176594	16.16292841	0.085766177
176595	16.17653357	0.084120701
176596	16.19013872	0.085735046
176597	16.20374388	0.08003203
176598	16.21734904	0.080600361
176599	16.2309542	0.077678382
176600	16.24455936	0.077453575
176601	16.25816452	0.080502822
176602	16.27176968	0.081360401
176603	16.28537483	0.078371731
176604	16.29897999	0.079446042
176605	16.31258515	0.076283686
176606	16.32619031	0.080143686
176607	16.33979547	0.078749462
176608	16.35340063	0.07682048
176609	16.36700579	0.07829139
176610	16.3942161	0.079749329
176611	16.40782126	0.08026295
176612	16.42142642	0.081711314
176613	16.43503158	0.082817852
176614	16.44863674	0.081674556
176615	16.4622419	0.083148338
176616	16.47584705	0.084591039
176617	16.48945221	0.084598182
176618	16.50305737	0.087862761
176619	16.51666253	0.087974975
176620	16.53026769	0.088366303
176621	16.54387285	0.0874369
176622	16.55747801	0.088468765
176623	16.57108316	0.090896289
176624	16.58468832	0.091537386
176625	16.59829348	0.091117239
176626	16.61189864	0.09221695
176627	16.6255038	0.090101318
176628	16.63910896	0.08716063
176629	16.65271412	0.088221222
176630	16.67992443	0.082001993
176631	16.69352959	0.08164246
176632	16.70713475	0.078979874
176633	16.72073991	0.074563111
176634	16.73434507	0.075266505
176635	16.74795023	0.075137659
176636	16.76155538	0.074515362
176637	16.77516054	0.071717461
176638	16.7887657	0.071430341
176639	16.80237086	0.071491338
176640	16.81597602	0.069829435
176641	16.82958118	0.06966183
176642	16.84318634	0.070182985
176643	16.8567915	0.070975104
176644	16.87039665	0.072993972
176645	16.88400181	0.069860517
176646	16.89760697	0.067870798
176647	16.91121213	0.070064349
176648	16.92481729	0.069949232
176649	16.93842245	0.068086599
176650	16.95202761	0.065656954
176651	16.96563276	0.065502036
176652	16.97923792	0.065128215
176653	16.99284308	0.064517497
176654	17.00644824	0.063307893
176655	17.0200534	0.063585563
176656	17.03365856	0.061365744
176657	17.04726372	0.063870786
176658	17.06086887	0.060413965
176659	17.07447403	0.060746074
176660	17.08807919	0.060414732
176661	17.10168435	0.059975184
176662	17.11528951	0.060742716
176663	17.12889467	0.059805885
176664	17.14249983	0.061142985
176665	17.15610498	0.060213931
176666	17.16971014	0.060956409
176667	17.1833153	0.059970687
176668	17.19692046	0.059248132
176669	17.21052562	0.059321396
176670	17.22413078	0.057424693
176671	17.23773594	0.056162999
176672	17.25134109	0.057115303
176673	17.26494625	0.056931094
176674	17.27855141	0.055444961
176675	17.29215657	0.054499096
176676	17.30576173	0.053263783
176677	17.31936689	0.054687976
176678	17.33297205	0.054075301
176679	17.3465772	0.055901434
176680	17.36018236	0.054361158
176681	17.37378752	0.053604395
176682	17.38739268	0.05278298
176683	17.40099784	0.055105618
176684	17.414603	0.053633285
176685	17.42820816	0.053285485
176686	17.44181331	0.055780431
176687	17.45541847	0.050491588
176688	17.46902363	0.050052595
176689	17.48262879	0.052806506
176690	17.49623395	0.051887127
176691	17.50983911	0.052124664
176692	17.52344427	0.050550266
176693	17.53704942	0.050373942
176694	17.55065458	0.051644567
176695	17.56425974	0.049734238
176696	17.5778649	0.050316249
176697	17.59147006	0.051623307
176698	17.60507522	0.051573006
176699	17.61868038	0.050072894
176700	17.63228553	0.050396362
176701	17.64589069	0.051486913
176702	17.65949585	0.051153187
176703	17.67310101	0.053179794
176704	17.68670617	0.05075181
176705	17.70031133	0.049135384
176706	17.71391649	0.04982647
176707	17.72752164	0.04936238
176708	17.7411268	0.048525942
176709	17.75473196	0.050350968
176710	17.76833712	0.05007324
176711	17.78194228	0.050650844
176712	17.79554744	0.054743239
176713	17.8091526	0.051762914
176714	17.82275776	0.049993108
176715	17.83636291	0.048673073
176716	17.84996807	0.048728642
176717	17.86357323	0.047888505
176718	17.87717839	0.047037698
176719	17.89078355	0.049189969
176720	17.90438871	0.049231151
176721	17.91799387	0.047579438
176722	17.93159902	0.048572134
176723	17.94520418	0.046369876
176724	17.95880934	0.047813682
176725	17.9724145	0.046469897
176726	17.98601966	0.04602641
176727	17.99962482	0.043953599
176728	18.01322998	0.044706493
176729	18.02683513	0.042845466
176730	18.04044029	0.043269857
176731	18.05404545	0.042181722
176732	18.06765061	0.042353595
176733	18.08125577	0.041739922
176734	18.09486093	0.040958268
176735	18.10846609	0.040494214
176736	18.12207124	0.039644422
176737	18.1356764	0.039187447
176738	18.14928156	0.039494241
176739	18.16288672	0.038584862
