csdata_id	e_energy	sigma
180284	13.02126328	0.0
180285	13.03374193	7.3123139
180286	13.04734709	11.653422
180287	13.06095225	13.288943
180288	13.07455741	13.475599
180289	13.08816257	14.250593
180290	13.10176772	14.839468
180291	13.11537288	20.545849
180292	13.12897804	20.159353
180293	13.1425832	19.490579
180294	13.15618836	18.887446
180295	13.16979352	19.371154
180296	13.18339868	18.723458
180297	13.19700383	18.019841
180298	13.21060899	19.632894
180299	13.22421415	19.281146
180300	13.23781931	19.178529
180301	13.25142447	19.78128
180302	13.26502963	19.896852
180303	13.27863479	18.71312
180304	13.3058451	18.922754
180305	13.31945026	19.548389
180306	13.33305542	19.030391
180307	13.34666058	20.795427
180308	13.36026574	20.064137
180309	13.3738709	20.01317
180310	13.38747605	19.994229
180311	13.40108121	19.454559
180312	13.41468637	18.828719
180313	13.42829153	17.96186
180314	13.44189669	17.269575
180315	13.45550185	17.078511
180316	13.46910701	16.684003
180317	13.48271216	16.298221
180318	13.49631732	16.065626
180319	13.50992248	15.639687
180320	13.52352764	15.796629
180321	13.5371328	14.830449
180322	13.55073796	14.657038
180323	13.56434312	13.975787
180324	13.57794827	13.746455
180325	13.59155343	13.441341
180326	13.60515859	13.299213
180327	13.61876375	12.716468
180328	13.63236891	12.578849
180329	13.64597407	12.061351
180330	13.65957923	11.581385
180331	13.67318438	10.907341
180332	13.7003947	11.718082
180333	13.71399986	13.009566
180334	13.75481534	15.554809
180335	13.76842049	15.415393
180336	13.78202565	15.161548
180337	13.79563081	14.03805
180338	13.80923597	13.801146
180339	13.82284113	13.128086
180340	13.83644629	12.53158
180341	13.85005145	11.855658
180342	13.8636566	11.32676
180343	13.87726176	10.090555
180344	13.89086692	9.1730444
180345	13.90447208	8.8254292
180346	13.91807724	8.3019616
180347	13.9316824	8.0484752
180348	13.94528756	7.6521644
180349	13.95889272	7.3379589
180350	13.97249787	6.8297496
180351	13.98610303	6.5719007
180352	13.99970819	6.205867
180353	14.01331335	5.8565912
180354	14.02691851	5.8182597
180355	14.04052367	5.854287
180356	14.05412883	6.2947476
180357	14.06773398	6.1777363
180358	14.08133914	5.9146193
180359	14.0949443	5.6996263
180360	14.10854946	5.3388724
180361	14.12215462	4.9759636
180362	14.13575978	4.7880273
180363	14.14936494	4.6508675
180364	14.16297009	4.5363917
180365	14.17657525	4.3885357
180366	14.19018041	4.3180735
180367	14.20378557	4.1986153
180368	14.21739073	4.0894584
180369	14.23099589	3.9614876
180370	14.24460105	3.8390374
180371	14.2582062	3.6886466
180372	14.27181136	3.6348366
180373	14.28541652	3.5712044
180374	14.29902168	3.4373575
180375	14.31262684	3.2681794
180376	14.326232	3.2399039
180377	14.33983716	3.4001102
180378	14.35344231	3.347516
180379	14.36704747	3.3260969
180380	14.38065263	3.5212043
180381	14.39425779	3.6853631
180382	14.40786295	4.0186141
180383	14.42146811	4.1798507
180384	14.43507327	4.3042871
180385	14.44867842	4.3880161
180386	14.46228358	4.1268907
180387	14.47588874	3.9091325
180388	14.4894939	3.7606582
180389	14.50309906	3.5879482
180390	14.51670422	3.429287
180391	14.53030938	3.3029107
180392	14.54391453	3.1913984
180393	14.55751969	2.9872202
180394	14.57112485	2.8876806
180395	14.58473001	3.0289836
180396	14.59833517	2.7764488
180397	14.61194033	2.6600213
180398	14.62554549	2.4963853
180399	14.63915064	2.4306105
180400	14.6527558	2.3541303
180401	14.66636096	2.2259134
180402	14.67996612	2.1155875
180403	14.69357128	2.0564895
180404	14.70717644	2.0243162
180405	14.7207816	1.9918155
180406	14.73438675	1.9758091
180407	14.74799191	1.940984
180408	14.76159707	1.9207051
180409	14.77520223	1.9205301
180410	14.78880739	1.9717875
180411	14.80241255	1.8960768
180412	14.81601771	1.9102213
180413	14.82962286	1.9364685
180414	14.84322802	1.9385341
180415	14.85683318	1.916987
180416	14.87043834	1.8918637
180417	14.8840435	1.8567924
180418	14.89764866	1.8071776
180419	14.91125382	1.7892425
180420	14.92485898	1.7902867
180421	14.93846413	1.7524185
180422	14.95206929	1.7120841
180423	14.96567445	1.7339753
180424	14.97927961	1.7289222
180425	14.99288477	1.7127939
180426	15.00648993	1.7130418
180427	15.02009509	1.6561319
180428	15.03370024	1.6935614
180429	15.0473054	1.6581786
180430	15.06091056	1.634873
180431	15.07451572	1.608511
180432	15.08812088	1.6027121
180433	15.10172604	1.5869174
180434	15.1153312	1.6165866
180435	15.12893635	1.599234
180436	15.14254151	1.57162
180437	15.15614667	1.5921951
180438	15.16975183	1.5567007
180439	15.18335699	1.4796426
180440	15.19696215	1.4503263
180441	15.21056731	1.4544514
180442	15.22417246	1.4108607
180443	15.23777762	1.4103109
180444	15.25138278	1.4426545
180445	15.26498794	1.4337618
180446	15.2785931	1.423895
180447	15.29219826	1.4148404
180448	15.30580342	1.3917831
180449	15.31940857	1.3878698
180450	15.33301373	1.3762603
180451	15.34661889	1.3405233
180452	15.36022405	1.3122242
180453	15.37382921	1.293115
180454	15.38743437	1.2619146
180455	15.40103953	1.2043332
180456	15.41464468	1.135597
180457	15.42824984	1.0428815
180458	15.441855	0.98153838
180459	15.45546016	0.94518433
180460	15.46906532	0.89024849
180461	15.48267048	0.88796666
180462	15.50988079	0.88004792
180463	15.52348595	0.87634447
180464	15.53709111	0.86993211
180465	15.55069627	0.85852913
180466	15.56430143	0.84368195
180467	15.57790659	0.83974749
180468	15.59151175	0.81970823
180469	15.6051169	0.80860605
180470	15.61872206	0.7795641
180471	15.63232722	0.79621687
180472	15.64593238	0.7666004
180473	15.65953754	0.74450246
180474	15.6731427	0.73415993
180475	15.68674786	0.7281058
180476	15.70035301	0.7205896
180477	15.71395817	0.712739
180478	15.72756333	0.71411104
180479	15.74116849	0.70160052
180480	15.75477365	0.69282682
180481	15.76837881	0.67872462
180482	15.78198397	0.68081111
180483	15.79558912	0.66981248
180484	15.80919428	0.66225899
180485	15.82279944	0.66870168
180486	15.8364046	0.66231005
180487	15.85000976	0.66779363
180488	15.86361492	0.65668244
180489	15.87722008	0.65817807
180490	15.89082524	0.6664298
180491	15.90443039	0.66446945
180492	15.91803555	0.65728729
180493	15.93164071	0.65554203
180494	15.94524587	0.64584258
180495	15.95885103	0.63954705
180496	15.97245619	0.66342434
180497	15.98606135	0.6592057
180498	15.9996665	0.64866354
180499	16.01327166	0.64922755
180500	16.02687682	0.64494477
180501	16.04048198	0.63931059
180502	16.05408714	0.64420865
180503	16.0676923	0.64998928
180504	16.08129746	0.64544332
180505	16.09490261	0.63858157
180506	16.10850777	0.62543174
180507	16.12211293	0.62270341
180508	16.13571809	0.6222086
180509	16.14932325	0.61806407
180510	16.16292841	0.61749728
180511	16.17653357	0.61372183
180512	16.19013872	0.60782568
180513	16.20374388	0.60042698
180514	16.21734904	0.59411327
180515	16.2309542	0.60320587
180516	16.24455936	0.59675041
180517	16.25816452	0.60029076
180518	16.27176968	0.63305699
180519	16.28537483	0.5661289
180520	16.29897999	0.53220089
180521	16.31258515	0.51690905
180522	16.32619031	0.50774267
180523	16.33979547	0.50560197
180524	16.35340063	0.49413119
180525	16.36700579	0.4931957
180526	16.3942161	0.47704653
180527	16.40782126	0.46068206
180528	16.42142642	0.4594338
180529	16.43503158	0.45679281
180530	16.44863674	0.45150422
180531	16.4622419	0.43743627
180532	16.47584705	0.43707522
180533	16.48945221	0.42464431
180534	16.50305737	0.4077414
180535	16.51666253	0.39144321
180536	16.53026769	0.38243465
180537	16.54387285	0.38839872
180538	16.55747801	0.37641907
180539	16.57108316	0.36067603
180540	16.58468832	0.36222187
180541	16.59829348	0.34937366
180542	16.61189864	0.34096195
180543	16.6255038	0.33969754
180544	16.63910896	0.33697331
180545	16.65271412	0.32941595
180546	16.67992443	0.31941624
180547	16.69352959	0.31970552
180548	16.70713475	0.31118655
180549	16.72073991	0.30837818
180550	16.73434507	0.32317322
180551	16.74795023	0.32933364
180552	16.76155538	0.34101467
180553	16.77516054	0.3479109
180554	16.7887657	0.35066826
180555	16.80237086	0.3507238
180556	16.81597602	0.3561669
180557	16.82958118	0.35283449
180558	16.84318634	0.36275759
180559	16.8567915	0.35632155
180560	16.87039665	0.34516279
180561	16.88400181	0.3344492
180562	16.89760697	0.3341509
180563	16.91121213	0.3312348
180564	16.92481729	0.32453267
180565	16.93842245	0.32494744
180566	16.95202761	0.31808529
180567	16.96563276	0.31643789
180568	16.97923792	0.31643828
180569	16.99284308	0.31178071
180570	17.00644824	0.30419515
180571	17.0200534	0.29754687
180572	17.03365856	0.29573665
180573	17.04726372	0.2881187
180574	17.06086887	0.28064643
180575	17.07447403	0.28007287
180576	17.08807919	0.28175695
180577	17.10168435	0.2769755
180578	17.11528951	0.28390558
180579	17.12889467	0.28286855
180580	17.14249983	0.28189557
180581	17.15610498	0.27938972
180582	17.16971014	0.27443817
180583	17.1833153	0.26324344
180584	17.19692046	0.27432784
180585	17.21052562	0.26260812
180586	17.22413078	0.2730379
180587	17.23773594	0.28184967
180588	17.25134109	0.28208561
180589	17.26494625	0.28718792
180590	17.27855141	0.27358112
180591	17.29215657	0.27285453
180592	17.30576173	0.27475345
180593	17.31936689	0.26981046
180594	17.33297205	0.26445521
180595	17.3465772	0.25278935
180596	17.36018236	0.26042528
180597	17.37378752	0.25954366
180598	17.38739268	0.25273505
180599	17.40099784	0.25239587
