csdata_id	e_energy	sigma
183204	13.34753729	0.0
183205	13.36026574	0.76163566
183206	13.3738709	0.97108756
183207	13.38747605	1.5475195
183208	13.40108121	1.9373484
183209	13.41468637	2.4362144
183210	13.42829153	2.5634171
183211	13.44189669	2.2015036
183212	13.45550185	2.3837211
183213	13.46910701	2.4944587
183214	13.48271216	2.6005432
183215	13.49631732	2.6810563
183216	13.50992248	2.7509695
183217	13.52352764	2.9133686
183218	13.5371328	2.4739377
183219	13.55073796	2.5029725
183220	13.56434312	2.4912624
183221	13.57794827	2.4657121
183222	13.59155343	2.3458055
183223	13.60515859	2.4225281
183224	13.61876375	2.2720466
183225	13.63236891	2.16821
183226	13.64597407	2.0591001
183227	13.65957923	1.6390881
183228	13.67318438	1.6900338
183229	13.7003947	2.0801314
183230	13.71399986	1.8567376
183231	13.75481534	1.0866053
183232	13.76842049	1.3568416
183233	13.78202565	1.5416867
183234	13.79563081	2.1798929
183235	13.80923597	1.9095055
183236	13.82284113	2.1216106
183237	13.83644629	1.8011782
183238	13.85005145	1.7387521
183239	13.8636566	1.5573346
183240	13.87726176	1.6859581
183241	13.89086692	1.8643603
183242	13.90447208	1.6532059
183243	13.91807724	1.5354705
183244	13.9316824	1.2410292
183245	13.94528756	1.3271644
183246	13.95889272	1.4675009
183247	13.97249787	1.3383186
183248	13.98610303	1.3796074
183249	13.99970819	1.3856739
183250	14.01331335	1.3373633
183251	14.02691851	1.4183561
183252	14.04052367	1.4766115
183253	14.05412883	1.4361636
183254	14.06773398	1.5023233
183255	14.08133914	1.4141129
183256	14.0949443	1.359395
183257	14.10854946	1.379224
183258	14.12215462	1.327821
183259	14.13575978	1.371666
183260	14.14936494	1.3276837
183261	14.16297009	1.2751874
183262	14.17657525	1.2474921
183263	14.19018041	1.2453043
183264	14.20378557	1.3212632
183265	14.21739073	1.1660475
183266	14.23099589	1.2011436
183267	14.24460105	1.1903801
183268	14.2582062	1.1466334
183269	14.27181136	1.1374286
183270	14.28541652	1.2425175
183271	14.29902168	1.3542548
183272	14.31262684	1.5051397
183273	14.326232	1.5250244
183274	14.33983716	1.3573683
183275	14.35344231	1.4440962
183276	14.36704747	1.4601555
183277	14.38065263	1.3937549
183278	14.39425779	1.4526531
183279	14.40786295	1.2716518
183280	14.42146811	1.2510038
183281	14.43507327	1.1884033
183282	14.44867842	1.1505389
183283	14.46228358	1.1496592
183284	14.47588874	1.0424052
183285	14.4894939	1.0109392
183286	14.50309906	0.9844893
183287	14.51670422	0.91617377
183288	14.53030938	0.88944033
183289	14.54391453	0.8182054
183290	14.55751969	0.84166185
183291	14.57112485	0.8624784
183292	14.58473001	0.9061187
183293	14.59833517	0.82590856
183294	14.61194033	0.76346987
183295	14.62554549	0.74693808
183296	14.63915064	0.74654589
183297	14.6527558	0.77270325
183298	14.66636096	0.79296411
183299	14.67996612	0.83480988
183300	14.69357128	0.81055489
183301	14.70717644	0.77975196
183302	14.7207816	0.79991337
183303	14.73438675	0.76694466
183304	14.74799191	0.763726
183305	14.76159707	0.7658433
183306	14.77520223	0.7212947
183307	14.78880739	0.75968976
183308	14.80241255	0.75047462
183309	14.81601771	0.68125498
183310	14.82962286	0.67600711
183311	14.84322802	0.64875973
183312	14.85683318	0.64237383
183313	14.87043834	0.63550634
183314	14.8840435	0.6126595
183315	14.89764866	0.61818494
183316	14.91125382	0.61414403
183317	14.92485898	0.59466153
183318	14.93846413	0.59422797
183319	14.95206929	0.57517185
183320	14.96567445	0.57940667
183321	14.97927961	0.53704563
183322	14.99288477	0.53841541
183323	15.00648993	0.51842872
183324	15.02009509	0.51132345
183325	15.03370024	0.52384234
183326	15.0473054	0.5573418
183327	15.06091056	0.51784817
