csdata_id	e_energy	sigma
180785	13.19303956	0.0
180786	13.19700383	0.3797207
180787	13.21060899	0.82247759
180788	13.22421415	0.98991457
180789	13.23781931	1.2803116
180790	13.25142447	1.4937036
180791	13.26502963	1.6529944
180792	13.27863479	1.9895033
180793	13.3058451	1.5979211
180794	13.31945026	1.6586099
180795	13.33305542	2.1771031
180796	13.34666058	2.1449074
180797	13.36026574	1.8279156
180798	13.3738709	1.6726448
180799	13.38747605	1.0713457
180800	13.40108121	0.95640825
180801	13.41468637	1.1303534
180802	13.42829153	0.94820352
180803	13.44189669	0.85450602
180804	13.45550185	0.88078665
180805	13.46910701	0.76981115
180806	13.48271216	0.80355505
180807	13.49631732	0.80105637
180808	13.50992248	0.62957566
180809	13.52352764	0.52593009
180810	13.5371328	0.51902602
180811	13.55073796	0.50126933
180812	13.56434312	0.47168913
180813	13.57794827	0.44664493
180814	13.59155343	0.43506554
180815	13.60515859	0.43807955
180816	13.61876375	0.51516512
180817	13.63236891	0.56944991
180818	13.64597407	0.56728321
180819	13.65957923	0.6067809
180820	13.67318438	0.61393346
180821	13.7003947	0.30356619
180822	13.71399986	0.35260442
180823	13.75481534	0.50907718
180824	13.76842049	0.47025116
180825	13.78202565	0.53045491
180826	13.79563081	0.83542266
180827	13.80923597	0.76816082
180828	13.82284113	0.69391767
180829	13.83644629	0.72642946
180830	13.85005145	0.84200843
180831	13.8636566	0.83627884
180832	13.87726176	0.8413903
180833	13.89086692	0.86026682
180834	13.90447208	0.7359536
180835	13.91807724	0.65782044
180836	13.9316824	0.77096947
180837	13.94528756	0.69685871
180838	13.95889272	0.64056452
180839	13.97249787	0.59436858
180840	13.98610303	0.53198991
180841	13.99970819	0.47989375
180842	14.01331335	0.46397874
180843	14.02691851	0.47447328
180844	14.04052367	0.46082148
180845	14.05412883	0.44014742
180846	14.06773398	0.46301449
180847	14.08133914	0.49918052
180848	14.0949443	0.51687983
180849	14.10854946	0.53341541
180850	14.12215462	0.53131947
180851	14.13575978	0.5841746
180852	14.14936494	0.57803869
180853	14.16297009	0.60314249
180854	14.17657525	0.58287419
180855	14.19018041	0.57877648
180856	14.20378557	0.5362799
180857	14.21739073	0.540583
180858	14.23099589	0.57864774
180859	14.24460105	0.58193276
180860	14.2582062	0.5960137
180861	14.27181136	0.6019703
180862	14.28541652	0.6064537
180863	14.29902168	0.60722491
180864	14.31262684	0.57992482
180865	14.326232	0.54598521
180866	14.33983716	0.49414281
180867	14.35344231	0.53875052
180868	14.36704747	0.60446775
180869	14.38065263	0.62588976
180870	14.39425779	0.64746293
180871	14.40786295	0.66602886
180872	14.42146811	0.64621431
180873	14.43507327	0.61488268
180874	14.44867842	0.63613294
180875	14.46228358	0.65463487
180876	14.47588874	0.63647868
180877	14.4894939	0.61274575
180878	14.50309906	0.64078285
180879	14.51670422	0.66029125
180880	14.53030938	0.57085926
180881	14.54391453	0.51647574
180882	14.55751969	0.45808125
180883	14.57112485	0.47534967
180884	14.58473001	0.50480505
180885	14.59833517	0.51737097
180886	14.61194033	0.47803101
180887	14.62554549	0.43578693
180888	14.63915064	0.44606694
180889	14.6527558	0.46041156
180890	14.66636096	0.46316064
180891	14.67996612	0.47319335
180892	14.69357128	0.48086127
180893	14.70717644	0.48457108
180894	14.7207816	0.48581287
180895	14.73438675	0.46755022
180896	14.74799191	0.45465377
180897	14.76159707	0.49295011
180898	14.77520223	0.4909292
180899	14.78880739	0.47845006
180900	14.80241255	0.47322288
180901	14.81601771	0.47249178
180902	14.82962286	0.49941881
180903	14.84322802	0.48143881
180904	14.85683318	0.48639635
180905	14.87043834	0.4826937
180906	14.8840435	0.4887731
180907	14.89764866	0.46193365
180908	14.91125382	0.46621111
180909	14.92485898	0.48531337
180910	14.93846413	0.51884587
180911	14.95206929	0.51534709
180912	14.96567445	0.49308827
