	e_energy	sigma
	12.98593721	0.0
	12.99292646	4.9359306
	13.00653161	13.476111
	13.02013677	12.466394
	13.03374193	14.255154
	13.04734709	17.796117
	13.06095225	19.919047
	13.07455741	20.222246
	13.08816257	25.105181
	13.10176772	23.645962
	13.11537288	23.156698
	13.12897804	23.731563
	13.1425832	24.599273
	13.15618836	25.514287
	13.16979352	24.973336
	13.18339868	26.181906
	13.19700383	27.445145
	13.21060899	28.774294
	13.22421415	30.181949
	13.23781931	31.550554
	13.25142447	32.645727
	13.26502963	33.845004
	13.27863479	34.716506
	13.3058451	34.181161
	13.31945026	34.473245
	13.33305542	34.57356
	13.34666058	34.140548
	13.36026574	32.329038
	13.3738709	31.919413
	13.38747605	37.094221
	13.40108121	38.63345
	13.41468637	39.262508
	13.42829153	39.53213
	13.44189669	40.016642
	13.45550185	40.269482
	13.46910701	40.560311
	13.48271216	40.793976
	13.49631732	41.059295
	13.50992248	41.463214
	13.52352764	41.500795
	13.5371328	42.163945
	13.55073796	42.341263
	13.56434312	42.344012
	13.57794827	42.746398
	13.59155343	43.238352
	13.60515859	43.334009
	13.61876375	43.832186
	13.63236891	43.612196
	13.64597407	43.18245
	13.65957923	42.564082
	13.67318438	42.172935
	13.7003947	42.079091
	13.71399986	41.26099
	13.75481534	33.445299
	13.76842049	34.60188
	13.78202565	35.316752
	13.79563081	37.091709
	13.80923597	38.963942
	13.82284113	40.029803
	13.83644629	40.134389
	13.85005145	40.951883
	13.8636566	41.728126
	13.87726176	42.47365
	13.89086692	43.545055
	13.90447208	44.226741
	13.91807724	44.786033
	13.9316824	45.172974
	13.94528756	45.415789
	13.95889272	45.605058
	13.97249787	45.751707
	13.98610303	45.963615
	13.99970819	45.80913
	14.01331335	45.571994
	14.02691851	45.530232
	14.04052367	45.278468
	14.05412883	45.444798
	14.06773398	46.101509
	14.08133914	46.21801
	14.0949443	46.747692
	14.10854946	47.366121
	14.12215462	47.676672
	14.13575978	47.970787
	14.14936494	48.27492
	14.16297009	48.654864
	14.17657525	48.883295
	14.19018041	49.135187
	14.20378557	49.472948
	14.21739073	49.637145
	14.23099589	49.816256
	14.24460105	49.997457
	14.2582062	50.236082
	14.27181136	50.38483
	14.28541652	50.329684
	14.29902168	50.212933
	14.31262684	49.902319
	14.326232	49.041208
	14.33983716	48.759466
	14.35344231	49.252097
	14.36704747	49.182084
	14.38065263	48.53702
	14.39425779	48.113802
	14.40786295	47.748573
	14.42146811	47.691705
	14.43507327	47.84944
	14.44867842	48.441591
	14.46228358	49.397738
	14.47588874	50.141039
	14.4894939	50.814566
	14.50309906	51.414526
	14.51670422	51.937341
	14.53030938	51.884876
	14.54391453	52.20216
	14.55751969	52.661624
	14.57112485	53.223623
	14.58473001	53.669512
	14.59833517	54.07657
	14.61194033	54.308391
	14.62554549	54.506401
	14.63915064	54.638014
	14.6527558	54.62518
	14.66636096	54.965375
	14.67996612	55.156857
	14.69357128	55.295221
	14.70717644	55.423567
	14.7207816	55.542194
	14.73438675	55.516328
	14.74799191	55.604269
	14.76159707	55.649548
	14.77520223	55.748313
	14.78880739	55.691169
	14.80241255	55.838442
	14.81601771	55.865536
	14.82962286	56.051435
	14.84322802	56.075526
	14.85683318	56.144753
	14.87043834	56.04176
	14.8840435	56.100189
	14.89764866	56.156388
	14.91125382	56.181744
	14.92485898	56.167659
	14.93846413	56.171495
	14.95206929	56.394745
	14.96567445	56.443437
	14.97927961	56.542444
	14.99288477	56.783226
	15.00648993	56.887774
	15.02009509	56.955424
	15.03370024	57.061538
	15.0473054	57.169534
	15.06091056	57.314377
	15.07451572	57.405967
	15.08812088	57.526626
	15.10172604	57.629975
	15.1153312	57.789621
	15.12893635	57.772247
	15.14254151	57.541914
	15.15614667	57.53778
	15.16975183	57.558038
	15.18335699	57.515462
	15.19696215	57.533958
	15.21056731	57.547179
	15.22417246	57.438196
	15.23777762	57.479017
	15.25138278	57.60982
	15.26498794	57.715649
	15.2785931	57.89917
	15.29219826	58.037414
	15.30580342	58.084494
	15.31940857	58.279839
	15.33301373	58.467939
	15.34661889	58.62281
	15.36022405	58.758088
	15.37382921	59.144757
	15.38743437	59.672753
	15.40103953	60.146279
	15.41464468	60.520015
	15.42824984	60.880151
	15.441855	61.118369
	15.45546016	61.306759
	15.46906532	61.470426
	15.48267048	61.593577
	15.50988079	61.747685
	15.52348595	61.763223
	15.53709111	61.767746
	15.55069627	61.762413
	15.56430143	61.829586
	15.57790659	61.724162
	15.59151175	61.846241
	15.6051169	61.826937
	15.61872206	61.82232
	15.63232722	61.827527
	15.64593238	61.899974
	15.65953754	61.898805
	15.6731427	61.93181
	15.68674786	61.880883
	15.70035301	61.956428
	15.71395817	62.064592
	15.72756333	62.120961
	15.74116849	62.217555
	15.75477365	62.157637
	15.76837881	62.171262
	15.78198397	62.164321
	15.79558912	62.131291
	15.80919428	62.124154
	15.82279944	62.041986
	15.8364046	62.036629
	15.85000976	62.011323
	15.86361492	62.06344
	15.87722008	62.086645
	15.89082524	62.118842
	15.90443039	62.133508
	15.91803555	62.10367
	15.93164071	62.151428
	15.94524587	62.093758
	15.95885103	62.115362
	15.97245619	62.124233
	15.98606135	62.118192
	15.9996665	62.181377
	16.01327166	62.122697
	16.02687682	62.107355
	16.04048198	62.121893
	16.05408714	62.098906
	16.0676923	62.075524
	16.08129746	62.066756
