	e_energy	sigma
	12.96301252	0.0
	12.96571614	0.61410704
	12.9793213	3.1765216
	12.99292646	3.34808
	13.00653161	3.8435922
	13.02013677	4.6488293
	13.03374193	5.7818468
	13.04734709	6.8637883
	13.06095225	8.5364074
	13.07455741	7.8496629
	13.08816257	7.1944652
	13.10176772	6.6034186
	13.11537288	6.3127376
	13.12897804	6.3020675
	13.1425832	6.3646919
	13.15618836	6.0602102
	13.16979352	6.1413785
	13.18339868	6.2118641
	13.19700383	6.1145419
	13.21060899	6.2157516
	13.22421415	6.2736974
	13.23781931	6.4421679
	13.25142447	6.5071267
	13.26502963	6.6307384
	13.27863479	5.7617124
	13.3058451	5.6927088
	13.31945026	5.7706222
	13.33305542	5.9726015
	13.34666058	6.1540059
	13.36026574	6.8301122
	13.3738709	7.3389231
	13.38747605	6.4017428
	13.40108121	6.1898831
	13.41468637	6.2418487
	13.42829153	5.3465028
	13.44189669	5.4265169
	13.45550185	5.2692668
	13.46910701	5.1122203
	13.48271216	5.1177301
	13.49631732	5.0387561
	13.50992248	5.0139525
	13.52352764	4.842895
	13.5371328	5.0383522
	13.55073796	5.036797
	13.56434312	5.0100155
	13.57794827	5.0040524
	13.59155343	5.0237347
	13.60515859	5.3151873
	13.61876375	5.0013273
	13.63236891	4.9275217
	13.64597407	5.0214635
	13.65957923	5.1600982
	13.67318438	5.0628825
	13.7003947	5.5327811
	13.71399986	5.0601142
	13.75481534	4.5045885
	13.76842049	4.5091206
	13.78202565	4.677234
	13.79563081	4.5424643
	13.80923597	4.3674041
	13.82284113	4.4277728
	13.83644629	4.4509819
	13.85005145	4.4702262
	13.8636566	4.2924777
	13.87726176	4.2530754
	13.89086692	4.1137494
	13.90447208	4.0491308
	13.91807724	4.1007746
	13.9316824	4.1744934
	13.94528756	4.2341734
	13.95889272	4.127466
	13.97249787	4.0750266
	13.98610303	4.0592195
	13.99970819	3.9506014
	14.01331335	4.0561094
	14.02691851	4.0553413
	14.04052367	4.0157117
	14.05412883	3.9818692
	14.06773398	3.9645583
	14.08133914	4.0591249
	14.0949443	4.0346356
	14.10854946	4.1251736
	14.12215462	4.0298985
	14.13575978	4.0310923
	14.14936494	4.1345442
	14.16297009	4.1326557
	14.17657525	4.0896346
	14.19018041	4.0884962
	14.20378557	4.1691154
	14.21739073	4.1211162
	14.23099589	4.1372997
	14.24460105	4.1446043
	14.2582062	4.1914029
	14.27181136	4.1328426
	14.28541652	4.2214042
	14.29902168	4.2375078
