csdata_id	e_energy	sigma
140731	13.2921058	0.0
140732	13.3058451	1.1624342
140733	13.31945026	1.6265587
140734	13.33305542	2.3393253
140735	13.34666058	2.6287811
140736	13.36026574	2.9347536
140737	13.3738709	3.4711658
140738	13.38747605	3.7971102
140739	13.40108121	4.1584913
140740	13.41468637	4.6132201
140741	13.42829153	4.8640943
140742	13.44189669	5.0364838
140743	13.45550185	5.4936765
140744	13.46910701	5.9730469
140745	13.48271216	5.2463739
140746	13.49631732	5.6899919
140747	13.50992248	5.8997635
140748	13.52352764	6.0831541
140749	13.5371328	6.5531394
140750	13.55073796	6.7865291
140751	13.56434312	6.9841929
140752	13.57794827	7.2884743
140753	13.59155343	7.4836182
140754	13.60515859	7.7256315
140755	13.61876375	7.5797319
140756	13.63236891	7.6958702
140757	13.64597407	7.6009966
140758	13.65957923	7.4455932
140759	13.67318438	7.1118228
140760	13.7003947	7.0381768
140761	13.71399986	7.7536077
140762	13.75481534	5.57302
140763	13.76842049	5.1529962
140764	13.78202565	5.5640714
140765	13.79563081	4.9465739
140766	13.80923597	4.5636597
140767	13.82284113	4.4609699
140768	13.83644629	4.3850428
140769	13.85005145	4.5379977
140770	13.8636566	5.0848032
140771	13.87726176	5.2418963
140772	13.89086692	5.6086217
140773	13.90447208	5.4422768
140774	13.91807724	5.3878287
140775	13.9316824	4.9980647
140776	13.94528756	5.0929666
140777	13.95889272	5.1320075
140778	13.97249787	5.176578
140779	13.98610303	5.1579113
140780	13.99970819	5.2711502
140781	14.01331335	5.137138
140782	14.02691851	5.214729
140783	14.04052367	5.398618
140784	14.05412883	5.6019955
140785	14.06773398	5.644901
140786	14.08133914	5.8322931
140787	14.0949443	5.8651161
140788	14.10854946	5.9963248
140789	14.12215462	6.0476861
140790	14.13575978	6.2387404
140791	14.14936494	6.3232551
140792	14.16297009	6.1840848
140793	14.17657525	6.1828821
140794	14.19018041	6.3474393
140795	14.20378557	6.4729442
140796	14.21739073	6.5578585
140797	14.23099589	6.4275686
140798	14.24460105	6.3212608
140799	14.2582062	6.0802154
140800	14.27181136	6.0204176
140801	14.28541652	5.8807507
140802	14.29902168	5.730007
140803	14.31262684	5.6080664
