	e_energy	sigma
	12.37320169	0.0
	12.38069432	2.3132018
	12.39429948	4.3689383
	12.40790464	3.8430198
	12.42150979	3.5592058
	12.43511495	3.4722268
	12.44872011	3.5116331
	12.46232527	3.6473854
	12.47593043	4.2108658
	12.48953559	4.3916059
	12.50314075	4.5991621
	12.5167459	4.8085671
	12.53035106	5.0160634
	12.54395622	5.2186956
	12.55756138	6.2043588
	12.57116654	6.4307565
	12.5847717	6.6402692
	12.59837686	6.8331409
	12.61198201	7.0088101
	12.62558717	7.1687537
	12.63919233	7.3124739
	12.65279749	7.4380952
	12.66640265	7.5363927
	12.68000781	7.7422255
	12.69361297	7.9230779
	12.70721812	7.9981742
	12.72082328	8.0526972
	12.73442844	8.1013067
	12.7480336	8.1431608
	12.76163876	8.1780991
	12.77524392	8.2074201
	12.78884908	8.2339901
	12.80245423	8.2672163
	12.81605939	8.3256114
	12.82966455	8.3729754
	12.84326971	8.6587733
	12.85687487	8.8806115
	12.87048003	8.9748411
	12.88408519	9.5442156
	12.89769034	9.3746048
	12.9112955	9.0077578
	12.92490066	8.6697022
	12.93850582	8.383851
	12.95211098	8.1354702
	12.96571614	7.987834
	12.9793213	7.9457183
	12.99292646	8.0475851
	13.00653161	8.2049586
	13.02013677	8.2628772
	13.03374193	8.0346073
	13.04734709	7.890436
	13.06095225	7.5970713
	13.07455741	7.5441494
	13.08816257	7.4802397
	13.10176772	7.4582854
	13.11537288	7.3952779
	13.12897804	7.3498431
	13.1425832	7.2903375
	13.15618836	7.2245219
	13.16979352	7.1607112
	13.18339868	7.0903235
	13.19700383	7.0212726
	13.21060899	7.1078462
	13.22421415	7.05683
	13.23781931	7.006882
	13.25142447	6.9427223
	13.26502963	6.8928803
	13.27863479	6.8673673
	13.3058451	6.8362301
	13.31945026	6.8519288
	13.33305542	6.7546585
	13.34666058	6.6838629
	13.36026574	6.6674726
	13.3738709	6.6199954
	13.38747605	6.5741822
	13.40108121	6.544561
	13.41468637	6.5450433
	13.42829153	6.5331934
	13.44189669	6.5415794
	13.45550185	6.5432035
	13.46910701	6.5152091
	13.48271216	6.4940111
	13.49631732	6.5236369
	13.50992248	6.4774222
	13.52352764	6.4927669
	13.5371328	6.4741081
	13.55073796	6.4640139
	13.56434312	6.4438912
	13.57794827	6.4183862
	13.59155343	6.390371
	13.60515859	6.3559543
	13.61876375	6.4124752
	13.63236891	6.4979826
	13.64597407	6.481659
	13.65957923	6.4775015
	13.67318438	6.4696387
	13.7003947	6.1672776
	13.71399986	6.5059619
	13.75481534	6.1062102
	13.76842049	5.9697488
	13.78202565	5.8013402
	13.79563081	5.991872
	13.80923597	5.8663568
	13.82284113	5.7362355
	13.83644629	5.639905
	13.85005145	5.5766945
	13.8636566	5.5363636
	13.87726176	5.4627426
	13.89086692	5.3954966
	13.90447208	5.2714457
	13.91807724	5.2056505
	13.9316824	5.1254939
	13.94528756	5.0819692
	13.95889272	5.0233405
	13.97249787	5.0436712
	13.98610303	5.0802457
	13.99970819	4.977869
	14.01331335	4.9716247
	14.02691851	4.9433878
	14.04052367	4.9715138
	14.05412883	4.9612765
	14.06773398	4.9954411
	14.08133914	5.0125788
	14.0949443	5.125628
	14.10854946	5.2019064
	14.12215462	5.2407997
	14.13575978	5.1347177
	14.14936494	5.0510866
	14.16297009	4.9724958
	14.17657525	4.9640142
	14.19018041	4.9763725
	14.20378557	4.9443653
	14.21739073	4.9985209
	14.23099589	4.9475759
	14.24460105	4.8868824
	14.2582062	4.8062624
	14.27181136	4.7889703
	14.28541652	4.7385383
	14.29902168	4.6429015
	14.31262684	4.5863726
	14.326232	4.5835817
	14.33983716	4.5766416
	14.35344231	4.5638303
	14.36704747	4.5276622
	14.38065263	4.5125174
	14.39425779	4.4712409
	14.40786295	4.4484239
	14.42146811	4.4128769
	14.43507327	4.3956142
	14.44867842	4.3736775
	14.46228358	4.3708971
	14.47588874	4.3763358
	14.4894939	4.409701
	14.50309906	4.4809741
	14.51670422	4.4555752
	14.53030938	4.4098006
	14.54391453	4.3496019
	14.55751969	4.3272988
	14.57112485	4.3029819
	14.58473001	4.2643956
	14.59833517	4.2482243
	14.61194033	4.256826
	14.62554549	4.2267126
	14.63915064	4.2128639
	14.6527558	4.1768401
	14.66636096	4.1446543
	14.67996612	4.1115001
	14.69357128	4.09848
	14.70717644	4.0752692
	14.7207816	4.0607304
	14.73438675	4.0526602
	14.74799191	4.0390853
	14.76159707	4.0168729
	14.77520223	3.9910781
	14.78880739	3.9686129
	14.80241255	3.9572194
	14.81601771	3.9703285
	14.82962286	3.9568404
	14.84322802	3.9343569
	14.85683318	3.9187027
	14.87043834	3.914398
	14.8840435	3.8976729
	14.89764866	3.8953382
	14.91125382	3.8876594
	14.92485898	3.8737296
	14.93846413	3.8583258
	14.95206929	3.8628684
	14.96567445	3.8477275
	14.97927961	3.8384584
	14.99288477	3.8254174
	15.00648993	3.8233166
	15.02009509	3.8035185
	15.03370024	3.7833732
	15.0473054	3.7791499
	15.06091056	3.7680241
	15.07451572	3.7513341
	15.08812088	3.7405319
	15.10172604	3.7285482
	15.1153312	3.7144443
	15.12893635	3.7051844
	15.14254151	3.6886381
	15.15614667	3.672457
	15.16975183	3.6614319
	15.18335699	3.6610106
	15.19696215	3.6506488
	15.21056731	3.6400977
	15.22417246	3.6147539
	15.23777762	3.5944554
	15.25138278	3.5815227
	15.26498794	3.5751844
	15.2785931	3.5541125
	15.29219826	3.5451827
	15.30580342	3.5293456
	15.31940857	3.515876
	15.33301373	3.5043212
	15.34661889	3.4935819
	15.36022405	3.4796451
	15.37382921	3.4709002
	15.38743437	3.4664506
	15.40103953	3.4595554
	15.41464468	3.4602173
	15.42824984	3.4613513
	15.441855	3.4570989
	15.45546016	3.4640838
	15.46906532	3.4558176
	15.48267048	3.4444806
	15.50988079	3.4174638
	15.52348595	3.4079434
	15.53709111	3.3832636
	15.55069627	3.3757911
	15.56430143	3.3581513
	15.57790659	3.3550346
	15.59151175	3.3512555
	15.6051169	3.342119
	15.61872206	3.3430125
	15.63232722	3.3294272
	15.64593238	3.3377539
	15.65953754	3.3207242
	15.6731427	3.3101964
	15.68674786	3.2939073
	15.70035301	3.2874886
	15.71395817	3.2873921
	15.72756333	3.2812212
	15.74116849	3.2664334
	15.75477365	3.2583132
	15.76837881	3.2517383
	15.78198397	3.2420747
	15.79558912	3.2228918
	15.80919428	3.2193068
	15.82279944	3.2092402
	15.8364046	3.1950416
	15.85000976	3.186858
	15.86361492	3.1885466
	15.87722008	3.1822401
	15.89082524	3.1713648
	15.90443039	3.165057
	15.91803555	3.1570657
	15.93164071	3.1493195
	15.94524587	3.1344912
	15.95885103	3.130417
	15.97245619	3.1297255
	15.98606135	3.1288016
	15.9996665	3.121373
	16.01327166	3.1156975
	16.02687682	3.108619
	16.04048198	3.0988578
	16.05408714	3.0895191
	16.0676923	3.0818411
	16.08129746	3.0747143
	16.09490261	3.0691814
	16.10850777	3.0567763
	16.12211293	3.0495621
	16.13571809	3.0428366
	16.14932325	3.0333452
	16.16292841	3.0262438
	16.17653357	3.0217223
	16.19013872	3.0159648
	16.20374388	3.0132131
	16.21734904	3.0005393
	16.2309542	2.9906423
	16.24455936	2.9861662
	16.25816452	2.9805614
	16.27176968	2.9713326
	16.28537483	2.9613108
	16.29897999	2.9591444
	16.31258515	2.9580142
	16.32619031	2.949195
	16.33979547	2.9539299
	16.35340063	2.9462353
	16.36700579	2.9407587
	16.3942161	2.9285184
	16.40782126	2.920476
	16.42142642	2.9173903
	16.43503158	2.908701
	16.44863674	2.9048811
	16.4622419	2.8974168
	16.47584705	2.8908716
	16.48945221	2.8871836
	16.50305737	2.8802656
	16.51666253	2.8723165
	16.53026769	2.8629717
	16.54387285	2.8584786
	16.55747801	2.850513
	16.57108316	2.8447502
	16.58468832	2.838058
	16.59829348	2.8322394
	16.61189864	2.8244705
	16.6255038	2.8224622
	16.63910896	2.8198552
	16.65271412	2.8103858
	16.67992443	2.7987555
	16.69352959	2.7938486
	16.70713475	2.7906963
	16.72073991	2.7888236
	16.73434507	2.7812848
	16.74795023	2.7775492
	16.76155538	2.7724443
	16.77516054	2.762567
	16.7887657	2.7521509
	16.80237086	2.7496922
