	e_energy	sigma
	13.02126328	0.0
	13.03374193	8.7028329
	13.04734709	11.937238
	13.06095225	11.453841
	13.07455741	12.457938
	13.08816257	13.971065
	13.10176772	14.095353
	13.11537288	18.559939
	13.12897804	19.866509
	13.1425832	21.253754
	13.15618836	22.825666
	13.16979352	24.391383
	13.18339868	26.216504
	13.19700383	28.014134
	13.21060899	24.642336
	13.22421415	25.892428
	13.23781931	27.209044
	13.25142447	28.423059
	13.26502963	29.484779
	13.27863479	30.95983
	13.3058451	33.303981
	13.31945026	34.136466
	13.33305542	32.687799
	13.34666058	34.000809
	13.36026574	33.315307
	13.3738709	33.830509
	13.38747605	35.049184
	13.40108121	35.928619
	13.41468637	36.704419
	13.42829153	37.230422
	13.44189669	37.497547
	13.45550185	38.221522
	13.46910701	38.841766
	13.48271216	38.848076
	13.49631732	39.093575
	13.50992248	39.65724
	13.52352764	40.351154
	13.5371328	41.53151
	13.55073796	41.676536
	13.56434312	42.158806
	13.57794827	42.71863
	13.59155343	43.262359
	13.60515859	43.755639
	13.61876375	43.523174
	13.63236891	43.299946
	13.64597407	42.972074
	13.65957923	42.660522
	13.67318438	42.678816
	13.7003947	42.800071
	13.71399986	42.727499
	13.75481534	35.080334
	13.76842049	34.822324
	13.78202565	35.525131
	13.79563081	36.9085
	13.80923597	38.798289
	13.82284113	40.308981
	13.83644629	41.334465
	13.85005145	42.236812
	13.8636566	42.6367
	13.87726176	43.104054
	13.89086692	44.137332
	13.90447208	44.967147
	13.91807724	45.497659
	13.9316824	46.727906
	13.94528756	47.28948
	13.95889272	47.251687
	13.97249787	46.720025
	13.98610303	46.994898
	13.99970819	47.068235
	14.01331335	46.809959
	14.02691851	46.313801
	14.04052367	46.000145
	14.05412883	45.847005
	14.06773398	47.08277
	14.08133914	47.573201
	14.0949443	48.349939
	14.10854946	48.656973
	14.12215462	48.963996
	14.13575978	49.604314
	14.14936494	49.884075
	14.16297009	49.834621
	14.17657525	50.591387
	14.19018041	50.938812
	14.20378557	51.252905
	14.21739073	51.677832
	14.23099589	51.922745
	14.24460105	52.138422
	14.2582062	52.152033
	14.27181136	52.347724
	14.28541652	52.356363
	14.29902168	52.433365
	14.31262684	52.119719
	14.326232	51.793711
	14.33983716	51.016718
	14.35344231	51.296421
	14.36704747	51.821743
	14.38065263	51.389607
	14.39425779	51.189434
	14.40786295	50.581467
	14.42146811	50.420239
	14.43507327	50.45658
	14.44867842	51.336947
	14.46228358	51.698703
	14.47588874	52.484177
	14.4894939	53.037503
	14.50309906	53.579305
	14.51670422	54.066376
	14.53030938	54.085959
	14.54391453	54.523914
	14.55751969	54.716824
	14.57112485	54.884774
	14.58473001	55.380077
	14.59833517	55.93888
	14.61194033	56.465605
	14.62554549	56.661537
	14.63915064	57.033145
	14.6527558	57.285665
	14.66636096	57.763097
	14.67996612	57.897141
	14.69357128	58.064433
	14.70717644	58.219523
	14.7207816	58.292797
	14.73438675	58.245364
	14.74799191	58.379651
	14.76159707	58.468663
	14.77520223	58.298003
	14.78880739	58.398328
