csdata_id	e_energy	sigma
145258	12.98593721	0.0
145259	12.99292646	2.7994044
145260	13.00653161	8.0128449
145261	13.02013677	10.490539
145262	13.03374193	10.995787
145263	13.04734709	12.307423
145264	13.06095225	14.760319
145265	13.07455741	14.418007
145266	13.08816257	15.179697
145267	13.10176772	13.823813
145268	13.11537288	12.672137
145269	13.12897804	12.151685
145270	13.1425832	11.706176
145271	13.15618836	11.358028
145272	13.16979352	11.547209
145273	13.18339868	11.16116
145274	13.19700383	10.648004
145275	13.21060899	10.640866
145276	13.22421415	10.685913
145277	13.23781931	10.621583
145278	13.25142447	9.9922313
145279	13.26502963	9.7895641
145280	13.27863479	9.8605893
145281	13.3058451	9.1899736
145282	13.31945026	9.0262212
145283	13.33305542	8.9758441
145284	13.34666058	9.0036781
145285	13.36026574	8.8045429
145286	13.3738709	8.9145055
145287	13.38747605	9.2055187
145288	13.40108121	9.1169679
145289	13.41468637	8.9332812
145290	13.42829153	8.7320782
145291	13.44189669	8.4995215
145292	13.45550185	8.2531651
145293	13.46910701	8.0133035
145294	13.48271216	7.7820919
145295	13.49631732	7.6592576
145296	13.50992248	7.5268096
145297	13.52352764	7.1876014
145298	13.5371328	7.2872734
145299	13.55073796	7.319568
145300	13.56434312	7.3281286
145301	13.57794827	7.300783
145302	13.59155343	7.3316282
145303	13.60515859	7.7726153
145304	13.61876375	7.9308295
145305	13.63236891	7.8238249
145306	13.64597407	8.0979189
145307	13.65957923	8.5112796
145308	13.67318438	8.1899241
145309	13.7003947	8.320326
145310	13.71399986	7.1001151
145311	13.75481534	4.942242
145312	13.76842049	5.2228166
145313	13.78202565	5.4421494
145314	13.79563081	5.2406087
145315	13.80923597	5.2894839
145316	13.82284113	4.9865975
145317	13.83644629	4.6629648
145318	13.85005145	4.7102749
145319	13.8636566	4.3927739
145320	13.87726176	4.2900289
145321	13.89086692	4.250407
145322	13.90447208	4.3153055
145323	13.91807724	4.2817488
145324	13.9316824	4.4027725
145325	13.94528756	4.2997046
145326	13.95889272	4.1668702
145327	13.97249787	4.2474709
145328	13.98610303	4.2607688
145329	13.99970819	4.0137088
145330	14.01331335	4.0448226
145331	14.02691851	4.1305905
145332	14.04052367	4.0393832
145333	14.05412883	4.0367327
145334	14.06773398	4.1971904
145335	14.08133914	4.2472683
145336	14.0949443	4.1524907
145337	14.10854946	4.1776918
145338	14.12215462	4.0960766
145339	14.13575978	4.0715617
145340	14.14936494	4.0641559
145341	14.16297009	4.0466363
145342	14.17657525	4.0534961
145343	14.19018041	4.1707533
145344	14.20378557	4.1967979
145345	14.21739073	4.1957782
145346	14.23099589	4.1458678
145347	14.24460105	4.1828644
145348	14.2582062	4.2411257
145349	14.27181136	4.191976
145350	14.28541652	4.1745571
145351	14.29902168	4.0568464
145352	14.31262684	3.8627765
145353	14.326232	3.580102
145354	14.33983716	3.4994474
145355	14.35344231	3.525089
145356	14.36704747	3.3056923
145357	14.38065263	3.099417
145358	14.39425779	2.8987238
145359	14.40786295	2.6834922
145360	14.42146811	2.6341436
145361	14.43507327	2.5090318
145362	14.44867842	2.5044432
145363	14.46228358	2.5271656
145364	14.47588874	2.5458437
145365	14.4894939	2.6062007
145366	14.50309906	2.6543802
145367	14.51670422	2.6540408
145368	14.53030938	2.6951369
145369	14.54391453	2.7422069
145370	14.55751969	2.8969765
145371	14.57112485	2.8896303
145372	14.58473001	2.9665018
145373	14.59833517	2.9325526
145374	14.61194033	2.9317337
