	e_energy	sigma
	12.97054923	0.0
	12.9793213	4.9424033
	12.99292646	9.9002266
	13.00653161	11.855165
	13.02013677	11.253877
	13.03374193	13.50796
	13.04734709	16.510967
	13.06095225	17.763802
	13.07455741	20.903593
	13.08816257	19.661008
	13.10176772	16.956638
	13.11537288	14.922731
	13.12897804	14.264848
	13.1425832	13.812387
	13.15618836	13.795484
	13.16979352	13.456
	13.18339868	13.236935
	13.19700383	12.981066
	13.21060899	12.823166
	13.22421415	12.874404
	13.23781931	12.856598
	13.25142447	12.513976
	13.26502963	12.260285
	13.27863479	11.983201
	13.3058451	11.974868
	13.31945026	11.682832
	13.33305542	11.537532
	13.34666058	11.45276
	13.36026574	11.210732
	13.3738709	11.331855
	13.38747605	11.5549
	13.40108121	11.428418
	13.41468637	11.496852
	13.42829153	11.533222
	13.44189669	11.234963
	13.45550185	10.900119
	13.46910701	10.511113
	13.48271216	10.276802
	13.49631732	10.167908
	13.50992248	9.96052
	13.52352764	9.5220164
	13.5371328	9.5886623
	13.55073796	9.7702594
	13.56434312	9.8432445
	13.57794827	9.741609
	13.59155343	9.400645
	13.60515859	9.359314
	13.61876375	9.4845741
	13.63236891	9.6715235
	13.64597407	9.399182
	13.65957923	8.6659579
	13.67318438	7.9556381
	13.7003947	7.8927643
	13.71399986	6.8928992
	13.75481534	6.51096
	13.76842049	6.7188024
	13.78202565	7.1690731
	13.79563081	7.0343493
	13.80923597	7.2939803
	13.82284113	6.8421713
	13.83644629	6.9553739
	13.85005145	7.0995307
	13.8636566	6.9593548
	13.87726176	6.8022738
	13.89086692	6.7148925
	13.90447208	6.7219821
	13.91807724	6.5558498
	13.9316824	6.5384883
	13.94528756	6.3862249
	13.95889272	6.124905
	13.97249787	5.9947173
	13.98610303	6.0123814
	13.99970819	6.0756834
	14.01331335	6.0197354
	14.02691851	5.8085361
	14.04052367	5.962593
	14.05412883	5.8639729
	14.06773398	5.6804933
	14.08133914	5.5670851
	14.0949443	5.3778774
	14.10854946	5.178637
	14.12215462	5.0138345
	14.13575978	5.1943718
	14.14936494	5.1229723
	14.16297009	4.8586633
	14.17657525	4.9243477
	14.19018041	4.8602557
	14.20378557	4.786749
	14.21739073	4.6986225
	14.23099589	4.6556102
	14.24460105	4.5388408
	14.2582062	4.3712932
	14.27181136	4.2294577
	14.28541652	4.0906825
	14.29902168	3.8459309
	14.31262684	3.6426563
	14.326232	3.4237052
	14.33983716	3.5632599
	14.35344231	3.5943902
	14.36704747	3.4954407
	14.38065263	3.4603627
	14.39425779	3.5067915
	14.40786295	3.5889521
	14.42146811	3.7072427
	14.43507327	3.8164836
	14.44867842	3.8823791
	14.46228358	4.1100038
	14.47588874	4.0351269
	14.4894939	4.0227789
	14.50309906	3.9845456
	14.51670422	3.8693224
	14.53030938	3.8088756
	14.54391453	3.7550376
	14.55751969	3.791248
	14.57112485	3.8367186
	14.58473001	3.8618453
	14.59833517	3.8031296
	14.61194033	3.7517929
	14.62554549	3.6864202
	14.63915064	3.5298883
	14.6527558	3.4583034
	14.66636096	3.4225738
	14.67996612	3.2212026
	14.69357128	3.1925014
	14.70717644	3.1720399
	14.7207816	3.086539
	14.73438675	3.0585813
	14.74799191	3.0564643
	14.76159707	3.0309403
	14.77520223	2.9809083
	14.78880739	3.0130991
	14.80241255	2.9043966
	14.81601771	2.8961607
	14.82962286	2.8784134
	14.84322802	2.8608039
	14.85683318	2.7941677
	14.87043834	2.7344555
	14.8840435	2.6394335
	14.89764866	2.6072509
	14.91125382	2.5128391
	14.92485898	2.4804283
	14.93846413	2.4895745
	14.95206929	2.5835724
	14.96567445	2.4571593
	14.97927961	2.4065343
	14.99288477	2.3699116
	15.00648993	2.3365779
	15.02009509	2.3192263
	15.03370024	2.2627228
	15.0473054	2.2183872
	15.06091056	2.1737092
	15.07451572	2.2001282
	15.08812088	2.1621317
	15.10172604	2.1623714
	15.1153312	2.0987233
	15.12893635	2.092728
	15.14254151	2.0778852
	15.15614667	2.0601239
	15.16975183	2.0900423
	15.18335699	2.0767469
	15.19696215	2.0904383
	15.21056731	2.0714726
	15.22417246	2.0065306
	15.23777762	1.9330938
	15.25138278	1.9621469
	15.26498794	1.9909575
	15.2785931	2.0332571
	15.29219826	1.9823833
	15.30580342	1.9736212
	15.31940857	1.9858537
	15.33301373	2.0049011
	15.34661889	1.962164
	15.36022405	1.9473619
	15.37382921	1.9367377
	15.38743437	1.9137198
	15.40103953	1.9281399
	15.41464468	1.8898933
	15.42824984	1.8777496
	15.441855	1.8637101
	15.45546016	1.8460981
	15.46906532	1.7943464
	15.48267048	1.7581506
	15.50988079	1.6994437
	15.52348595	1.6461004
	15.53709111	1.6359612
	15.55069627	1.6117369
	15.56430143	1.5950417
	15.57790659	1.5676834
	15.59151175	1.5716449
	15.6051169	1.5360876
	15.61872206	1.5323757
	15.63232722	1.5232498
	15.64593238	1.5307916
	15.65953754	1.5378588
	15.6731427	1.5263167
	15.68674786	1.4913177
	15.70035301	1.5033947
	15.71395817	1.4711124
	15.72756333	1.4164056
	15.74116849	1.385365
	15.75477365	1.3870075
	15.76837881	1.3845066
	15.78198397	1.4350739
	15.79558912	1.3848036
	15.80919428	1.3581544
	15.82279944	1.328656
	15.8364046	1.3144096
	15.85000976	1.3140485
	15.86361492	1.3079665
	15.87722008	1.3052295
	15.89082524	1.2723569
	15.90443039	1.2509657
	15.91803555	1.2461088
	15.93164071	1.2362197
	15.94524587	1.2399587
	15.95885103	1.1991835
	15.97245619	1.2196143
	15.98606135	1.2115377
	15.9996665	1.1767026
	16.01327166	1.176081
	16.02687682	1.1639298
	16.04048198	1.2136717
	16.05408714	1.1857179
	16.0676923	1.1824173
	16.08129746	1.1597293
	16.09490261	1.1426928
	16.10850777	1.1199703
	16.12211293	1.1162053
	16.13571809	1.0944655
	16.14932325	1.0904016
	16.16292841	1.0790115
	16.17653357	1.076889
	16.19013872	1.0899701
	16.20374388	1.0834029
	16.21734904	1.0707313
	16.2309542	1.073475
	16.24455936	1.0608351
	16.25816452	1.0387136
	16.27176968	1.0486679
	16.28537483	1.0460356
	16.29897999	1.033247
	16.31258515	1.0286717
	16.32619031	1.0260285
	16.33979547	1.0183762
	16.35340063	1.013013
	16.36700579	0.97767607
	16.3942161	0.94022167
	16.40782126	0.93516457
	16.42142642	0.92373492
	16.43503158	0.93393435
	16.44863674	0.88556891
	16.4622419	0.8751359
	16.47584705	0.87124171
	16.48945221	0.86122167
	16.50305737	0.85081518
	16.51666253	0.8264571
	16.53026769	0.85873084
	16.54387285	0.85529932
	16.55747801	0.82308432
	16.57108316	0.81269945
	16.58468832	0.82165918
	16.59829348	0.79917968
	16.61189864	0.7770477
	16.6255038	0.75780477
	16.63910896	0.75078764
	16.65271412	0.75533073
	16.67992443	0.74830275
	16.69352959	0.73233894
	16.70713475	0.72685531
	16.72073991	0.69860291
	16.73434507	0.71211924
	16.74795023	0.69711398
	16.76155538	0.70276382
	16.77516054	0.6818978
	16.7887657	0.67877017
	16.80237086	0.68862852
	16.81597602	0.69947693
	16.82958118	0.67729415
	16.84318634	0.68524819
	16.8567915	0.69768851
	16.87039665	0.70919816
	16.88400181	0.70004761
	16.89760697	0.6955597
	16.91121213	0.68587476
	16.92481729	0.66342315
	16.93842245	0.66559713
	16.95202761	0.65328869
	16.96563276	0.66045222
	16.97923792	0.65210556
	16.99284308	0.64654634
	17.00644824	0.63450665
	17.0200534	0.63526748
	17.03365856	0.627076
	17.04726372	0.61722058
	17.06086887	0.61891257
	17.07447403	0.60178602
	17.08807919	0.6033319
	17.10168435	0.59926725
	17.11528951	0.59290665
	17.12889467	0.59045978
	17.14249983	0.57226157
	17.15610498	0.58295529
	17.16971014	0.57163074
	17.1833153	0.56534161
	17.19692046	0.56714804
	17.21052562	0.57295754
	17.22413078	0.56858589
	17.23773594	0.55724265
	17.25134109	0.54240957
	17.26494625	0.54576896
	17.27855141	0.54088472
	17.29215657	0.54729769
	17.30576173	0.54975992
	17.31936689	0.54601809
	17.33297205	0.54078984
	17.3465772	0.55466501
	17.36018236	0.53694085
	17.37378752	0.53986082
	17.38739268	0.54765523
	17.40099784	0.55569675
	17.414603	0.55704717
	17.42820816	0.53343688
	17.44181331	0.52433694
	17.45541847	0.53139808
	17.46902363	0.51688031
	17.48262879	0.5109235
	17.49623395	0.51338143
	17.50983911	0.51604919
	17.52344427	0.49693602
	17.53704942	0.49705952
	17.55065458	0.49028018
	17.56425974	0.48537128
	17.5778649	0.47162196
	17.59147006	0.46948224
	17.60507522	0.47187921
	17.61868038	0.45788265
	17.63228553	0.4490337
	17.64589069	0.45863414
	17.65949585	0.44704218
	17.67310101	0.43675097
	17.68670617	0.43179387
	17.70031133	0.43403528
	17.71391649	0.43418283
	17.72752164	0.43434513
	17.7411268	0.43113228
	17.75473196	0.43135543
	17.76833712	0.41929558
	17.78194228	0.41753036
	17.79554744	0.41674131
	17.8091526	0.42343598
	17.82275776	0.40924434
	17.83636291	0.40574655
	17.84996807	0.39495778
	17.86357323	0.3956199
