csdata_id	e_energy	sigma
147740	13.26777923	0.0
147741	13.27863479	0.63729899
147742	13.3058451	1.517147
147743	13.31945026	1.433211
147744	13.33305542	1.2535961
147745	13.34666058	1.4605967
147746	13.36026574	1.188567
147747	13.3738709	1.1947447
147748	13.38747605	1.3356645
147749	13.40108121	1.4843819
147750	13.41468637	1.6803965
147751	13.42829153	1.9950224
147752	13.44189669	2.1555976
147753	13.45550185	2.0407581
147754	13.46910701	2.1454958
147755	13.48271216	2.3038488
147756	13.49631732	2.4424872
147757	13.50992248	2.5503614
147758	13.52352764	2.7071861
147759	13.5371328	2.6796829
147760	13.55073796	2.7312363
147761	13.56434312	2.86678
147762	13.57794827	2.7224629
147763	13.59155343	2.7727411
147764	13.60515859	2.5633005
147765	13.61876375	2.8483879
147766	13.63236891	3.0657095
147767	13.64597407	2.905147
147768	13.65957923	2.9110904
147769	13.67318438	2.8990413
147770	13.7003947	2.5203692
147771	13.71399986	3.0643203
147772	13.75481534	2.2279305
147773	13.76842049	2.4186636
147774	13.78202565	2.468836
147775	13.79563081	1.8339956
147776	13.80923597	2.0722343
147777	13.82284113	2.1048162
147778	13.83644629	1.9336869
147779	13.85005145	1.8080645
147780	13.8636566	1.7925956
147781	13.87726176	1.9399332
147782	13.89086692	2.0366077
147783	13.90447208	2.0402107
147784	13.91807724	1.8997855
147785	13.9316824	1.8528151
147786	13.94528756	1.751569
147787	13.95889272	1.7912692
147788	13.97249787	1.8552342
147789	13.98610303	1.8164583
147790	13.99970819	1.8310121
147791	14.01331335	1.8377413
147792	14.02691851	1.8317813
147793	14.04052367	1.8461316
147794	14.05412883	1.8916391
147795	14.06773398	1.9575245
147796	14.08133914	1.9914921
147797	14.0949443	1.9693285
147798	14.10854946	2.0361945
147799	14.12215462	2.0483866
147800	14.13575978	1.949717
147801	14.14936494	1.9441139
147802	14.16297009	2.0373011
147803	14.17657525	1.9225984
147804	14.19018041	1.924756
147805	14.20378557	1.8984651
147806	14.21739073	1.869808
147807	14.23099589	1.9029599
147808	14.24460105	1.9930553
147809	14.2582062	1.9876062
147810	14.27181136	1.9904138
147811	14.28541652	1.9633235
147812	14.29902168	1.9535228
147813	14.31262684	2.0003201
147814	14.326232	2.0536648
147815	14.33983716	2.0824081
147816	14.35344231	2.0530132
147817	14.36704747	2.158074
147818	14.38065263	2.1378943
147819	14.39425779	2.088623
147820	14.40786295	2.0733811
147821	14.42146811	2.0335306
147822	14.43507327	2.0067257
147823	14.44867842	1.953228
147824	14.46228358	1.7894828
147825	14.47588874	1.6811925
147826	14.4894939	1.6539769
147827	14.50309906	1.6592786
147828	14.51670422	1.6351332
147829	14.53030938	1.5987691
147830	14.54391453	1.6675522
147831	14.55751969	1.5861013
147832	14.57112485	1.5634979
147833	14.58473001	1.5904926
147834	14.59833517	1.5522528
147835	14.61194033	1.4590179
147836	14.62554549	1.4119652
147837	14.63915064	1.3627515
147838	14.6527558	1.3557741
147839	14.66636096	1.3277544
147840	14.67996612	1.3778075
147841	14.69357128	1.3670068
147842	14.70717644	1.3450135
147843	14.7207816	1.3461971
147844	14.73438675	1.3250258
147845	14.74799191	1.3726921
147846	14.76159707	1.3616184
147847	14.77520223	1.3727714
147848	14.78880739	1.2854978
147849	14.80241255	1.2312173
147850	14.81601771	1.24629
147851	14.82962286	1.2470545
147852	14.84322802	1.276654
147853	14.85683318	1.2660528
147854	14.87043834	1.2681032
147855	14.8840435	1.3005682
147856	14.89764866	1.3126658
147857	14.91125382	1.2879112
147858	14.92485898	1.2966279
147859	14.93846413	1.2792542
147860	14.95206929	1.2819913
147861	14.96567445	1.2961365
147862	14.97927961	1.2214896
147863	14.99288477	1.16823
147864	15.00648993	1.1845635
147865	15.02009509	1.140069
147866	15.03370024	1.1089303
147867	15.0473054	1.0889309
147868	15.06091056	1.111829
147869	15.07451572	1.0848588
147870	15.08812088	1.0632822
147871	15.10172604	1.0459694
147872	15.1153312	1.0483421
147873	15.12893635	1.017673
147874	15.14254151	1.0171286
147875	15.15614667	1.0087516
147876	15.16975183	0.99970096
147877	15.18335699	1.0046116
147878	15.19696215	1.0017355
147879	15.21056731	0.99016929
147880	15.22417246	0.98683937
147881	15.23777762	0.9843506
147882	15.25138278	0.95860491
147883	15.26498794	0.94846938
147884	15.2785931	0.94664077
147885	15.29219826	0.97042683
147886	15.30580342	0.96473558
147887	15.31940857	0.99416922
147888	15.33301373	0.91700416
147889	15.34661889	0.87858134
147890	15.36022405	0.90089682
147891	15.37382921	0.90041211
147892	15.38743437	0.87103652
147893	15.40103953	0.8479251
147894	15.41464468	0.83260639
147895	15.42824984	0.80664201
147896	15.441855	0.79010224
147897	15.45546016	0.76780979
147898	15.46906532	0.7562923
147899	15.48267048	0.75771304
147900	15.50988079	0.72696433
147901	15.52348595	0.72829653
147902	15.53709111	0.71315201
147903	15.55069627	0.71618943
147904	15.56430143	0.73284412
147905	15.57790659	0.72476206
147906	15.59151175	0.72061291
147907	15.6051169	0.7053911
147908	15.61872206	0.70396664
147909	15.63232722	0.72150844
147910	15.64593238	0.70562718
147911	15.65953754	0.68094312
147912	15.6731427	0.69431525
147913	15.68674786	0.6833733
147914	15.70035301	0.68749824
147915	15.71395817	0.66953562
147916	15.72756333	0.65448259
147917	15.74116849	0.65773016
147918	15.75477365	0.66355893
147919	15.76837881	0.65857602
147920	15.78198397	0.66032652
147921	15.79558912	0.6356073
147922	15.80919428	0.63751617
147923	15.82279944	0.62522851
147924	15.8364046	0.61362304
147925	15.85000976	0.61310148
147926	15.86361492	0.62447569
147927	15.87722008	0.61543435
147928	15.89082524	0.62620638
147929	15.90443039	0.61961027
147930	15.91803555	0.61770369
147931	15.93164071	0.62185288
147932	15.94524587	0.61549534
147933	15.95885103	0.62106767
147934	15.97245619	0.60866326
147935	15.98606135	0.60367228
147936	15.9996665	0.60372732
147937	16.01327166	0.60026621
147938	16.02687682	0.58717961
147939	16.04048198	0.56951161
147940	16.05408714	0.55322067
147941	16.0676923	0.54931964
147942	16.08129746	0.54821708
147943	16.09490261	0.5386373
147944	16.10850777	0.53783986
147945	16.12211293	0.52739532
147946	16.13571809	0.51752935
147947	16.14932325	0.51099534
147948	16.16292841	0.50104731
147949	16.17653357	0.49369775
147950	16.19013872	0.4915382
147951	16.20374388	0.48179704
147952	16.21734904	0.4728159
147953	16.2309542	0.47626151
147954	16.24455936	0.46522359
147955	16.25816452	0.46875869
147956	16.27176968	0.4603542
147957	16.28537483	0.46093138
147958	16.29897999	0.45084385
147959	16.31258515	0.4525624
147960	16.32619031	0.45433921
147961	16.33979547	0.44400616
147962	16.35340063	0.44704229
147963	16.36700579	0.43690946
147964	16.3942161	0.4098303
147965	16.40782126	0.41199047
147966	16.42142642	0.39770102
147967	16.43503158	0.38582843
147968	16.44863674	0.37353569
147969	16.4622419	0.37929239
147970	16.47584705	0.3852707
147971	16.48945221	0.37923972
147972	16.50305737	0.3690847
147973	16.51666253	0.35991822
147974	16.53026769	0.36354929
147975	16.54387285	0.36441902
147976	16.55747801	0.37123013
147977	16.57108316	0.36035544
147978	16.58468832	0.35673705
147979	16.59829348	0.35846537
147980	16.61189864	0.35575327
147981	16.6255038	0.35295228
147982	16.63910896	0.353692
147983	16.65271412	0.35819695
147984	16.67992443	0.35823569
147985	16.69352959	0.35742829
147986	16.70713475	0.35229812
147987	16.72073991	0.34630552
147988	16.73434507	0.34351596
147989	16.74795023	0.33580318
147990	16.76155538	0.33307611
147991	16.77516054	0.33034754
147992	16.7887657	0.31814479
147993	16.80237086	0.32068039
147994	16.81597602	0.31784085
147995	16.82958118	0.32060004
147996	16.84318634	0.32822813
147997	16.8567915	0.31572263
147998	16.87039665	0.31045685
147999	16.88400181	0.32050287
148000	16.89760697	0.32068521
148001	16.91121213	0.32172847
148002	16.92481729	0.3241528
148003	16.93842245	0.31644611
148004	16.95202761	0.3091422
148005	16.96563276	0.32323298
148006	16.97923792	0.32115698
148007	16.99284308	0.30003075
148008	17.00644824	0.30808637
148009	17.0200534	0.30410878
148010	17.03365856	0.30472245
148011	17.04726372	0.30686786
148012	17.06086887	0.30060683
148013	17.07447403	0.30067585
148014	17.08807919	0.30045514
148015	17.10168435	0.29415841
148016	17.11528951	0.29025221
148017	17.12889467	0.28717718
148018	17.14249983	0.29722975
148019	17.15610498	0.28761996
148020	17.16971014	0.28976004
148021	17.1833153	0.28979504
148022	17.19692046	0.28836266
148023	17.21052562	0.28977593
148024	17.22413078	0.28389678
148025	17.23773594	0.28032581
148026	17.25134109	0.28936928
148027	17.26494625	0.28812223
148028	17.27855141	0.28186319
148029	17.29215657	0.27970425
148030	17.30576173	0.27895869
148031	17.31936689	0.28272093
148032	17.33297205	0.28240922
148033	17.3465772	0.27491843
148034	17.36018236	0.27443615
148035	17.37378752	0.27392787
148036	17.38739268	0.27396258
148037	17.40099784	0.25736369
148038	17.414603	0.25426116
148039	17.42820816	0.25720361
148040	17.44181331	0.25160874
148041	17.45541847	0.23937458
148042	17.46902363	0.24137112
148043	17.48262879	0.23752693
148044	17.49623395	0.23008082
148045	17.50983911	0.23158256
148046	17.52344427	0.22631524
148047	17.53704942	0.21842553
148048	17.55065458	0.22032264
148049	17.56425974	0.2163332
148050	17.5778649	0.21365716
148051	17.59147006	0.21688184
148052	17.60507522	0.21295557
148053	17.61868038	0.21075255
148054	17.63228553	0.21018029
148055	17.64589069	0.20858377
148056	17.65949585	0.20520127
148057	17.67310101	0.20795598
148058	17.68670617	0.20640972
148059	17.70031133	0.20108268
148060	17.71391649	0.20384238
148061	17.72752164	0.1974069
148062	17.7411268	0.20045275
148063	17.75473196	0.19109699
148064	17.76833712	0.19494187
148065	17.78194228	0.19608534
148066	17.79554744	0.19974582
148067	17.8091526	0.19816352
148068	17.82275776	0.20111472
148069	17.83636291	0.19634291
148070	17.84996807	0.20646288
148071	17.86357323	0.20216347
148072	17.87717839	0.19760783
148073	17.89078355	0.19640122
148074	17.90438871	0.19619762
148075	17.91799387	0.19951878
148076	17.93159902	0.20430861
148077	17.94520418	0.20410496
148078	17.95880934	0.19680939
148079	17.9724145	0.19578516
148080	17.98601966	0.19664294
148081	17.99962482	0.18842604
148082	18.01322998	0.18528098
148083	18.02683513	0.17944971
148084	18.04044029	0.17609665
148085	18.05404545	0.16378383
148086	18.06765061	0.17095928
148087	18.08125577	0.16713478
148088	18.09486093	0.16525529
148089	18.10846609	0.16055331
148090	18.12207124	0.15906963
148091	18.1356764	0.15835074
148092	18.14928156	0.15680189
148093	18.16288672	0.15668787
148094	18.17649188	0.15676234
148095	18.19009704	0.15994064
148096	18.2037022	0.15920633
148097	18.21730735	0.15620556
148098	18.23091251	0.15753735
148099	18.24451767	0.15544095
148100	18.25812283	0.15588492
148101	18.27172799	0.15253339
148102	18.28533315	0.15481792
148103	18.29893831	0.15712573
148104	18.31254346	0.16071382
148105	18.32614862	0.15492317
148106	18.33975378	0.15569356
148107	18.35335894	0.15728401
148108	18.3669641	0.1573295
148109	18.38056926	0.16010559
148110	18.39417442	0.15896958
148111	18.40777957	0.15435134
148112	18.42138473	0.15512294
148113	18.43498989	0.15348442
148114	18.44859505	0.15202635
148115	18.46220021	0.15284644
148116	18.47580537	0.15067033
148117	18.48941053	0.14773672
148118	18.50301568	0.14801515
148119	18.51662084	0.14488843
148120	18.530226	0.14411906
148121	18.54383116	0.14270838
148122	18.55743632	0.14199297
148123	18.57104148	0.13310812
148124	18.58464664	0.1355168
148125	18.59825179	0.13200813
148126	18.61185695	0.13591713
148127	18.62546211	0.13499725
148128	18.63906727	0.13640378
148129	18.65267243	0.12963324
148130	18.66627759	0.12660806
148131	18.67988275	0.12797673
148132	18.6934879	0.13048139
148133	18.70709306	8.6523983
148134	18.72069822	0.12711122
148135	18.73430338	0.12543445
148136	18.74790854	0.12388358
148137	18.7615137	0.12263428
148138	18.77511886	0.12386916
148139	18.78872402	0.12626857
148140	18.80232917	0.12146497
148141	18.81593433	0.1544298
148142	18.82953949	0.11473387
148143	18.84314465	0.11215365
148144	18.85674981	0.11032773
148145	18.87035497	0.11138556
148146	18.88396013	0.11140134
148147	18.89756528	0.10939219
148148	18.91117044	0.11228848
148149	18.9247756	0.11066908
148150	18.93838076	0.11002558
148151	18.95198592	0.11162982
148152	18.96559108	0.11206241
148153	18.97919624	0.11092659
148154	18.99280139	0.11292393
148155	19.00640655	0.11265554
148156	19.02001171	0.11220193
148157	19.03361687	0.11306084
148158	19.04722203	0.11338576
148159	19.06082719	0.11504647
148160	19.07443235	0.110778
148161	19.0880375	0.11340994
148162	19.10164266	0.11166758
148163	19.11524782	0.11194133
148164	19.12885298	0.11161154
148165	19.14245814	0.11091883
148166	19.1560633	0.11110294
148167	19.16966846	0.10999143
148168	19.18327361	0.11013121
148169	19.19687877	0.11106128
148170	19.21048393	0.10349047
148171	19.22408909	0.10780633
148172	19.23769425	0.10815532
148173	19.25129941	0.10609694
148174	19.26490457	0.10672351
148175	19.27850972	0.10539182
148176	19.29211488	0.10314112
148177	19.30572004	0.10373194
148178	19.3193252	0.10348935
148179	19.33293036	0.10108309
148180	19.34653552	0.10009024
148181	19.36014068	0.10263021
148182	19.37374583	0.10194689
148183	19.38735099	0.1006713
148184	19.40095615	0.099226712
148185	19.41456131	0.14740757
148186	19.42816647	0.098858784
148187	19.44177163	0.096697013
148188	19.45537679	0.097275627
148189	19.46898194	0.097346825
148190	19.4825871	0.095950831
148191	19.49619226	0.093705514
148192	19.50979742	0.092886121
148193	19.52340258	0.25947698
148194	19.53700774	0.089873604
148195	19.5506129	0.088939094
148196	19.56421805	0.089089265
148197	19.57782321	0.087707924
148198	19.59142837	0.087868532
148199	19.99958313	0.49521858
148200	24.99947891	0.020810424
148201	29.99937469	0.011820762
148202	34.99927048	0.0077171761
148203	39.99916626	0.005879937
148204	44.99906204	0.0042158289
148205	49.99895782	0.0030714755
148206	54.99885361	0.0022762316
148207	59.99874939	0.0017838445
148208	64.99864517	0.0013868094
148209	69.99854095	0.0011096768
148210	74.99843674	0.00089809926
148211	79.99833252	0.00073851109
148212	84.9982283	0.00061734163
148213	89.99812408	0.0005186663
148214	94.99801987	0.0004401868
148215	99.99791565	0.00037683735
148216	104.99781143	0.00032560827
148217	109.99770721	0.00028244392
148218	114.997603	0.000247411
148219	119.99749878	0.00021665079
148220	124.99739456	0.00019164859
148221	129.99729034	0.00016929223
148222	134.99718613	0.00015120138
