csdata_id	e_energy	sigma
98984	0.7552016899999998	0.0
98985	0.7626943199999996	0.08180352
98986	0.7762994800000005	0.18922619
98987	0.7899046399999996	0.22454174
98988	0.8035097899999997	0.25249295
98989	0.8171149499999988	0.27151555
98990	0.8307201099999997	0.28481378
98991	0.8443252699999988	0.29448243
98992	0.8579304299999997	0.28599556
98993	0.8715355899999988	0.28821714
98994	0.8851407499999997	0.28946325
98995	0.8987458999999998	0.28992817
98996	0.9123510599999989	0.28983733
98997	0.9259562199999998	0.28928842
98998	0.9395613799999989	0.28363244
98999	0.9531665399999998	0.28196412
99000	0.9667716999999989	0.28008623
99001	0.9803768599999998	0.27803226
99002	0.9939820099999999	0.2758126
99003	1.007587169999999	0.27352358
99004	1.0211923299999999	0.27126412
99005	1.034797489999999	0.26938794
99006	1.0484026499999999	0.26920954
99007	1.062007809999999	0.27114206
99008	1.07561297	0.26383455
99009	1.08921812	0.25329623
99010	1.102823279999999	0.24660866
99011	1.11642844	0.24074528
99012	1.130033599999999	0.23478821
99013	1.14363876	0.22839517
99014	1.157243919999999	0.22134149
99015	1.17084908	0.21335898
99016	1.18445423	0.20383331
99017	1.1980593899999992	0.18990795
99018	1.21166455	0.18801013
99019	1.2252697099999992	0.21137454
99020	1.23887487	0.2299023
99021	1.2524800299999992	0.22785968
99022	1.26608519	0.18467177
99023	1.2796903400000001	0.19990469
99024	1.2932954999999993	0.20610265
99025	1.3069006600000002	0.18053553
99026	1.3205058199999993	0.16293819
99027	1.3341109800000002	0.149683
99028	1.3477161399999993	0.14452356
99029	1.3613213000000002	0.18366007
99030	1.3749264599999993	0.17872601
99031	1.3885316099999994	0.15394272
99032	1.4021367700000003	0.11557234
99033	1.4157419299999994	0.12161896
99034	1.4293470900000003	0.16545617
99035	1.4429522499999994	0.19062176
99036	1.4565574100000003	0.19200264
99037	1.4701625699999994	0.19527849
99038	1.4837677199999995	0.20000944
99039	1.4973728800000004	0.19194555
99040	1.5109780399999995	0.19586647
99041	1.5245832000000004	0.20079824
99042	1.5381883599999995	0.20070439
99043	1.5517935200000004	0.20255689
99044	1.5653986799999995	0.20668987
99045	1.5790038299999996	0.21066364
99046	1.5926089900000004	0.21407642
99047	1.6062141499999996	0.21625695
99048	1.6198193100000005	0.21581796
99049	1.6334244699999996	0.20665651
99050	1.6470296300000005	0.20796152
99051	1.6606347899999996	0.21124581
99052	1.6878451000000005	0.21378755
99053	1.7014502599999997	0.20942086
99054	1.7150554200000006	0.20294474
99055	1.7286605799999997	0.19913043
99056	1.7422657399999988	0.19515812
99057	1.7558708999999997	0.1923656
99058	1.7694760499999997	0.20136329
99059	1.7830812099999989	0.20359373
99060	1.7966863699999998	0.20366728
99061	1.8102915299999989	0.17560971
99062	1.8238966899999998	0.21455531
99063	1.8375018499999989	0.22438626
99064	1.8511070099999998	0.23581715
99065	1.8647121599999998	0.20106585
99066	1.878317319999999	0.22280343
99067	1.8919224799999999	0.2162535
99068	1.905527639999999	0.22262891
99069	1.9191327999999999	0.23180669
99070	1.932737959999999	0.24044378
99071	1.9463431199999999	0.23596627
99072	1.95994827	0.2253554
99073	1.973553429999999	0.21551839
99074	1.98715859	0.21684543
99075	2.000763749999999	0.20485361
99076	2.01436891	0.19498353
99077	2.027974069999999	0.19273582
99078	2.04157923	0.21489636
99079	2.05518438	0.27588457
99080	2.0823947	0.29852283
99081	2.095999859999999	0.36241548
99082	2.13681534	0.39507605
99083	2.15042049	0.3977883
99084	2.1640256499999992	0.35542976
99085	2.17763081	0.37578645
99086	2.1912359699999993	0.37426389
99087	2.20484113	0.36030554
99088	2.2184462899999993	0.29946383
99089	2.23205145	0.2582779
99090	2.2456566000000002	0.24049016
99091	2.2592617599999993	0.23840409
99092	2.2728669200000002	0.25527457
99093	2.2864720799999994	0.19521699
99094	2.3000772400000002	0.1884137
99095	2.3136823999999994	0.17561007
99096	2.3272875600000003	0.1645664
99097	2.3408927199999994	0.17055385
99098	2.3544978699999994	0.17412963
99099	2.3681030300000003	0.13694664
99100	2.3817081899999994	0.1485292
99101	2.3953133500000003	0.14321277
99102	2.4089185099999995	0.15081037
99103	2.4225236700000004	0.15761634
99104	2.4361288299999995	0.16873152
99105	2.4497339799999995	0.2126844
99106	2.4633391400000004	0.18053293
99107	2.4769442999999995	0.17294942
99108	2.4905494600000004	0.15799051
99109	2.5041546199999996	0.15261593
99110	2.5177597800000004	0.15514602
99111	2.5313649399999996	0.15659447
99112	2.5449700899999996	0.15039635
99113	2.5585752500000005	0.15784211
99114	2.5721804099999996	0.18152966
99115	2.5857855700000005	0.17889208
99116	2.5993907299999996	0.19015126
99117	2.6129958900000005	0.18408777
99118	2.6266010499999997	0.1781331
99119	2.6402061999999997	0.15982296
99120	2.653811359999999	0.16395429
99121	2.6674165199999997	0.15655726
99122	2.681021679999999	0.14231949
99123	2.6946268399999997	0.14352151
99124	2.708231999999999	0.14677464
99125	2.7218371599999998	0.13674424
99126	2.73544231	0.12588599
99127	2.749047469999999	0.14117178
99128	2.76265263	0.1396601
99129	2.776257789999999	0.15382321
99130	2.78986295	0.15406322
99131	2.803468109999999	0.1536276
99132	2.81707327	0.14940184
99133	2.83067842	0.13434667
99134	2.844283579999999	0.13271504
99135	2.85788874	0.13621558
99136	2.871493899999999	0.13006064
99137	2.88509906	0.13645878
99138	2.898704219999999	0.13843776
99139	2.91230938	0.12703317
99140	2.92591453	0.13149623
99141	2.939519689999999	0.11831804
99142	2.95312485	0.11367824
99143	2.966730009999999	0.11707987
99144	2.98033517	0.11541359
99145	2.993940329999999	0.1124261
99146	3.00754549	0.10917502
99147	3.02115064	0.11815176
99148	3.0347557999999992	0.1171171
99149	3.04836096	0.12344468
99150	3.0619661199999992	0.12197481
99151	3.07557128	0.11631293
99152	3.0891764399999992	0.11934372
99153	3.1027816	0.10747188
99154	3.11638675	0.11796585
99155	3.1299919099999993	0.11895799
99156	3.14359707	0.12652675
99157	3.1572022299999993	0.12684012
99158	3.1708073900000002	0.10279489
99159	3.1844125499999993	0.092608946
99160	3.1980177100000002	0.095746797
99161	3.2116228600000003	0.091882614
99162	3.2252280199999994	0.093463066
99163	3.2388331800000003	0.09289652
99164	3.2524383399999994	0.09808484
99165	3.2660435000000003	0.096849645
99166	3.2796486599999994	0.10045581
99167	3.2932538200000003	0.1038348
99168	3.3068589799999994	0.10548204
99169	3.3204641299999995	0.10770169
99170	3.3340692900000004	0.10388774
99171	3.3476744499999995	0.10582209
99172	3.3612796100000004	0.11785555
99173	3.3748847699999995	0.11616992
99174	3.3884899300000004	0.11296357
99175	3.4020950899999995	0.11498697
99176	3.4157002399999996	0.10857324
99177	3.4293054000000005	0.10977033
99178	3.4429105599999996	0.10965863
99179	3.4565157200000005	0.11253737
99180	3.4701208799999996	0.11240683
99181	3.4837260400000005	0.11310995
99182	3.4973311999999996	0.11423012
99183	3.5109363499999997	0.11394051
99184	3.524541509999999	0.12337644
99185	3.5381466699999997	0.12449865
99186	3.551751829999999	0.12416561
99187	3.5653569899999997	0.11854095
99188	3.578962149999999	0.12244436
99189	3.5925673099999997	0.1181071
99190	3.60617246	0.11630443
99191	3.619777619999999	0.11252103
99192	3.63338278	0.1106998
99193	3.646987939999999	0.11232128
99194	3.6605931	0.11311841
99195	3.674198259999999	0.10642526
99196	3.68780342	0.10273902
99197	3.70140857	0.10155954
99198	3.715013729999999	0.10140898
99199	3.72861889	0.09503693099999999
99200	3.742224049999999	0.092639692
99201	3.75582921	0.091971074
99202	3.769434369999999	0.091113626
99203	3.78303953	0.09155678099999999
99204	3.79664468	0.092047545
99205	3.810249839999999	0.08966549
99206	3.823855	0.087794774
99207	3.837460159999999	0.08746817800000001
99208	3.85106532	0.08832352800000001
99209	3.864670479999999	0.090728956
99210	3.89188079	0.086816119
99211	3.905485949999999	0.08402755699999999
99212	3.91909111	0.079210074
99213	3.932696269999999	0.07813644900000001
99214	3.94630143	0.07637524400000001
99215	3.9599065899999992	0.083672514
99216	3.97351175	0.074481123
99217	3.9871169	0.077657012
99218	4.000722059999999	0.081032231
99219	4.01432722	0.08357601
99220	4.027932379999999	0.08423346300000001
99221	4.04153754	0.080210394
99222	4.055142699999999	0.077772675
99223	4.06874786	0.07653605
99224	4.08235301	0.07827795900000001
99225	4.095958169999999	0.082198882
99226	4.10956333	0.08509490300000001
99227	4.123168489999999	0.085921185
99228	4.13677365	0.07596858599999999
99229	4.150378809999999	0.076520671
99230	4.16398397	0.075518629
99231	4.17758912	0.08094254299999999
99232	4.1911942799999995	0.079280154
99233	4.20479944	0.08123209599999999
99234	4.2184045999999995	0.082099039
99235	4.23200976	0.0855644
99236	4.2456149199999995	0.081988797
99237	4.25922008	0.081941677
99238	4.2728252399999995	0.078741419
99239	4.28643039	0.077753756
99240	4.3000355500000005	0.072218701
99241	4.31364071	0.081737037
99242	4.3272458700000005	0.081094713
99243	4.34085103	0.07799392299999999
99244	4.3544561900000005	0.08069054099999999
99245	4.36806135	0.078197383
99246	4.3816665	0.08201604400000001
99247	4.395271660000001	0.080896984
99248	4.408876819999998	0.083303526
99249	4.422481979999999	0.084007795
99250	4.43608714	0.082749795
99251	4.449692300000001	0.08180009099999999
99252	4.463297459999998	0.081507638
99253	4.476902609999998	0.077831335
99254	4.490507769999999	0.079025289
99255	4.50411293	0.078907269
99256	4.517718090000001	0.079973237
99257	4.531323249999998	0.082039871
99258	4.544928409999999	0.08261463299999999
99259	4.55853357	0.079712797
99260	4.57213872	0.080204053
99261	4.585743880000001	0.082813227
99262	4.599349039999998	0.077474822
99263	4.612954199999999	0.075215505
99264	4.62655936	0.081268664
99265	4.640164520000001	0.075816995
99266	4.653769679999998	0.077264834
99267	4.667374829999998	0.07954132400000001
99268	4.680979989999999	0.082426635
99269	4.69458515	0.084212335
99270	4.708190310000001	0.078398273
99271	4.721795469999998	0.077397686
99272	4.735400629999999	0.07728581
99273	4.74900579	0.081628313
99274	4.776216100000001	0.082512134
99275	4.789821259999998	0.081793061
99276	4.803426419999999	0.079487399
99277	4.81703158	0.07541387
99278	4.830636740000001	0.080071478
99279	4.844241899999998	0.078391999
99280	4.857847049999998	0.076757937
99281	4.871452209999999	0.078259517
99282	4.88505737	0.075613127
99283	4.898662530000001	0.073690877
99284	4.912267689999998	0.074575195
99285	4.925872849999999	0.07386442
99286	4.93947801	0.07377867099999999
99287	4.95308316	0.07481867
99288	4.966688320000001	0.07328585900000001
99289	4.9802934799999985	0.075340957
99290	4.993898639999999	0.07579118
99291	5.0075038	0.07609862099999999
99292	5.021108960000001	0.07615628599999999
99293	5.0347141199999985	0.07703441
99294	5.0619244299999995	0.07506981900000001
99295	5.07552959	0.076477567
99296	5.089134750000001	0.07748124599999999
99297	5.102739909999999	0.075089904
99298	5.1163450699999995	0.077605094
99299	5.12995023	0.080591303
99300	5.1435553800000005	0.077997894
99301	5.157160540000001	0.074798137
99302	5.170765699999999	0.072342675
99303	5.18437086	0.075301062
99304	5.1979760200000005	0.07413587
99305	5.211581180000001	0.074463755
99306	5.225186339999999	0.075295985
99307	5.2387915	0.073128495
99308	5.25239665	0.073241024
99309	5.266001810000001	0.07217246299999999
99310	5.279606969999998	0.071604778
99311	5.293212129999999	0.070979574
99312	5.30681729	0.06816942
99313	5.320422450000001	0.07068753700000001
99314	5.334027609999998	0.067844704
99315	5.347632759999998	0.06734596799999999
99316	5.361237919999999	0.067707092
99317	5.37484308	0.067566077
99318	5.388448240000001	0.066658208
99319	5.402053399999998	0.066775695
99320	5.415658559999999	0.06727652
99321	5.42926372	0.067322594
99322	5.44286887	0.066541935
99323	5.456474030000001	0.06736397
99324	5.470079189999998	0.06577134700000001
99325	5.483684349999999	0.066503036
99326	5.49728951	0.066804527
99327	5.510894670000001	0.067799215
99328	5.524499829999998	0.06759699
99329	5.538104979999998	0.066858316
99330	5.551710139999999	0.066603423
99331	5.5653153	0.06691193599999999
99332	5.578920460000001	0.06874374400000001
99333	5.592525619999998	0.067206387
99334	5.606130779999999	0.06771978599999999
99335	5.61973594	0.06841219400000001
99336	5.63334109	0.068263248
99337	5.646946250000001	0.06651596
99338	5.660551409999998	0.069246862
99339	5.674156569999999	0.07008708599999999
99340	5.68776173	0.067263033
99341	5.701366890000001	0.067417046
99342	5.714972049999998	0.067172325
99343	5.728577199999998	0.066325468
99344	5.742182359999999	0.066217162
99345	5.75578752	0.066789161
99346	5.769392680000001	0.065338468
99347	5.782997839999998	0.064908365
99348	5.796602999999999	0.06448030099999999
99349	5.81020816	0.064581363
99350	5.82381331	0.063689471
99351	5.837418470000001	0.06541872
99352	5.8510236299999985	0.064397703
99353	5.864628789999999	0.062160235999999994
99354	5.87823395	0.062980608
99355	5.891839110000001	0.063464125
99356	5.9054442699999985	0.064394445
99357	5.919049419999999	0.06443745099999999
99358	5.9326545799999995	0.060239142999999995
99359	5.94625974	0.06149598
99360	5.959864900000001	0.062302644000000004
99361	5.973470059999999	0.061842472999999995
99362	5.9870752199999995	0.062678478
99363	6.00068038	0.061698783
99364	6.01428553	0.064743177
99365	6.027890690000001	0.064423617
99366	6.041495849999999	0.064194467
99367	6.05510101	0.064681735
99368	6.0687061700000005	0.062932868
99369	6.082311330000001	0.063124102
99370	6.095916489999999	0.061067835
99371	6.109521639999999	0.061762335
99372	6.1231268	0.060801189000000005
99373	6.1367319600000005	0.063495203
99374	6.150337120000001	0.06326317099999999
99375	6.163942279999999	0.063815812
99376	6.17754744	0.063001488
99377	6.191152600000001	0.06376447
99378	6.204757759999998	0.062944157
99379	6.218362909999998	0.061882695999999994
99380	6.231968069999999	0.063246185
99381	6.24557323	0.06269443200000001
99382	6.259178390000001	0.06218165
99383	6.272783549999998	0.062346379
99384	6.286388709999999	0.063674363
99385	6.29999387	0.060489364000000004
99386	6.31359902	0.058786319000000004
99387	6.327204180000001	0.058754790999999994
99388	6.340809339999998	0.058576009000000005
99389	6.354414499999999	0.058368062000000005
99390	6.36801966	0.05803804
99391	6.381624820000001	0.058573176
99392	6.395229979999998	0.057953347999999995
99393	6.408835129999998	0.058132284000000006
99394	6.422440289999999	0.058324217000000005
99395	6.43604545	0.058766066
