	e_energy	sigma
	13.02126328	0.0
	13.03374193	1.5300079
	13.04734709	2.8357257
	13.06095225	2.9921128
	13.07455741	3.2555468
	13.08816257	3.5307618
	13.10176772	3.7214814
	13.11537288	4.2152654
	13.12897804	4.2079999
	13.1425832	4.1640542
	13.15618836	4.1175299
	13.16979352	3.9957929
	13.18339868	3.8900684
	13.19700383	3.7270788
	13.21060899	3.7585814
	13.22421415	3.693497
	13.23781931	3.5814518
	13.25142447	3.4466626
	13.26502963	3.4294007
	13.27863479	3.610729
	13.3058451	3.6779057
	13.31945026	3.7439742
	13.33305542	3.9119013
	13.34666058	4.0135486
	13.36026574	4.179643
	13.3738709	4.2795717
	13.38747605	4.4498507
	13.40108121	4.4264701
	13.41468637	4.3568169
	13.42829153	4.2401964
	13.44189669	4.0971184
	13.45550185	4.110067
	13.46910701	4.0427534
	13.48271216	4.0759013
	13.49631732	4.1725075
	13.50992248	4.1945489
	13.52352764	4.2216829
	13.5371328	4.2549708
	13.55073796	4.248252
	13.56434312	4.159049
	13.57794827	4.0092003
	13.59155343	4.0119454
	13.60515859	4.1552484
	13.61876375	4.1581882
	13.63236891	4.2187515
	13.64597407	4.1288831
	13.65957923	3.6604439
	13.67318438	3.1042845
	13.7003947	3.8452908
	13.71399986	2.6815171
	13.75481534	2.0211972
	13.76842049	2.2915388
	13.78202565	2.3377668
	13.79563081	2.2507298
	13.80923597	2.1958633
	13.82284113	2.2124352
	13.83644629	2.2316106
	13.85005145	2.3980151
	13.8636566	2.4509682
	13.87726176	2.4309705
	13.89086692	2.4803424
	13.90447208	2.5546356
	13.91807724	2.993075
	13.9316824	3.3799602
	13.94528756	3.4232198
	13.95889272	3.3777525
	13.97249787	3.2480839
	13.98610303	3.1753987
	13.99970819	3.2349192
	14.01331335	3.1120654
	14.02691851	3.1694983
	14.04052367	3.0866526
	14.05412883	3.1423754
	14.06773398	3.1940058
	14.08133914	3.1503215
	14.0949443	3.0366959
	14.10854946	2.9971134
	14.12215462	2.9813869
	14.13575978	2.7463631
	14.14936494	2.7433759
	14.16297009	2.6298587
	14.17657525	2.6162561
	14.19018041	2.5924923
	14.20378557	2.6819229
	14.21739073	2.6897707
	14.23099589	2.6249654
	14.24460105	2.6099218
	14.2582062	2.4955164
	14.27181136	2.423486
	14.28541652	2.3540204
	14.29902168	2.3025441
	14.31262684	2.1662293
	14.326232	2.0315991
	14.33983716	1.8947774
	14.35344231	2.0410316
	14.36704747	1.9128535
	14.38065263	1.8292094
	14.39425779	1.5512779
	14.40786295	1.4656542
	14.42146811	1.3938467
	14.43507327	1.3716972
	14.44867842	1.4607739
	14.46228358	1.5257007
	14.47588874	1.7042607
	14.4894939	1.8216362
	14.50309906	1.8646249
	14.51670422	1.9946262
	14.53030938	2.0110825
	14.54391453	1.9956167
	14.55751969	2.1110512
	14.57112485	2.082858
	14.58473001	2.2336588
	14.59833517	2.2537134
	14.61194033	2.2641286
	14.62554549	2.2404028
	14.63915064	2.2893944
	14.6527558	2.2294672
	14.66636096	2.2029962
	14.67996612	2.1381019
	14.69357128	2.1344869
	14.70717644	2.1177033
	14.7207816	2.1199117
	14.73438675	2.0591418
	14.74799191	2.0683994
	14.76159707	2.053071
	14.77520223	2.0335246
	14.78880739	2.0607961
	14.80241255	1.9971596
	14.81601771	1.9683847
	14.82962286	1.9083877
	14.84322802	1.8760249
	14.85683318	1.9019897
	14.87043834	1.8818244
	14.8840435	1.8894988
	14.89764866	1.886957
	14.91125382	1.8487967
	14.92485898	1.9944649
	14.93846413	1.9460765
	14.95206929	1.8889009
	14.96567445	1.8541401
	14.97927961	1.8661778
	14.99288477	1.7970096
	15.00648993	1.7399761
	15.02009509	1.7213614
	15.03370024	1.6194241
	15.0473054	1.6276362
	15.06091056	1.6403052
	15.07451572	1.6022006
	15.08812088	1.5500219
	15.10172604	1.5225247
	15.1153312	1.5149861
	15.12893635	1.5130041
	15.14254151	1.5033899
	15.15614667	1.5581132
	15.16975183	1.5949116
	15.18335699	1.5463456
	15.19696215	1.5587371
	15.21056731	1.4984853
	15.22417246	1.4538694
	15.23777762	1.43889
	15.25138278	1.4074724
	15.26498794	1.3696884
	15.2785931	1.3370623
	15.29219826	1.3080926
	15.30580342	1.346102
	15.31940857	1.3773072
	15.33301373	1.4115686
