csdata_id	e_energy	sigma
102575	13.00498226	0.0
102576	13.00653161	0.11460646
102577	13.02013677	1.3155453
102578	13.03374193	1.2426503
102579	13.04734709	1.2784433
102580	13.06095225	1.9628936
102581	13.07455741	2.2617571
102582	13.08816257	2.1908581
102583	13.10176772	2.6550842
102584	13.11537288	2.5435176
102585	13.12897804	2.4617716
102586	13.1425832	2.3855879
102587	13.15618836	2.4894577
102588	13.16979352	2.4090088
102589	13.18339868	2.3875192
102590	13.19700383	2.4652612
102591	13.21060899	2.4728393
102592	13.22421415	2.4973772
102593	13.23781931	2.6318045
102594	13.25142447	3.0407074
102595	13.26502963	3.0414923
102596	13.27863479	2.9347414
102597	13.3058451	2.8862158
102598	13.31945026	2.7600257
102599	13.33305542	2.4780404
102600	13.34666058	2.4203866
102601	13.36026574	2.4968481
102602	13.3738709	2.5574814
102603	13.38747605	2.5927311
102604	13.40108121	2.5697566
102605	13.41468637	2.7446154
102606	13.42829153	2.9716366
102607	13.44189669	2.7023282
102608	13.45550185	2.5992477
102609	13.46910701	2.9536859
102610	13.48271216	2.7837635
102611	13.49631732	3.0912722
102612	13.50992248	2.7669407
102613	13.52352764	2.7564906
102614	13.5371328	2.8137344
102615	13.55073796	3.0269504
102616	13.56434312	3.1546807
102617	13.57794827	3.0066457
102618	13.59155343	2.9399155
102619	13.60515859	2.7696723
102620	13.61876375	2.798881
102621	13.63236891	2.6006506
102622	13.64597407	2.3947979
102623	13.65957923	2.2283241
102624	13.67318438	1.9048242
102625	13.7003947	1.945809
102626	13.71399986	1.8131566
102627	13.75481534	1.1497544
102628	13.76842049	1.2298637
102629	13.78202565	1.4252676
102630	13.79563081	1.5174569
102631	13.80923597	1.585363
102632	13.82284113	1.570707
102633	13.83644629	1.5672558
102634	13.85005145	1.5663025
102635	13.8636566	1.6103834
102636	13.87726176	1.6258039
102637	13.89086692	1.5652709
102638	13.90447208	1.6082905
102639	13.91807724	1.4400664
102640	13.9316824	1.4342727
102641	13.94528756	1.4978727
102642	13.95889272	1.6019424
102643	13.97249787	1.6498263
102644	13.98610303	1.68015
102645	13.99970819	1.5629426
102646	14.01331335	1.566857
102647	14.02691851	1.5023057
