	e_energy	sigma
	12.98346461	0.0
	12.99292646	0.89659308
	13.00653161	1.2712339
	13.02013677	1.1540081
	13.03374193	1.3539791
	13.04734709	1.3763694
	13.06095225	1.6417643
	13.07455741	1.494137
	13.08816257	1.5344198
	13.10176772	1.6593967
	13.11537288	1.8348667
	13.12897804	1.9036725
	13.1425832	1.9792207
	13.15618836	1.9280616
	13.16979352	1.9517627
	13.18339868	1.9703957
	13.19700383	2.1026363
	13.21060899	2.1613346
	13.22421415	2.0766708
	13.23781931	2.0829813
	13.25142447	2.0931203
	13.26502963	2.098217
	13.27863479	2.1469895
	13.3058451	1.842762
	13.31945026	1.8103472
	13.33305542	1.7596405
	13.34666058	1.7718918
	13.36026574	1.7128133
	13.3738709	1.6938185
	13.38747605	1.7680736
	13.40108121	1.7647382
	13.41468637	1.9863403
	13.42829153	1.9777259
	13.44189669	2.0295901
	13.45550185	1.8358841
	13.46910701	2.048115
	13.48271216	2.0793138
	13.49631732	2.2080451
	13.50992248	2.1485539
	13.52352764	2.1808282
	13.5371328	2.1886333
	13.55073796	2.1626099
	13.56434312	2.242457
	13.57794827	2.1796283
	13.59155343	2.0039067
	13.60515859	1.9771742
	13.61876375	1.7761796
	13.63236891	1.961772
	13.64597407	2.2683071
	13.65957923	2.4224047
	13.67318438	2.5542942
	13.7003947	2.4644542
	13.71399986	2.6628327
	13.75481534	2.3184766
	13.76842049	1.8514992
	13.78202565	1.7295241
	13.79563081	1.8035101
	13.80923597	1.8466264
	13.82284113	1.7322694
	13.83644629	1.6933794
	13.85005145	1.6605706
	13.8636566	1.5789631
	13.87726176	1.5195161
	13.89086692	1.4366113
	13.90447208	1.4055241
	13.91807724	1.5782945
	13.9316824	1.8190799
	13.94528756	1.7179394
	13.95889272	1.734898
	13.97249787	1.6453827
	13.98610303	1.5593864
	13.99970819	1.4296626
	14.01331335	1.4080082
	14.02691851	1.4917193
	14.04052367	1.6188241
	14.05412883	1.6045896
	14.06773398	1.5363221
	14.08133914	1.5669833
	14.0949443	1.5457627
	14.10854946	1.4152455
	14.12215462	1.455894
	14.13575978	1.5373709
	14.14936494	1.5419355
	14.16297009	1.5129367
	14.17657525	1.5697698
	14.19018041	1.5312138
	14.20378557	1.4843009
	14.21739073	1.2968636
	14.23099589	1.3539625
	14.24460105	1.5014441
	14.2582062	1.5373471
	14.27181136	1.5889006
	14.28541652	1.5531606
	14.29902168	1.5939803
	14.31262684	1.6213882
	14.326232	1.6145405
	14.33983716	1.5882668
	14.35344231	1.6479068
	14.36704747	1.6209447
	14.38065263	1.5027463
	14.39425779	1.5223925
	14.40786295	1.4386993
	14.42146811	1.446408
	14.43507327	1.4424182
	14.44867842	1.4608495
	14.46228358	1.459283
	14.47588874	1.4706586
	14.4894939	1.4685481
	14.50309906	1.4509079
	14.51670422	1.3838396
	14.53030938	1.4845019
	14.54391453	1.5166241
	14.55751969	1.4958029
	14.57112485	1.419795
	14.58473001	1.3433931
	14.59833517	1.3549221
	14.61194033	1.3420388
	14.62554549	1.4049184
	14.63915064	1.344063
	14.6527558	1.3487775
	14.66636096	1.3594059
	14.67996612	1.3349818
	14.69357128	1.3242204
	14.70717644	1.3299913
	14.7207816	1.3213548
	14.73438675	1.2905108
	14.74799191	1.242774
	14.76159707	1.2521332
	14.77520223	1.2312185
	14.78880739	1.2571278
	14.80241255	1.2818353
	14.81601771	1.1935341
	14.82962286	1.1828284
	14.84322802	1.1833879
	14.85683318	1.1419708
	14.87043834	1.1739507
	14.8840435	1.1528847
	14.89764866	1.1519742
	14.91125382	1.1375256
	14.92485898	1.0626406
	14.93846413	1.0565964
	14.95206929	1.0524687
	14.96567445	1.0388447
	14.97927961	1.0090769
	14.99288477	1.0056197
	15.00648993	1.0242544
	15.02009509	1.0038536
	15.03370024	1.0256331
	15.0473054	1.013981
	15.06091056	0.99188796
	15.07451572	0.98054592
	15.08812088	0.95462511
	15.10172604	0.94770796
	15.1153312	0.95636123
	15.12893635	1.0303235
	15.14254151	0.99501392
	15.15614667	0.96447119
	15.16975183	0.94194496
	15.18335699	0.94337369
	15.19696215	0.95659902
	15.21056731	0.94740497
	15.22417246	0.95386295
	15.23777762	0.94922455
	15.25138278	0.9587321
	15.26498794	0.97785626
	15.2785931	1.0119109
	15.29219826	1.0008893
	15.30580342	1.034923
	15.31940857	1.0507492
	15.33301373	1.050715
	15.34661889	1.0551538
	15.36022405	1.0491071
	15.37382921	1.0207077
	15.38743437	1.0250421
	15.40103953	1.0176479
	15.41464468	1.0131823
	15.42824984	0.99302238
	15.441855	1.0105503
	15.45546016	0.98229212
	15.46906532	0.96922014
	15.48267048	0.98751613
	15.50988079	0.91375787
	15.52348595	0.91199924
	15.53709111	0.90493953
	15.55069627	0.86107621
	15.56430143	0.81892093
	15.57790659	0.86900736
