csdata_id	e_energy	sigma
97843	12.02654306	0.0
97844	12.0269602	15.236265
97845	12.04056535	14.490892
97846	12.05417051	14.949569
97847	12.06777567	18.720859
97848	12.08138083	20.77739
97849	12.09498599	22.437568
97850	12.10859115	23.824099
97851	12.12219631	26.472616
97852	12.13580146	27.783298
97853	12.14940662	28.526304
97854	12.16301178	29.357059
97855	12.17661694	30.413663
97856	12.1902221	30.658113
97857	12.20382726	30.828067
97858	12.21743242	31.426001
97859	12.23103757	31.642148
97860	12.24464273	32.089672
97861	12.25824789	32.274536
97862	12.27185305	32.436954
97863	12.28545821	32.579037
97864	12.29906337	32.789827
97865	12.31266853	32.769594
97866	12.32627368	32.971182
97867	12.33987884	32.140825
97868	12.353484	30.64147
97869	12.36708916	29.879394
97870	12.38069432	29.856104
97871	12.39429948	29.906249
97872	12.40790464	29.955884
97873	12.42150979	29.876936
97874	12.43511495	29.779754
97875	12.44872011	29.668195
97876	12.46232527	29.567975
97877	12.47593043	29.478902
97878	12.48953559	29.125373
97879	12.50314075	29.025473
97880	12.5167459	28.932429
97881	12.53035106	28.845674
97882	12.54395622	28.765807
97883	12.55756138	28.688676
97884	12.57116654	28.615009
97885	12.5847717	28.542309
97886	12.59837686	28.467575
97887	12.61198201	28.369779
97888	12.62558717	28.277312
97889	12.63919233	28.161738
97890	12.65279749	27.999263
97891	12.66640265	27.483376
97892	12.68000781	27.331317
97893	12.69361297	28.065122
97894	12.70721812	28.189031
97895	12.72082328	28.106649
97896	12.73442844	28.037141
97897	12.7480336	28.022365
97898	12.76163876	28.136654
97899	12.77524392	28.658813
97900	12.78884908	30.324639
97901	12.80245423	28.220156
97902	12.81605939	27.254232
97903	12.82966455	27.630686
97904	12.84326971	27.568087
97905	12.85687487	28.222327
97906	12.87048003	29.493785
97907	12.88408519	30.461461
97908	12.89769034	29.69791
97909	12.9112955	28.093107
97910	12.92490066	28.284736
97911	12.93850582	27.36167
97912	12.95211098	26.770685
97913	12.96571614	26.256074
97914	12.9793213	25.92105
97915	12.99292646	26.562158
97916	13.00653161	27.278034
97917	13.02013677	25.362899
97918	13.03374193	24.145939
97919	13.04734709	22.556179
97920	13.06095225	19.718011
97921	13.07455741	18.067063
97922	13.08816257	17.207711
97923	13.10176772	17.104525
97924	13.11537288	17.287596
97925	13.12897804	17.173366
97926	13.1425832	17.034806
97927	13.15618836	17.122618
