	e_energy	sigma
	13.26777923	0.0
	13.27863479	0.017483838
	13.3058451	0.19034925
	13.31945026	0.18749705
	13.33305542	0.1846796
	13.34666058	0.23177903
	13.36026574	0.28075701
	13.3738709	0.34439926
	13.38747605	0.40084026
	13.40108121	0.46052924
	13.41468637	0.43238242
	13.42829153	0.53045045
	13.44189669	0.53474012
	13.45550185	0.40450868
	13.46910701	0.52046618
	13.48271216	0.58327971
	13.49631732	0.65277451
	13.50992248	0.67361181
	13.52352764	0.74889654
	13.5371328	0.81362985
	13.55073796	0.96153549
	13.56434312	1.0931366
	13.57794827	1.0064983
	13.59155343	0.98061128
	13.60515859	1.0422252
	13.61876375	0.93372514
	13.63236891	0.94599242
	13.64597407	0.95973225
	13.65957923	0.91857334
	13.67318438	0.82014383
	13.7003947	0.90181652
	13.71399986	0.88879082
	13.75481534	0.40212629
	13.76842049	0.39459153
	13.78202565	0.45473996
	13.79563081	0.30733819
	13.80923597	0.39919261
	13.82284113	0.39254535
	13.83644629	0.48209083
	13.85005145	0.49849908
	13.8636566	0.43725694
	13.87726176	0.53613019
	13.89086692	0.48282472
	13.90447208	0.44410889
	13.91807724	0.58319184
	13.9316824	0.59852171
	13.94528756	0.58868394
	13.95889272	0.56984588
	13.97249787	0.5492555
	13.98610303	0.48628
	13.99970819	0.50325404
	14.01331335	0.50560727
	14.02691851	0.52322526
	14.04052367	0.55311525
	14.05412883	0.55665384
	14.06773398	0.67129598
	14.08133914	0.72856128
	14.0949443	0.64155226
	14.10854946	0.6100095
	14.12215462	0.54785487
	14.13575978	0.50971424
	14.14936494	0.44423348
	14.16297009	0.42874987
	14.17657525	0.40312218
	14.19018041	0.34400831
	14.20378557	0.39237996
	14.21739073	0.40208547
	14.23099589	0.44437312
	14.24460105	0.47970256
	14.2582062	0.4835868
	14.27181136	0.45010388
	14.28541652	0.45216338
	14.29902168	0.48526108
	14.31262684	0.50153858
	14.326232	0.52461525
	14.33983716	0.52269291
	14.35344231	0.55431401
	14.36704747	0.58449759
	14.38065263	0.56503285
	14.39425779	0.61472055
	14.40786295	0.59330127
	14.42146811	0.55265245
	14.43507327	0.5585078
	14.44867842	0.49864523
	14.46228358	0.54998412
	14.47588874	0.53759018
	14.4894939	0.54917534
	14.50309906	0.54946668
	14.51670422	0.50252103
	14.53030938	0.42234552
	14.54391453	0.35144734
	14.55751969	0.40795262
	14.57112485	0.41530424
	14.58473001	0.38330402
	14.59833517	0.39398828
	14.61194033	0.39751509
	14.62554549	0.40211314
	14.63915064	0.41707435
	14.6527558	0.37912863
	14.66636096	0.37627052
	14.67996612	0.39732313
	14.69357128	0.40686573
	14.70717644	0.39918772
	14.7207816	0.43198039
	14.73438675	0.46305959
	14.74799191	0.44306203
	14.76159707	0.41602935
	14.77520223	0.40311276
	14.78880739	0.42969579
	14.80241255	0.41956971
	14.81601771	0.3624964
	14.82962286	0.29833049
	14.84322802	0.30589902
	14.85683318	0.36925211
	14.87043834	0.34741204
	14.8840435	0.3209202
	14.89764866	0.34872812
	14.91125382	0.36555968
	14.92485898	0.36836361
	14.93846413	0.39433985
	14.95206929	0.38468859
	14.96567445	0.41433461
	14.97927961	0.4173688
	14.99288477	0.36982975
	15.00648993	0.36683549
	15.02009509	0.3641203
	15.03370024	0.37962863
	15.0473054	0.35805916
	15.06091056	0.36316901
	15.07451572	0.33114536
	15.08812088	0.32690787
	15.10172604	0.32798118
	15.1153312	0.32556396
	15.12893635	0.32680084
	15.14254151	0.31420672
	15.15614667	0.30349273
	15.16975183	0.28515466
	15.18335699	0.26418967
	15.19696215	0.25216376
	15.21056731	0.2530627
	15.22417246	0.24672788
	15.23777762	0.23112246
	15.25138278	0.23434605
	15.26498794	0.24827319
	15.2785931	0.23305832
	15.29219826	0.22326049
	15.30580342	0.22243956
	15.31940857	0.2387959
	15.33301373	0.24548529
	15.34661889	0.26185124
	15.36022405	0.25464362
	15.37382921	0.26291119
	15.38743437	0.23620173
	15.40103953	0.23383726
	15.41464468	0.23282709
	15.42824984	0.23137584
	15.441855	0.22907876
	15.45546016	0.21675901
	15.46906532	0.22382904
	15.48267048	0.22773229
	15.50988079	0.20453924
	15.52348595	0.19500724
	15.53709111	0.19294553
	15.55069627	0.20630528
	15.56430143	0.18730134
	15.57790659	0.17466579
	15.59151175	0.15787869
	15.6051169	0.19189203
	15.61872206	0.20088761
	15.63232722	0.18769291
	15.64593238	0.16445276
	15.65953754	0.17881878
	15.6731427	0.1614368
	15.68674786	0.16552155
	15.70035301	0.17628595
	15.71395817	0.18030042
	15.72756333	0.17316808
	15.74116849	0.1607606
	15.75477365	0.16715915
	15.76837881	0.16849357
	15.78198397	0.16693304
	15.79558912	0.18050239
	15.80919428	0.17359645
	15.82279944	0.18085211
	15.8364046	0.17706729
	15.85000976	0.18308048
	15.86361492	0.17606629
	15.87722008	0.1723657
	15.89082524	0.16864308
	15.90443039	0.16954935
	15.91803555	0.17698302
	15.93164071	0.16930158
	15.94524587	0.16182677
	15.95885103	0.16049868
	15.97245619	0.1557607
	15.98606135	0.15977517
	15.9996665	0.1619931
	16.01327166	0.16011432
	16.02687682	0.1551548
	16.04048198	0.16065138
	16.05408714	0.15442623
	16.0676923	0.14970445
	16.08129746	0.15420628
	16.09490261	0.15010635
	16.10850777	0.13990499
	16.12211293	0.1383602
	16.13571809	0.14380115
	16.14932325	0.13760534
	16.16292841	0.1394628
	16.17653357	0.126268
	16.19013872	0.13199743
	16.20374388	0.13246067
	16.21734904	0.11114136
	16.2309542	0.11751009
	16.24455936	0.12091577
	16.25816452	0.11261668
	16.27176968	0.1046797
	16.28537483	0.093483293
	16.29897999	0.096196569
	16.31258515	0.095709092
	16.32619031	0.097546492
	16.33979547	0.09774958
	16.35340063	0.084217675
	16.36700579	0.091495203
	16.3942161	0.085406101
	16.40782126	0.086651807
	16.42142642	0.091151814
	16.43503158	0.092957925
	16.44863674	0.089835925
	16.4622419	0.091282569
	16.47584705	0.089466893
	16.48945221	0.094712728
	16.50305737	0.086978614
	16.51666253	0.10225276
