csdata_id	e_energy	sigma
110351	12.96301252	0.0
110352	12.96571614	0.258412
110353	12.9793213	1.2995513
110354	12.99292646	1.1209614
110355	13.00653161	1.3914226
110356	13.02013677	1.4738917
110357	13.03374193	1.7578019
110358	13.04734709	1.7500929
110359	13.06095225	1.9676496
110360	13.07455741	1.6890637
110361	13.08816257	1.5833072
110362	13.10176772	1.5013134
110363	13.11537288	1.4370673
110364	13.12897804	1.4163079
110365	13.1425832	1.399274
110366	13.15618836	1.4284102
110367	13.16979352	1.4388617
110368	13.18339868	1.429441
110369	13.19700383	1.4355643
110370	13.21060899	1.4093858
110371	13.22421415	1.3443235
110372	13.23781931	1.3199009
110373	13.25142447	1.2916921
110374	13.26502963	1.3047804
110375	13.27863479	1.3266058
110376	13.3058451	1.2685976
110377	13.31945026	1.3144104
110378	13.33305542	1.3364827
110379	13.34666058	1.3417935
110380	13.36026574	1.3499663
110381	13.3738709	1.4283743
110382	13.38747605	1.4278201
110383	13.40108121	1.4022115
110384	13.41468637	1.3829026
110385	13.42829153	1.3711995
110386	13.44189669	1.3644651
110387	13.45550185	1.3504373
110388	13.46910701	1.3351562
110389	13.48271216	1.3184768
110390	13.49631732	1.3041462
110391	13.50992248	1.2917063
110392	13.52352764	1.2745829
110393	13.5371328	1.2730338
110394	13.55073796	1.265832
110395	13.56434312	1.2425701
110396	13.57794827	1.2009367
110397	13.59155343	1.1677849
110398	13.60515859	1.1533332
110399	13.61876375	1.1186433
110400	13.63236891	1.0938142
110401	13.64597407	1.0582818
110402	13.65957923	0.97544007
110403	13.67318438	0.91567083
110404	13.7003947	0.98885307
110405	13.71399986	0.77431848
110406	13.75481534	0.81456959
110407	13.76842049	0.86823703
110408	13.78202565	0.89159079
110409	13.79563081	0.92161038
110410	13.80923597	0.89184989
110411	13.82284113	0.88902079
110412	13.83644629	0.88496542
110413	13.85005145	0.93620308
110414	13.8636566	0.96928832
110415	13.87726176	0.89542602
110416	13.89086692	0.85285204
110417	13.90447208	0.87782047
110418	13.91807724	0.82720165
110419	13.9316824	0.83246086
110420	13.94528756	0.83020216
110421	13.95889272	0.85809168
110422	13.97249787	0.89506948
110423	13.98610303	0.90357373
110424	13.99970819	0.90424328
110425	14.01331335	0.89768126
110426	14.02691851	0.95193773
110427	14.04052367	0.92603248
110428	14.05412883	0.92782992
110429	14.06773398	0.89691369
110430	14.08133914	0.85620271
110431	14.0949443	0.84073198
110432	14.10854946	0.81445179
110433	14.12215462	0.79969454
110434	14.13575978	0.76052062
110435	14.14936494	0.73743612
110436	14.16297009	0.7766541
110437	14.17657525	0.72216511
110438	14.19018041	0.70763961
110439	14.20378557	0.68461168
110440	14.21739073	0.68316833
110441	14.23099589	0.66815422
110442	14.24460105	0.66684079
110443	14.2582062	0.66457086
110444	14.27181136	0.6473253
110445	14.28541652	0.61451823
110446	14.29902168	0.5957717
110447	14.31262684	0.59168233
110448	14.326232	0.58012788
110449	14.33983716	0.55963151
110450	14.35344231	0.57328503
110451	14.36704747	0.54967348
110452	14.38065263	0.5366074
110453	14.39425779	0.56289773
110454	14.40786295	0.56378577
110455	14.42146811	0.57647149
110456	14.43507327	0.59649033
110457	14.44867842	0.63303068
110458	14.46228358	0.64809011
110459	14.47588874	0.63592065
110460	14.4894939	0.63521654
110461	14.50309906	0.64139907
110462	14.51670422	0.63403062
110463	14.53030938	0.60814787
110464	14.54391453	0.60813297
110465	14.55751969	0.63384339
110466	14.57112485	0.6251723
110467	14.58473001	0.63453415
110468	14.59833517	0.63028357
110469	14.61194033	0.61739638
110470	14.62554549	0.59578576
110471	14.63915064	0.5993445
110472	14.6527558	0.59544027
110473	14.66636096	0.58634076
110474	14.67996612	0.56347164
110475	14.69357128	0.55637435
110476	14.70717644	0.55291315
110477	14.7207816	0.53255098
110478	14.73438675	0.52565195
110479	14.74799191	0.51765052
110480	14.76159707	0.5153633
110481	14.77520223	0.5284131
110482	14.78880739	0.51384601
110483	14.80241255	0.51403738
110484	14.81601771	0.51099611
110485	14.82962286	0.50624815
110486	14.84322802	0.5017856
110487	14.85683318	0.49730925
110488	14.87043834	0.49045912
110489	14.8840435	0.48291843
110490	14.89764866	0.4739432
110491	14.91125382	0.47060393
110492	14.92485898	0.48016691
110493	14.93846413	0.46246619
110494	14.95206929	0.45053184
110495	14.96567445	0.43846114
110496	14.97927961	0.43781198
110497	14.99288477	0.42851651
110498	15.00648993	0.42526834
110499	15.02009509	0.41475533
110500	15.03370024	0.40893682
110501	15.0473054	0.40082695
110502	15.06091056	0.39331849
110503	15.07451572	0.38549508
110504	15.08812088	0.37798431
110505	15.10172604	0.37110076
110506	15.1153312	0.36443044
110507	15.12893635	0.35875716
110508	15.14254151	0.35192135
110509	15.15614667	0.33946608
110510	15.16975183	0.33687741
110511	15.18335699	0.34038427
110512	15.19696215	0.33789301
110513	15.21056731	0.34064194
110514	15.22417246	0.34489149
110515	15.23777762	0.34498976
110516	15.25138278	0.34665087
110517	15.26498794	0.34541832
110518	15.2785931	0.35230191
110519	15.29219826	0.34872678
110520	15.30580342	0.35144174
110521	15.31940857	0.36373034
110522	15.33301373	0.37416078
110523	15.34661889	0.38180624
110524	15.36022405	0.38161138
110525	15.37382921	0.39473659
110526	15.38743437	0.39333799
110527	15.40103953	0.39753409
110528	15.41464468	0.39039166
110529	15.42824984	0.3817571
110530	15.441855	0.37547079
110531	15.45546016	0.37643678
110532	15.46906532	0.37307319
110533	15.48267048	0.35996678
110534	15.50988079	0.34433435
110535	15.52348595	0.34064109
110536	15.53709111	0.33634413
110537	15.55069627	0.33375813
110538	15.56430143	0.32568032
110539	15.57790659	0.32740285
110540	15.59151175	0.32794477
110541	15.6051169	0.32749374
110542	15.61872206	0.32309587
110543	15.63232722	0.32853497
110544	15.64593238	0.32180928
110545	15.65953754	0.31350183
110546	15.6731427	0.31832524
110547	15.68674786	0.3168774
110548	15.70035301	0.3166823
110549	15.71395817	0.30493458
110550	15.72756333	0.30899919
110551	15.74116849	0.29932339
110552	15.75477365	0.29214055
110553	15.76837881	0.29453906
110554	15.78198397	0.27783803
110555	15.79558912	0.27056011
110556	15.80919428	0.27189997
110557	15.82279944	0.27323791
110558	15.8364046	0.26182574
110559	15.85000976	0.26249148
110560	15.86361492	0.25994147
110561	15.87722008	0.25422742
110562	15.89082524	0.25977401
110563	15.90443039	0.25741074
110564	15.91803555	0.25455772
110565	15.93164071	0.25221865
110566	15.94524587	0.24682902
110567	15.95885103	0.24813124
110568	15.97245619	0.24644989
110569	15.98606135	0.24651737
110570	15.9996665	0.24045073
110571	16.01327166	0.23833748
110572	16.02687682	0.23675067
110573	16.04048198	0.23394028
110574	16.05408714	0.23375846
110575	16.0676923	0.2268218
110576	16.08129746	0.22914103
110577	16.09490261	0.22964955
110578	16.10850777	0.22195919
110579	16.12211293	0.22005905
110580	16.13571809	0.21874007
110581	16.14932325	0.21336616
110582	16.16292841	0.2149564
110583	16.17653357	0.20711091
110584	16.19013872	0.20699421
110585	16.20374388	0.2036482
110586	16.21734904	0.20522439
110587	16.2309542	0.20320702
