csdata_id	e_energy	sigma
109842	1.1328515600000006	0.0
109843	1.1399006600000003	0.34580795
109844	1.1535058199999995	0.64331295
109845	1.1671109800000004	1.0358794
109846	1.1807161399999995	1.4395261000000001
109847	1.1943213000000004	0.67573601
109848	1.2079264599999995	0.91628179
109849	1.2215316099999995	0.80607723
109850	1.2351367700000004	0.96691545
109851	1.2487419299999996	1.0677198
109852	1.2623470900000004	1.0518184
109853	1.2759522499999996	1.1123521
109854	1.2895574100000005	1.2091118
109855	1.3031625699999996	1.1107036
109856	1.3167677199999996	1.1422506000000001
109857	1.3303728800000005	1.1382179
109858	1.3439780399999997	1.1377244
109859	1.3575832000000005	1.1369856000000003
109860	1.3711883599999997	1.1340934
109861	1.3847935200000006	1.1418653
109862	1.3983986799999997	1.1495031999999998
109863	1.4120038299999997	1.1687133
109864	1.4256089900000006	1.2030962
109865	1.4392141499999997	1.1982142
109866	1.4528193100000006	1.1902471000000001
109867	1.4664244699999998	1.1263552
109868	1.4800296300000007	1.128056
109869	1.4936347899999998	1.2247575000000002
109870	1.5208451000000007	1.2502683
109871	1.5344502599999998	1.1998447
109872	1.5480554200000007	1.1466364
109873	1.5616605799999999	1.1500306999999999
109874	1.575265739999999	1.223403
109875	1.5888708999999999	1.4299382
109876	1.60247605	1.316139
109877	1.616081209999999	1.2354838
109878	1.62968637	1.1913078000000001
109879	1.643291529999999	1.2237301999999999
109880	1.65689669	1.2683401
109881	1.670501849999999	1.2813700000000001
109882	1.68410701	1.3035537
109883	1.69771216	1.3119143999999998
109884	1.7113173199999991	1.3066824
109885	1.72492248	1.3076932
109886	1.7385276399999992	1.3212118999999998
109887	1.7521328	1.3183827
109888	1.7657379599999992	1.3678021999999999
109889	1.77934312	1.4750565
109890	1.7929482700000001	1.435529
109891	1.8065534299999992	1.361891
109892	1.8201585900000001	1.3416656
109893	1.8337637499999992	1.2618399
109894	1.8473689100000001	1.1660133999999998
109895	1.8609740699999993	1.1666319
109896	1.8745792300000002	1.2946475
109897	1.8881843800000002	1.3289865
109898	1.9153947000000002	1.5820411
109899	1.9289998599999993	1.3470088
109900	1.9698153400000002	1.2145499
109901	1.9834204900000003	1.2071973
109902	1.9970256499999994	1.0927850000000001
109903	2.0106308100000003	0.91763125
109904	2.0242359699999994	0.88199798
109905	2.0378411300000003	0.9024921
109906	2.0514462899999995	0.95819762
109907	2.0650514500000003	0.95824958
109908	2.0786566000000004	0.91229511
109909	2.0922617599999995	0.879212
109910	2.1058669200000004	0.8661113
109911	2.1194720799999995	0.88765568
109912	2.1330772400000004	0.87753896
109913	2.1466823999999995	0.87638924
109914	2.1602875600000004	0.84436037
109915	2.1738927199999996	0.8443571
109916	2.1874978699999996	0.90297038
109917	2.2011030300000005	0.91558002
109918	2.2147081899999996	0.90783653
109919	2.2283133500000005	0.90213928
109920	2.2419185099999996	0.95499139
109921	2.2555236700000005	0.90227436
109922	2.2691288299999997	0.89331963
109923	2.2827339799999997	0.85526713
109924	2.2963391400000006	0.83571712
109925	2.3099442999999997	0.84027182
109926	2.3235494600000006	0.83092532
109927	2.3371546199999997	0.79231279
109928	2.3507597800000006	0.78431262
109929	2.3643649399999997	0.79790352
109930	2.37797009	0.8359255
109931	2.3915752500000007	0.79101505
109932	2.40518041	0.78641668
109933	2.4187855700000007	0.76716034
109934	2.43239073	0.76808643
109935	2.4459958900000007	0.75029767
109936	2.45960105	0.73392421
109937	2.4732062	0.73943978
109938	2.486811359999999	0.71397827
109939	2.50041652	0.70378955
109940	2.514021679999999	0.67860806
109941	2.52762684	0.64935121
109942	2.541231999999999	0.62770764
109943	2.55483716	0.62570464
109944	2.56844231	0.68252473
109945	2.582047469999999	0.659487
109946	2.59565263	0.65988303
109947	2.609257789999999	0.66245202
109948	2.62286295	0.65729055
109949	2.636468109999999	0.67008149
109950	2.65007327	0.66466496
109951	2.66367842	0.65954297
109952	2.677283579999999	0.63118172
109953	2.69088874	0.63965012
109954	2.7044938999999992	0.63661865
109955	2.71809906	0.64456776
109956	2.7317042199999992	0.62552216
109957	2.74530938	0.58721385
109958	2.75891453	0.56638382
109959	2.7725196899999993	0.58889879
109960	2.78612485	0.59884281
109961	2.7997300099999993	0.5910175
109962	2.81333517	0.58250089
109963	2.8269403299999993	0.5800544
109964	2.8405454900000002	0.60534113
109965	2.8541506400000003	0.5718253
109966	2.8677557999999994	0.55806885
109967	2.8813609600000003	0.58044956
109968	2.8949661199999994	0.54664808
109969	2.9085712800000003	0.54636829
109970	2.9221764399999994	0.53659864
109971	2.9357816000000003	0.52753199
109972	2.9493867500000004	0.53281005
109973	2.9629919099999995	0.52686505
109974	2.9765970700000004	0.51009575
109975	2.9902022299999995	0.49471583
109976	3.0038073900000004	0.49145875
109977	3.0174125499999995	0.53734189
109978	3.0310177100000004	0.5344069
109979	3.0446228600000005	0.5395212
109980	3.0582280199999996	0.54535018
109981	3.0718331800000005	0.51945272
109982	3.0854383399999996	0.5218878
109983	3.0990435000000005	0.50974935
109984	3.1126486599999996	0.4946048
109985	3.1262538200000005	0.50029629
109986	3.1398589799999996	0.48774044
109987	3.1534641299999997	0.48666908
109988	3.1670692900000006	0.49548153
109989	3.1806744499999997	0.48203681
109990	3.1942796100000006	0.48375773
