	e_energy	sigma
	12.85288937	0.0
	12.85687487	0.87702339
	12.87048003	2.0890705
	12.88408519	4.7213494
	12.89769034	5.3526899
	12.9112955	5.0885823
	12.92490066	5.2599155
	12.93850582	4.9816204
	12.95211098	7.4416835
	12.96571614	7.3801863
	12.9793213	7.7787046
	12.99292646	7.9233203
	13.00653161	7.0820682
	13.02013677	6.7376957
	13.03374193	6.2040445
	13.04734709	5.7386219
	13.06095225	5.5671147
	13.07455741	5.5978637
	13.08816257	5.6452113
	13.10176772	5.887578
	13.11537288	6.0944272
	13.12897804	6.3273364
	13.1425832	6.6045467
	13.15618836	5.9680505
	13.16979352	6.0913931
	13.18339868	6.2446253
	13.19700383	6.3698599
	13.21060899	6.6441429
	13.22421415	6.8924392
	13.23781931	7.0998087
	13.25142447	7.4476364
	13.26502963	7.6805369
	13.27863479	7.7841345
	13.3058451	8.065106
	13.31945026	7.6745798
	13.33305542	8.1376676
	13.34666058	8.2846107
	13.36026574	8.9282592
	13.3738709	9.3201289
	13.38747605	8.8678444
	13.40108121	7.6484332
	13.41468637	7.2978396
	13.42829153	7.3168088
	13.44189669	7.0656291
	13.45550185	7.124456
	13.46910701	6.9794504
	13.48271216	6.9457716
	13.49631732	6.5161442
	13.50992248	6.5461091
	13.52352764	6.4685756
	13.5371328	6.3073096
	13.55073796	6.2241028
	13.56434312	6.1530753
	13.57794827	6.0431009
	13.59155343	6.2670026
	13.60515859	6.3273561
	13.61876375	6.1966996
	13.63236891	6.248309
	13.64597407	6.4355832
	13.65957923	7.0882849
	13.67318438	7.4754896
	13.7003947	7.4333272
	13.71399986	6.874843
	13.75481534	8.4566951
	13.76842049	7.5002666
	13.78202565	7.4930505
	13.79563081	7.3263128
	13.80923597	7.3069671
	13.82284113	7.3115094
	13.83644629	7.3383518
	13.85005145	7.3220449
	13.8636566	7.3885688
	13.87726176	7.4813456
	13.89086692	7.5293504
	13.90447208	7.671547
	13.91807724	7.6725572
	13.9316824	7.542823
	13.94528756	7.5947568
	13.95889272	7.3494845
	13.97249787	7.284878
	13.98610303	6.9957022
	13.99970819	6.9595135
	14.01331335	6.8813953
	14.02691851	6.8387295
	14.04052367	7.0137716
	14.05412883	6.7843297
	14.06773398	6.6233013
	14.08133914	6.4898868
	14.0949443	6.6519658
	14.10854946	6.3677495
	14.12215462	6.2748809
	14.13575978	6.23066
	14.14936494	6.2710301
	14.16297009	6.402343
	14.17657525	6.3522651
	14.19018041	6.3466604
	14.20378557	6.3668589
	14.21739073	6.3528427
	14.23099589	6.3893764
