csdata_id	e_energy	sigma
77605	12.37320169	0.0
77606	12.38069432	0.43030749
77607	12.39429948	1.335394
77608	12.40790464	1.2704526
77609	12.42150979	1.1223934
77610	12.43511495	1.0320413
77611	12.44872011	0.96883644
77612	12.46232527	0.9196233
77613	12.47593043	0.87007565
77614	12.48953559	0.83338796
77615	12.50314075	0.80123238
77616	12.5167459	0.77302538
77617	12.53035106	0.74829547
77618	12.54395622	0.72664378
77619	12.55756138	0.70349622
77620	12.57116654	0.68661652
77621	12.5847717	0.67203763
77622	12.59837686	0.65954662
77623	12.61198201	0.64929973
77624	12.62558717	0.6404973
77625	12.63919233	0.63319045
77626	12.65279749	0.62780344
77627	12.66640265	0.62543147
77628	12.68000781	0.62897907
77629	12.69361297	0.62627412
77630	12.70721812	0.61709109
77631	12.72082328	0.61223664
77632	12.73442844	0.60921187
77633	12.7480336	0.60691265
77634	12.76163876	0.60484549
77635	12.77524392	0.60271241
77636	12.78884908	0.60037925
77637	12.80245423	0.59789696
77638	12.81605939	0.59917494
77639	12.82966455	0.6417443
77640	12.84326971	0.60340831
77641	12.85687487	0.60716661
77642	12.87048003	0.62567888
77643	12.88408519	0.62856213
77644	12.89769034	0.69431632
77645	12.9112955	0.69592748
77646	12.92490066	0.70110935
77647	12.93850582	0.70528608
77648	12.95211098	0.69998074
77649	12.96571614	0.74735616
77650	12.9793213	0.79048942
77651	12.99292646	0.79911543
77652	13.00653161	0.80234035
77653	13.02013677	0.76874513
77654	13.03374193	0.75822368
77655	13.04734709	0.75230991
77656	13.06095225	0.72749931
77657	13.07455741	0.74664497
77658	13.08816257	0.73514812
77659	13.10176772	0.75320305
77660	13.11537288	0.75871379
77661	13.12897804	0.76550525
77662	13.1425832	0.77081856
77663	13.15618836	0.77506741
77664	13.16979352	0.78143026
77665	13.18339868	0.7859165
77666	13.19700383	0.79335347
77667	13.21060899	0.8010331
77668	13.22421415	0.80455546
77669	13.23781931	0.80626758
77670	13.25142447	0.81512547
77671	13.26502963	0.81918444
77672	13.27863479	0.8282257
77673	13.3058451	0.84462061
77674	13.31945026	0.85092158
77675	13.33305542	0.85932693
77676	13.34666058	0.87128599
77677	13.36026574	0.87247158
77678	13.3738709	0.87940641
77679	13.38747605	0.89123365
77680	13.40108121	0.90123701
77681	13.41468637	0.91350812
77682	13.42829153	0.95243354
77683	13.44189669	0.9273051
77684	13.45550185	0.9373051
77685	13.46910701	0.9432537
77686	13.48271216	0.95711704
77687	13.49631732	0.95953581
77688	13.50992248	0.96209681
77689	13.52352764	0.96946875
77690	13.5371328	0.97170386
77691	13.55073796	0.96943856
77692	13.56434312	0.96373623
77693	13.57794827	0.96425687
77694	13.59155343	0.95996716
77695	13.60515859	0.95526238
77696	13.61876375	0.96516962
77697	13.63236891	0.97261394
77698	13.64597407	0.96855954
77699	13.65957923	0.96673574
77700	13.67318438	0.97646038
77701	13.7003947	1.0181425
77702	13.71399986	0.9781979
77703	13.75481534	0.79238874
77704	13.76842049	0.76688001
77705	13.78202565	0.699984
77706	13.79563081	0.71426616
77707	13.80923597	0.70210085
77708	13.82284113	0.62322292
77709	13.83644629	0.62106333
77710	13.85005145	0.61919315
77711	13.8636566	0.60263466
77712	13.87726176	0.61187711
77713	13.89086692	0.59167106
77714	13.90447208	0.55970248
77715	13.91807724	0.54613474
77716	13.9316824	0.53447983
77717	13.94528756	0.53232613
77718	13.95889272	0.54385527
77719	13.97249787	0.54772021
77720	13.98610303	0.53181848
77721	13.99970819	0.52851481
77722	14.01331335	0.55444128
77723	14.02691851	0.53869582
77724	14.04052367	0.52280228
77725	14.05412883	0.52567047
77726	14.06773398	0.52738202
77727	14.08133914	0.52647384
77728	14.0949443	0.52531042
77729	14.10854946	0.5384372
77730	14.12215462	0.53287946
77731	14.13575978	0.53105075
77732	14.14936494	0.53658781
77733	14.16297009	0.53829062
77734	14.17657525	0.53520476
77735	14.19018041	0.53912344
77736	14.20378557	0.54053741
77737	14.21739073	0.54669269
77738	14.23099589	0.54778591
77739	14.24460105	0.54382268
77740	14.2582062	0.54898949
77741	14.27181136	0.55260482
77742	14.28541652	0.53519091
77743	14.29902168	0.51871408
77744	14.31262684	0.51253471
77745	14.326232	0.50979502
77746	14.33983716	0.52221213
77747	14.35344231	0.51311709
77748	14.36704747	0.51437742
77749	14.38065263	0.50490311
77750	14.39425779	0.50652251
77751	14.40786295	0.50486287
77752	14.42146811	0.50282218
77753	14.43507327	0.50761005
77754	14.44867842	0.51808609
77755	14.46228358	0.50846988
77756	14.47588874	0.51668306
77757	14.4894939	0.52113657
77758	14.50309906	0.52872004
77759	14.51670422	0.52645797
77760	14.53030938	0.52940463
77761	14.54391453	0.53251697
77762	14.55751969	0.52442518
77763	14.57112485	0.50379594
77764	14.58473001	0.50895828
77765	14.59833517	0.51322112
77766	14.61194033	0.52482682
77767	14.62554549	0.5368312
77768	14.63915064	0.55638842
77769	14.6527558	0.55308814
77770	14.66636096	0.55871104
77771	14.67996612	0.51467743
77772	14.69357128	0.49886749
77773	14.70717644	0.50178058
77774	14.7207816	0.4804846
77775	14.73438675	0.48482502
77776	14.74799191	0.48155765
77777	14.76159707	0.47028242
77778	14.77520223	0.45581107
77779	14.78880739	0.44981683
77780	14.80241255	0.4564951
77781	14.81601771	0.44771503
77782	14.82962286	0.43674612
77783	14.84322802	0.43743642
77784	14.85683318	0.44251956
77785	14.87043834	0.43866969
77786	14.8840435	0.43745607
77787	14.89764866	0.43703784
77788	14.91125382	0.44124575
77789	14.92485898	0.44053656
77790	14.93846413	0.44064042
77791	14.95206929	0.44410152
77792	14.96567445	0.44637372
77793	14.97927961	0.44637245
77794	14.99288477	0.45009379
77795	15.00648993	0.45216491
77796	15.02009509	0.45275413
77797	15.03370024	0.46442699
77798	15.0473054	0.45795329
77799	15.06091056	0.45677423
77800	15.07451572	0.46303227
77801	15.08812088	0.47162785
77802	15.10172604	0.47229864
77803	15.1153312	0.47431446
77804	15.12893635	0.47453531
77805	15.14254151	0.47736091
77806	15.15614667	0.47260489
77807	15.16975183	0.45802803
77808	15.18335699	0.45703728
77809	15.19696215	0.4527318
77810	15.21056731	0.45094044
77811	15.22417246	0.44680126
77812	15.23777762	0.4430248
77813	15.25138278	0.43959007
77814	15.26498794	0.43742068
77815	15.2785931	0.43902142
77816	15.29219826	0.42713939
77817	15.30580342	0.42275723
77818	15.31940857	0.42347738
77819	15.33301373	0.4227235
77820	15.34661889	0.4081953
77821	15.36022405	0.40737413
77822	15.37382921	0.40517683
77823	15.38743437	0.40626079
77824	15.40103953	0.40561786
77825	15.41464468	0.40381078
77826	15.42824984	0.40278455
77827	15.441855	0.40069222
77828	15.45546016	0.3946255
77829	15.46906532	0.39654547
77830	15.48267048	0.39964893
77831	15.50988079	0.38407828
77832	15.52348595	0.38646116
77833	15.53709111	0.40148583
77834	15.55069627	0.39702678
77835	15.56430143	0.4041008
77836	15.57790659	0.4012815
77837	15.59151175	0.40812387
77838	15.6051169	0.39955408
77839	15.61872206	0.39330377
77840	15.63232722	0.39632595
77841	15.64593238	0.40042985
77842	15.65953754	0.39691056
77843	15.6731427	0.3960404
77844	15.68674786	0.40129361
77845	15.70035301	0.40174954
77846	15.71395817	0.39876693
77847	15.72756333	0.39847401
77848	15.74116849	0.40202392
77849	15.75477365	0.39702293
77850	15.76837881	0.397472
77851	15.78198397	0.39584296
77852	15.79558912	0.39588984
77853	15.80919428	0.3968124
77854	15.82279944	0.394034
77855	15.8364046	0.38786825
77856	15.85000976	0.38744227
77857	15.86361492	0.3889794
77858	15.87722008	0.38392395
77859	15.89082524	0.38255708
77860	15.90443039	0.37912885
77861	15.91803555	0.37557502
77862	15.93164071	0.37712175
77863	15.94524587	0.37757741
77864	15.95885103	0.37665515
77865	15.97245619	0.37184325
77866	15.98606135	0.37016384
77867	15.9996665	0.36885398
77868	16.01327166	0.36610431
77869	16.02687682	0.36544523
77870	16.04048198	0.36457352
77871	16.05408714	0.36297978
77872	16.0676923	0.3635153
77873	16.08129746	0.36218587
77874	16.09490261	0.36189691
77875	16.10850777	0.35974701
77876	16.12211293	0.35844282
77877	16.13571809	0.35370771
77878	16.14932325	0.35180969
77879	16.16292841	0.35331891
77880	16.17653357	0.35214685
77881	16.19013872	0.3538374
77882	16.20374388	0.34978083
77883	16.21734904	0.35182455
77884	16.2309542	0.35457868
77885	16.24455936	0.36094253
77886	16.25816452	0.3598094
77887	16.27176968	0.36053527
77888	16.28537483	0.36119329
77889	16.29897999	0.36183274
77890	16.31258515	0.3577981
77891	16.32619031	0.35882576
77892	16.33979547	0.35789123
77893	16.35340063	0.35927488
77894	16.36700579	0.36069419
77895	16.3942161	0.36154331
77896	16.40782126	0.36428717
77897	16.42142642	0.36340384
77898	16.43503158	0.36101281
77899	16.44863674	0.36324321
77900	16.4622419	0.36663147
77901	16.47584705	0.36388978
77902	16.48945221	0.36376414
77903	16.50305737	0.36362405
77904	16.51666253	0.3620335
77905	16.53026769	0.36144283
77906	16.54387285	0.36305372
77907	16.55747801	0.36502665
77908	16.57108316	0.36618833
77909	16.58468832	0.36524319
77910	16.59829348	0.36771751
77911	16.61189864	0.36449158
77912	16.6255038	0.36025483
77913	16.63910896	0.36167519
77914	16.65271412	0.36196486
77915	16.67992443	0.35998266
77916	16.69352959	0.36018759
77917	16.70713475	0.35849298
77918	16.72073991	0.35656281
77919	16.73434507	0.35677367
77920	16.74795023	0.35500395
77921	16.76155538	0.35134505
77922	16.77516054	0.35642593
77923	16.7887657	0.35248421
77924	16.80237086	0.35293987
77925	16.81597602	0.35184077
77926	16.82958118	0.35000256
77927	16.84318634	0.34924947
77928	16.8567915	0.34810284
77929	16.87039665	0.34742394
77930	16.88400181	0.34585172
77931	16.89760697	0.34427522
77932	16.91121213	0.34196977
77933	16.92481729	0.34995349
77934	16.93842245	0.34134759
77935	16.95202761	0.34049374
77936	16.96563276	0.33608011
77937	16.97923792	0.3340488
77938	16.99284308	0.33123346
77939	17.00644824	0.3294923
77940	17.0200534	0.33127585
77941	17.03365856	0.33036526
77942	17.04726372	0.33337894
77943	17.06086887	0.33253571
77944	17.07447403	0.33250172
77945	17.08807919	0.33406428
77946	17.10168435	0.33337357
77947	17.11528951	0.33367933
77948	17.12889467	0.33199071
77949	17.14249983	0.3339635
77950	17.15610498	0.33191655
77951	17.16971014	0.33085034
77952	17.1833153	0.33104543
77953	17.19692046	0.33114863
77954	17.21052562	0.32991078
77955	17.22413078	0.33074701
77956	17.23773594	0.3299346
77957	17.25134109	0.3290999
77958	17.26494625	0.32878444
77959	17.27855141	0.32942197
77960	17.29215657	0.32861758
77961	17.30576173	0.32891269
77962	17.31936689	0.32831476
77963	17.33297205	0.32662268
77964	17.3465772	0.32620504
77965	17.36018236	0.32628906
77966	17.37378752	0.32501799
77967	17.38739268	0.32418574
77968	17.40099784	0.32532597
77969	17.414603	0.32574107
77970	17.42820816	0.32484863
77971	17.44181331	0.32384122
77972	17.45541847	0.3244397
77973	17.46902363	0.32530377
77974	17.48262879	0.32507142
77975	17.49623395	0.32421061
77976	17.50983911	0.32456269
77977	17.52344427	0.32457481
77978	17.53704942	0.32376294
77979	17.55065458	0.32538839
77980	17.56425974	0.32292289
77981	17.5778649	0.32080899
77982	17.59147006	0.32071172
77983	17.60507522	0.32052678
77984	17.61868038	0.32197086
77985	17.63228553	0.31485527
77986	17.64589069	0.31651563
77987	17.65949585	0.31667128
77988	17.67310101	0.31809116
77989	17.68670617	0.31883312
77990	17.70031133	0.31803037
77991	17.71391649	0.31904639
77992	17.72752164	0.31852984
77993	17.7411268	0.31883752
77994	17.75473196	0.31701629
77995	17.76833712	0.31766894
77996	17.78194228	0.31636671
77997	17.79554744	0.31593465
77998	17.8091526	0.31539354
77999	17.82275776	0.31493852
78000	17.83636291	0.31799682
78001	17.84996807	0.31614294
78002	17.86357323	0.31464415
78003	17.87717839	0.31526675
78004	17.89078355	0.31585941
78005	17.90438871	0.31618763
78006	17.91799387	0.31510314
78007	17.93159902	0.31453082
78008	17.94520418	0.31388072
78009	17.95880934	0.31315727
78010	17.9724145	0.31069758
78011	17.98601966	0.30915394
78012	17.99962482	0.30916073
78013	18.01322998	0.30741365
78014	18.02683513	0.30720088
78015	18.04044029	0.30465
78016	18.05404545	0.3022226
78017	18.06765061	0.30408827
78018	18.08125577	0.30347196
78019	18.09486093	0.30272614
78020	18.10846609	0.29969073
78021	18.12207124	0.29841506
78022	18.1356764	0.29993784
78023	18.14928156	0.29908021
78024	18.16288672	0.29715592
78025	18.17649188	0.2962353
78026	18.19009704	0.29605921
78027	18.2037022	0.29532922
78028	18.21730735	0.29403907
78029	18.23091251	0.29380218
78030	18.24451767	0.29187894
78031	18.25812283	0.28891099
78032	18.27172799	0.28963643
78033	18.28533315	0.28904744
78034	18.29893831	0.28842926
78035	18.31254346	0.28991957
78036	18.32614862	0.29603166
78037	18.33975378	0.28836102
