csdata_id	e_energy	sigma
82689	13.24227609	0.0
82690	13.25142447	0.068388856
82691	13.26502963	0.09642458
82692	13.27863479	0.19702265
82693	13.3058451	0.30377204
82694	13.31945026	0.36031082
82695	13.33305542	0.30659963
82696	13.34666058	0.37730194
82697	13.36026574	0.46266686
82698	13.3738709	0.53852608
82699	13.38747605	0.573107
82700	13.40108121	0.61077307
82701	13.41468637	0.66842081
82702	13.42829153	0.42226463
82703	13.44189669	0.45041376
82704	13.45550185	0.50218989
82705	13.46910701	0.53832312
82706	13.48271216	0.60906184
82707	13.49631732	0.65495769
82708	13.50992248	0.70788055
82709	13.52352764	0.77172731
82710	13.5371328	0.83229052
82711	13.55073796	0.84913476
82712	13.56434312	0.92560644
82713	13.57794827	0.96717837
82714	13.59155343	1.0242112
82715	13.60515859	1.0666025
82716	13.61876375	1.107354
82717	13.63236891	1.053359
82718	13.64597407	0.93526891
82719	13.65957923	0.85910369
82720	13.67318438	0.76713264
82721	13.7003947	1.0135046
82722	13.71399986	1.0810207
82723	13.75481534	0.69454015
82724	13.76842049	0.74564633
82725	13.78202565	0.76684423
82726	13.79563081	0.67367845
82727	13.80923597	0.58396503
82728	13.82284113	0.57836966
82729	13.83644629	0.57733011
82730	13.85005145	0.57905088
82731	13.8636566	0.562177
82732	13.87726176	0.56760528
82733	13.89086692	0.64646624
82734	13.90447208	0.63868504
82735	13.91807724	0.72261493
82736	13.9316824	0.67904139
82737	13.94528756	0.69166864
82738	13.95889272	0.72852566
82739	13.97249787	0.66668195
82740	13.98610303	0.7183313
82741	13.99970819	0.71917201
82742	14.01331335	0.81463279
82743	14.02691851	0.78277703
82744	14.04052367	0.79391651
82745	14.05412883	0.79571321
82746	14.06773398	0.83403033
82747	14.08133914	0.84097067
82748	14.0949443	0.82977192
82749	14.10854946	0.8084151
82750	14.12215462	0.79366482
82751	14.13575978	0.75220663
82752	14.14936494	0.71600619
82753	14.16297009	0.62672883
82754	14.17657525	0.62631215
82755	14.19018041	0.63476458
82756	14.20378557	0.61303039
82757	14.21739073	0.63232256
82758	14.23099589	0.61070902
82759	14.24460105	0.58577466
82760	14.2582062	0.5784795
82761	14.27181136	0.55163123
82762	14.28541652	0.55220244
82763	14.29902168	0.53435748
82764	14.31262684	0.48556163
82765	14.326232	0.42963565
82766	14.33983716	0.39267053
82767	14.35344231	0.43250345
82768	14.36704747	0.4317315
82769	14.38065263	0.47408563
82770	14.39425779	0.47606373
82771	14.40786295	0.49545478
82772	14.42146811	0.48220545
82773	14.43507327	0.48678016
82774	14.44867842	0.48413982
82775	14.46228358	0.46019322
82776	14.47588874	0.45685624
82777	14.4894939	0.45870326
82778	14.50309906	0.45140133
82779	14.51670422	0.45534011
82780	14.53030938	0.44787649
82781	14.54391453	0.46862856
82782	14.55751969	0.49808855
82783	14.57112485	0.48832569
82784	14.58473001	0.50012146
82785	14.59833517	0.49689791
82786	14.61194033	0.50966721
82787	14.62554549	0.48063947
82788	14.63915064	0.47642453
82789	14.6527558	0.46585924
82790	14.66636096	0.46694845
82791	14.67996612	0.4597472
82792	14.69357128	0.47592548
82793	14.70717644	0.48936796
82794	14.7207816	0.50475707
82795	14.73438675	0.50044174
82796	14.74799191	0.5025138
82797	14.76159707	0.51663388
82798	14.77520223	0.5345408
82799	14.78880739	0.52603533
82800	14.80241255	0.49314485
82801	14.81601771	0.49616868
82802	14.82962286	0.50724721
82803	14.84322802	0.50546013
82804	14.85683318	0.50400123
82805	14.87043834	0.50843802
82806	14.8840435	0.51060334
82807	14.89764866	0.51373584
82808	14.91125382	0.49970018
82809	14.92485898	0.47698383
82810	14.93846413	0.48786613
82811	14.95206929	0.49567124
82812	14.96567445	0.48962485
82813	14.97927961	0.4773909
82814	14.99288477	0.45819002
82815	15.00648993	0.45803401
82816	15.02009509	0.42898138
82817	15.03370024	0.43059481
82818	15.0473054	0.43524765
82819	15.06091056	0.42757243
82820	15.07451572	0.41155732
82821	15.08812088	0.40463667
82822	15.10172604	0.41222742
82823	15.1153312	0.39757028
82824	15.12893635	0.39546593
