	e_energy	sigma
	11.87052128	0.0
	11.87730345	1.24341
	11.89090861	1.9640829
	11.90451377	2.5675239
	11.91811893	3.0419724
	11.93172408	3.4000626
	11.94532924	3.6814497
	11.9589344	3.9218066
	11.97253956	4.82482
	11.98614472	5.2942132
	11.99974988	5.8045288
	12.01335504	6.3470447
	12.0269602	6.9778
	12.04056535	7.4859899
	12.05417051	8.0932762
	12.06777567	8.6187342
	12.08138083	9.2218439
	12.09498599	9.6697498
	12.10859115	10.222388
	12.12219631	10.618164
	12.13580146	10.652045
	12.14940662	11.691111
	12.16301178	12.145084
	12.17661694	12.375287
	12.1902221	12.666599
	12.20382726	12.907341
	12.21743242	13.099581
	12.23103757	13.256174
	12.24464273	13.305526
	12.25824789	13.373477
	12.27185305	13.41229
	12.28545821	13.428318
	12.29906337	13.426721
	12.31266853	13.410441
	12.32627368	13.083092
	12.33987884	12.985753
	12.353484	12.791552
	12.36708916	13.465166
	12.38069432	13.211495
	12.39429948	12.810198
	12.40790464	12.773655
	12.42150979	12.827469
	12.43511495	12.867783
	12.44872011	12.902543
	12.46232527	12.939917
	12.47593043	12.981213
	12.48953559	13.027477
	12.50314075	13.079092
	12.5167459	13.105252
	12.53035106	13.164232
	12.54395622	13.227909
	12.55756138	13.295795
	12.57116654	13.367613
	12.5847717	13.442709
	12.59837686	13.520448
	12.61198201	13.599987
	12.62558717	13.680238
	12.63919233	13.765417
	12.65279749	13.841772
	12.66640265	13.921633
	12.68000781	14.11839
	12.69361297	14.435077
	12.70721812	14.502094
	12.72082328	14.56613
	12.73442844	14.658366
	12.7480336	14.766666
	12.76163876	14.882901
	12.77524392	14.958536
	12.78884908	15.221039
	12.80245423	15.180063
	12.81605939	15.447628
	12.82966455	15.734779
	12.84326971	15.799126
	12.85687487	15.816113
	12.87048003	15.289969
	12.88408519	14.305536
	12.89769034	13.814917
	12.9112955	13.992712
	12.92490066	14.181537
	12.93850582	14.544192
	12.95211098	15.03878
	12.96571614	16.578003
	12.9793213	16.020572
	12.99292646	15.882396
	13.00653161	15.674383
	13.02013677	14.594502
	13.03374193	14.27557
	13.04734709	14.441544
	13.06095225	14.394975
	13.07455741	14.495659
	13.08816257	14.551118
	13.10176772	14.653146
	13.11537288	14.7655
	13.12897804	14.833813
	13.1425832	14.893218
	13.15618836	14.929118
	13.16979352	14.987592
	13.18339868	14.995652
	13.19700383	15.081345
	13.21060899	15.096895
	13.22421415	15.126771
	13.23781931	15.176903
	13.25142447	15.169529
	13.26502963	15.241197
	13.27863479	15.212325
	13.3058451	15.160329
	13.31945026	15.114244
	13.33305542	15.04367
	13.34666058	14.998688
	13.36026574	15.009506
	13.3738709	14.942878
	13.38747605	14.94884
	13.40108121	14.915442
	13.41468637	14.877709
	13.42829153	14.900512
	13.44189669	14.879522
	13.45550185	14.886507
	13.46910701	14.89075
	13.48271216	14.936883
	13.49631732	14.947918
	13.50992248	14.941419
	13.52352764	14.994254
	13.5371328	15.018311
	13.55073796	15.036507
	13.56434312	15.051857
	13.57794827	14.93335
	13.59155343	14.965742
	13.60515859	14.975135
	13.61876375	15.044582
	13.63236891	15.372021
	13.64597407	15.844877
	13.65957923	16.18191
	13.67318438	16.383405
	13.7003947	15.952655
	13.71399986	16.238326
	13.75481534	15.774305
	13.76842049	15.464525
	13.78202565	15.225946
	13.79563081	15.582825
	13.80923597	15.724672
	13.82284113	15.785963
	13.83644629	15.827258
	13.85005145	15.828005
	13.8636566	15.842212
	13.87726176	15.860968
	13.89086692	15.914202
	13.90447208	15.934569
	13.91807724	15.762213
	13.9316824	15.619274
	13.94528756	15.609766
	13.95889272	15.591752
	13.97249787	15.6256
	13.98610303	15.589703
	13.99970819	15.512476
	14.01331335	15.506215
	14.02691851	15.570424
	14.04052367	15.408144
	14.05412883	15.623318
	14.06773398	15.400521
	14.08133914	15.557009
	14.0949443	15.427588
	14.10854946	15.542205
	14.12215462	15.698226
	14.13575978	15.781244
	14.14936494	15.843811
	14.16297009	15.865082
	14.17657525	15.903048
	14.19018041	15.945606
	14.20378557	16.033434
	14.21739073	16.046997
	14.23099589	16.115076
	14.24460105	16.150105
	14.2582062	16.174134
	14.27181136	16.210042
	14.28541652	16.196356
	14.29902168	16.179355
	14.31262684	16.213531
	14.326232	16.186593
	14.33983716	16.121151
	14.35344231	16.047332
	14.36704747	16.026408
	14.38065263	15.96607
	14.39425779	15.872209
	14.40786295	15.855251
	14.42146811	15.909913
	14.43507327	15.980418
	14.44867842	16.114613
	14.46228358	16.213438
	14.47588874	16.221153
	14.4894939	16.213606
	14.50309906	16.207777
	14.51670422	16.205813
	14.53030938	16.217405
