	e_energy	sigma
	13.19303956	0.0
	13.19700383	0.0013655683
	13.21060899	0.0062940363
	13.22421415	0.0097891794
	13.23781931	0.016831019
	13.25142447	0.024357736
	13.26502963	0.033063956
	13.27863479	0.046763383
	13.3058451	0.057224054
	13.31945026	0.058815853
	13.33305542	0.057550854
	13.34666058	0.062711917
	13.36026574	0.064860867
	13.3738709	0.062382963
	13.38747605	0.035657597
	13.40108121	0.032763503
	13.41468637	0.04015144
	13.42829153	0.033894999
	13.44189669	0.029179258
	13.45550185	0.037035258
	13.46910701	0.036016032
	13.48271216	0.037458745
	13.49631732	0.059931449
	13.50992248	0.039571418
	13.52352764	0.040566237
	13.5371328	0.041275139
	13.55073796	0.042546379
	13.56434312	0.042584095
	13.57794827	0.042054558
	13.59155343	0.045996202
	13.60515859	0.044531211
	13.61876375	0.054116507
	13.63236891	0.054014085
	13.64597407	0.052772733
	13.65957923	0.070414395
	13.67318438	0.055638965
	13.7003947	0.054224119
	13.71399986	0.052624608
	13.75481534	0.058877372
	13.76842049	0.05545832
	13.78202565	0.049078111
	13.79563081	0.035624744
	13.80923597	0.032368404
	13.82284113	0.030143815
	13.83644629	0.029370921
	13.85005145	0.029157737
	13.8636566	0.040424396
	13.87726176	0.041564806
	13.89086692	0.052386994
	13.90447208	0.058953824
	13.91807724	0.060211525
	13.9316824	0.052457604
	13.94528756	0.050369189
	13.95889272	0.060399267
	13.97249787	0.045948279
	13.98610303	0.045292865
	13.99970819	0.044587293
	14.01331335	0.055195462
	14.02691851	0.065223724
	14.04052367	0.069626923
	14.05412883	0.060418567
	14.06773398	0.06092424
	14.08133914	0.058726707
	14.0949443	0.054057184
	14.10854946	0.052750316
	14.12215462	0.052322573
	14.13575978	0.048383827
	14.14936494	0.041784229
	14.16297009	0.046173651
	14.17657525	0.046864623
	14.19018041	0.046125135
	14.20378557	0.043039974
	14.21739073	0.04194786
	14.23099589	0.041358419
	14.24460105	0.038876329
	14.2582062	0.039519822
	14.27181136	0.036876398
	14.28541652	0.040022154
	14.29902168	0.038992907
	14.31262684	0.035182011
	14.326232	0.031624289
	14.33983716	0.033658775
	14.35344231	0.031077369
	14.36704747	0.028720442
	14.38065263	0.0347621
	14.39425779	0.034241082
	14.40786295	0.032912268
	14.42146811	0.033786564
	14.43507327	0.034659967
	14.44867842	0.034338182
	14.46228358	0.034566392
	14.47588874	0.033468608
	14.4894939	0.034212527
	14.50309906	0.032415176
	14.51670422	0.036285013
	14.53030938	0.033364369
	14.54391453	0.033489006
	14.55751969	0.035834241
	14.57112485	0.040844839
	14.58473001	0.041026597
	14.59833517	0.039779512
	14.61194033	0.034975217
	14.62554549	0.033023509
	14.63915064	0.034432955
	14.6527558	0.036036767
	14.66636096	0.032385565
	14.67996612	0.033403994
	14.69357128	0.036510329
	14.70717644	0.03852705
	14.7207816	0.039550809
	14.73438675	0.043247199
	14.74799191	0.04440381
	14.76159707	0.04502202
	14.77520223	0.044219366
	14.78880739	0.044225405
	14.80241255	0.041024308
	14.81601771	0.041853336
	14.82962286	0.036075755
	14.84322802	0.036404032
	14.85683318	0.036206843
	14.87043834	0.034606527
	14.8840435	0.035002914
	14.89764866	0.032406757
	14.91125382	0.034740814
	14.92485898	0.035245084
	14.93846413	0.034255679
	14.95206929	0.035209565
	14.96567445	0.036036862
	14.97927961	0.035925404
	14.99288477	0.034754182
	15.00648993	0.031392421
	15.02009509	0.029996141
	15.03370024	0.028545499
	15.0473054	0.029458208
	15.06091056	0.029464825
	15.07451572	0.028661568
	15.08812088	0.027849042
	15.10172604	0.025725757
	15.1153312	0.024986611
	15.12893635	0.025001111
	15.14254151	0.02482495
	15.15614667	0.023438938
	15.16975183	0.023388386
	15.18335699	0.021539569
	15.19696215	0.022030988
	15.21056731	0.021418353
	15.22417246	0.022730803
	15.23777762	0.023131885
	15.25138278	0.022070856
	15.26498794	0.021790911
	15.2785931	0.020875028
	15.29219826	0.020028957
	15.30580342	0.018912353
	15.31940857	0.019206671
	15.33301373	0.020484138
	15.34661889	0.022149721
	15.36022405	0.022957077
	15.37382921	0.023915152
	15.38743437	0.023160822
	15.40103953	0.024252378
	15.41464468	0.024928419
	15.42824984	0.023796653
	15.441855	0.023330174
	15.45546016	0.023763581
	15.46906532	0.023262958
	15.48267048	0.02303527
	15.50988079	0.022670037
	15.52348595	0.022307463
	15.53709111	0.022267379
	15.55069627	0.023695154
	15.56430143	0.023267541
	15.57790659	0.022281956
	15.59151175	0.021763362
	15.6051169	0.021584845
	15.61872206	0.023703541
	15.63232722	0.024875092
	15.64593238	0.023563588
	15.65953754	0.02263153
	15.6731427	0.023094142
	15.68674786	0.023106089
	15.70035301	0.023700878
	15.71395817	0.021430503
	15.72756333	0.022904328
	15.74116849	0.023374587
	15.75477365	0.022369721
	15.76837881	0.021779621
	15.78198397	0.022136809
	15.79558912	0.023515373
	15.80919428	0.022024786
	15.82279944	0.021849442
	15.8364046	0.023267626
	15.85000976	0.022664406
	15.86361492	0.021900769
	15.87722008	0.021344557
	15.89082524	0.021119614
	15.90443039	0.019744714
	15.91803555	0.020282621
	15.93164071	0.019702672
	15.94524587	0.020275236
	15.95885103	0.020140834
	15.97245619	0.020123272
	15.98606135	0.01813867
	15.9996665	0.019426303
	16.01327166	0.019934986
	16.02687682	0.020301856
	16.04048198	0.020636055
	16.05408714	0.019876145
	16.0676923	0.019039019
	16.08129746	0.017524717
	16.09490261	0.01667235
	16.10850777	0.017138859
	16.12211293	0.017763997
	16.13571809	0.017152215
	16.14932325	0.01664409
	16.16292841	0.015847719
	16.17653357	0.014967525
	16.19013872	0.015200656
	16.20374388	0.015053306
	16.21734904	0.014419855
	16.2309542	0.013785572
	16.24455936	0.013095882
	16.25816452	0.013449844
	16.27176968	0.013028837
	16.28537483	0.01294154
	16.29897999	0.012408159
	16.31258515	0.012068737
	16.32619031	0.012772977
	16.33979547	0.011833353
	16.35340063	0.012063643
	16.36700579	0.012755049
	16.3942161	0.01355242
	16.40782126	0.012804122
	16.42142642	0.012926899
	16.43503158	0.013396482
	16.44863674	0.013555797
	16.4622419	0.01345674
	16.47584705	0.013320747
	16.48945221	0.013651369
	16.50305737	0.01411555
	16.51666253	0.014200516
	16.53026769	0.014790752
	16.54387285	0.014771459
	16.55747801	0.015089124
	16.57108316	0.014712864
	16.58468832	0.014891422
	16.59829348	0.015339047
	16.61189864	0.016598301
	16.6255038	0.015890227
	16.63910896	0.015227337
	16.65271412	0.015558816
	16.67992443	0.016084439
	16.69352959	0.015665627
	16.70713475	0.015330114
	16.72073991	0.014868425
	16.73434507	0.015068554
	16.74795023	0.013936262
	16.76155538	0.01389127
	16.77516054	0.013457898
	16.7887657	0.013577215
	16.80237086	0.012456858
	16.81597602	0.013312003
	16.82958118	0.013264329
	16.84318634	0.012021878
	16.8567915	0.012279684
	16.87039665	0.012145477
	16.88400181	0.011661901
	16.89760697	0.012949426
	16.91121213	0.012809099
	16.92481729	0.013133017
	16.93842245	0.012937089
	16.95202761	0.012475103
	16.96563276	0.012386652
	16.97923792	0.012217651
	16.99284308	0.012764014
	17.00644824	0.012173799
	17.0200534	0.01195796
	17.03365856	0.012100738
	17.04726372	0.011768409
	17.06086887	0.011962959
	17.07447403	0.011581779
	17.08807919	0.011214488
	17.10168435	0.011860898
	17.11528951	0.011951549
	17.12889467	0.012248943
	17.14249983	0.012014909
	17.15610498	0.011637876
	17.16971014	0.011838501
	17.1833153	0.011287767
	17.19692046	0.011510247
	17.21052562	0.011247545
	17.22413078	0.011647938
	17.23773594	0.010997625
	17.25134109	0.010391284
	17.26494625	0.01080388
	17.27855141	0.010854207
	17.29215657	0.010186117
	17.30576173	0.0098845236
	17.31936689	0.0099550079
	17.33297205	0.0096681333
	17.3465772	0.0092068385
	17.36018236	0.0093194163
	17.37378752	0.0093873838
	17.38739268	0.0085967273
	17.40099784	0.0086083935
	17.414603	0.0088156924
	17.42820816	0.0088703858
	17.44181331	0.008965775
	17.45541847	0.0085218747
	17.46902363	0.0086743927
	17.48262879	0.0083758411
	17.49623395	0.008225934
	17.50983911	0.0077088971
	17.52344427	0.0079841451
	17.53704942	0.0079904273
	17.55065458	0.0076001217
	17.56425974	0.007464581
	17.5778649	0.0071883839
	17.59147006	0.0072388313
	17.60507522	0.00682489
	17.61868038	0.0070909292
	17.63228553	0.0072390074
	17.64589069	0.007609624
	17.65949585	0.00754956
	17.67310101	0.0065471315
	17.68670617	0.0066293606
	17.70031133	0.0063860224
	17.71391649	0.0063323807
	17.72752164	0.0063580179
	17.7411268	0.006355833
	17.75473196	0.0066184691
	17.76833712	0.0061697869
	17.78194228	0.0060062201
	17.79554744	0.0062571285
	17.8091526	0.0063991189
	17.82275776	0.0064238861
	17.83636291	0.0066201745
	17.84996807	0.0066399738
