csdata_id	e_energy	sigma
71528	13.26777923	0.0
71529	13.27863479	0.028145591
71530	13.3058451	0.076295731
71531	13.31945026	0.11364434
71532	13.33305542	0.16700318
71533	13.34666058	0.21109176
71534	13.36026574	0.17216247
71535	13.3738709	0.18704554
71536	13.38747605	0.22906094
71537	13.40108121	0.2670108
71538	13.41468637	0.29754028
71539	13.42829153	0.34601147
71540	13.44189669	0.37681202
71541	13.45550185	0.2841666
71542	13.46910701	0.30391198
71543	13.48271216	0.32580234
71544	13.49631732	0.35028492
71545	13.50992248	0.37032215
71546	13.52352764	0.39212323
71547	13.5371328	0.41843699
71548	13.55073796	0.45095483
71549	13.56434312	0.47384541
71550	13.57794827	0.47431035
71551	13.59155343	0.47264965
71552	13.60515859	0.48952798
71553	13.61876375	0.47171352
71554	13.63236891	0.45849545
71555	13.64597407	0.38346077
71556	13.65957923	0.33069642
71557	13.67318438	0.29312422
71558	13.7003947	0.40064157
71559	13.71399986	0.43835669
71560	13.75481534	0.23089571
71561	13.76842049	0.24459148
71562	13.78202565	0.2530339
71563	13.79563081	0.22396238
71564	13.80923597	0.22661901
71565	13.82284113	0.24166838
71566	13.83644629	0.23977824
71567	13.85005145	0.25552961
71568	13.8636566	0.26622547
71569	13.87726176	0.26162235
71570	13.89086692	0.25362084
71571	13.90447208	0.2467553
71572	13.91807724	0.2840548
71573	13.9316824	0.30643253
71574	13.94528756	0.3085337
71575	13.95889272	0.32258218
71576	13.97249787	0.34855734
71577	13.98610303	0.36582969
71578	13.99970819	0.37439076
71579	14.01331335	0.38927631
71580	14.02691851	0.40689983
71581	14.04052367	0.44208444
71582	14.05412883	0.41530763
71583	14.06773398	0.44525561
71584	14.08133914	0.46251277
71585	14.0949443	0.49490333
71586	14.10854946	0.42790605
71587	14.12215462	0.44427287
71588	14.13575978	0.43567508
71589	14.14936494	0.4211456
71590	14.16297009	0.3995888
71591	14.17657525	0.39566347
71592	14.19018041	0.40271074
71593	14.20378557	0.39344281
71594	14.21739073	0.37333512
71595	14.23099589	0.36919468
71596	14.24460105	0.3731972
71597	14.2582062	0.36018793
71598	14.27181136	0.34821708
71599	14.28541652	0.35495605
71600	14.29902168	0.35119533
71601	14.31262684	0.33514325
71602	14.326232	0.31589856
71603	14.33983716	0.29152907
71604	14.35344231	0.31499092
71605	14.36704747	0.33629936
71606	14.38065263	0.33966086
71607	14.39425779	0.34586278
71608	14.40786295	0.36218385
71609	14.42146811	0.36985914
71610	14.43507327	0.37882016
71611	14.44867842	0.37606016
71612	14.46228358	0.3673371
71613	14.47588874	0.37182306
71614	14.4894939	0.36912096
71615	14.50309906	0.36897191
71616	14.51670422	0.38229662
71617	14.53030938	0.35914108
71618	14.54391453	0.34999087
71619	14.55751969	0.36768341
71620	14.57112485	0.38838236
71621	14.58473001	0.3671485
71622	14.59833517	0.38457085
71623	14.61194033	0.36739509
71624	14.62554549	0.36434217
71625	14.63915064	0.36914601
71626	14.6527558	0.36452742
71627	14.66636096	0.36522111
71628	14.67996612	0.3701382
71629	14.69357128	0.37946919
71630	14.70717644	0.38242442
71631	14.7207816	0.38602533
71632	14.73438675	0.38898452
71633	14.74799191	0.40059835
71634	14.76159707	0.41539316
71635	14.77520223	0.41389471
71636	14.78880739	0.41456062
71637	14.80241255	0.41866364
71638	14.81601771	0.41540889
71639	14.82962286	0.42282233
71640	14.84322802	0.42623952
71641	14.85683318	0.42869104
71642	14.87043834	0.42838259
71643	14.8840435	0.42495437
71644	14.89764866	0.41472265
71645	14.91125382	0.40792237
71646	14.92485898	0.42296983
71647	14.93846413	0.42201109
71648	14.95206929	0.42317943
71649	14.96567445	0.43693205
71650	14.97927961	0.44980307
71651	14.99288477	0.43085323
71652	15.00648993	0.42424912
71653	15.02009509	0.41055594
71654	15.03370024	0.40875317
71655	15.0473054	0.39739788
71656	15.06091056	0.40459962
71657	15.07451572	0.39862904
71658	15.08812088	0.38664335
71659	15.10172604	0.40301504
71660	15.1153312	0.38456786
71661	15.12893635	0.37653887
71662	15.14254151	0.38548812
71663	15.15614667	0.37546562
71664	15.16975183	0.37022412
71665	15.18335699	0.35304169
71666	15.19696215	0.34218585
71667	15.21056731	0.33174858
71668	15.22417246	0.32401081
71669	15.23777762	0.31563419
71670	15.25138278	0.30939363
71671	15.26498794	0.3008993
71672	15.2785931	0.29670973
71673	15.29219826	0.29411156
71674	15.30580342	0.31824266
71675	15.31940857	0.34000938
71676	15.33301373	0.34232524
71677	15.34661889	0.34966625
71678	15.36022405	0.35274902
71679	15.37382921	0.36304768
71680	15.38743437	0.37626655
71681	15.40103953	0.37361591
71682	15.41464468	0.37719539
71683	15.42824984	0.37568228
71684	15.441855	0.37164982
71685	15.45546016	0.3771029
71686	15.46906532	0.38717081
71687	15.48267048	0.38285131
71688	15.50988079	0.37021175
71689	15.52348595	0.37561286
71690	15.53709111	0.37247617
71691	15.55069627	0.37093197
71692	15.56430143	0.37009514
71693	15.57790659	0.37365164
71694	15.59151175	0.37729073
71695	15.6051169	0.38461057
71696	15.61872206	0.39071853
71697	15.63232722	0.38584905
71698	15.64593238	0.40623442
71699	15.65953754	0.40266882
71700	15.6731427	0.39768302
71701	15.68674786	0.40191911
71702	15.70035301	0.40372161
71703	15.71395817	0.40205051
71704	15.72756333	0.39400796
71705	15.74116849	0.40790633
71706	15.75477365	0.40755592
71707	15.76837881	0.41030608
71708	15.78198397	0.41062759
71709	15.79558912	0.41078274
71710	15.80919428	0.41220628
71711	15.82279944	0.42061341
71712	15.8364046	0.42473133
71713	15.85000976	0.42517036
71714	15.86361492	0.42046873
71715	15.87722008	0.42271643
71716	15.89082524	0.42149111
71717	15.90443039	0.42408728
71718	15.91803555	0.41918234
71719	15.93164071	0.42379272
71720	15.94524587	0.42504549
71721	15.95885103	0.41319008
71722	15.97245619	0.40502123
71723	15.98606135	0.42227558
71724	15.9996665	0.41767289
71725	16.01327166	0.41620567
71726	16.02687682	0.41076888
71727	16.04048198	0.41006465
71728	16.05408714	0.40413613
71729	16.0676923	0.41261646
71730	16.08129746	0.41070027
71731	16.09490261	0.4132721
71732	16.10850777	0.40247881
71733	16.12211293	0.39939003
71734	16.13571809	0.40439217
71735	16.14932325	0.40318685
71736	16.16292841	0.39922728
71737	16.17653357	0.39601503
71738	16.19013872	0.40046654
71739	16.20374388	0.39683295
71740	16.21734904	0.39428475
71741	16.2309542	0.3898212
71742	16.24455936	0.3857674
71743	16.25816452	0.38340902
71744	16.27176968	0.38007036
71745	16.28537483	0.37635162
71746	16.29897999	0.36940976
71747	16.31258515	0.36544238
71748	16.32619031	0.36653169
71749	16.33979547	0.35967912
71750	16.35340063	0.35080116
71751	16.36700579	0.35239942
71752	16.3942161	0.35020794
71753	16.40782126	0.34890808
71754	16.42142642	0.35335861
71755	16.43503158	0.35117189
71756	16.44863674	0.351997
71757	16.4622419	0.35167458
71758	16.47584705	0.34969409
71759	16.48945221	0.35112282
71760	16.50305737	0.34666289
71761	16.51666253	0.34992352
71762	16.53026769	0.35025161
71763	16.54387285	0.35233097
71764	16.55747801	0.35147811
71765	16.57108316	0.35102959
71766	16.58468832	0.35095306
71767	16.59829348	0.3523962
71768	16.61189864	0.35704364
71769	16.6255038	0.36047653
