	e_energy	sigma
	12.91785156	0.0
	12.92490066	0.11865662
	12.93850582	0.19514403
	12.95211098	0.32052425
	12.96571614	0.3346354
	12.9793213	0.19943602
	12.99292646	0.22829818
	13.00653161	0.25550543
	13.02013677	0.37685179
	13.03374193	0.35953098
	13.04734709	0.3249827
	13.06095225	0.3511152
	13.07455741	0.38052784
	13.08816257	0.40864226
	13.10176772	0.54575811
	13.11537288	0.56585137
	13.12897804	0.5792346
	13.1425832	0.59092475
	13.15618836	0.55474814
	13.16979352	0.56108606
	13.18339868	0.57171828
	13.19700383	0.58965751
	13.21060899	0.59104948
	13.22421415	0.60056854
	13.23781931	0.59808618
	13.25142447	0.61321497
	13.26502963	0.60198876
	13.27863479	0.68734168
	13.3058451	0.70586728
	13.31945026	0.7048607
	13.33305542	0.69071596
	13.34666058	0.70699266
	13.36026574	0.70375963
	13.3738709	0.71236837
	13.38747605	0.74189123
	13.40108121	0.72982927
	13.41468637	0.73293288
	13.42829153	0.72257256
	13.44189669	0.73206037
	13.45550185	0.71402328
	13.46910701	0.71064856
	13.48271216	0.74102016
	13.49631732	0.73084766
	13.50992248	0.72690399
	13.52352764	0.738569
	13.5371328	0.72640659
	13.55073796	0.71421539
	13.56434312	0.72836587
	13.57794827	0.72277411
	13.59155343	0.6852701
	13.60515859	0.63098324
	13.61876375	0.58771932
	13.63236891	0.46085295
	13.64597407	0.37863162
	13.65957923	0.4252232
	13.67318438	0.60233193
	13.7003947	0.75242787
	13.71399986	0.65100203
	13.75481534	0.47121518
	13.76842049	0.48926885
	13.78202565	0.46809109
	13.79563081	0.38343969
	13.80923597	0.40043345
	13.82284113	0.41728538
	13.83644629	0.43118674
	13.85005145	0.44731903
	13.8636566	0.42294936
	13.87726176	0.41511978
	13.89086692	0.43813999
	13.90447208	0.46519375
	13.91807724	0.46504826
	13.9316824	0.47183797
	13.94528756	0.45323585
	13.95889272	0.43608261
	13.97249787	0.37411615
	13.98610303	0.41441208
	13.99970819	0.41544448
	14.01331335	0.41250331
	14.02691851	0.42474668
	14.04052367	0.41047296
	14.05412883	0.39687964
	14.06773398	0.37958391
	14.08133914	0.37030848
	14.0949443	0.37628039
	14.10854946	0.38121468
	14.12215462	0.37834174
	14.13575978	0.37760891
	14.14936494	0.3833967
	14.16297009	0.39158126
	14.17657525	0.35323745
	14.19018041	0.33766146
	14.20378557	0.32168557
	14.21739073	0.31359723
	14.23099589	0.30399486
	14.24460105	0.29099107
	14.2582062	0.27934266
	14.27181136	0.26836138
	14.28541652	0.26591941
	14.29902168	0.25608128
	14.31262684	0.22685377
	14.326232	0.23885308
	14.33983716	0.27321409
	14.35344231	0.3038127
	14.36704747	0.27558502
	14.38065263	0.31583081
	14.39425779	0.31269955
	14.40786295	0.31885575
	14.42146811	0.32312691
	14.43507327	0.31620747
	14.44867842	0.30368229
	14.46228358	0.29613504
	14.47588874	0.29561962
	14.4894939	0.29714939
	14.50309906	0.30165884
	14.51670422	0.29308934
	14.53030938	0.26192919
	14.54391453	0.25357832
	14.55751969	0.25921534
	14.57112485	0.26220194
	14.58473001	0.26393894
	14.59833517	0.27151402
	14.61194033	0.25320204
	14.62554549	0.2764613
	14.63915064	0.26269919
	14.6527558	0.26503311
	14.66636096	0.2678823
	14.67996612	0.26237396
	14.69357128	0.26289225
	14.70717644	0.26143031
	14.7207816	0.25804792
	14.73438675	0.25627957
	14.74799191	0.24918194
	14.76159707	0.24885582
	14.77520223	0.24275088
	14.78880739	0.23635731
	14.80241255	0.25826876
	14.81601771	0.26003716
	14.82962286	0.26078327
	14.84322802	0.25120618
	14.85683318	0.24103655
	14.87043834	0.23860623
	14.8840435	0.23171671
	14.89764866	0.21955246
	14.91125382	0.21696495
	14.92485898	0.21448796
	14.93846413	0.21186192
	14.95206929	0.20987774
	14.96567445	0.20195808
	14.97927961	0.20154313
	14.99288477	0.20054798
	15.00648993	0.20038586
	15.02009509	0.19571226
	15.03370024	0.19303512
	15.0473054	0.18783635
	15.06091056	0.18037969
	15.07451572	0.17851823
	15.08812088	0.17252013
	15.10172604	0.16181793
	15.1153312	0.15772191
	15.12893635	0.1561019
	15.14254151	0.16620821
	15.15614667	0.16023752
	15.16975183	0.15240917
	15.18335699	0.14520802
	15.19696215	0.14012994
	15.21056731	0.13810086
	15.22417246	0.13509291
	15.23777762	0.13431831
	15.25138278	0.13533641
	15.26498794	0.13231499
	15.2785931	0.14206286
	15.29219826	0.14167053
	15.30580342	0.1432096
	15.31940857	0.14921526
	15.33301373	0.15217995
	15.34661889	0.15520401
	15.36022405	0.15473472
	15.37382921	0.16096762
	15.38743437	0.16362882
	15.40103953	0.15726111
	15.41464468	0.15658569
	15.42824984	0.15816016
	15.441855	0.15820103
	15.45546016	0.16105276
	15.46906532	0.15784326
	15.48267048	0.15439688
	15.50988079	0.15265852
	15.52348595	0.14774466
	15.53709111	0.14495937
	15.55069627	0.14431403
	15.56430143	0.14357283
	15.57790659	0.14208374
	15.59151175	0.14008651
	15.6051169	0.13832578
	15.61872206	0.13837265
	15.63232722	0.13859614
