	e_energy	sigma
	13.24227609	0.0
	13.25142447	3.2919533
	13.26502963	6.7034364
	13.27863479	25.757403
	13.3058451	32.883563
	13.31945026	30.896835
	13.33305542	31.560886
	13.34666058	28.585373
	13.36026574	38.573267
	13.3738709	29.203487
	13.38747605	27.398146
	13.40108121	25.062325
	13.41468637	49.541901
	13.42829153	12.681125
	13.44189669	14.644922
	13.45550185	16.164426
	13.46910701	15.048093
	13.48271216	17.331191
	13.49631732	28.874368
	13.50992248	18.405012
	13.52352764	18.174934
	13.5371328	17.896583
	13.55073796	18.892565
	13.56434312	19.191355
	13.57794827	18.979015
	13.59155343	19.12734
	13.60515859	15.419059
	13.61876375	14.450545
	13.63236891	13.199258
	13.64597407	14.053322
	13.65957923	17.096524
	13.67318438	16.740881
	13.7003947	14.644357
	13.71399986	13.889056
	13.75481534	14.326335
	13.76842049	12.850704
	13.78202565	14.728928
	13.79563081	12.496357
	13.80923597	13.371255
	13.82284113	12.769302
	13.83644629	11.062018
	13.85005145	11.384649
	13.8636566	10.451228
	13.87726176	9.6552221
	13.89086692	7.83266
	13.90447208	8.1443755
	13.91807724	6.7046479
	13.9316824	7.3304574
	13.94528756	7.0321907
	13.95889272	6.2776872
	13.97249787	6.5699145
	13.98610303	6.8440462
	13.99970819	5.5389289
	14.01331335	5.5866346
	14.02691851	6.270715
	14.04052367	6.8045151
	14.05412883	7.2833463
	14.06773398	6.957197
	14.08133914	7.0068343
	14.0949443	7.505362
	14.10854946	7.5262681
	14.12215462	6.4914863
	14.13575978	5.9768671
	14.14936494	5.9190613
	14.16297009	5.7710677
	14.17657525	5.8114878
	14.19018041	5.4008176
	14.20378557	5.2736982
	14.21739073	4.9661114
	14.23099589	4.8700176
	14.24460105	4.8824904
	14.2582062	4.2957906
	14.27181136	4.6787749
	14.28541652	4.5653516
	14.29902168	4.4297093
	14.31262684	4.6560946
	14.326232	4.8675943
	14.33983716	5.3706116
	14.35344231	4.6133002
	14.36704747	4.9350421
	14.38065263	5.3876543
	14.39425779	5.278519
	14.40786295	4.9915395
	14.42146811	4.4483673
	14.43507327	4.1860655
	14.44867842	4.1585972
	14.46228358	4.4224478
	14.47588874	3.807799
	14.4894939	3.8663086
	14.50309906	3.2691473
	14.51670422	3.4514382
	14.53030938	3.1545722
	14.54391453	3.4407129
	14.55751969	3.4833675
	14.57112485	3.797433
	14.58473001	3.9690763
	14.59833517	3.6376278
	14.61194033	3.9004623
	14.62554549	3.6164579
	14.63915064	4.0849659
	14.6527558	3.7978236
	14.66636096	3.578751
	14.67996612	3.6948589
	14.69357128	3.8547718
	14.70717644	3.3565963
	14.7207816	3.2851936
	14.73438675	3.7429756
	14.74799191	3.6987571
	14.76159707	3.4975003
	14.77520223	3.3292193
	14.78880739	3.4715899
	14.80241255	3.315306
	14.81601771	3.2778382
	14.82962286	3.1429939
	14.84322802	3.1738265
	14.85683318	2.9866985
	14.87043834	3.0309866
	14.8840435	2.8724782
	14.89764866	2.6212476
	14.91125382	2.8918095
	14.92485898	2.8725684
	14.93846413	2.8642445
	14.95206929	2.6230491
	14.96567445	2.6351648
	14.97927961	2.6480037
	14.99288477	2.4798734
	15.00648993	2.6586253
	15.02009509	2.6693604
	15.03370024	2.4767279
	15.0473054	2.335922
	15.06091056	2.2908785
	15.07451572	2.1960102
	15.08812088	2.2457576
	15.10172604	2.3130857
	15.1153312	2.267072
	15.12893635	2.2112799
	15.14254151	2.1786211
	15.15614667	2.2708708
	15.16975183	2.2230234
	15.18335699	2.2728073
	15.19696215	2.3468053
	15.21056731	2.3382401
	15.22417246	2.2510725
	15.23777762	2.3059737
	15.25138278	2.2950697
	15.26498794	2.3096037
	15.2785931	2.3788687
	15.29219826	2.2059491
	15.30580342	2.0657494
	15.31940857	2.2475361
	15.33301373	2.3237472
	15.34661889	2.142358
	15.36022405	2.0054587
	15.37382921	2.0719812
	15.38743437	2.0698505
	15.40103953	2.0949562
	15.41464468	2.0417953
	15.42824984	2.0472876
	15.441855	2.0218186
	15.45546016	1.9791487
	15.46906532	1.9663704
	15.48267048	1.9143157
	15.50988079	1.9450362
	15.52348595	1.9157514
	15.53709111	1.9134924
	15.55069627	1.8556232
	15.56430143	1.8683381
	15.57790659	1.8550652
	15.59151175	1.8797562
	15.6051169	1.756054
	15.61872206	1.7766574
	15.63232722	1.7193966
	15.64593238	1.6843865
	15.65953754	1.722288
	15.6731427	1.8268663
	15.68674786	1.8041978
	15.70035301	1.8241821
	15.71395817	1.7571794
	15.72756333	1.7035236
	15.74116849	1.5917714
	15.75477365	1.4826343
	15.76837881	1.5678002
	15.78198397	1.5533021
	15.79558912	1.4241464
	15.80919428	1.3808663
	15.82279944	1.3473984
	15.8364046	1.2936653
	15.85000976	1.2797078
	15.86361492	1.1961887
	15.87722008	1.1735702
	15.89082524	1.2098765
	15.90443039	1.1669118
	15.91803555	1.1210405
	15.93164071	1.099372
	15.94524587	1.1124335
	15.95885103	1.1145463
	15.97245619	1.0520622
	15.98606135	1.1082076
	15.9996665	1.1477033
	16.01327166	1.1283521
	16.02687682	1.1224813
	16.04048198	1.1194026
	16.05408714	1.1206518
	16.0676923	1.1037718
	16.08129746	1.1134207
	16.09490261	1.0942266
	16.10850777	1.0560526
	16.12211293	1.0686758
	16.13571809	1.065903
	16.14932325	1.0639611
	16.16292841	1.0195213
	16.17653357	1.0237018
	16.19013872	0.99063434
	16.20374388	1.0040965
	16.21734904	1.0233765
	16.2309542	1.0128904
	16.24455936	0.98401476
	16.25816452	1.0049537
	16.27176968	1.0103299
	16.28537483	0.99662993
	16.29897999	0.99211486
	16.31258515	1.0274563
	16.32619031	1.0035708
	16.33979547	1.0057716
	16.35340063	0.98971512
	16.36700579	0.98784634
	16.3942161	1.0161695
	16.40782126	1.0081624
	16.42142642	1.0102899
	16.43503158	1.0297857
	16.44863674	1.0495412
	16.4622419	1.0548376
	16.47584705	1.0462739
	16.48945221	1.0457473
	16.50305737	1.0182388
	16.51666253	1.0264156
	16.53026769	1.0166753
	16.54387285	1.0302446
	16.55747801	1.0057545
	16.57108316	0.98674745
	16.58468832	0.99826388
	16.59829348	1.0240434
	16.61189864	1.0428632
	16.6255038	1.0320374
	16.63910896	1.0447346
	16.65271412	1.0580073
	16.67992443	1.0706834
	16.69352959	1.01065
	16.70713475	1.0101644
	16.72073991	0.97161046
	16.73434507	0.97252119
	16.74795023	0.93821107
	16.76155538	0.89898298
	16.77516054	0.89536459
	16.7887657	0.88060333
	16.80237086	0.85748406
	16.81597602	0.85974636
	16.82958118	0.87040003
	16.84318634	0.85449939
	16.8567915	0.83883986
	16.87039665	0.8670399
	16.88400181	0.84237931
	16.89760697	0.85013386
	16.91121213	0.83899388
	16.92481729	0.84949537
	16.93842245	0.86284436
	16.95202761	0.81315978
	16.96563276	0.80819537
	16.97923792	0.82690249
	16.99284308	0.81037241
	17.00644824	0.81655314
	17.0200534	0.82974571
	17.03365856	0.82703239
	17.04726372	0.81202785
	17.06086887	0.80492016
	17.07447403	0.82318851
	17.08807919	0.83903614
	17.10168435	0.81761112
	17.11528951	0.80220015
	17.12889467	0.81471275
	17.14249983	0.81351729
	17.15610498	0.78180511
	17.16971014	0.7547628
	17.1833153	0.74148585
	17.19692046	0.75729528
	17.21052562	0.72971991
	17.22413078	0.72165977
	17.23773594	0.71577759
	17.25134109	0.67619407
	17.26494625	0.67852234
	17.27855141	0.65946188
	17.29215657	0.64803753
	17.30576173	0.64548538
	17.31936689	0.6399267
	17.33297205	0.62567966
	17.3465772	0.64784204
	17.36018236	0.62431557
	17.37378752	0.61291307
	17.38739268	0.61865513
	17.40099784	0.60731149
	17.414603	0.57926557
	17.42820816	0.57291426
	17.44181331	0.56903881
	17.45541847	0.57004488
	17.46902363	0.55197794
	17.48262879	0.54845213
	17.49623395	0.54283193
	17.50983911	0.54190965
	17.52344427	0.5307304
	17.53704942	0.51636802
	17.55065458	0.5141213
	17.56425974	0.50869263
	17.5778649	0.49527445
	17.59147006	0.49544333
	17.60507522	0.47909247
	17.61868038	0.48231691
	17.63228553	0.47183236
	17.64589069	0.46556637
	17.65949585	0.4748652
	17.67310101	0.48327224
	17.68670617	0.46893441
	17.70031133	0.46397782
	17.71391649	0.4610722
	17.72752164	0.45203167
	17.7411268	0.46584963
	17.75473196	0.47007774
	17.76833712	0.46724449
	17.78194228	0.46523008
	17.79554744	0.46704995
	17.8091526	0.47835738
	17.82275776	0.4666465
	17.83636291	0.46507111
	17.84996807	0.47638993
	17.86357323	0.48435963
	17.87717839	0.49432021
	17.89078355	0.49494375
	17.90438871	0.48806767
	17.91799387	0.50953288
	17.93159902	0.52216408
	17.94520418	0.52766937
	17.95880934	0.5499531
	17.9724145	0.56870377
	17.98601966	0.57336451
	17.99962482	0.58992226
	18.01322998	0.59858033
	18.02683513	0.60175087
	18.04044029	0.60687952
	18.05404545	0.60952052
	18.06765061	0.6134548
	18.08125577	0.60947016
	18.09486093	0.60529402
	18.10846609	0.62168643
	18.12207124	0.60369679
	18.1356764	0.60394591
	18.14928156	0.60776982
	18.16288672	0.60695486
	18.17649188	0.60688312
	18.19009704	0.6067956
	18.2037022	0.60371528
	18.21730735	0.60292426
	18.23091251	0.58887539
	18.24451767	0.59681236
	18.25812283	0.58331721
	18.27172799	0.56634256
	18.28533315	0.55957718
	18.29893831	0.56036316
	18.31254346	0.55580778
	18.32614862	0.53647738
	18.33975378	0.52003529
	18.35335894	0.52728622
	18.3669641	0.52584498
	18.38056926	0.50381318
	18.39417442	0.48024069
	18.40777957	0.47209153
	18.42138473	0.47071556
	18.43498989	0.47339417
	18.44859505	0.45533107
	18.46220021	0.44837702
	18.47580537	0.43866086
	18.48941053	0.42472267
	18.50301568	0.42116313
	18.51662084	0.41056942
	18.530226	0.40296876
	18.54383116	0.39419527
	18.55743632	0.38312396
	18.57104148	0.38010596
	18.58464664	0.38864303
	18.59825179	0.38240308
	18.61185695	0.37840321
	18.62546211	0.37447952
	18.63906727	0.37064534
	18.65267243	0.35566905
	18.66627759	0.34525896
	18.67988275	0.33778396
	18.6934879	0.34962736
	18.70709306	0.34003313
	18.72069822	0.33094977
	18.73430338	0.32728005
	18.74790854	0.33625788
	18.7615137	0.32815397
	18.77511886	0.32196091
	18.78872402	0.31877783
	18.80232917	0.31700558
	18.81593433	0.29988385
	18.82953949	0.30141308
	18.84314465	0.30303895
	18.85674981	0.30186078
	18.87035497	0.3027385
	18.88396013	0.30701813
	18.89756528	0.30793729
	18.91117044	0.30239907
	18.9247756	0.30031472
	18.93838076	0.30665935
	18.95198592	0.30117735
	18.96559108	0.30272309
	18.97919624	0.30707758
	18.99280139	0.29869974
	19.00640655	0.30533512
	19.02001171	0.29833999
	19.03361687	0.30181532
	19.04722203	0.29684365
	19.06082719	0.29502842
	19.07443235	0.29515747
	19.0880375	0.28563075
	19.10164266	0.28591079
	19.11524782	0.28332035
	19.12885298	0.2771991
	19.14245814	0.2714634
	19.1560633	0.27041885
	19.16966846	0.26131696
	19.18327361	0.262875
	19.19687877	0.26057008
	19.21048393	0.25709641
	19.22408909	0.2567491
	19.23769425	0.25264139
	19.25129941	0.25191818
	19.26490457	0.25692704
	19.27850972	0.24758746
	19.29211488	0.24639902
	19.30572004	0.24496335
	19.3193252	0.25064777
	19.33293036	0.24911054
	19.34653552	0.24446034
	19.36014068	0.24883263
	19.37374583	0.24184324
	19.38735099	0.23971847
	19.40095615	0.24942729
	19.41456131	0.88904856
	19.42816647	0.23137882
	19.44177163	0.25465666
	19.45537679	0.25197007
	19.46898194	0.25147528
	19.4825871	0.24429828
	19.49619226	0.23367064
	19.50979742	0.23695456
	19.52340258	0.23919485
	19.53700774	0.23349887
	19.5506129	0.23231385
	19.56421805	0.2363174
	19.57782321	0.22956283
	19.59142837	0.23356275
	19.99958313	6.7486208
	24.99947891	0.03217719
	29.99937469	0.022941474
	34.99927048	0.018778806
	39.99916626	0.015894529
	44.99906204	0.013827347
	49.99895782	0.011781265
	54.99885361	0.010760396
	59.99874939	0.0077745626
	64.99864517	0.0067016558
	69.99854095	0.0057470707
	74.99843674	0.004980725
	79.99833252	0.0042782906
	84.9982283	0.0037241668
	89.99812408	0.0032325529
	94.99801987	0.0028272217
	99.99791565	0.0024802949
	104.99781143	0.0021867973
	109.99770721	0.0019336135
	114.997603	0.0017163892
	119.99749878	0.001529474
	124.99739456	0.0013739646
	129.99729034	0.0012292755
	134.99718613	0.0011059058
