csdata_id	e_energy	sigma
165557	13.02126328	0.0
165558	13.03374193	18.439697
165559	13.04734709	24.208896
165560	13.06095225	33.164937
165561	13.07455741	39.041721
165562	13.08816257	41.519359
165563	13.10176772	58.187089
165564	13.11537288	62.354233
165565	13.12897804	65.352572
165566	13.1425832	68.715624
165567	13.15618836	70.802399
165568	13.16979352	73.032902
165569	13.18339868	75.913243
165570	13.19700383	78.598603
165571	13.21060899	82.292855
165572	13.22421415	93.261567
165573	13.23781931	94.338842
165574	13.25142447	96.489764
165575	13.26502963	97.579413
165576	13.27863479	96.8174
165577	13.3058451	99.069337
165578	13.31945026	98.498059
165579	13.33305542	101.49882
165580	13.34666058	102.53476
165581	13.36026574	115.55396
165582	13.3738709	112.52142
165583	13.38747605	102.3439
165584	13.40108121	99.47212
165585	13.41468637	98.466095
165586	13.42829153	96.909273
165587	13.44189669	93.010465
165588	13.45550185	93.097324
165589	13.46910701	93.503539
165590	13.48271216	98.494651
165591	13.49631732	98.840894
165592	13.50992248	100.03129
165593	13.52352764	99.192141
165594	13.5371328	96.636889
165595	13.55073796	95.752788
165596	13.56434312	95.769408
165597	13.57794827	94.842136
165598	13.59155343	93.551585
165599	13.60515859	92.282314
165600	13.61876375	90.906362
165601	13.63236891	89.268323
165602	13.64597407	87.41608
165603	13.65957923	87.316848
165604	13.67318438	87.669966
165605	13.7003947	84.63172
165606	13.71399986	85.624607
165607	13.75481534	77.79382
165608	13.76842049	75.632409
165609	13.78202565	72.654681
165610	13.79563081	67.594652
165611	13.80923597	63.845928
165612	13.82284113	62.600274
165613	13.83644629	62.255069
165614	13.85005145	60.958575
165615	13.8636566	60.260814
165616	13.87726176	60.204793
165617	13.89086692	60.072479
165618	13.90447208	59.282249
165619	13.91807724	59.179838
165620	13.9316824	59.02183
165621	13.94528756	58.640121
165622	13.95889272	57.974601
165623	13.97249787	57.750314
165624	13.98610303	57.870744
165625	13.99970819	58.256881
165626	14.01331335	58.288178
165627	14.02691851	57.656732
165628	14.04052367	56.767144
165629	14.05412883	55.743685
165630	14.06773398	55.23514
165631	14.08133914	54.448559
165632	14.0949443	54.079332
165633	14.10854946	53.70435
165634	14.12215462	53.387241
165635	14.13575978	53.047713
165636	14.14936494	52.927997
165637	14.16297009	53.357378
165638	14.17657525	52.569001
