	e_energy	sigma
	12.96301252	0.0
	12.96571614	60.466313
	12.9793213	145.21992
	12.99292646	172.2651
	13.00653161	119.53638
	13.02013677	86.018379
	13.03374193	70.953191
	13.04734709	62.884409
	13.06095225	66.315633
	13.07455741	57.950266
	13.08816257	60.366663
	13.10176772	70.167729
	13.11537288	67.763177
	13.12897804	65.803238
	13.1425832	64.053552
	13.15618836	106.04401
	13.16979352	96.759408
	13.18339868	87.171524
	13.19700383	72.38006
	13.21060899	66.599896
	13.22421415	68.139723
	13.23781931	65.789545
	13.25142447	62.928134
	13.26502963	62.565449
	13.27863479	95.270851
	13.3058451	63.657604
	13.31945026	66.528395
	13.33305542	67.843644
	13.34666058	70.722025
	13.36026574	74.125006
	13.3738709	86.665979
	13.38747605	94.676669
	13.40108121	93.75668
	13.41468637	91.786097
	13.42829153	89.756809
	13.44189669	87.420165
	13.45550185	83.167668
	13.46910701	79.813956
	13.48271216	86.60561
	13.49631732	86.902355
	13.50992248	87.853696
	13.52352764	86.115318
	13.5371328	87.276956
	13.55073796	86.727105
	13.56434312	86.312925
	13.57794827	85.69737
	13.59155343	85.72293
	13.60515859	87.805352
	13.61876375	88.815674
	13.63236891	88.432493
	13.64597407	86.470937
	13.65957923	83.712438
	13.67318438	76.633041
	13.7003947	71.408042
	13.71399986	68.990584
	13.75481534	63.006254
	13.76842049	58.684746
	13.78202565	56.841915
	13.79563081	57.057695
	13.80923597	56.128582
	13.82284113	56.634943
	13.83644629	57.542471
	13.85005145	58.705769
	13.8636566	58.867694
	13.87726176	60.714283
	13.89086692	60.87646
	13.90447208	60.52285
	13.91807724	59.983579
	13.9316824	58.608236
	13.94528756	57.909312
	13.95889272	56.781312
	13.97249787	55.243989
	13.98610303	54.232224
	13.99970819	53.879548
	14.01331335	52.458337
	14.02691851	51.165538
	14.04052367	49.53626
	14.05412883	47.715347
	14.06773398	46.096315
	14.08133914	44.87218
	14.0949443	44.272526
	14.10854946	43.695458
	14.12215462	43.140536
	14.13575978	42.824557
	14.14936494	41.894272
	14.16297009	41.008427
	14.17657525	40.806739
	14.19018041	40.24084
	14.20378557	39.716066
	14.21739073	39.287267
	14.23099589	38.676529
	14.24460105	37.991004
	14.2582062	37.59308
	14.27181136	36.953254
	14.28541652	36.604249
	14.29902168	36.203416
	14.31262684	35.686021
	14.326232	35.245124
	14.33983716	34.588949
	14.35344231	34.114433
	14.36704747	33.542246
	14.38065263	33.947663
	14.39425779	33.062523
	14.40786295	33.085229
	14.42146811	33.195661
	14.43507327	33.179944
	14.44867842	33.419403
	14.46228358	33.247791
	14.47588874	33.215108
	14.4894939	33.076902
	14.50309906	32.799908
	14.51670422	32.771959
	14.53030938	32.562819
	14.54391453	32.235262
	14.55751969	31.836396
	14.57112485	31.751198
	14.58473001	31.583732
	14.59833517	31.499627
	14.61194033	31.140012
	14.62554549	30.896486
	14.63915064	30.709837
	14.6527558	30.354513
	14.66636096	30.144717
	14.67996612	29.710289
	14.69357128	29.389176
	14.70717644	29.18722
	14.7207816	28.948904
	14.73438675	28.491201
	14.74799191	28.238105
	14.76159707	27.952289
	14.77520223	27.626137
	14.78880739	27.258856
	14.80241255	26.963515
	14.81601771	26.782141
	14.82962286	26.521998
	14.84322802	26.287863
	14.85683318	26.193959
	14.87043834	26.041136
	14.8840435	25.78084
	14.89764866	25.620492
	14.91125382	25.320412
	14.92485898	24.974853
	14.93846413	24.932667
	14.95206929	24.861724
	14.96567445	24.736465
	14.97927961	24.427588
	14.99288477	24.276663
	15.00648993	24.100974
	15.02009509	23.977363
	15.03370024	23.68116
	15.0473054	23.44991
	15.06091056	23.27356
	15.07451572	23.12824
	15.08812088	22.974347
	15.10172604	22.850099
	15.1153312	22.627058
	15.12893635	22.366403
	15.14254151	22.19548
	15.15614667	22.065172
	15.16975183	21.916323
	15.18335699	21.79397
	15.19696215	21.568698
	15.21056731	21.403347
	15.22417246	21.235369
	15.23777762	21.058294
	15.25138278	20.952921
	15.26498794	20.836163
	15.2785931	20.634311
	15.29219826	20.568112
	15.30580342	20.474257
	15.31940857	20.405348
	15.33301373	20.264171
	15.34661889	20.183531
	15.36022405	20.066769
	15.37382921	19.929876
	15.38743437	19.967042
	15.40103953	19.842059
	15.41464468	19.777469
	15.42824984	19.637376
	15.441855	19.480084
	15.45546016	19.367206
	15.46906532	19.177116
	15.48267048	19.05217
	15.50988079	18.79693
	15.52348595	18.688647
	15.53709111	18.599319
	15.55069627	18.557921
	15.56430143	18.510193
	15.57790659	18.455034
	15.59151175	18.36263
	15.6051169	18.237535
	15.61872206	18.136451
	15.63232722	18.055978
	15.64593238	17.993078
	15.65953754	17.948349
	15.6731427	17.889354
	15.68674786	17.804205
	15.70035301	17.642601
	15.71395817	17.693289
	15.72756333	17.65357
	15.74116849	17.526204
	15.75477365	17.471373
	15.76837881	17.432728
	15.78198397	17.402947
	15.79558912	17.246769
	15.80919428	17.206679
	15.82279944	17.174031
	15.8364046	17.105313
	15.85000976	17.023205
	15.86361492	16.954656
	15.87722008	16.880666
	15.89082524	16.896181
	15.90443039	16.818784
	15.91803555	16.81844
	15.93164071	16.784142
	15.94524587	16.684188
	15.95885103	16.66657
	15.97245619	16.619304
	15.98606135	16.523572
	15.9996665	16.517855
	16.01327166	16.497485
	16.02687682	16.441589
	16.04048198	16.349561
	16.05408714	16.300818
	16.0676923	16.21259
	16.08129746	16.154067
	16.09490261	16.085016
	16.10850777	16.049808
	16.12211293	16.008829
	16.13571809	15.950179
	16.14932325	15.888196
	16.16292841	15.816681
	16.17653357	15.75045
	16.19013872	15.666987
	16.20374388	15.60166
	16.21734904	15.555361
	16.2309542	15.504124
	16.24455936	15.449009
	16.25816452	15.370089
	16.27176968	15.329268
	16.28537483	15.262743
	16.29897999	15.21312
	16.31258515	15.164329
	16.32619031	15.072689
	16.33979547	14.997483
	16.35340063	14.957111
	16.36700579	14.92238
	16.3942161	14.824615
	16.40782126	14.82656
	16.42142642	14.779487
	16.43503158	14.751165
	16.44863674	14.713692
	16.4622419	14.673172
	16.47584705	14.653445
	16.48945221	14.662722
	16.50305737	14.592808
	16.51666253	14.601584
	16.53026769	14.59639
	16.54387285	14.574755
	16.55747801	14.526771
	16.57108316	14.481766
	16.58468832	14.436412
	16.59829348	14.401839
	16.61189864	14.377136
	16.6255038	14.307672
	16.63910896	14.258432
	16.65271412	14.263629
	16.67992443	14.197244
	16.69352959	14.174249
	16.70713475	14.121548
	16.72073991	14.088183
	16.73434507	14.052374
	16.74795023	13.943051
	16.76155538	13.928998
	16.77516054	13.863901
	16.7887657	13.84282
	16.80237086	13.781942
	16.81597602	13.788132
	16.82958118	13.709364
	16.84318634	13.65461
	16.8567915	13.631871
	16.87039665	13.599918
	16.88400181	13.558132
	16.89760697	13.511811
	16.91121213	13.455854
	16.92481729	13.435426
	16.93842245	13.394648
	16.95202761	13.361566
	16.96563276	13.318052
	16.97923792	13.302403
	16.99284308	13.273514
	17.00644824	13.243126
	17.0200534	13.189523
	17.03365856	13.153541
	17.04726372	13.06852
	17.06086887	13.06826
	17.07447403	13.029113
	17.08807919	12.980204
	17.10168435	12.970914
	17.11528951	12.964553
	17.12889467	12.934314
	17.14249983	12.879062
	17.15610498	12.839092
	17.16971014	12.801089
	17.1833153	12.722207
	17.19692046	12.710973
	17.21052562	12.666043
	17.22413078	12.641422
	17.23773594	12.571526
	17.25134109	12.585343
	17.26494625	12.576214
	17.27855141	12.526448
	17.29215657	12.504808
	17.30576173	12.47531
	17.31936689	12.429139
	17.33297205	12.410249
	17.3465772	12.395997
	17.36018236	12.319164
	17.37378752	12.317312
	17.38739268	12.289527
	17.40099784	12.280737
	17.414603	12.23846
	17.42820816	12.24345
	17.44181331	12.223249
	17.45541847	12.236448
	17.46902363	12.201682
	17.48262879	12.192849
	17.49623395	12.099955
	17.50983911	12.124146
	17.52344427	12.101395
	17.53704942	12.069716
	17.55065458	12.054649
	17.56425974	12.018904
	17.5778649	11.98491
	17.59147006	11.961434
	17.60507522	11.943724
	17.61868038	11.919431
	17.63228553	11.866278
	17.64589069	11.876118
	17.65949585	11.849956
	17.67310101	11.820394
	17.68670617	11.795654
	17.70031133	11.76071
	17.71391649	11.749056
	17.72752164	11.723005
	17.7411268	11.69097
	17.75473196	11.669908
	17.76833712	11.662002
	17.78194228	11.635836
	17.79554744	11.611275
	17.8091526	11.593024
	17.82275776	11.583268
	17.83636291	11.567042
	17.84996807	11.527993
	17.86357323	11.516576
	17.87717839	11.509845
	17.89078355	11.492317
	17.90438871	11.462257
	17.91799387	11.443061
	17.93159902	11.41871
	17.94520418	11.38154
	17.95880934	11.364662
	17.9724145	11.356635
	17.98601966	11.339978
	17.99962482	11.324185
	18.01322998	11.302251
