	e_energy	sigma
	13.02126328	0.0
	13.03374193	29.974477
	13.04734709	44.562234
	13.06095225	52.723746
	13.07455741	51.759831
	13.08816257	48.06499
	13.10176772	44.76933
	13.11537288	42.548879
	13.12897804	40.127248
	13.1425832	37.940956
	13.15618836	35.569574
	13.16979352	33.647574
	13.18339868	31.989754
	13.19700383	30.482437
	13.21060899	29.179708
	13.22421415	27.783612
	13.23781931	26.373654
	13.25142447	24.908063
	13.26502963	23.387167
	13.27863479	23.783896
	13.3058451	21.970073
	13.31945026	21.194421
	13.33305542	20.745789
	13.34666058	21.171214
	13.36026574	18.577003
	13.3738709	17.906461
	13.38747605	16.892832
	13.40108121	15.995008
	13.41468637	15.268897
	13.42829153	14.997471
	13.44189669	14.508406
	13.45550185	14.168186
	13.46910701	13.525534
	13.48271216	12.93299
	13.49631732	12.380286
	13.50992248	11.900212
	13.52352764	11.201825
	13.5371328	10.912831
	13.55073796	10.678431
	13.56434312	10.168241
	13.57794827	10.017401
	13.59155343	9.0794374
	13.60515859	8.099728
	13.61876375	6.6987761
	13.63236891	6.1904971
	13.64597407	6.9359216
	13.65957923	8.7324357
	13.67318438	10.049124
	13.7003947	7.6620663
	13.71399986	9.4391427
	13.75481534	6.6476114
	13.76842049	6.5462917
	13.78202565	6.3925738
	13.79563081	6.2353387
	13.80923597	5.7633261
	13.82284113	5.6342418
	13.83644629	5.5044313
	13.85005145	5.3509268
	13.8636566	5.2445535
	13.87726176	4.9674672
	13.89086692	4.5738586
	13.90447208	4.6893481
	13.91807724	4.4676789
	13.9316824	4.2864788
	13.94528756	4.2608818
	13.95889272	4.3356834
	13.97249787	4.0073912
	13.98610303	4.1376025
	13.99970819	4.0399549
	14.01331335	3.8500356
	14.02691851	4.0146697
	14.04052367	3.9435875
	14.05412883	4.2650242
	14.06773398	4.0721993
	14.08133914	4.0220337
	14.0949443	3.8047914
	14.10854946	3.7014147
	14.12215462	3.4508526
	14.13575978	3.3832979
	14.14936494	3.1640017
	14.16297009	2.7766291
	14.17657525	2.7948271
	14.19018041	2.7531528
	14.20378557	2.6503507
	14.21739073	2.5893812
	14.23099589	2.4984211
	14.24460105	2.4169804
	14.2582062	2.3750144
	14.27181136	2.3382113
	14.28541652	2.3118834
	14.29902168	2.3105615
	14.31262684	2.2989467
	14.326232	2.3495652
	14.33983716	2.4373314
