	e_energy	sigma
	13.2921058	0.0
	13.3058451	2.393358
	13.31945026	2.967044
	13.33305542	3.1968358
	13.34666058	3.0626513
	13.36026574	2.7667961
	13.3738709	3.0703123
	13.38747605	3.0049759
	13.40108121	3.1267849
	13.41468637	4.1256776
	13.42829153	3.4204063
	13.44189669	3.3237818
	13.45550185	3.4313712
	13.46910701	3.0456131
	13.48271216	2.8690615
	13.49631732	2.7791215
	13.50992248	2.9093073
	13.52352764	3.023183
	13.5371328	3.2538417
	13.55073796	3.2966838
	13.56434312	3.3724725
	13.57794827	3.4569161
	13.59155343	3.6089666
	13.60515859	4.3005874
	13.61876375	4.2667573
	13.63236891	4.7875813
	13.64597407	5.1183492
	13.65957923	4.8164993
	13.67318438	4.5951965
	13.7003947	3.3797989
	13.71399986	3.5225294
	13.75481534	7.9575762
	13.76842049	6.7564204
	13.78202565	5.5843978
	13.79563081	5.075452
	13.80923597	4.3906724
	13.82284113	3.6665492
	13.83644629	3.4229703
	13.85005145	3.2612954
	13.8636566	3.8539659
	13.87726176	3.7384761
	13.89086692	3.4959382
	13.90447208	3.3102311
	13.91807724	3.2086315
	13.9316824	3.0504656
	13.94528756	3.1881308
	13.95889272	3.2515951
	13.97249787	3.384954
	13.98610303	3.2332904
	13.99970819	3.1691144
	14.01331335	3.1610108
	14.02691851	3.2412752
	14.04052367	3.2120422
	14.05412883	3.044276
	14.06773398	2.8270373
	14.08133914	2.8393155
	14.0949443	2.8656588
	14.10854946	2.6905271
	14.12215462	2.5210596
	14.13575978	2.4337904
	14.14936494	2.3728529
	14.16297009	2.2552923
	14.17657525	2.1811108
	14.19018041	1.9656924
	14.20378557	1.7922604
	14.21739073	1.6824922
	14.23099589	1.5543777
	14.24460105	1.4715231
	14.2582062	1.4600943
	14.27181136	1.3619765
	14.28541652	1.3370982
	14.29902168	1.2739692
	14.31262684	1.1769225
	14.326232	1.2067739
	14.33983716	1.1288552
	14.35344231	1.105353
	14.36704747	1.0271675
	14.38065263	1.0425575
	14.39425779	1.0652362
	14.40786295	0.99358206
	14.42146811	1.0724351
	14.43507327	1.1117829
	14.44867842	1.1610325
	14.46228358	1.2347571
	14.47588874	1.2933421
	14.4894939	1.3253028
	14.50309906	1.3561657
	14.51670422	1.3852859
	14.53030938	1.471911
	14.54391453	1.4676506
	14.55751969	1.4012431
	14.57112485	1.4977607
	14.58473001	1.5592221
	14.59833517	1.6888343
	14.61194033	1.7797735
	14.62554549	1.652315
	14.63915064	1.5934583
	14.6527558	1.5514311
	14.66636096	1.532925
	14.67996612	1.5264195
	14.69357128	1.579139
	14.70717644	1.5758628
	14.7207816	1.5979751
	14.73438675	1.6159327
	14.74799191	1.572217
	14.76159707	1.5580246
	14.77520223	1.5301893
	14.78880739	1.4772596
	14.80241255	1.4083949
	14.81601771	1.3381226
	14.82962286	1.3098014
	14.84322802	1.3455967
	14.85683318	1.3408707
	14.87043834	1.190004
	14.8840435	1.1742547
	14.89764866	1.1322065
	14.91125382	1.0860399
	14.92485898	1.1215988
	14.93846413	1.0884301
	14.95206929	1.0713139
	14.96567445	1.0613564
	14.97927961	1.0112669
	14.99288477	0.97198469
	15.00648993	0.9304068
	15.02009509	0.90509952
	15.03370024	1.018687
	15.0473054	1.0004258
	15.06091056	0.96617491
	15.07451572	0.95561294
	15.08812088	0.93694812
	15.10172604	0.98067358
	15.1153312	0.93593896
	15.12893635	0.93014811
	15.14254151	0.89382626
	15.15614667	0.86839889
	15.16975183	0.85082466
	15.18335699	0.84325815
	15.19696215	0.84331028
	15.21056731	0.83428582
	15.22417246	0.84550961
	15.23777762	0.8482448
	15.25138278	0.84730286
	15.26498794	0.8774473
	15.2785931	0.87803254
	15.29219826	0.88474174
	15.30580342	0.90978643
	15.31940857	0.92214261
	15.33301373	0.92566959
	15.34661889	0.94514393
	15.36022405	0.94469492
	15.37382921	0.94238957
	15.38743437	0.95663683
	15.40103953	0.93413419
	15.41464468	0.94583115
	15.42824984	0.95200842
	15.441855	0.8921081
	15.45546016	0.87005641
	15.46906532	0.82918763
	15.48267048	0.81958074
	15.50988079	0.77538619
	15.52348595	0.77326782
	15.53709111	0.80327356
	15.55069627	0.74796602
	15.56430143	0.73465035
	15.57790659	0.76350315
	15.59151175	0.75040456
	15.6051169	0.75989714
	15.61872206	0.76310014
	15.63232722	0.75310257
	15.64593238	0.77946875
	15.65953754	0.73841616
	15.6731427	0.72974798
	15.68674786	0.7053442
	15.70035301	0.70217601
	15.71395817	0.69272655
	15.72756333	0.69243987
	15.74116849	0.68067388
	15.75477365	0.6738806
	15.76837881	0.66401184
	15.78198397	0.65239066
	15.79558912	0.63338772
	15.80919428	0.61891504
	15.82279944	0.59975534
	15.8364046	0.59497271
	15.85000976	0.58260262
	15.86361492	0.5608085
	15.87722008	0.54610996
	15.89082524	0.54244769
	15.90443039	0.52595156
