csdata_id	e_energy	sigma
44735	13.02126328	0.0
44736	13.03374193	0.00098773375
44737	13.04734709	0.0014764257
44738	13.06095225	0.0019167636
44739	13.07455741	0.0020268684
44740	13.08816257	0.002056319
44741	13.10176772	0.0021495389
44742	13.11537288	0.0025802538
44743	13.12897804	0.0025818823
44744	13.1425832	0.0025885594
44745	13.15618836	0.0025774248
44746	13.16979352	0.0025612194
44747	13.18339868	0.0025671583
44748	13.19700383	0.002523611
44749	13.21060899	0.0026250895
44750	13.22421415	0.0026440748
44751	13.23781931	0.0027340499
44752	13.25142447	0.0025948001
44753	13.26502963	0.00255116
44754	13.27863479	0.0025223315
44755	13.3058451	0.0020434092
44756	13.31945026	0.0019982688
44757	13.33305542	0.0022571703
44758	13.34666058	0.0024726232
44759	13.36026574	0.0025234499
44760	13.3738709	0.0025620892
44761	13.38747605	0.0026446796
44762	13.40108121	0.0026890117
44763	13.41468637	0.0026960202
44764	13.42829153	0.002672938
44765	13.44189669	0.0027004257
44766	13.45550185	0.002726568
44767	13.46910701	0.0027931869
44768	13.48271216	0.0028352321
44769	13.49631732	0.0028719618
44770	13.50992248	0.0029365994
44771	13.52352764	0.0028818556
44772	13.5371328	0.003460418
44773	13.55073796	0.0041254162
44774	13.56434312	0.0042765274
44775	13.57794827	0.003418001
44776	13.59155343	0.0030571234
44777	13.60515859	0.0030628558
44778	13.61876375	0.0030554665
44779	13.63236891	0.0030857505
44780	13.64597407	0.0030145544
44781	13.65957923	0.003295168
44782	13.67318438	0.0033584545
44783	13.7003947	0.0034811451
44784	13.71399986	0.0033106758
44785	13.75481534	0.002231277
44786	13.76842049	0.0020961398
44787	13.78202565	0.0019683524
44788	13.79563081	0.0020578588
44789	13.80923597	0.0021438455
44790	13.82284113	0.0022726445
44791	13.83644629	0.0022759274
44792	13.85005145	0.002403624
44793	13.8636566	0.0024661743
44794	13.87726176	0.0024775226
44795	13.89086692	0.0022953527
44796	13.90447208	0.002341136
44797	13.91807724	0.0024123564
44798	13.9316824	0.0024929435
44799	13.94528756	0.002512402
44800	13.95889272	0.0025857102
44801	13.97249787	0.0027678781
44802	13.98610303	0.0030064537
44803	13.99970819	0.0030584881
44804	14.01331335	0.0027636876
44805	14.02691851	0.0028226336
44806	14.04052367	0.0028763937
44807	14.05412883	0.0029818028
44808	14.06773398	0.0030747693
44809	14.08133914	0.0029910897
44810	14.0949443	0.0028819424
44811	14.10854946	0.0031039058
44812	14.12215462	0.0027923432
44813	14.13575978	0.0028125867
44814	14.14936494	0.0027361733
44815	14.16297009	0.0029049086
44816	14.17657525	0.0028737628
44817	14.19018041	0.002645698
44818	14.20378557	0.0026927983
44819	14.21739073	0.0027885383
44820	14.23099589	0.0026757519
44821	14.24460105	0.0025791414
44822	14.2582062	0.0024771027
44823	14.27181136	0.0024066175
44824	14.28541652	0.0024465785
44825	14.29902168	0.0025201129
44826	14.31262684	0.0024277101
44827	14.326232	0.0024012648
44828	14.33983716	0.0023235401
44829	14.35344231	0.0022605937
44830	14.36704747	0.0022548154
44831	14.38065263	0.0022583379
44832	14.39425779	0.0022467723
44833	14.40786295	0.0022760942
44834	14.42146811	0.002014522
44835	14.43507327	0.0019406784
44836	14.44867842	0.0018864099
44837	14.46228358	0.0018138209
44838	14.47588874	0.0017783714
44839	14.4894939	0.0018077155
44840	14.50309906	0.0018604393
44841	14.51670422	0.0018677259
44842	14.53030938	0.0019702821
44843	14.54391453	0.0020905685
44844	14.55751969	0.0019877333
44845	14.57112485	0.0020121361
44846	14.58473001	0.0021162979
44847	14.59833517	0.0022786703
44848	14.61194033	0.0024014139
44849	14.62554549	0.0024344496
44850	14.63915064	0.0024625259
44851	14.6527558	0.0023689553
44852	14.66636096	0.0025268487
44853	14.67996612	0.0024007574
44854	14.69357128	0.0024047449
44855	14.70717644	0.0024241702
44856	14.7207816	0.0025691398
44857	14.73438675	0.0024599258
44858	14.74799191	0.0025164259
44859	14.76159707	0.0024968279
44860	14.77520223	0.0025473697
44861	14.78880739	0.0026266401
44862	14.80241255	0.0026593894
44863	14.81601771	0.0026774598
44864	14.82962286	0.0026942298
44865	14.84322802	0.0026268766
44866	14.85683318	0.0026094346
44867	14.87043834	0.0026220148
44868	14.8840435	0.0025067301
44869	14.89764866	0.0025254771
44870	14.91125382	0.0024821455
44871	14.92485898	0.0025452372
44872	14.93846413	0.0025492318
44873	14.95206929	0.0026174246
44874	14.96567445	0.0026194109
44875	14.97927961	0.0025112266
44876	14.99288477	0.0025491917
44877	15.00648993	0.0025421675
44878	15.02009509	0.0024366791
44879	15.03370024	0.002424963
44880	15.0473054	0.0023578164
44881	15.06091056	0.0024280814
44882	15.07451572	0.0023953687
44883	15.08812088	0.0024076469
44884	15.10172604	0.0023678591
44885	15.1153312	0.0023985965
44886	15.12893635	0.0023036578
44887	15.14254151	0.0023401724
44888	15.15614667	0.0023352056
44889	15.16975183	0.0023254934
44890	15.18335699	0.0023569047
44891	15.19696215	0.0023582678
44892	15.21056731	0.0023707192
44893	15.22417246	0.0022872372
44894	15.23777762	0.0022862909
44895	15.25138278	0.0022902118
44896	15.26498794	0.0023249747
44897	15.2785931	0.002309042
44898	15.29219826	0.0023606488
44899	15.30580342	0.0023709796
44900	15.31940857	0.0023473112
44901	15.33301373	0.0023567212
44902	15.34661889	0.0024098397
44903	15.36022405	0.0023236626
44904	15.37382921	0.0022992043
44905	15.38743437	0.0023576482
44906	15.40103953	0.0023781992
44907	15.41464468	0.0023867814
44908	15.42824984	0.0023748265
44909	15.441855	0.0024757637
44910	15.45546016	0.0024642689
44911	15.46906532	0.0024864656
44912	15.48267048	0.0025348799
44913	15.50988079	0.0023965294
44914	15.52348595	0.0024627721
44915	15.53709111	0.0024461513
44916	15.55069627	0.0025075865
44917	15.56430143	0.0025836243
44918	15.57790659	0.0025439127
44919	15.59151175	0.0025718322
44920	15.6051169	0.0026325941
44921	15.61872206	0.0025349003
44922	15.63232722	0.0024949848
44923	15.64593238	0.0025416518
44924	15.65953754	0.0025891152
44925	15.6731427	0.0025720929
44926	15.68674786	0.0025544842
44927	15.70035301	0.0025845186
44928	15.71395817	0.0025365538
44929	15.72756333	0.0026137204
44930	15.74116849	0.0027098918
44931	15.75477365	0.002821607
44932	15.76837881	0.0027990419
44933	15.78198397	0.0027736451
44934	15.79558912	0.0029248215
44935	15.80919428	0.0028113909
44936	15.82279944	0.0028178954
44937	15.8364046	0.0028489733
44938	15.85000976	0.0027711222
44939	15.86361492	0.002853142
44940	15.87722008	0.0027242636
44941	15.89082524	0.003050604
44942	15.90443039	0.0027484035
44943	15.91803555	0.0026973534
44944	15.93164071	0.0027850465
44945	15.94524587	0.002750164
44946	15.95885103	0.0027312382
44947	15.97245619	0.0027169246
44948	15.98606135	0.0029040833
44949	15.9996665	0.0028251373
44950	16.01327166	0.0027703614
44951	16.02687682	0.0027179104
44952	16.04048198	0.0027393816
44953	16.05408714	0.00270388
44954	16.0676923	0.002650233
44955	16.08129746	0.0026930489
44956	16.09490261	0.0027761027
44957	16.10850777	0.0028141897
44958	16.12211293	0.0027794239
44959	16.13571809	0.0027307393
44960	16.14932325	0.0026487282
44961	16.16292841	0.0027057555
44962	16.17653357	0.0026529424
44963	16.19013872	0.0025867933
44964	16.20374388	0.0025858623
44965	16.21734904	0.0026606791
44966	16.2309542	0.0026664311
44967	16.24455936	0.0025506158
44968	16.25816452	0.0025411038
44969	16.27176968	0.0026509389
44970	16.28537483	0.0024673991
44971	16.29897999	0.0024296603
44972	16.31258515	0.0025975688
44973	16.32619031	0.0025735631
44974	16.33979547	0.0025564034
44975	16.35340063	0.0025956609
44976	16.36700579	0.0025733694
44977	16.3942161	0.0026765104
44978	16.40782126	0.0025533107
44979	16.42142642	0.0025981086
44980	16.43503158	0.0025404472
44981	16.44863674	0.0024940611
44982	16.4622419	0.0024672017
44983	16.47584705	0.0025471954
44984	16.48945221	0.0025730969
44985	16.50305737	0.0027463135
44986	16.51666253	0.0027620878
44987	16.53026769	0.0026636847
44988	16.54387285	0.002716094
44989	16.55747801	0.0028597745
44990	16.57108316	0.0027573089
44991	16.58468832	0.0027717646
44992	16.59829348	0.0027854882
44993	16.61189864	0.0028486374
44994	16.6255038	0.0027976611
44995	16.63910896	0.0029707954
44996	16.65271412	0.0028810724
44997	16.67992443	0.0029304796
44998	16.69352959	0.0029405752
44999	16.70713475	0.0029400063
45000	16.72073991	0.0030469915
45001	16.73434507	0.0029699226
45002	16.74795023	0.0029089369
45003	16.76155538	0.0029618661
45004	16.77516054	0.0029628004
45005	16.7887657	0.0029122687
45006	16.80237086	0.00296025
45007	16.81597602	0.0029277166
45008	16.82958118	0.0028805509
45009	16.84318634	0.0028168852
45010	16.8567915	0.0028589715
45011	16.87039665	0.0029423385
45012	16.88400181	0.0028010756
45013	16.89760697	0.0028033405
45014	16.91121213	0.0028899196
45015	16.92481729	0.0027532359
45016	16.93842245	0.0027482662
45017	16.95202761	0.0027261018
45018	16.96563276	0.0026705963
45019	16.97923792	0.0027579347
45020	16.99284308	0.0027753773
45021	17.00644824	0.0027353664
45022	17.0200534	0.0026594785
45023	17.03365856	0.002800804
45024	17.04726372	0.0026904364
45025	17.06086887	0.0028310652
45026	17.07447403	0.0027925285
45027	17.08807919	0.0028284557
45028	17.10168435	0.0027806321
45029	17.11528951	0.0027308212
45030	17.12889467	0.0028641698
45031	17.14249983	0.0027355331
45032	17.15610498	0.0027587514
45033	17.16971014	0.0028951666
45034	17.1833153	0.0027475321
45035	17.19692046	0.00275071
45036	17.21052562	0.0027874949
45037	17.22413078	0.0028376805
45038	17.23773594	0.0027887781
45039	17.25134109	0.0027722724
45040	17.26494625	0.0026855324
45041	17.27855141	0.0027300882
45042	17.29215657	0.0026198826
45043	17.30576173	0.0026775212
45044	17.31936689	0.0026878505
45045	17.33297205	0.0027118749
45046	17.3465772	0.0027640845
45047	17.36018236	0.0027807023
45048	17.37378752	0.0031048656
45049	17.38739268	0.0032668097
45050	17.40099784	0.0029146658
45051	17.414603	0.0028890878
45052	17.42820816	0.002896183
45053	17.44181331	0.0028738436
45054	17.45541847	0.0027771906
45055	17.46902363	0.0028589862
45056	17.48262879	0.0028131224
45057	17.49623395	0.0027730358
45058	17.50983911	0.0029383685
45059	17.52344427	0.0028309051
45060	17.53704942	0.002853346
45061	17.55065458	0.0027201491
45062	17.56425974	0.002735322
45063	17.5778649	0.0026944404
45064	17.59147006	0.0027569162
45065	17.60507522	0.0027239087
45066	17.61868038	0.0028026581
45067	17.63228553	0.002852375
45068	17.64589069	0.0027533393
45069	17.65949585	0.0027864006
45070	17.67310101	0.002770121
45071	17.68670617	0.0027359455
45072	17.70031133	0.0027868977
45073	17.71391649	0.0027909132
45074	17.72752164	0.0028624389
45075	17.7411268	0.0028514172
45076	17.75473196	0.0027986196
45077	17.76833712	0.0028391539
45078	17.78194228	0.002877282
45079	17.79554744	0.0027809723
45080	17.8091526	0.0028575536
45081	17.82275776	0.0028706758
45082	17.83636291	0.0029585812
45083	17.84996807	0.0028992834
45084	17.86357323	0.002917898
45085	17.87717839	0.0029030301
45086	17.89078355	0.0028131173
45087	17.90438871	0.0028303944
45088	17.91799387	0.0028032811
45089	17.93159902	0.0029670736
45090	17.94520418	0.0029470128
45091	17.95880934	0.0029835045
45092	17.9724145	0.0029619418
45093	17.98601966	0.0030142298
45094	17.99962482	0.0029835617
45095	18.01322998	0.0029864757
45096	18.02683513	0.0031299552
45097	18.04044029	0.0029617649
45098	18.05404545	0.0030173678
45099	18.06765061	0.0030446435
45100	18.08125577	0.003335143
45101	18.09486093	0.0031953504
45102	18.10846609	0.0031497738
45103	18.12207124	0.003246873
45104	18.1356764	0.0031649253
45105	18.14928156	0.0031930386
45106	18.16288672	0.0032417498
45107	18.17649188	0.003182083
45108	18.19009704	0.0031411701
45109	18.2037022	0.0031222472
45110	18.21730735	0.0031351529
45111	18.23091251	0.0031817011
45112	18.24451767	0.0031096166
45113	18.25812283	0.0031081222
45114	18.27172799	0.0032214848
45115	18.28533315	0.0031382358
45116	18.29893831	0.0031578669
45117	18.31254346	0.003113065
45118	18.32614862	0.0031537335
45119	18.33975378	0.0030500017
45120	18.35335894	0.0030220846
45121	18.3669641	0.0030266106
45122	18.38056926	0.0029426631
45123	18.39417442	0.0028813118
45124	18.40777957	0.0028797056
45125	18.42138473	0.0028017852
45126	18.43498989	0.0027922723
45127	18.44859505	0.0028298898
45128	18.46220021	0.0028196545
45129	18.47580537	0.0027643759
45130	18.48941053	0.0027282174
45131	18.50301568	0.0027466872
45132	18.51662084	0.0027450356
45133	18.530226	0.0027728266
45134	18.54383116	0.0027226774
45135	18.55743632	0.0027541716
45136	18.57104148	0.0027079161
45137	18.58464664	0.0026786922
45138	18.59825179	0.0027278881
45139	18.61185695	0.0026859833
45140	18.62546211	0.002657863
45141	18.63906727	0.0026441641
45142	18.65267243	0.0026846791
45143	18.66627759	0.0026728571
45144	18.67988275	0.0026732225
45145	18.6934879	0.0026636217
45146	18.70709306	0.0029918394
45147	18.72069822	0.0026837023
45148	18.73430338	0.0027894394
45149	18.74790854	0.0027177534
45150	18.7615137	0.00274425
45151	18.77511886	0.0027264555
45152	18.78872402	0.0027553057
45153	18.80232917	0.0027388823
45154	18.81593433	0.0027737809
45155	18.82953949	0.0028025976
45156	18.84314465	0.0028194017
45157	18.85674981	0.0027667102
45158	18.87035497	0.0028664162
45159	18.88396013	0.0029229061
45160	18.89756528	0.0028246424
45161	18.91117044	0.0028405659
45162	18.9247756	0.0028467676
45163	18.93838076	0.0029290734
45164	18.95198592	0.0028644405
45165	18.96559108	0.0031949356
45166	18.97919624	0.0028139237
45167	18.99280139	0.002854729
45168	19.00640655	0.0028577296
45169	19.02001171	0.0028384365
45170	19.03361687	0.0031518808
45171	19.04722203	0.0029603341
45172	19.06082719	0.0029736975
45173	19.07443235	0.0028959167
45174	19.0880375	0.0028813324
45175	19.10164266	0.0028979689
45176	19.11524782	0.002915558
45177	19.12885298	0.0029224586
45178	19.14245814	0.0029257131
45179	19.1560633	0.0029926609
45180	19.16966846	0.003019944
45181	19.18327361	0.0029700665
45182	19.19687877	0.0030081348
45183	19.21048393	0.0030508789
45184	19.22408909	0.0030477931
45185	19.23769425	0.0031111091
45186	19.25129941	0.0030952897
45187	19.26490457	0.0030661908
45188	19.27850972	0.0031079182
45189	19.29211488	0.0031057756
45190	19.30572004	0.0030963457
45191	19.3193252	0.0030705994
45192	19.33293036	0.0030975726
45193	19.34653552	0.0031252729
45194	19.36014068	0.0031051711
45195	19.37374583	0.0031261595
45196	19.38735099	0.0031187867
45197	19.40095615	0.0031406544
45198	19.41456131	0.0036140582
45199	19.42816647	0.0031935781
45200	19.44177163	0.0031846026
45201	19.45537679	0.0031365475
45202	19.46898194	0.0031419356
45203	19.4825871	0.0031892683
45204	19.49619226	0.0031727564
45205	19.50979742	0.0032446128
45206	19.52340258	0.0031739489
45207	19.53700774	0.0032051269
45208	19.5506129	0.003218809
45209	19.56421805	0.0031937141
45210	19.57782321	0.0032006212
45211	19.59142837	0.0032580247
45212	19.99958313	0.0030806816
45213	24.99947891	0.0037540641
45214	29.99937469	0.0043517359
45215	34.99927048	0.0049453784
45216	39.99916626	0.0054110808
45217	44.99906204	0.0056337262
45218	49.99895782	0.0058392588
45219	54.99885361	0.0059939535
45220	59.99874939	0.0060689162
45221	64.99864517	0.0061005062
45222	69.99854095	0.0060912721
45223	74.99843674	0.0060539269
45224	79.99833252	0.0059969148
45225	84.9982283	0.0059250754
45226	89.99812408	0.0058504128
45227	94.99801987	0.0057678666
45228	99.99791565	0.005681395
45229	104.99781143	0.0055939164
45230	109.99770721	0.005505288
45231	114.997603	0.0054167739
45232	119.99749878	0.0053299202
45233	124.99739456	0.0052442636
45234	129.99729034	0.0051615979
45235	134.99718613	0.0050807514
