	e_energy	sigma
	13.2921058	0.0
	13.3058451	0.0015406287
	13.31945026	0.002378487
	13.33305542	0.0029450018
	13.34666058	0.0032932675
	13.36026574	0.0036022101
	13.3738709	0.0039917446
	13.38747605	0.0036522517
	13.40108121	0.0040142365
	13.41468637	0.0045546779
	13.42829153	0.0047254331
	13.44189669	0.0051193903
	13.45550185	0.0053558727
	13.46910701	0.0056371437
	13.48271216	0.005523477
	13.49631732	0.0059073243
	13.50992248	0.0061351662
	13.52352764	0.006003812
	13.5371328	0.0066787301
	13.55073796	0.0063624341
	13.56434312	0.0061027882
	13.57794827	0.0069621131
	13.59155343	0.0074291235
	13.60515859	0.0075792027
	13.61876375	0.0071894937
	13.63236891	0.0064774102
	13.64597407	0.0060337474
	13.65957923	0.0058636036
	13.67318438	0.0055128104
	13.7003947	0.00627979
	13.71399986	0.0062930949
	13.75481534	0.004937532
	13.76842049	0.0052089426
	13.78202565	0.0058098893
	13.79563081	0.0055767657
	13.80923597	0.0058694962
	13.82284113	0.0061015766
	13.83644629	0.0064181117
	13.85005145	0.0059438819
	13.8636566	0.0066609121
	13.87726176	0.0071224011
	13.89086692	0.0076283076
	13.90447208	0.0075459138
	13.91807724	0.0077839057
	13.9316824	0.0074871308
	13.94528756	0.0075972023
	13.95889272	0.0081052487
	13.97249787	0.0072338715
	13.98610303	0.0067645196
	13.99970819	0.0063494766
	14.01331335	0.0062079012
	14.02691851	0.0059463934
	14.04052367	0.0064453091
	14.05412883	0.0063313743
	14.06773398	0.0070729244
	14.08133914	0.0074755283
	14.0949443	0.0078709181
	14.10854946	0.0077839302
	14.12215462	0.0082255419
	14.13575978	0.0086312252
	14.14936494	0.0093922676
	14.16297009	0.0086629268
	14.17657525	0.0083579769
	14.19018041	0.0098548149
	14.20378557	0.0099019011
	14.21739073	0.0097118936
	14.23099589	0.0099630437
	14.24460105	0.010423425
	14.2582062	0.01026955
	14.27181136	0.010766657
	14.28541652	0.010720314
	14.29902168	0.010635665
	14.31262684	0.010570635
	14.326232	0.01040628
	14.33983716	0.010605894
	14.35344231	0.011238561
	14.36704747	0.011379797
	14.38065263	0.011488734
	14.39425779	0.011395427
	14.40786295	0.011298257
	14.42146811	0.01177527
	14.43507327	0.011724485
	14.44867842	0.011798643
	14.46228358	0.01153753
	14.47588874	0.012117529
	14.4894939	0.012022879
	14.50309906	0.011854636
	14.51670422	0.011994414
	14.53030938	0.011850904
	14.54391453	0.011567335
	14.55751969	0.011490789
	14.57112485	0.011697702
	14.58473001	0.012090204
	14.59833517	0.012450731
	14.61194033	0.013313139
	14.62554549	0.013368075
	14.63915064	0.012633656
	14.6527558	0.011981609
	14.66636096	0.011649562
	14.67996612	0.011296471
	14.69357128	0.010758857
	14.70717644	0.010670623
	14.7207816	0.010543522
	14.73438675	0.010920607
	14.74799191	0.010741615
	14.76159707	0.010810085
	14.77520223	0.010623245
	14.78880739	0.010722048
	14.80241255	0.010520522
	14.81601771	0.010743641
	14.82962286	0.01130041
	14.84322802	0.011459403
	14.85683318	0.011475772
	14.87043834	0.011601931
	14.8840435	0.011157338
	14.89764866	0.011199092
	14.91125382	0.011038877
	14.92485898	0.011068255
	14.93846413	0.011200969
	14.95206929	0.011098724
	14.96567445	0.010824187
	14.97927961	0.01055937
	14.99288477	0.010469932
	15.00648993	0.010183333
	15.02009509	0.0097871882
	15.03370024	0.0094878966
	15.0473054	0.0092969148
	15.06091056	0.0093481972
	15.07451572	0.0093589477
	15.08812088	0.0089841453
	15.10172604	0.0086114913
	15.1153312	0.0089911562
	15.12893635	0.0094330352
	15.14254151	0.0096856542
	15.15614667	0.01011197
	15.16975183	0.010713945
	15.18335699	0.011004048
	15.19696215	0.011307978
	15.21056731	0.01147299
	15.22417246	0.011781151
	15.23777762	0.012044679
	15.25138278	0.012378805
	15.26498794	0.012461947
	15.2785931	0.012683039
	15.29219826	0.012096205
	15.30580342	0.012403188
	15.31940857	0.012149404
	15.33301373	0.012105835
	15.34661889	0.012256576
	15.36022405	0.012354866
	15.37382921	0.012796031
	15.38743437	0.012862275
	15.40103953	0.013052195
	15.41464468	0.013139864
	15.42824984	0.013024735
	15.441855	0.013735553
	15.45546016	0.013612182
	15.46906532	0.013719836
	15.48267048	0.013749467
	15.50988079	0.014020269
	15.52348595	0.014152798
	15.53709111	0.014061815
	15.55069627	0.014817332
	15.56430143	0.014895498
	15.57790659	0.014934931
	15.59151175	0.014639194
	15.6051169	0.014680159
	15.61872206	0.015058719
	15.63232722	0.014392199
	15.64593238	0.014582222
	15.65953754	0.014822571
	15.6731427	0.014491766
	15.68674786	0.014224121
	15.70035301	0.014356494
	15.71395817	0.014250105
	15.72756333	0.014244647
	15.74116849	0.013678485
	15.75477365	0.013655255
	15.76837881	0.013446742
	15.78198397	0.013318727
	15.79558912	0.013590398
	15.80919428	0.013435103
	15.82279944	0.013361224
	15.8364046	0.013252895
	15.85000976	0.01276146
	15.86361492	0.012214496
	15.87722008	0.011999689
	15.89082524	0.011943982
	15.90443039	0.012748172
	15.91803555	0.011971764
	15.93164071	0.012368375
	15.94524587	0.012365925
	15.95885103	0.012277093
	15.97245619	0.01188815
	15.98606135	0.012133503
	15.9996665	0.011729123
	16.01327166	0.01173637
	16.02687682	0.01176959
	16.04048198	0.011654745
	16.05408714	0.011749965
	16.0676923	0.011742363
	16.08129746	0.011810979
	16.09490261	0.012138802
	16.10850777	0.011820383
	16.12211293	0.011669797
	16.13571809	0.011841398
	16.14932325	0.011822389
	16.16292841	0.011948743
	16.17653357	0.011882029
	16.19013872	0.01204532
	16.20374388	0.01172484
	16.21734904	0.01164727
	16.2309542	0.011701326
	16.24455936	0.011819163
	16.25816452	0.011661036
	16.27176968	0.011618649
	16.28537483	0.011473812
	16.29897999	0.011748731
	16.31258515	0.011885185
	16.32619031	0.011863021
	16.33979547	0.011814401
	16.35340063	0.011671213
	16.36700579	0.011915983
	16.3942161	0.011522287
	16.40782126	0.011645532
	16.42142642	0.011345447
	16.43503158	0.011326969
	16.44863674	0.011548442
	16.4622419	0.011702791
	16.47584705	0.011857157
	16.48945221	0.012235881
	16.50305737	0.012683082
	16.51666253	0.012919966
	16.53026769	0.013759241
	16.54387285	0.013281341
	16.55747801	0.013501969
	16.57108316	0.013736563
	16.58468832	0.014108906
	16.59829348	0.014229461
	16.61189864	0.013910241
	16.6255038	0.013844735
	16.63910896	0.013926251
