csdata_id	e_energy	sigma
33933	1.17659747	0.0
33934	1.18715671	0.09320734300000001
33935	1.20076187	0.13796045
33936	1.21436703	0.16963883
33937	1.22797219	0.19479177
33938	1.24157734	0.2160504
33939	1.2551825	0.23462821
33940	1.26878766	0.25060799
33941	1.28239282	0.26552455
33942	1.29599798	0.27919691
33943	1.30960314	0.29184119
33944	1.3232083000000001	0.30360984
33945	1.3368134500000002	0.31462223
33946	1.3504186100000002	0.32497421
33947	1.3640237700000002	0.33393448
33948	1.3776289300000002	0.34306098
33949	1.3912340900000002	0.35171098
33950	1.4048392500000002	0.35992978
33951	1.4184444099999998	0.36775038
33952	1.4320495599999998	0.37520971
33953	1.4456547199999998	0.38233132
33954	1.4592598799999998	0.38914116
33955	1.4728650399999998	0.39565868
33956	1.4864701999999999	0.4012321
33957	1.5000753599999999	0.40715261
33958	1.5136805199999999	0.41283037
33959	1.52728567	0.41827941
33960	1.54089083	0.42351453
33961	1.55449599	0.42854712
33962	1.56810115	0.43338647
33963	1.58170631	0.43804321
33964	1.59531147	0.44252366
33965	1.60891663	0.44684108
33966	1.6225217799999996	0.45099859
33967	1.6361269399999996	0.45472934
33968	1.6497320999999996	0.45856978
33969	1.6633372599999996	0.46227151
33970	1.6769424199999996	0.46583934
33971	1.6905475799999996	0.46928156
33972	1.7041527399999996	0.47260148
33973	1.7177578899999997	0.47580352
33974	1.7313630499999997	0.47889474
33975	1.7449682099999997	0.48187766
33976	1.7585733699999997	0.48475647
33977	1.7721785299999997	0.48753579
33978	1.7857836899999997	0.4902205
33979	1.7993888499999997	0.49281075
33980	1.8129939999999998	0.49523413
33981	1.8265991599999998	0.49764731
33982	1.8402043199999998	0.499978
33983	1.8538094799999998	0.50222779
33984	1.8674146399999998	0.50440074
33985	1.8810197999999998	0.50649984
33986	1.8946249599999998	0.50852836
33987	1.9082301099999999	0.51048676
33988	1.9218352699999999	0.51237843
33989	1.9354404299999999	0.51420536
33990	1.9490455899999999	0.51597038
33991	1.9626507499999999	0.51767355
33992	1.97625591	0.51931862
33993	1.98986107	0.52090621
33994	2.00346623	0.52244096
33995	2.01707138	0.52392158
33996	2.03067654	0.52535146
33997	2.0442817	0.52672986
33998	2.05788686	0.52806104
33999	2.07149202	0.52934489
34000	2.08509718	0.53058269
34001	2.09870234	0.53177581
34002	2.11230749	0.53292977
34003	2.12591265	0.53403999
34004	2.13951781	0.53510814
34005	2.15312297	0.53613894
34006	2.16672813	0.53713104
34007	2.18033329	0.53808639
34008	2.19393845	0.53900631
34009	2.2075436	0.5398905
34010	2.22114876	0.54074093
34011	2.23475392	0.54155839
34012	2.24835908	0.54234313
34013	2.26196424	0.54309579
34014	2.2755694	0.54381751
34015	2.28917456	0.54451252
34016	2.3027797100000003	0.54517593
34017	2.3163848700000003	0.54581274
34018	2.3299900300000003	0.5464206
34019	2.3435951900000003	0.54700194
34020	2.3572003500000003	0.54755855
34021	2.3708055100000003	0.54808918
34022	2.3844106700000003	0.54859344
34023	2.3980158200000004	0.5490747
34024	2.4116209800000004	0.54953173
34025	2.4252261400000004	0.54996705
34026	2.4388313000000004	0.55038049
34027	2.4524364600000004	0.55077123
34028	2.4660416200000004	0.55113966
34029	2.4796467800000004	0.55148808
34030	2.4932519299999996	0.55181666
34031	2.5068570899999996	0.55212582
34032	2.5204622499999996	0.55241493
34033	2.5340674099999996	0.55268455
34034	2.5476725699999996	0.55293607
34035	2.5612777299999996	0.55316992
34036	2.5748828899999996	0.55338555
34037	2.5884880399999997	0.55358443
34038	2.6020931999999997	0.55376602
34039	2.6156983599999997	0.55393235
34040	2.6293035199999997	0.55408144
34041	2.6429086799999997	0.55421727
34042	2.6565138399999997	0.55433657
34043	2.6701189999999997	0.55444045
34044	2.6837241499999998	0.55453079
34045	2.6973293099999998	0.55460442
34046	2.7109344699999998	0.55466565
34047	2.7245396299999998	0.55471323
34048	2.7381447899999998	0.55474684
34049	2.75174995	0.55476745
34050	2.76535511	0.55477678
34051	2.77896026	0.55477207
34052	2.79256542	0.55475532
34053	2.80617058	0.55472657
34054	2.81977574	0.55468635
34055	2.8333809	0.55463519
34056	2.84698606	0.55457128
34057	2.86059122	0.55449744
34058	2.87419637	0.55441305
34059	2.88780153	0.55431806
34060	2.90140669	0.55421381
34061	2.91501185	0.554099
34062	2.92861701	0.55397398
34063	2.94222217	0.55383962
34064	2.95582733	0.55369767
34065	2.96943249	0.55354622
34066	2.98303764	0.55338391
34067	2.9966428	0.55321349
34068	3.01024796	0.55303583
34069	3.02385312	0.55284856
34070	3.03745828	0.55265285
34071	3.05106344	0.55244962
34072	3.0646686	0.55223879
34073	3.07827375	0.55202138
34074	3.09187891	0.5517947
34075	3.10548407	0.55156061
34076	3.11908923	0.5513208
34077	3.13269439	0.5510741
34078	3.14629955	0.55081843
34079	3.15990471	0.55055817
34080	3.1735098600000002	0.55028861
34081	3.1871150200000002	0.55001463
34082	3.2007201800000002	0.54973498
34083	3.2143253400000003	0.54944797
34084	3.2279305000000003	0.54915734
34085	3.2415356600000003	0.54886011
34086	3.2551408200000003	0.54855679
34087	3.2687459700000003	0.5482475
34088	3.2823511300000003	0.54793287
34089	3.2959562900000003	0.54761375
34090	3.3095614500000003	0.54728897
34091	3.3231666100000004	0.54695965
34092	3.3367717700000004	0.54662481
34093	3.3503769300000004	0.54628725
34094	3.3639820800000004	0.54594214
34095	3.3775872399999995	0.54559353
34096	3.3911923999999996	0.54524042
34097	3.4047975599999996	0.54488346
34098	3.4184027199999996	0.54452247
34099	3.4320078799999996	0.54415657
34100	3.4456130399999996	0.54378636
34101	3.4592181899999996	0.54341336
34102	3.4728233499999996	0.54303626
34103	3.4864285099999996	0.54265502
34104	3.5000336699999997	0.5422697
34105	3.5136388299999997	0.54188182
34106	3.5272439899999997	0.54148977
34107	3.5408491499999997	0.54109187
34108	3.5544542999999997	0.5406947
34109	3.5680594599999997	0.54029257
34110	3.5816646199999997	0.53988588
34111	3.5952697799999997	0.53947784
34112	3.6088749399999998	0.5390674
34113	3.6224800999999998	0.53865341
34114	3.6360852599999998	0.53823672
34115	3.64969041	0.53781756
34116	3.66329557	0.53739629
34117	3.67690073	0.53697163
34118	3.69050589	0.53654387
34119	3.70411105	0.53611463
34120	3.71771621	0.53568203
34121	3.73132137	0.53524761
34122	3.74492652	0.53481127
34123	3.75853168	0.53437182
34124	3.77213684	0.53393061
34125	3.785742	0.53348724
34126	3.79934716	0.53304275
34127	3.81295232	0.53259516
34128	3.82655748	0.5321449
34129	3.84016263	0.53169494
34130	3.85376779	0.53124169
34131	3.86737295	0.53078643
34132	3.88097811	0.5303307
34133	3.89458327	0.52987166
34134	3.90818843	0.52941141
34135	3.92179359	0.52895024
34136	3.93539875	0.52848467
34137	3.9490039	0.52802005
34138	3.96260906	0.5275533
34139	3.97621422	0.52708556
34140	3.98981938	0.52661575
34141	4.00342454	0.52614586
34142	4.0170297	0.52567381
34143	4.03063486	0.52520023
34144	4.04424001	0.52472599
34145	4.05784517	0.52425074
34146	4.07145033	0.52377358
34147	4.08505549	0.52329596
34148	4.09866065	0.52281687
34149	4.11226581	0.52233592
34150	4.12587097	0.52185544
34151	4.13947612	0.52137214
34152	4.15308128	0.52088938
34153	4.16668644	0.5204058
34154	4.1802916	0.51991988
34155	4.19389676	0.51943449
34156	4.20750192	0.51894708
34157	4.22110708	0.51846015
34158	4.23471223	0.51797144
34159	4.24831739	0.51748244
34160	4.26192255	0.51699235
34161	4.27552771	0.51650208
34162	4.2891328699999995	0.51601146
34163	4.3027380299999995	0.51551833
34164	4.3163431899999996	0.51502566
34165	4.32994834	0.51453264
34166	4.3435535	0.51403868
34167	4.35715866	0.51354303
34168	4.37076382	0.51304852
34169	4.38436898	0.51255304
34170	4.39797414	0.51205744
34171	4.4115793	0.51156173
34172	4.42518445	0.51106476
34173	4.43878961	0.51056717
34174	4.45239477	0.510072
34175	4.46599993	0.50957468
34176	4.47960509	0.50907658
34177	4.49321025	0.5085786
34178	4.50681541	0.50808035
34179	4.52042056	0.50758143
34180	4.53402572	0.50708275
34181	4.54763088	0.50658338
34182	4.56123604	0.5060843
34183	4.5748412	0.50558438
34184	4.58844636	0.50508496
34185	4.60205152	0.5045858
34186	4.61565667	0.5040861
34187	4.62926183	0.50358653
34188	4.64286699	0.50308745
34189	4.65647215	0.50258752
34190	4.67007731	0.50208739
34191	4.68368247	0.50158782
34192	4.69728763	0.5010883
34193	4.71089278	0.50058893
34194	4.72449794	0.50008986
34195	4.7381031	0.49959068
34196	4.75170826	0.49909166
34197	4.76531342	0.4985929
34198	4.77891858	0.49809405
34199	4.79252374	0.49759576
34200	4.80612889	0.4970962
34201	4.81973405	0.49659753
34202	4.83333921	0.49610011
34203	4.84694437	0.49560259
34204	4.86054953	0.49510645
