	e_energy	sigma
	12.96301252	0.0
	12.96571614	0.00070776157
	12.9793213	0.0036225345
	12.99292646	0.0042476433
	13.00653161	0.0041299213
	13.02013677	0.0035168561
	13.03374193	0.0050229098
	13.04734709	0.0057973723
	13.06095225	0.0059566908
	13.07455741	0.0047860484
	13.08816257	0.0046292262
	13.10176772	0.004400619
	13.11537288	0.0043309181
	13.12897804	0.0042543051
	13.1425832	0.0042699139
	13.15618836	0.0047779377
	13.16979352	0.0046105168
	13.18339868	0.0047157974
	13.19700383	0.0041285923
	13.21060899	0.0041899787
	13.22421415	0.0043840603
	13.23781931	0.0043174944
	13.25142447	0.0043510499
	13.26502963	0.0044062918
	13.27863479	0.0043668066
	13.3058451	0.0039648348
	13.31945026	0.0040152469
	13.33305542	0.0046294724
	13.34666058	0.0047672683
	13.36026574	0.0048062485
	13.3738709	0.0050146427
	13.38747605	0.0052035463
	13.40108121	0.0052106302
	13.41468637	0.0053177892
	13.42829153	0.0046597443
	13.44189669	0.0056562383
	13.45550185	0.0057473464
	13.46910701	0.005865074
	13.48271216	0.0062559045
	13.49631732	0.0063091898
	13.50992248	0.0063695594
	13.52352764	0.0063469313
	13.5371328	0.006595987
	13.55073796	0.0067504483
	13.56434312	0.0068592136
	13.57794827	0.0069913873
	13.59155343	0.0069977329
	13.60515859	0.006468605
	13.61876375	0.0063624447
	13.63236891	0.0055080825
	13.64597407	0.0046364434
	13.65957923	0.0035808579
	13.67318438	0.003478672
	13.7003947	0.0049377913
	13.71399986	0.0037892625
	13.75481534	0.0032148186
	13.76842049	0.0034944011
	13.78202565	0.0040779838
	13.79563081	0.0039445052
	13.80923597	0.0038167249
	13.82284113	0.0042286594
	13.83644629	0.0044492063
	13.85005145	0.0045807702
	13.8636566	0.0044944203
	13.87726176	0.0042673678
	13.89086692	0.0045102513
	13.90447208	0.0047650287
	13.91807724	0.004784898
	13.9316824	0.0050891181
	13.94528756	0.0055431606
	13.95889272	0.0057949471
	13.97249787	0.0051633573
	13.98610303	0.0053459994
	13.99970819	0.0052788273
	14.01331335	0.0054134132
	14.02691851	0.0053830992
	14.04052367	0.005582038
	14.05412883	0.0056582083
	14.06773398	0.0055684588
	14.08133914	0.0053455385
	14.0949443	0.0055252551
	14.10854946	0.0055806981
	14.12215462	0.0057110251
	14.13575978	0.0057036143
	14.14936494	0.0057800038
	14.16297009	0.0057722846
	14.17657525	0.0058318236
	14.19018041	0.005803755
	14.20378557	0.0058321892
	14.21739073	0.0057285541
	14.23099589	0.005503089
	14.24460105	0.0053969247
	14.2582062	0.0053069658
	14.27181136	0.0047230306
	14.28541652	0.0049490079
	14.29902168	0.0051343867
	14.31262684	0.0047161285
	14.326232	0.00455678
	14.33983716	0.0044299932
	14.35344231	0.0047026505
	14.36704747	0.0045951248
	14.38065263	0.004366461
	14.39425779	0.0045544074
	14.40786295	0.0045323202
	14.42146811	0.0044863051
	14.43507327	0.0045174498
	14.44867842	0.0046316681
	14.46228358	0.0048805126
	14.47588874	0.0050398943
	14.4894939	0.0051827464
	14.50309906	0.0052373353
	14.51670422	0.00558807
	14.53030938	0.0054457515
	14.54391453	0.0056248919
	14.55751969	0.0060373732
	14.57112485	0.0058841222
	14.58473001	0.0061591545
	14.59833517	0.0059833522
	14.61194033	0.0059939484
	14.62554549	0.0059841522
	14.63915064	0.0060613751
	14.6527558	0.006201297
	14.66636096	0.0065362565
	14.67996612	0.0064420306
	14.69357128	0.00669465
	14.70717644	0.006700833
	14.7207816	0.006685665
	14.73438675	0.0069507052
	14.74799191	0.006764727
	14.76159707	0.0065596685
	14.77520223	0.0065012922
	14.78880739	0.0069508024
	14.80241255	0.0065648653
	14.81601771	0.0066155213
	14.82962286	0.006830512
	14.84322802	0.0068634878
	14.85683318	0.0068246447
	14.87043834	0.0070990342
	14.8840435	0.006994087
	14.89764866	0.0069915793
	14.91125382	0.0070480756
	14.92485898	0.0067538343
	14.93846413	0.006754122
	14.95206929	0.0066724082
	14.96567445	0.0064840359
	14.97927961	0.0063479762
	14.99288477	0.0063221716
	15.00648993	0.0062590849
	15.02009509	0.0063634912
	15.03370024	0.0064737471
	15.0473054	0.0064572712
	15.06091056	0.0065437757
	15.07451572	0.0064779338
	15.08812088	0.0066187697
	15.10172604	0.0064936898
	15.1153312	0.0063734394
	15.12893635	0.006497925
	15.14254151	0.0063981427
	15.15614667	0.0063323654
	15.16975183	0.0062340357
	15.18335699	0.0062308995
	15.19696215	0.0061568171
	15.21056731	0.0061193619
	15.22417246	0.0061002315
	15.23777762	0.0062089708
	15.25138278	0.0062343825
	15.26498794	0.0061800719
	15.2785931	0.0063637329
	15.29219826	0.0062591536
	15.30580342	0.0063504299
	15.31940857	0.0065070264
	15.33301373	0.0068128396
	15.34661889	0.0068875214
	15.36022405	0.00695426
	15.37382921	0.0071207179
	15.38743437	0.0072784293
	15.40103953	0.0074013646
	15.41464468	0.0073331991
	15.42824984	0.0073273668
	15.441855	0.0073572164
	15.45546016	0.0073543205
	15.46906532	0.0072728258
	15.48267048	0.0074431284
	15.50988079	0.0074581612
	15.52348595	0.0074377614
	15.53709111	0.0075476329
	15.55069627	0.0075841958
	15.56430143	0.007685107
	15.57790659	0.0077761347
	15.59151175	0.0076479264
	15.6051169	0.0077858435
	15.61872206	0.0076748131
	15.63232722	0.0075213434
	15.64593238	0.0076677831
	15.65953754	0.0079079563
	15.6731427	0.0080438052
	15.68674786	0.0082094985
	15.70035301	0.0083217092
	15.71395817	0.0082975373
	15.72756333	0.0083510975
	15.74116849	0.0081832797
	15.75477365	0.0081896721
	15.76837881	0.0085398331
	15.78198397	0.0084503674
	15.79558912	0.0080628113
	15.80919428	0.0079185983
	15.82279944	0.0079686785
	15.8364046	0.0080367929
	15.85000976	0.0079565105
	15.86361492	0.0080803213
	15.87722008	0.0080385592
	15.89082524	0.0082104558
	15.90443039	0.0084210231
	15.91803555	0.008206327
	15.93164071	0.0081344835
	15.94524587	0.0081156325
	15.95885103	0.008323099
	15.97245619	0.0081488291
	15.98606135	0.0080742665
	15.9996665	0.0080263732
	16.01327166	0.0079351674
	16.02687682	0.007852555
	16.04048198	0.0079191021
	16.05408714	0.0077828304
	16.0676923	0.0075972742
	16.08129746	0.0076386053
	16.09490261	0.0077899687
	16.10850777	0.0077202949
	16.12211293	0.0076846735
	16.13571809	0.0074479244
	16.14932325	0.0073017334
	16.16292841	0.0073477407
	16.17653357	0.0071441712
	16.19013872	0.0071195073
	16.20374388	0.0071147991
	16.21734904	0.0071275295
	16.2309542	0.0070116008
	16.24455936	0.0069629927
	16.25816452	0.0070310696
	16.27176968	0.0069328182
	16.28537483	0.0069002171
	16.29897999	0.0069158721
	16.31258515	0.0070206129
	16.32619031	0.0071783044
	16.33979547	0.0072287885
	16.35340063	0.0073706425
	16.36700579	0.0075541293
	16.3942161	0.0081711041
	16.40782126	0.0082190773
	16.42142642	0.0085504484
	16.43503158	0.0087063487
	16.44863674	0.0087682929
	16.4622419	0.0089417636
	16.47584705	0.0090552973
	16.48945221	0.0091244257
	16.50305737	0.0091884757
	16.51666253	0.0092551127
	16.53026769	0.0092178202
	16.54387285	0.0095087357
	16.55747801	0.0095753218
	16.57108316	0.0097738484
	16.58468832	0.0098374098
	16.59829348	0.0097199468
	16.61189864	0.0098235102
	16.6255038	0.0098294944
	16.63910896	0.0099580234
	16.65271412	0.0099935131
	16.67992443	0.010117394
	16.69352959	0.01007704
	16.70713475	0.010052774
	16.72073991	0.0098891426
	16.73434507	0.010066414
	16.74795023	0.0098430592
	16.76155538	0.0099218492
	16.77516054	0.0094128442
	16.7887657	0.0095689955
	16.80237086	0.0092725605
	16.81597602	0.0093312723
	16.82958118	0.0093333462
	16.84318634	0.0091517074
	16.8567915	0.0087829241
	16.87039665	0.0089506181
	16.88400181	0.0090147857
	16.89760697	0.0091759648
	16.91121213	0.0089375659
	16.92481729	0.0090463876
	16.93842245	0.0089179043
	16.95202761	0.008995536
	16.96563276	0.0090301459
	16.97923792	0.0089995358
	16.99284308	0.0089245065
	17.00644824	0.0089467257
	17.0200534	0.0090778219
	17.03365856	0.0090491413
	17.04726372	0.0090272256
	17.06086887	0.0091640958
	17.07447403	0.0092054042
	17.08807919	0.0091824212
	17.10168435	0.0093055865
	17.11528951	0.0091253545
	17.12889467	0.0091896911
	17.14249983	0.0092201926
	17.15610498	0.0092457646
	17.16971014	0.0092434386
	17.1833153	0.0091167371
	17.19692046	0.0090826445
	17.21052562	0.0090502722
	17.22413078	0.0091834158
	17.23773594	0.0091603352
	17.25134109	0.0090618117
	17.26494625	0.0090405647
	17.27855141	0.0090224752
	17.29215657	0.0090005434
	17.30576173	0.0089485062
	17.31936689	0.0088031023
	17.33297205	0.0087950504
	17.3465772	0.0088735863
	17.36018236	0.0088473591
	17.37378752	0.008974216
	17.38739268	0.0095366676
	17.40099784	0.0097557006
	17.414603	0.0095630022
	17.42820816	0.0093040503
	17.44181331	0.0093701677
	17.45541847	0.0093766611
	17.46902363	0.0093800312
	17.48262879	0.0094006921
	17.49623395	0.0093070763
	17.50983911	0.0094014052
	17.52344427	0.0092475609
	17.53704942	0.009431306
	17.55065458	0.0093784232
	17.56425974	0.0093639682
	17.5778649	0.0094923839
	17.59147006	0.009481972
	17.60507522	0.0096199427
	17.61868038	0.0096691476
	17.63228553	0.0096248158
	17.64589069	0.0098004205
	17.65949585	0.0098462024
	17.67310101	0.0098424429
	17.68670617	0.0098907571
	17.70031133	0.0098863428
	17.71391649	0.0099463454
	17.72752164	0.0099045873
	17.7411268	0.0098886294
	17.75473196	0.0099962883
	17.76833712	0.0099745518
	17.78194228	0.010041524
	17.79554744	0.0099877463
	17.8091526	0.0099783744
	17.82275776	0.01008685
	17.83636291	0.010051355
	17.84996807	0.010111546
	17.86357323	0.010187687
	17.87717839	0.010280978
	17.89078355	0.010296576
	17.90438871	0.010348895
	17.91799387	0.010291023
	17.93159902	0.010421303
	17.94520418	0.010436987
	17.95880934	0.010479148
	17.9724145	0.010610226
	17.98601966	0.010642269
	17.99962482	0.010727526
	18.01322998	0.01081215
	18.02683513	0.010814914
	18.04044029	0.011029417
	18.05404545	0.010949577
	18.06765061	0.011153917
	18.08125577	0.011301683
	18.09486093	0.011194942
	18.10846609	0.01126457
	18.12207124	0.01152441
	18.1356764	0.011286358
	18.14928156	0.011255794
	18.16288672	0.011257874
	18.17649188	0.011258176
	18.19009704	0.01134972
	18.2037022	0.011300355
	18.21730735	0.011305647
	18.23091251	0.01131697
	18.24451767	0.01152923
	18.25812283	0.011416831
	18.27172799	0.011369069
	18.28533315	0.011425512
	18.29893831	0.011195484
	18.31254346	0.011146036
	18.32614862	0.011026638
	18.33975378	0.010920575
	18.35335894	0.010918139
	18.3669641	0.010743379
	18.38056926	0.010763459
	18.39417442	0.010539516
	18.40777957	0.010473767
	18.42138473	0.010445695
	18.43498989	0.010424922
	18.44859505	0.010538604
	18.46220021	0.010515852
	18.47580537	0.010500965
	18.48941053	0.010561736
	18.50301568	0.010529787
	18.51662084	0.010557167
	18.530226	0.010707026
	18.54383116	0.010602399
	18.55743632	0.010551875
	18.57104148	0.01061935
	18.58464664	0.010740986
	18.59825179	0.010769211
	18.61185695	0.010823781
	18.62546211	0.010842818
	18.63906727	0.010880093
	18.65267243	0.010817543
	18.66627759	0.010767781
	18.67988275	0.010812437
	18.6934879	0.011011682
	18.70709306	0.011637944
	18.72069822	0.010913436
	18.73430338	0.011070484
	18.74790854	0.010963025
	18.7615137	0.011026371
	18.77511886	0.010948246
	18.78872402	0.010868702
	18.80232917	0.010960887
	18.81593433	0.011177167
	18.82953949	0.011034072
	18.84314465	0.010995328
	18.85674981	0.010940111
	18.87035497	0.011127151
	18.88396013	0.011209201
	18.89756528	0.011276561
	18.91117044	0.011237772
	18.9247756	0.011092163
	18.93838076	0.011236042
	18.95198592	0.011145315
	18.96559108	0.011219927
	18.97919624	0.01102784
	18.99280139	0.011130121
	19.00640655	0.01122626
	19.02001171	0.011128213
	19.03361687	0.01345319
	19.04722203	0.011333095
	19.06082719	0.011289944
	19.07443235	0.011338272
	19.0880375	0.011443708
	19.10164266	0.011258149
	19.11524782	0.01152263
	19.12885298	0.011497048
	19.14245814	0.01164281
	19.1560633	0.01159416
	19.16966846	0.011702893
	19.18327361	0.01162719
	19.19687877	0.011653501
	19.21048393	0.011787051
	19.22408909	0.011816357
	19.23769425	0.011958047
	19.25129941	0.011713186
	19.26490457	0.011772249
	19.27850972	0.011859082
	19.29211488	0.011851298
	19.30572004	0.011953095
	19.3193252	0.012006038
	19.33293036	0.012070362
	19.34653552	0.011902624
	19.36014068	0.011885098
	19.37374583	0.011896255
	19.38735099	0.011961136
	19.40095615	0.012139794
	19.41456131	0.014004235
	19.42816647	0.012085988
	19.44177163	0.012175322
	19.45537679	0.0121462
	19.46898194	0.012108551
	19.4825871	0.012115981
	19.49619226	0.012168983
	19.50979742	0.012349857
	19.52340258	0.012211828
	19.53700774	0.012204003
	19.5506129	0.012227748
	19.56421805	0.012278257
	19.57782321	0.012338837
	19.59142837	0.012229254
	19.99958313	0.012441815
	24.99947891	0.017073983
	29.99937469	0.020807547
	34.99927048	0.022436742
	39.99916626	0.024170908
	44.99906204	0.02526089
	49.99895782	0.026351952
	54.99885361	0.026974601
	59.99874939	0.027430715
	64.99864517	0.027662969
	69.99854095	0.027703096
	74.99843674	0.027601843
	79.99833252	0.027392025
	84.9982283	0.027126369
	89.99812408	0.026790759
	94.99801987	0.026433093
	99.99791565	0.026051573
	104.99781143	0.025655214
	109.99770721	0.025252061
	114.997603	0.024845215
	119.99749878	0.024438887
	124.99739456	0.024038335
	129.99729034	0.023642171
	134.99718613	0.023256929
