csdata_id	e_energy	sigma
57237	13.00498226	0.0
57238	13.00653161	0.00031641564
57239	13.02013677	0.0021358025
57240	13.03374193	0.0027082219
57241	13.04734709	0.0035684866
57242	13.06095225	0.0036673969
57243	13.07455741	0.0039526522
57244	13.08816257	0.0041661421
57245	13.10176772	0.0043187444
57246	13.11537288	0.0036856109
57247	13.12897804	0.0036470722
57248	13.1425832	0.00353804
57249	13.15618836	0.0034349253
57250	13.16979352	0.0034106729
57251	13.18339868	0.003423103
57252	13.19700383	0.0037145186
57253	13.21060899	0.0037799883
57254	13.22421415	0.0038052439
57255	13.23781931	0.0037273666
57256	13.25142447	0.0035553383
57257	13.26502963	0.0033867343
57258	13.27863479	0.0030643119
57259	13.3058451	0.0028475658
57260	13.31945026	0.0029026302
57261	13.33305542	0.0031982629
57262	13.34666058	0.0049917253
57263	13.36026574	0.0034952695
57264	13.3738709	0.0034727114
57265	13.38747605	0.0034536062
57266	13.40108121	0.003926704
57267	13.41468637	0.0037539251
57268	13.42829153	0.0036567207
57269	13.44189669	0.0037024694
57270	13.45550185	0.0036840599
57271	13.46910701	0.0036151519
57272	13.48271216	0.0035624452
57273	13.49631732	0.0035622123
57274	13.50992248	0.0035548568
57275	13.52352764	0.0039839758
57276	13.5371328	0.0036156697
57277	13.55073796	0.0036143764
57278	13.56434312	0.0034488578
57279	13.57794827	0.0035307315
57280	13.59155343	0.0040671573
57281	13.60515859	0.0053312015
57282	13.61876375	0.0082403071
57283	13.63236891	0.0072236687
57284	13.64597407	0.0047888368
57285	13.65957923	0.0038466044
57286	13.67318438	0.0030919191
57287	13.7003947	0.0026459651
57288	13.71399986	0.0025408427
57289	13.75481534	0.0018186458
57290	13.76842049	0.0017692753
57291	13.78202565	0.0024976604
57292	13.79563081	0.0019100993
57293	13.80923597	0.0021031175
57294	13.82284113	0.00305148
57295	13.83644629	0.0032264882
57296	13.85005145	0.0033884279
57297	13.8636566	0.0035152815
57298	13.87726176	0.0035192497
57299	13.89086692	0.0032783802
57300	13.90447208	0.0031914068
57301	13.91807724	0.0031554157
57302	13.9316824	0.0032804032
57303	13.94528756	0.0034704446
57304	13.95889272	0.0035073236
57305	13.97249787	0.0033731417
57306	13.98610303	0.0038064185
57307	13.99970819	0.0039496235
57308	14.01331335	0.0038381696
57309	14.02691851	0.0039329666
57310	14.04052367	0.0037605648
57311	14.05412883	0.0033814729
57312	14.06773398	0.0040298125
57313	14.08133914	0.003851845
57314	14.0949443	0.003546357
57315	14.10854946	0.0034283872
57316	14.12215462	0.0034089488
57317	14.13575978	0.0033085279
57318	14.14936494	0.0032034826
57319	14.16297009	0.003294575
57320	14.17657525	0.0031587179
57321	14.19018041	0.0031857933
57322	14.20378557	0.0032730851
57323	14.21739073	0.0029049383
57324	14.23099589	0.0028729312
57325	14.24460105	0.0029865325
57326	14.2582062	0.0027311704
57327	14.27181136	0.0026268761
57328	14.28541652	0.0023531463
57329	14.29902168	0.002367797
57330	14.31262684	0.0024007248
57331	14.326232	0.0022702282
57332	14.33983716	0.00209536
57333	14.35344231	0.0021001992
57334	14.36704747	0.0023600559
57335	14.38065263	0.0023235537
57336	14.39425779	0.0021624468
57337	14.40786295	0.0021269046
57338	14.42146811	0.0019177557
57339	14.43507327	0.0018612489
57340	14.44867842	0.001920298
57341	14.46228358	0.0020614289
57342	14.47588874	0.0020729877
57343	14.4894939	0.0021734249
57344	14.50309906	0.002231021
57345	14.51670422	0.0024099664
57346	14.53030938	0.0025995388
57347	14.54391453	0.0025771475
57348	14.55751969	0.0024324791
57349	14.57112485	0.0024277329
57350	14.58473001	0.0026866047
57351	14.59833517	0.0029087377
57352	14.61194033	0.0027334511
57353	14.62554549	0.0026605245
57354	14.63915064	0.0028748878
57355	14.6527558	0.002838639
57356	14.66636096	0.0029619905
57357	14.67996612	0.0027893092
57358	14.69357128	0.002928629
57359	14.70717644	0.0029914488
57360	14.7207816	0.0029215877
57361	14.73438675	0.0032805349
57362	14.74799191	0.0032129533
57363	14.76159707	0.0031693074
57364	14.77520223	0.0033668758
57365	14.78880739	0.0032072937
57366	14.80241255	0.0034073214
57367	14.81601771	0.0036412079
57368	14.82962286	0.0035405957
57369	14.84322802	0.0036385914
57370	14.85683318	0.0036980111
57371	14.87043834	0.0039234226
57372	14.8840435	0.0038179062
57373	14.89764866	0.0033687272
57374	14.91125382	0.0031552149
57375	14.92485898	0.0030923208
57376	14.93846413	0.0031292273
57377	14.95206929	0.003209314
57378	14.96567445	0.0032292888
57379	14.97927961	0.0030473358
57380	14.99288477	0.0028794599
57381	15.00648993	0.0029074249
57382	15.02009509	0.0027818155
57383	15.03370024	0.0028523665
57384	15.0473054	0.0026644457
57385	15.06091056	0.0026569774
57386	15.07451572	0.0026426404
57387	15.08812088	0.0027949963
57388	15.10172604	0.002715876
57389	15.1153312	0.0027305303
57390	15.12893635	0.0026679261
57391	15.14254151	0.0026545744
57392	15.15614667	0.0024308711
57393	15.16975183	0.0024646958
57394	15.18335699	0.0024081756
57395	15.19696215	0.0024313077
57396	15.21056731	0.0025538476
57397	15.22417246	0.0025045423
57398	15.23777762	0.0025135956
57399	15.25138278	0.0024873705
57400	15.26498794	0.0025582903
57401	15.2785931	0.0025092859
57402	15.29219826	0.00243138
57403	15.30580342	0.0023124783
57404	15.31940857	0.0023392159
57405	15.33301373	0.0023439845
57406	15.34661889	0.0022999117
57407	15.36022405	0.0022960065
57408	15.37382921	0.0023329259
57409	15.38743437	0.0024111859
57410	15.40103953	0.0024524464
57411	15.41464468	0.0024347509
57412	15.42824984	0.0024657909
57413	15.441855	0.0025153044
57414	15.45546016	0.0026970331
57415	15.46906532	0.0026409298
57416	15.48267048	0.0028545958
57417	15.50988079	0.0025344665
57418	15.52348595	0.0026321067
57419	15.53709111	0.0026842734
57420	15.55069627	0.0026207931
57421	15.56430143	0.002756462
57422	15.57790659	0.0026522793
57423	15.59151175	0.0027161456
57424	15.6051169	0.0026092917
57425	15.61872206	0.0026990101
57426	15.63232722	0.0027512962
57427	15.64593238	0.0027146907
57428	15.65953754	0.0027275262
57429	15.6731427	0.002695322
57430	15.68674786	0.0027067608
57431	15.70035301	0.0026734164
57432	15.71395817	0.0027352724
57433	15.72756333	0.0029204314
57434	15.74116849	0.0028348423
57435	15.75477365	0.0027582399
57436	15.76837881	0.0028134612
57437	15.78198397	0.0027388613
57438	15.79558912	0.0027376724
57439	15.80919428	0.002644893
57440	15.82279944	0.0025630728
57441	15.8364046	0.0026720068
57442	15.85000976	0.003035345
57443	15.86361492	0.003354222
57444	15.87722008	0.0033806696
57445	15.89082524	0.0032265071
57446	15.90443039	0.0031148158
57447	15.91803555	0.0030192314
57448	15.93164071	0.0028093107
57449	15.94524587	0.0028444288
57450	15.95885103	0.0027345714
57451	15.97245619	0.0027708771
57452	15.98606135	0.0027390493
57453	15.9996665	0.0027145729
57454	16.01327166	0.0027829581
57455	16.02687682	0.0027044038
57456	16.04048198	0.0026598094
57457	16.05408714	0.0025819187
