csdata_id	e_energy	sigma
55724	12.97054923	0.0
55725	12.9793213	0.00031241344
55726	12.99292646	0.00082923124
55727	13.00653161	0.0013768193
55728	13.02013677	0.0022445698
55729	13.03374193	0.0038155191
55730	13.04734709	0.0046375456
55731	13.06095225	0.0029923587
55732	13.07455741	0.0030704863
55733	13.08816257	0.0028524292
55734	13.10176772	0.0026796647
55735	13.11537288	0.0026599917
55736	13.12897804	0.0027018862
55737	13.1425832	0.0026978133
55738	13.15618836	0.0032111761
55739	13.16979352	0.0032821149
55740	13.18339868	0.0033510471
55741	13.19700383	0.0032816069
55742	13.21060899	0.0033384056
55743	13.22421415	0.0034995192
55744	13.23781931	0.0035629264
55745	13.25142447	0.0032466905
55746	13.26502963	0.0028333728
55747	13.27863479	0.0029069042
55748	13.3058451	0.0033116961
55749	13.31945026	0.0034625649
55750	13.33305542	0.0033637516
55751	13.34666058	0.0041143769
55752	13.36026574	0.0036193903
55753	13.3738709	0.0036450151
55754	13.38747605	0.0036393133
55755	13.40108121	0.0036766676
55756	13.41468637	0.0037661371
55757	13.42829153	0.003798123
55758	13.44189669	0.003863141
55759	13.45550185	0.0039112396
55760	13.46910701	0.004033473
55761	13.48271216	0.004083232
55762	13.49631732	0.0041579096
55763	13.50992248	0.0042802613
55764	13.52352764	0.0041209286
55765	13.5371328	0.0045803826
55766	13.55073796	0.0049486678
55767	13.56434312	0.0049119248
55768	13.57794827	0.0047609614
55769	13.59155343	0.0049911489
55770	13.60515859	0.0048813092
55771	13.61876375	0.0049174984
55772	13.63236891	0.0035875876
55773	13.64597407	0.0029431021
55774	13.65957923	0.002056414
55775	13.67318438	0.0022740554
55776	13.7003947	0.002667451
55777	13.71399986	0.0020319564
55778	13.75481534	0.001761074
55779	13.76842049	0.0018554584
55780	13.78202565	0.0022694267
55781	13.79563081	0.0021305707
55782	13.80923597	0.0026524285
55783	13.82284113	0.0031268985
55784	13.83644629	0.0034147593
55785	13.85005145	0.0033300671
55786	13.8636566	0.0032347592
55787	13.87726176	0.0033744788
55788	13.89086692	0.0036209575
55789	13.90447208	0.0038307934
55790	13.91807724	0.0037304604
55791	13.9316824	0.0040641806
55792	13.94528756	0.0038596084
55793	13.95889272	0.0037917293
55794	13.97249787	0.003583492
55795	13.98610303	0.0037860164
55796	13.99970819	0.0037757644
55797	14.01331335	0.0035314461
55798	14.02691851	0.0037969721
55799	14.04052367	0.004156683
55800	14.05412883	0.0043679213
55801	14.06773398	0.0041744789
55802	14.08133914	0.0043801052
55803	14.0949443	0.004300762
55804	14.10854946	0.0041659419
55805	14.12215462	0.0038074943
55806	14.13575978	0.0037510771
55807	14.14936494	0.0037648286
55808	14.16297009	0.0036371417
55809	14.17657525	0.0035572971
55810	14.19018041	0.0035545884
55811	14.20378557	0.0035944919
55812	14.21739073	0.003320352
55813	14.23099589	0.0031783356
55814	14.24460105	0.0030119455
55815	14.2582062	0.0034376215
55816	14.27181136	0.0032561436
55817	14.28541652	0.0032347922
55818	14.29902168	0.0031249707
55819	14.31262684	0.0030006584
55820	14.326232	0.0028293177
55821	14.33983716	0.0027680876
55822	14.35344231	0.0030184052
55823	14.36704747	0.0029202848
55824	14.38065263	0.0028116358
55825	14.39425779	0.0028263099
55826	14.40786295	0.0026398409
55827	14.42146811	0.0026743588
55828	14.43507327	0.0025121739
55829	14.44867842	0.0026701031
55830	14.46228358	0.0028656104
55831	14.47588874	0.0029982932
55832	14.4894939	0.0031775607
55833	14.50309906	0.0033604653
55834	14.51670422	0.0035765792
55835	14.53030938	0.003356765
55836	14.54391453	0.0034612567
55837	14.55751969	0.0036047795
55838	14.57112485	0.0037902726
55839	14.58473001	0.0041274974
55840	14.59833517	0.0043293102
55841	14.61194033	0.0046217281
55842	14.62554549	0.004657424
55843	14.63915064	0.0045919441
55844	14.6527558	0.0046617168
55845	14.66636096	0.0047679496
55846	14.67996612	0.0045226468
55847	14.69357128	0.0044682814
55848	14.70717644	0.0044199726
55849	14.7207816	0.0043390754
55850	14.73438675	0.0040721137
55851	14.74799191	0.0043149575
55852	14.76159707	0.0041557732
55853	14.77520223	0.0045821575
55854	14.78880739	0.0042806871
55855	14.80241255	0.004151095
55856	14.81601771	0.0039170637
55857	14.82962286	0.0039598061
55858	14.84322802	0.0041117626
55859	14.85683318	0.0038191398
55860	14.87043834	0.0039091091
55861	14.8840435	0.0037755738
55862	14.89764866	0.0038812282
55863	14.91125382	0.0038996058
55864	14.92485898	0.0038340591
55865	14.93846413	0.0036496579
55866	14.95206929	0.0039058015
55867	14.96567445	0.0035403773
55868	14.97927961	0.003361865
55869	14.99288477	0.0032178172
55870	15.00648993	0.0031806275
55871	15.02009509	0.0031277023
55872	15.03370024	0.0030605116
55873	15.0473054	0.0029618621
55874	15.06091056	0.0030512204
55875	15.07451572	0.0030358618
55876	15.08812088	0.0029482544
55877	15.10172604	0.0028292221
55878	15.1153312	0.0027496235
55879	15.12893635	0.0027753658
55880	15.14254151	0.0025017842
