csdata_id	e_energy	sigma
58730	13.24227609	0.0
58731	13.25142447	0.00083700716
58732	13.26502963	0.0013610169
58733	13.27863479	0.0026551239
58734	13.3058451	0.0027570795
58735	13.31945026	0.0028297955
58736	13.33305542	0.0022931946
58737	13.34666058	0.0026784444
58738	13.36026574	0.0029270189
58739	13.3738709	0.0030931726
58740	13.38747605	0.003228139
58741	13.40108121	0.0034598847
58742	13.41468637	0.0036971967
58743	13.42829153	0.0032570381
58744	13.44189669	0.0033911894
58745	13.45550185	0.0035845956
58746	13.46910701	0.0037652675
58747	13.48271216	0.0039185903
58748	13.49631732	0.0041133939
58749	13.50992248	0.0043127474
58750	13.52352764	0.0037979586
58751	13.5371328	0.0050120086
58752	13.55073796	0.0052412559
58753	13.56434312	0.0054546427
58754	13.57794827	0.0058117982
58755	13.59155343	0.0064725595
58756	13.60515859	0.0068343736
58757	13.61876375	0.0076189011
58758	13.63236891	0.0067345546
58759	13.64597407	0.0057119109
58760	13.65957923	0.0046809199
58761	13.67318438	0.0037011655
58762	13.7003947	0.003451454
58763	13.71399986	0.0034058352
58764	13.75481534	0.0016746683
58765	13.76842049	0.0017095236
58766	13.78202565	0.0019935764
58767	13.79563081	0.0020259306
58768	13.80923597	0.0021339612
58769	13.82284113	0.0023544864
58770	13.83644629	0.0023423808
58771	13.85005145	0.0022922905
58772	13.8636566	0.0024644558
58773	13.87726176	0.0026088766
58774	13.89086692	0.0026530306
58775	13.90447208	0.0027283234
58776	13.91807724	0.0032143371
58777	13.9316824	0.0033772875
58778	13.94528756	0.0032805108
58779	13.95889272	0.0033625206
58780	13.97249787	0.0035615902
58781	13.98610303	0.0034300887
58782	13.99970819	0.0034884804
58783	14.01331335	0.004303763
58784	14.02691851	0.0044444797
58785	14.04052367	0.0045478899
58786	14.05412883	0.0046355007
58787	14.06773398	0.0045856294
58788	14.08133914	0.0045445387
58789	14.0949443	0.0047858227
58790	14.10854946	0.0047565764
58791	14.12215462	0.0048236996
58792	14.13575978	0.0050350154
58793	14.14936494	0.0049953878
58794	14.16297009	0.0046086808
58795	14.17657525	0.0045799774
58796	14.19018041	0.0046131752
58797	14.20378557	0.004677322
58798	14.21739073	0.0048247465
58799	14.23099589	0.0048159298
58800	14.24460105	0.0048395033
58801	14.2582062	0.0047785499
58802	14.27181136	0.0046845022
58803	14.28541652	0.0047516932
58804	14.29902168	0.0051172932
58805	14.31262684	0.0046716183
58806	14.326232	0.004728213
58807	14.33983716	0.0048613663
58808	14.35344231	0.0048917129
58809	14.36704747	0.0046564225
58810	14.38065263	0.0050968042
58811	14.39425779	0.0052408302
58812	14.40786295	0.0048717505
58813	14.42146811	0.005236103
58814	14.43507327	0.005888554
58815	14.44867842	0.0062764759
58816	14.46228358	0.0063828495
58817	14.47588874	0.0067324434
58818	14.4894939	0.0069696103
58819	14.50309906	0.0071357529
58820	14.51670422	0.007429777
58821	14.53030938	0.0073522769
58822	14.54391453	0.0066388292
58823	14.55751969	0.006630749
58824	14.57112485	0.0067319617
58825	14.58473001	0.0062143219
58826	14.59833517	0.0063287382
58827	14.61194033	0.0063280046
58828	14.62554549	0.0068996371
58829	14.63915064	0.0082638283
58830	14.6527558	0.0075948124
58831	14.66636096	0.0078889995
58832	14.67996612	0.0079857129
58833	14.69357128	0.0083429569
58834	14.70717644	0.0080082865
58835	14.7207816	0.0081066192
58836	14.73438675	0.0078647574
58837	14.74799191	0.007691779
58838	14.76159707	0.0077195308
58839	14.77520223	0.007744319
58840	14.78880739	0.0078821172
58841	14.80241255	0.0069461969
58842	14.81601771	0.0067979148
58843	14.82962286	0.0067692795
58844	14.84322802	0.0067283629
58845	14.85683318	0.0066451056
58846	14.87043834	0.006279418
58847	14.8840435	0.0060197653
58848	14.89764866	0.0071863596
58849	14.91125382	0.0073093579
58850	14.92485898	0.0072027105
58851	14.93846413	0.0074765472
58852	14.95206929	0.0075232826
58853	14.96567445	0.0072753601
58854	14.97927961	0.0073465681
58855	14.99288477	0.0073578252
58856	15.00648993	0.0072648133
58857	15.02009509	0.00716538
58858	15.03370024	0.0071562744
58859	15.0473054	0.0072566337
58860	15.06091056	0.0072483022
58861	15.07451572	0.0073014936
58862	15.08812088	0.0073064325
58863	15.10172604	0.0074799659
58864	15.1153312	0.0075060554
58865	15.12893635	0.0069810543
58866	15.14254151	0.0069310868
58867	15.15614667	0.0067840124
58868	15.16975183	0.0065293795
58869	15.18335699	0.006293747
58870	15.19696215	0.0061080636
58871	15.21056731	0.0059127552
58872	15.22417246	0.0057506672
58873	15.23777762	0.0054356933
58874	15.25138278	0.0052414945
58875	15.26498794	0.0052792978
58876	15.2785931	0.0052931939
58877	15.29219826	0.0056026673
58878	15.30580342	0.0054394797
58879	15.31940857	0.0055902616
58880	15.33301373	0.0056356948
58881	15.34661889	0.0051770624
58882	15.36022405	0.0062063601
58883	15.37382921	0.0062998026
58884	15.38743437	0.0064390843
58885	15.40103953	0.0065649128
58886	15.41464468	0.0069221068
58887	15.42824984	0.0067465658
58888	15.441855	0.0068949496
58889	15.45546016	0.0071616047
58890	15.46906532	0.0066795333
58891	15.48267048	0.0070732033
58892	15.50988079	0.0066663248
58893	15.52348595	0.0065750266
58894	15.53709111	0.0065995088
58895	15.55069627	0.006424979
58896	15.56430143	0.0063714015
58897	15.57790659	0.0061912714
58898	15.59151175	0.0065386031
58899	15.6051169	0.0066923668
58900	15.61872206	0.0068086489
58901	15.63232722	0.0068500339
58902	15.64593238	0.0069373746
58903	15.65953754	0.0067589288
58904	15.6731427	0.0066264136
58905	15.68674786	0.0066062181
58906	15.70035301	0.0065614915
58907	15.71395817	0.0066337187
58908	15.72756333	0.0064827937
58909	15.74116849	0.0068214588
58910	15.75477365	0.0065635695
58911	15.76837881	0.0062358365
58912	15.78198397	0.0062777051
58913	15.79558912	0.0060605132
58914	15.80919428	0.0061769888
58915	15.82279944	0.0059273939
58916	15.8364046	0.0056954694
58917	15.85000976	0.0060028992
58918	15.86361492	0.0066588048
58919	15.87722008	0.0065985033
58920	15.89082524	0.0066569879
58921	15.90443039	0.006452105
58922	15.91803555	0.006433514
58923	15.93164071	0.0062921282
58924	15.94524587	0.0059725473
58925	15.95885103	0.0059935349
58926	15.97245619	0.0061220725
58927	15.98606135	0.0060478941
58928	15.9996665	0.0060302182
58929	16.01327166	0.0058093102
58930	16.02687682	0.0057580884
58931	16.04048198	0.0057210477
58932	16.05408714	0.0056814719
58933	16.0676923	0.0057211825
58934	16.08129746	0.0057727867
58935	16.09490261	0.0056089157
58936	16.10850777	0.0055295685
58937	16.12211293	0.0053489379
