csdata_id	e_energy	sigma
59215	13.26777923	0.0
59216	13.27863479	0.001434501
59217	13.3058451	0.0026591995
59218	13.31945026	0.0026030984
59219	13.33305542	0.0025581564
59220	13.34666058	0.0023083941
59221	13.36026574	0.0024771248
59222	13.3738709	0.0022908745
59223	13.38747605	0.002148894
59224	13.40108121	0.0021386927
59225	13.41468637	0.0024992216
59226	13.42829153	0.0028829177
59227	13.44189669	0.0031328102
59228	13.45550185	0.0028882415
59229	13.46910701	0.0031774519
59230	13.48271216	0.0034102563
59231	13.49631732	0.0036576861
59232	13.50992248	0.0039115382
59233	13.52352764	0.0044883978
59234	13.5371328	0.0045764522
59235	13.55073796	0.0048515224
59236	13.56434312	0.0051523041
59237	13.57794827	0.0054833645
59238	13.59155343	0.005881216
59239	13.60515859	0.0059576037
59240	13.61876375	0.0047277277
59241	13.63236891	0.0028998759
59242	13.64597407	0.0025935301
59243	13.65957923	0.0029655945
59244	13.67318438	0.0029839913
59245	13.7003947	0.0032568893
59246	13.71399986	0.0037197586
59247	13.75481534	0.0022722909
59248	13.76842049	0.002301954
59249	13.78202565	0.0023676366
59250	13.79563081	0.0024334607
59251	13.80923597	0.0022439852
59252	13.82284113	0.0025501235
59253	13.83644629	0.0026070414
59254	13.85005145	0.0024354608
59255	13.8636566	0.0026193207
59256	13.87726176	0.0026893262
59257	13.89086692	0.0025059363
59258	13.90447208	0.0027428636
59259	13.91807724	0.0030396735
59260	13.9316824	0.0031172508
59261	13.94528756	0.003030757
59262	13.95889272	0.0031855907
59263	13.97249787	0.0030433172
59264	13.98610303	0.003278998
59265	13.99970819	0.0033624986
59266	14.01331335	0.0033898491
59267	14.02691851	0.0034203972
59268	14.04052367	0.0029801986
59269	14.05412883	0.002891882
59270	14.06773398	0.0026847611
59271	14.08133914	0.0025563285
59272	14.0949443	0.0028356648
59273	14.10854946	0.002847393
59274	14.12215462	0.0030445068
59275	14.13575978	0.0027655714
59276	14.14936494	0.0025684495
59277	14.16297009	0.0027111971
59278	14.17657525	0.0028161252
59279	14.19018041	0.0034222024
59280	14.20378557	0.0038278119
59281	14.21739073	0.0030187469
59282	14.23099589	0.0034094235
59283	14.24460105	0.0035549406
59284	14.2582062	0.0040100414
59285	14.27181136	0.0038370488
59286	14.28541652	0.0038519369
59287	14.29902168	0.0039256405
59288	14.31262684	0.0037521771
59289	14.326232	0.0036069208
59290	14.33983716	0.0036012371
59291	14.35344231	0.003786392
59292	14.36704747	0.0035288279
59293	14.38065263	0.0038876328
59294	14.39425779	0.0040138621
59295	14.40786295	0.0037964825
59296	14.42146811	0.0036703123
59297	14.43507327	0.0038569192
59298	14.44867842	0.0039776456
59299	14.46228358	0.0041588334
59300	14.47588874	0.004178292
59301	14.4894939	0.00422822
59302	14.50309906	0.004385954
59303	14.51670422	0.0046188548
59304	14.53030938	0.0047578213
59305	14.54391453	0.0044949513
59306	14.55751969	0.0047605999
