csdata_id	e_energy	sigma
54709	12.91785156	0.0
54710	12.92490066	0.0019008252
54711	12.93850582	0.0029598115
54712	12.95211098	0.0037105577
54713	12.96571614	0.0040089037
54714	12.9793213	0.0036205769
54715	12.99292646	0.0034206778
54716	13.00653161	0.0036173578
54717	13.02013677	0.0040597815
54718	13.03374193	0.0039996627
54719	13.04734709	0.0043312616
54720	13.06095225	0.0039176761
54721	13.07455741	0.0040834702
54722	13.08816257	0.0041580612
54723	13.10176772	0.0045153526
54724	13.11537288	0.0047220347
54725	13.12897804	0.0048242721
54726	13.1425832	0.0049548954
54727	13.15618836	0.0048037526
54728	13.16979352	0.0048539115
54729	13.18339868	0.0049651896
54730	13.19700383	0.0052937573
54731	13.21060899	0.0054855949
54732	13.22421415	0.0055503713
54733	13.23781931	0.0052004832
54734	13.25142447	0.0052455341
54735	13.26502963	0.004878238
54736	13.27863479	0.0054729838
54737	13.3058451	0.0056229511
54738	13.31945026	0.0058201655
54739	13.33305542	0.0059821155
54740	13.34666058	0.0061722672
54741	13.36026574	0.0063344444
54742	13.3738709	0.0062895171
54743	13.38747605	0.0066674696
54744	13.40108121	0.0064727846
54745	13.41468637	0.0064488603
54746	13.42829153	0.0066114427
54747	13.44189669	0.0065772888
54748	13.45550185	0.0064648069
54749	13.46910701	0.0063703957
54750	13.48271216	0.0067230233
54751	13.49631732	0.0063998859
54752	13.50992248	0.0062632526
54753	13.52352764	0.0059990395
54754	13.5371328	0.0062158137
54755	13.55073796	0.006040592
54756	13.56434312	0.0056754513
54757	13.57794827	0.0056662561
54758	13.59155343	0.0059666531
54759	13.60515859	0.0075960059
54760	13.61876375	0.0095437478
54761	13.63236891	0.0075798374
54762	13.64597407	0.0051007127
54763	13.65957923	0.0044161222
54764	13.67318438	0.006191962
54765	13.7003947	0.006824393
54766	13.71399986	0.0058220757
54767	13.75481534	0.0056910858
54768	13.76842049	0.0060561057
54769	13.78202565	0.0060607262
54770	13.79563081	0.0055246954
54771	13.80923597	0.0054882837
54772	13.82284113	0.0048293316
54773	13.83644629	0.0058959678
54774	13.85005145	0.0058609168
54775	13.8636566	0.0061432397
54776	13.87726176	0.005841182
54777	13.89086692	0.0058801595
54778	13.90447208	0.0061621654
54779	13.91807724	0.0064712719
54780	13.9316824	0.0066634288
54781	13.94528756	0.0067138741
54782	13.95889272	0.0067624011
54783	13.97249787	0.0067023807
54784	13.98610303	0.0065809036
54785	13.99970819	0.0069578307
54786	14.01331335	0.0068903947
54787	14.02691851	0.0072216583
54788	14.04052367	0.0071228695
54789	14.05412883	0.007010892
54790	14.06773398	0.0070832535
54791	14.08133914	0.0071975666
54792	14.0949443	0.0073956373
54793	14.10854946	0.0073994594
54794	14.12215462	0.0069235454
54795	14.13575978	0.0066916514
54796	14.14936494	0.0064497722
54797	14.16297009	0.0065096374
54798	14.17657525	0.0063626204
54799	14.19018041	0.0061180417
54800	14.20378557	0.0059832604
54801	14.21739073	0.0057047613
54802	14.23099589	0.0055938946
54803	14.24460105	0.0055175707
54804	14.2582062	0.0052171806
54805	14.27181136	0.0050640225
54806	14.28541652	0.005199262
54807	14.29902168	0.0054252936
54808	14.31262684	0.0053683186
54809	14.326232	0.0054890507
54810	14.33983716	0.0056908259
54811	14.35344231	0.0059202698
54812	14.36704747	0.0057412303
54813	14.38065263	0.0061544802
54814	14.39425779	0.0065751702
54815	14.40786295	0.0062561959
54816	14.42146811	0.0066621095
54817	14.43507327	0.0065357841
54818	14.44867842	0.0063311144
54819	14.46228358	0.0064238186
54820	14.47588874	0.0065326643
54821	14.4894939	0.0067329149
54822	14.50309906	0.0071850998
54823	14.51670422	0.0075360539
54824	14.53030938	0.006779618
54825	14.54391453	0.0066009668
54826	14.55751969	0.006442677
54827	14.57112485	0.0063229201
54828	14.58473001	0.0064578013
54829	14.59833517	0.0061964602
54830	14.61194033	0.006313956
54831	14.62554549	0.006903818
54832	14.63915064	0.0068870873
54833	14.6527558	0.0068528295
54834	14.66636096	0.0070369686
54835	14.67996612	0.0065964127
54836	14.69357128	0.0067633578
54837	14.70717644	0.0066978453
54838	14.7207816	0.0065113754
54839	14.73438675	0.0066465676
54840	14.74799191	0.0064445334
54841	14.76159707	0.0062805908
54842	14.77520223	0.0064208332
54843	14.78880739	0.0063252294
54844	14.80241255	0.0062365369
54845	14.81601771	0.0065301591
54846	14.82962286	0.0069084351
54847	14.84322802	0.0069154733
54848	14.85683318	0.0070737769
54849	14.87043834	0.0071132402
54850	14.8840435	0.0069289484
54851	14.89764866	0.0067998206
54852	14.91125382	0.0067265578
54853	14.92485898	0.0066668809
54854	14.93846413	0.0063678796
54855	14.95206929	0.0067651235
