csdata_id	e_energy	sigma
49492	10.94845805	0.0
49493	10.95215267	0.034543894
49494	10.96575782	0.073857691
49495	10.97936298	0.1053834
49496	10.99296814	0.13250746
49497	11.0065733	0.15599553
49498	11.02017846	0.17575381
49499	11.03378362	0.19202755
49500	11.04738878	0.20525021
49501	11.06099394	0.21587974
49502	11.07459909	0.22435918
49503	11.08820425	0.23107403
49504	11.10180941	0.2363489
49505	11.11541457	0.24044814
49506	11.12901973	0.24358941
49507	11.14262489	0.24594754
49508	11.15623005	0.24766546
49509	11.1698352	0.24885848
49510	11.18344036	0.24962075
49511	11.19704552	0.25002896
49512	11.21065068	0.25014587
49513	11.22425584	0.2500216
49514	11.237861	0.24969999
49515	11.25146616	0.24921504
49516	11.26507131	0.24859577
49517	11.27867647	0.24786341
49518	11.29228163	0.24703977
49519	11.30588679	0.2461415
49520	11.31949195	0.24518035
49521	11.33309711	0.24416766
49522	11.34670227	0.24311294
49523	11.36030742	0.24202434
49524	11.37391258	0.24090936
49525	11.38751774	0.23977138
49526	11.4011229	0.23861764
49527	11.41472806	0.23745166
49528	11.42833322	0.23627699
49529	11.44193838	0.2350969
49530	11.45554353	0.23391437
49531	11.46914869	0.23273243
49532	11.48275385	0.23155321
49533	11.49635901	0.23037996
49534	11.50996417	0.22921446
49535	11.52356933	0.22805975
49536	11.53717449	0.22691933
49537	11.55077964	0.22579499
49538	11.5643848	0.22469424
49539	11.57798996	0.22362135
49540	11.59159512	0.22259187
49541	11.60520028	0.22165621
49542	11.61880544	0.22103869
49543	11.6324106	0.22048449
49544	11.64601575	0.22021487
49545	11.65962091	0.22105903
49546	11.67322607	0.22149039
49547	11.68683123	0.22188921
49548	11.70043639	0.22217628
49549	11.71404155	0.22228859
49550	11.72764671	0.22214269
49551	11.74125186	0.22166733
49552	11.75485702	0.22075803
49553	11.76846218	0.21926518
49554	11.78206734	0.21677657
49555	11.7956725	0.2153717
49556	11.80927766	0.21229057
49557	11.82288282	0.21018148
49558	11.83648797	0.20753828
49559	11.85009313	0.20506874
49560	11.86369829	0.20308912
49561	11.87730345	0.20907703
49562	11.89090861	0.20892754
49563	11.90451377	0.20819131
49564	11.91811893	0.20751486
49565	11.93172408	0.20692281
49566	11.94532924	0.20643505
49567	11.9589344	0.20603564
49568	11.97253956	0.2055453
49569	11.98614472	0.20529305
49570	11.99974988	0.20499322
49571	12.01335504	0.20411798
49572	12.0269602	0.19881696
49573	12.04056535	0.19843084
49574	12.05417051	0.1969096
49575	12.06777567	0.19550032
49576	12.08138083	0.19391956
49577	12.09498599	0.19213049
49578	12.10859115	0.18970052
49579	12.12219631	0.18576575
49580	12.13580146	0.18247605
49581	12.14940662	0.19427066
49582	12.16301178	0.19301069
49583	12.17661694	0.19241589
49584	12.1902221	0.19219126
49585	12.20382726	0.19195391
49586	12.21743242	0.19171755
49587	12.23103757	0.19147151
49588	12.24464273	0.19115323
49589	12.25824789	0.19094157
49590	12.27185305	0.19075368
49591	12.28545821	0.1905847
49592	12.29906337	0.19040796
49593	12.31266853	0.1901386
49594	12.32627368	0.18949167
49595	12.33987884	0.18783391
49596	12.353484	0.18764059
49597	12.36708916	0.19150684
49598	12.38069432	0.19719911
49599	12.39429948	0.19311394
49600	12.40790464	0.187172
