csdata_id	e_energy	sigma
30032	13.00498226	0.0
30033	13.00653161	2.2121433e-05
30034	13.02013677	0.0006347675
30035	13.03374193	0.00080450215
30036	13.04734709	0.00091518158
30037	13.06095225	0.00099304889
30038	13.07455741	0.00075635054
30039	13.08816257	0.00075326988
30040	13.10176772	0.0012987467
30041	13.11537288	0.0013049305
30042	13.12897804	0.0012948154
30043	13.1425832	0.0013501381
30044	13.15618836	0.0013968625
30045	13.16979352	0.0014758703
30046	13.18339868	0.0015909603
30047	13.19700383	0.0017657987
30048	13.21060899	0.0018844426
30049	13.22421415	0.0021779828
30050	13.23781931	0.0022830087
30051	13.25142447	0.001962062
30052	13.26502963	0.001818265
30053	13.27863479	0.0017027095
30054	13.3058451	0.0010917197
30055	13.31945026	0.0011210542
30056	13.33305542	0.00093142539
30057	13.34666058	0.00096333494
30058	13.36026574	0.0011656439
30059	13.3738709	0.0011057821
30060	13.38747605	0.001186032
30061	13.40108121	0.0011624393
30062	13.41468637	0.0011665295
30063	13.42829153	0.0012178347
30064	13.44189669	0.0011649193
30065	13.45550185	0.0014401031
30066	13.46910701	0.001130797
30067	13.48271216	0.0012909776
30068	13.49631732	0.0012854676
30069	13.50992248	0.0013101699
30070	13.52352764	0.0014038818
30071	13.5371328	0.0014448392
30072	13.55073796	0.0016756396
30073	13.56434312	0.0019523328
30074	13.57794827	0.002244381
30075	13.59155343	0.00248141
30076	13.60515859	0.0032503231
30077	13.61876375	0.0027607484
30078	13.63236891	0.0027396736
30079	13.64597407	0.0025634085
30080	13.65957923	0.0017294243
30081	13.67318438	0.001849832
30082	13.7003947	0.0023868585
30083	13.71399986	0.0021583976
30084	13.75481534	0.001025329
30085	13.76842049	0.0010903943
30086	13.78202565	0.0010819276
30087	13.79563081	0.001091215
30088	13.80923597	0.0010218056
30089	13.82284113	0.0011185867
30090	13.83644629	0.0011241917
30091	13.85005145	0.0012567957
30092	13.8636566	0.0014597074
30093	13.87726176	0.0015914901
30094	13.89086692	0.0016675824
30095	13.90447208	0.0018480761
30096	13.91807724	0.0019214474
30097	13.9316824	0.0017749218
30098	13.94528756	0.0017997681
30099	13.95889272	0.0018042746
30100	13.97249787	0.0016495303
30101	13.98610303	0.0014081709
30102	13.99970819	0.0015094494
30103	14.01331335	0.0014698595
30104	14.02691851	0.0014370073
30105	14.04052367	0.0016065576
30106	14.05412883	0.0016767644
30107	14.06773398	0.0018496325
30108	14.08133914	0.0017413699
30109	14.0949443	0.0017789087
30110	14.10854946	0.0017718347
30111	14.12215462	0.001588592
30112	14.13575978	0.0016822278
30113	14.14936494	0.001646264
30114	14.16297009	0.0013280369
30115	14.17657525	0.0015624431
30116	14.19018041	0.0013860881
30117	14.20378557	0.00153711
30118	14.21739073	0.0014517869
30119	14.23099589	0.0014404335
30120	14.24460105	0.0014205752
30121	14.2582062	0.0013861187
30122	14.27181136	0.0014190412
30123	14.28541652	0.0013174456
30124	14.29902168	0.0012978646
30125	14.31262684	0.0012579711
30126	14.326232	0.0011223897
30127	14.33983716	0.0010847354
30128	14.35344231	0.0012115558
30129	14.36704747	0.0011694148
30130	14.38065263	0.00098121861
30131	14.39425779	0.00095176428
30132	14.40786295	0.00089238126
30133	14.42146811	0.00080449985
30134	14.43507327	0.00082262262
30135	14.44867842	0.0010273457
30136	14.46228358	0.0010339793
30137	14.47588874	0.0011431083
30138	14.4894939	0.0012476433
30139	14.50309906	0.0014510683
30140	14.51670422	0.0015406877
30141	14.53030938	0.0014758869
30142	14.54391453	0.0015444491
30143	14.55751969	0.0016160128
30144	14.57112485	0.0017635482
30145	14.58473001	0.0018543503
30146	14.59833517	0.0019548359
30147	14.61194033	0.0019645722
30148	14.62554549	0.0018938566
30149	14.63915064	0.0019810785
30150	14.6527558	0.0019515753
30151	14.66636096	0.0021161199
30152	14.67996612	0.0019555277
30153	14.69357128	0.0019005452
30154	14.70717644	0.0017060771
30155	14.7207816	0.0017034639
30156	14.73438675	0.001749985
30157	14.74799191	0.0016868104
30158	14.76159707	0.0015744986
30159	14.77520223	0.0016555231
30160	14.78880739	0.0017364996
30161	14.80241255	0.0015906203
30162	14.81601771	0.00161421
30163	14.82962286	0.0016520189
30164	14.84322802	0.0017122314
30165	14.85683318	0.0015600826
30166	14.87043834	0.0015664306
30167	14.8840435	0.0015315447
30168	14.89764866	0.0014526626
30169	14.91125382	0.0014381981
30170	14.92485898	0.0016401873
30171	14.93846413	0.0016503374
30172	14.95206929	0.0015904752
30173	14.96567445	0.0013155249
30174	14.97927961	0.0015541268
30175	14.99288477	0.0014831774
30176	15.00648993	0.0014152841
30177	15.02009509	0.0013450829
30178	15.03370024	0.0012299786
30179	15.0473054	0.0013170206
30180	15.06091056	0.0012323482
30181	15.07451572	0.0012569454
30182	15.08812088	0.0011920896
30183	15.10172604	0.0014160353
30184	15.1153312	0.0012318268
30185	15.12893635	0.0011830122
30186	15.14254151	0.0012303941
30187	15.15614667	0.0012352861
30188	15.16975183	0.0012137564
30189	15.18335699	0.0011472312
30190	15.19696215	0.0012454416
30191	15.21056731	0.0013099554
30192	15.22417246	0.0014120745
30193	15.23777762	0.0012584215
30194	15.25138278	0.0012040281
30195	15.26498794	0.0012500677
30196	15.2785931	0.0012748763
30197	15.29219826	0.0011034799
30198	15.30580342	0.0012226657
30199	15.31940857	0.0013058794
30200	15.33301373	0.0013077337
30201	15.34661889	0.0013688545
30202	15.36022405	0.001242287
30203	15.37382921	0.0012553021
30204	15.38743437	0.0013618467
30205	15.40103953	0.0013442497
30206	15.41464468	0.0014089532
30207	15.42824984	0.001470706
30208	15.441855	0.0015350714
30209	15.45546016	0.001638936
30210	15.46906532	0.0016008695
30211	15.48267048	0.0015867396
30212	15.50988079	0.0017903965
30213	15.52348595	0.0018125596
30214	15.53709111	0.0017750103
30215	15.55069627	0.0017659567
30216	15.56430143	0.0017084914
30217	15.57790659	0.0017019844
30218	15.59151175	0.0016368285
30219	15.6051169	0.0016794853
30220	15.61872206	0.0016928259
30221	15.63232722	0.0018569397
30222	15.64593238	0.0018457984
30223	15.65953754	0.0018955149
30224	15.6731427	0.0019915838
30225	15.68674786	0.0020110893
30226	15.70035301	0.0020235673
30227	15.71395817	0.0021888857
30228	15.72756333	0.0022231345
30229	15.74116849	0.0021017012
30230	15.75477365	0.0019547827
30231	15.76837881	0.0018522993
30232	15.78198397	0.0018258693
30233	15.79558912	0.0017577793
30234	15.80919428	0.001806944
30235	15.82279944	0.0018424222
30236	15.8364046	0.0018599954
30237	15.85000976	0.0019247584
30238	15.86361492	0.0018384709
30239	15.87722008	0.0016118208
30240	15.89082524	0.0015166576
30241	15.90443039	0.0015128019
30242	15.91803555	0.0014450689
30243	15.93164071	0.0015039737
30244	15.94524587	0.001405372
30245	15.95885103	0.0014333891
30246	15.97245619	0.0013630571
30247	15.98606135	0.0013669858
30248	15.9996665	0.0013944533
30249	16.01327166	0.0013501072
30250	16.02687682	0.0013879141
30251	16.04048198	0.0017285595
30252	16.05408714	0.0022369556
30253	16.0676923	0.0015852051
30254	16.08129746	0.0013133674
30255	16.09490261	0.0012329914
30256	16.10850777	0.0012425007
30257	16.12211293	0.001184825
30258	16.13571809	0.0012600587
30259	16.14932325	0.0012998822
30260	16.16292841	0.0011377568
30261	16.17653357	0.0011963922
30262	16.19013872	0.0012155763
30263	16.20374388	0.0011655063
30264	16.21734904	0.001318371
30265	16.2309542	0.0012728182
30266	16.24455936	0.0012763079
30267	16.25816452	0.0012528308
30268	16.27176968	0.0012065672
30269	16.28537483	0.0013679005
30270	16.29897999	0.0013858748
30271	16.31258515	0.0013954221
