csdata_id	e_energy	sigma
21620	10.77356891	0.0
21621	10.7752856	0.00038971504
21622	10.78889076	0.0013533927
21623	10.80249592	0.0020969044
21624	10.81610108	0.0028177738
21625	10.82970624	0.0032387732
21626	10.8433114	0.0035522228
21627	10.85691656	0.0038011509
21628	10.87052171	0.0040404031
21629	10.88412687	0.0042480652
21630	10.89773203	0.004456914
21631	10.91133719	0.0046792558
21632	10.92494235	0.004932483
21633	10.93854751	0.0052572674
21634	10.95215267	0.0062203453
21635	10.96575782	0.0067452395
21636	10.97936298	0.0071487916
21637	10.99296814	0.0075547762
21638	11.0065733	0.0079742679
21639	11.02017846	0.0084139049
21640	11.03378362	0.0088765736
21641	11.04738878	0.0093631748
21642	11.06099394	0.0098742401
21643	11.07459909	0.010409218
21644	11.08820425	0.010967321
21645	11.10180941	0.011547393
21646	11.11541457	0.012148005
21647	11.12901973	0.012767486
21648	11.14262489	0.013403966
21649	11.15623005	0.014055265
21650	11.1698352	0.01471927
21651	11.18344036	0.015393692
21652	11.19704552	0.016076189
21653	11.21065068	0.016764567
21654	11.22425584	0.017456608
21655	11.237861	0.0181502
21656	11.25146616	0.018843365
21657	11.26507131	0.019534431
21658	11.27867647	0.020221671
21659	11.29228163	0.020903612
21660	11.30588679	0.021578988
21661	11.31949195	0.022246471
21662	11.33309711	0.022905058
21663	11.34670227	0.023553692
21664	11.36030742	0.024191302
21665	11.37391258	0.024817027
21666	11.38751774	0.025429655
21667	11.4011229	0.026028397
21668	11.41472806	0.026611758
21669	11.42833322	0.027178992
21670	11.44193838	0.027728621
21671	11.45554353	0.028259099
21672	11.46914869	0.028769088
21673	11.48275385	0.029256852
21674	11.49635901	0.029720619
21675	11.50996417	0.030158261
21676	11.52356933	0.030567653
21677	11.53717449	0.030946288
21678	11.55077964	0.031291641
21679	11.5643848	0.031601183
21680	11.57798996	0.031878003
21681	11.59159512	0.032108947
21682	11.60520028	0.032337808
21683	11.61880544	0.032782241
21684	11.6324106	0.031274005
21685	11.64601575	0.029575899
21686	11.65962091	0.025969987
21687	11.67322607	0.023402383
21688	11.68683123	0.020961319
21689	11.70043639	0.018808719
21690	11.71404155	0.017020554
21691	11.72764671	0.015673962
21692	11.74125186	0.014843271
21693	11.75485702	0.014593379
21694	11.76846218	0.01495944
21695	11.78206734	0.015859948
21696	11.7956725	0.017447562
21697	11.80927766	0.019707128
21698	11.82288282	0.021513204
21699	11.83648797	0.022754596
21700	11.85009313	0.023616106
21701	11.86369829	0.024197625
21702	11.87730345	0.024597532
21703	11.89090861	0.024610209
21704	11.90451377	0.024434234
21705	11.91811893	0.024126449
21706	11.93172408	0.023682753
21707	11.94532924	0.023131592
21708	11.9589344	0.022439598
21709	11.97253956	0.021455837
21710	11.98614472	0.020116386
21711	11.99974988	0.017803174
21712	12.01335504	0.016716877
21713	12.0269602	0.015539132
21714	12.04056535	0.01444832
21715	12.05417051	0.013984011
21716	12.06777567	0.014033153
21717	12.08138083	0.013913623
21718	12.09498599	0.01385537
21719	12.10859115	0.013833724
21720	12.12219631	0.013867069
21721	12.13580146	0.013870979
21722	12.14940662	0.013947415
21723	12.16301178	0.014104078
21724	12.17661694	0.01436736
21725	12.1902221	0.014668371
21726	12.20382726	0.014946911
21727	12.21743242	0.015223851
21728	12.23103757	0.015432109
21729	12.24464273	0.015634361
21730	12.25824789	0.015812854
21731	12.27185305	0.015993403
21732	12.28545821	0.016193015
21733	12.29906337	0.016444184
21734	12.31266853	0.016823875
21735	12.32627368	0.017544307
21736	12.33987884	0.018969388
21737	12.353484	0.019694214
21738	12.36708916	0.018451205
21739	12.38069432	0.017686891
21740	12.39429948	0.017483123
21741	12.40790464	0.017441488
21742	12.42150979	0.017485231
21743	12.43511495	0.017548466
21744	12.44872011	0.017619801
21745	12.46232527	0.01769424
21746	12.47593043	0.017770335
21747	12.48953559	0.017844483
21748	12.50314075	0.017916438
21749	12.5167459	0.017985217
21750	12.53035106	0.018049799
21751	12.54395622	0.018108881
21752	12.55756138	0.018160696
21753	12.57116654	0.018202665
21754	12.5847717	0.018230734
21755	12.59837686	0.018239372
21756	12.61198201	0.01821094
21757	12.62558717	0.018125736
21758	12.63919233	0.017923592
21759	12.65279749	0.017449283
21760	12.66640265	0.016220591
21761	12.68000781	0.013776072
21762	12.69361297	0.016447086
21763	12.70721812	0.018691739
21764	12.72082328	0.019248975
21765	12.73442844	0.019429165
21766	12.7480336	0.019523058
21767	12.76163876	0.019662935
21768	12.77524392	0.020218664
21769	12.78884908	0.023262156
21770	12.80245423	0.021579861
